区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53956/万荣,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,950.4,1022.0,10.4,1.6,13,30000,0.0,-,261,2.4,281,2.0,8.8,10.5,-,-,28900
53956/万荣,小时数据,2025-01-01 15,2025-01-01 15:00:43,000,950.2,1021.8,9.8,1.8,15,20505,0.0,-,301,1.8,316,1.9,15.8,15.7,-,-,19300
53956/万荣,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,950.6,1022.3,8.8,2.2,19,18326,0.0,-,327,1.1,295,1.9,19.5,19.5,-,-,16400
53956/万荣,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,951.2,1023.0,7.7,2.3,22,15726,0.0,-,269,2.3,265,2.0,19.6,17.9,-,-,16800
53956/万荣,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,951.9,1023.9,6.5,2.3,24,17208,0.0,-,284,1.8,268,2.3,18.1,17.5,-,-,16400
53956/万荣,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,952.8,1025.0,4.8,2.2,26,20001,0.0,-,295,2.1,282,2.8,13.4,15.6,-,-,17800
53956/万荣,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,952.6,1025.0,2.2,2.4,33,11858,0.0,-,286,1.9,267,1.5,2.3,2.9,-,-,13300
53956/万荣,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,952.0,1024.8,-1.3,2.4,43,16239,0.0,-,234,1.9,253,1.5,-3.5,-0.4,-,-,12400
53956/万荣,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,950.9,1024.1,-6.1,2.5,64,9531,0.0,-,234,1.0,225,1.0,-10.4,-12.6,-,-,9900
53956/万荣,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,950.2,1023.0,-5.6,2.5,63,10275,0.0,-,169,0.6,189,0.5,-10.6,-13.3,-,-,8600
53956/万荣,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,949.4,1021.7,-5.3,2.5,60,12777,0.0,-,PPC,0.0,PPC,0.2,-10.3,-13.0,-,-,10300
