区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53882/上党,小时数据,2025-01-01 17,2025-01-01 17:00:41,000,898.0,1021.5,8.3,1.3,12,30000,0.0,-,350,1.0,1,0.9,2.3,3.4,-,-,30000
53882/上党,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,897.5,1020.7,8.5,1.2,11,30000,0.0,-,43,2.3,41,2.3,12.5,13.9,-,-,30000
53882/上党,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,897.2,1020.0,8.4,1.5,14,30000,0.0,-,54,3.5,47,3.3,18.5,15.1,-,-,30000
53882/上党,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,897.3,1020.4,7.7,1.7,16,30000,0.0,-,41,2.0,32,2.2,22.3,16.6,-,-,30000
53882/上党,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,898.0,1020.9,6.3,1.8,19,30000,0.0,-,12,1.8,16,1.4,22.7,16.1,-,-,30000
53882/上党,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,898.9,1022.4,4.7,1.9,22,30000,0.0,-,45,1.9,42,1.4,20.5,14.7,-,-,30000
53882/上党,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,900.1,1024.7,0.8,1.9,30,30000,0.0,-,61,1.8,25,1.8,14.1,10.5,-,-,30000
53882/上党,小时数据,2025-01-01 10,2025-01-01 10:00:40,000,900.0,1025.0,-1.6,2.0,36,30000,0.0,-,308,0.7,315,1.0,7.5,8.2,-,-,30000
53882/上党,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,899.2,1024.4,-3.7,1.7,37,30000,0.0,-,356,1.0,345,1.1,-2.0,4.3,-,-,30000
53882/上党,小时数据,2025-01-01 08,2025-01-01 08:12:25,CCA,898.4,1023.8,-4.9,1.7,41,30000,0.0,-,65,0.9,95,0.9,-8.8,-6.8,0,-,30000
53882/上党,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,898.2,1023.1,-4.6,1.7,39,30000,0.0,-,10,2.2,2,2.1,-8.6,-7.0,-,-,30000
53882/上党,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,897.6,1022.1,-4.3,1.7,39,30000,0.0,-,34,2.8,36,2.8,-8.0,-6.5,-,-,30000
53882/上党,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,897.5,1021.4,-3.7,1.7,36,30000,0.0,-,13,1.5,1,1.9,-8.2,-6.7,-,-,30000
53882/上党,小时数据,2025-01-01 04,2025-01-01 04:00:38,000,897.7,1021.2,-3.0,1.7,34,30000,0.0,-,316,1.5,334,1.4,-8.5,-8.8,-,-,30000
53882/上党,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,898.0,1021.1,-1.4,1.7,30,30000,0.0,-,132,2.8,138,2.9,-6.3,-3.8,-,-,30000
53882/上党,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,898.2,1021.4,-1.7,1.7,31,30000,0.0,-,111,2.1,107,2.0,-7.0,-4.5,-,-,30000
53882/上党,小时数据,2025-01-01 01,2025-01-01 01:00:41,000,898.0,1020.8,0.9,1.6,25,30000,0.0,-,152,1.9,159,2.1,-5.7,-2.2,-,-,30000
53882/上党,小时数据,2025-01-01 00,2025-01-01 00:00:41,000,898.0,1021.3,0.3,1.6,26,30000,0.0,-,131,3.0,120,2.6,-5.7,-2.5,-,-,30000
53882/上党,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,898.1,1021.8,0.5,1.6,26,30000,0.0,-,147,4.0,146,4.0,-4.5,-1.4,-,-,30000
53882/上党,小时数据,2024-12-31 22,2024-12-31 22:00:41,000,898.3,1022.5,1.1,1.6,24,30000,0.0,-,172,4.0,168,3.6,-4.4,-0.8,-,-,30000
53882/上党,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,898.2,1023.0,1.8,1.7,24,30000,0.0,-,161,4.4,164,4.5,-3.7,-0.1,-,-,30000
53882/上党,小时数据,2024-12-31 20,2024-12-31 20:00:41,000,898.3,1023.8,1.6,1.6,24,30000,0.0,-,139,4.0,147,4.0,-3.4,-0.4,-,-,30000
53882/上党,小时数据,2024-12-31 19,2024-12-31 19:00:37,000,897.7,1022.6,3.2,1.6,21,30000,0.0,-,185,5.9,180,5.9,-2.0,1.6,-,-,30000
53882/上党,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,897.7,1022.6,4.4,1.7,20,30000,0.0,-,175,5.4,175,4.6,-1.3,2.5,-,-,30000
53882/上党,小时数据,2024-12-31 17,2024-12-31 17:00:41,000,897.5,1021.8,6.3,1.5,16,30000,0.0,-,197,4.0,198,4.0,2.4,5.8,-,-,30000
53882/上党,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,897.7,1021.3,7.3,1.5,15,30000,0.0,-,216,5.4,207,5.2,10.0,10.8,-,-,30000
