区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53767/中阳,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,882.1,1025.5,1.2,1.7,26,26139,0.0,-,293,3.3,292,4.1,11.1,8.1,-,-,24400
53767/中阳,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,882.4,1025.5,1.5,1.9,28,14149,0.0,-,289,2.6,291,2.7,12.4,9.1,-,-,22600
53767/中阳,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,882.9,1026.0,1.4,2.0,30,19347,0.0,-,307,2.1,339,2.8,11.8,8.2,-,-,14300
53767/中阳,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,883.6,1027.2,-1.4,2.3,41,23759,0.0,-,340,1.6,351,1.9,5.1,4.5,-,-,17800
53767/中阳,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,883.4,1027.7,-4.7,2.0,47,30000,0.0,-,9,1.9,7,1.4,-1.0,0.1,-,-,19300
53767/中阳,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,882.7,1027.4,-6.8,2.0,54,30000,0.0,-,251,0.3,235,0.4,-9.1,-1.8,-,-,26300
53767/中阳,小时数据,2025-01-01 08,2025-01-01 08:03:04,CCA,882.0,1027.0,-9.3,1.9,62,29254,0.0,-,249,1.2,214,1.1,-12.7,-12.0,0,-,29800
53767/中阳,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,881.5,1026.2,-9.4,1.9,62,30000,0.0,-,139,1.2,155,1.1,-12.8,-11.6,-,-,30000
53767/中阳,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,880.7,1024.0,-9.0,1.9,60,30000,0.0,-,143,2.0,147,2.2,-11.7,-10.3,-,-,29700
53767/中阳,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,880.6,1023.2,-8.4,1.8,57,27794,0.0,-,155,1.6,155,2.0,-11.8,-9.9,-,-,26300
