区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53659/临县,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,888.9,1028.0,0.6,1.6,25,29492,0.0,-,14,2.3,15,1.9,-2.8,-1.5,-,-,25300
53659/临县,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,888.1,1026.5,3.0,1.5,20,28432,0.0,-,357,2.5,344,2.0,6.6,10.1,-,-,19500
53659/临县,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,887.7,1025.6,3.9,1.8,22,24354,0.0,-,234,0.7,94,0.8,12.9,14.5,-,-,18600
53659/临县,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,887.6,1026.0,2.4,1.8,25,16508,0.0,-,331,2.4,320,1.3,15.5,15.5,-,-,17900
53659/临县,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,887.8,1026.4,1.4,1.8,26,19233,0.0,-,293,0.8,321,1.3,16.6,15.7,-,-,18300
53659/临县,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,888.6,1027.7,-0.8,2.0,34,13099,0.0,-,228,0.8,269,0.9,11.5,11.5,-,-,13900
53659/临县,小时数据,2025-01-01 11,2025-01-01 11:00:39,000,889.1,1028.8,-2.7,1.9,37,18680,0.0,-,216,0.8,225,0.4,4.8,5.2,-,-,15300
53659/临县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,888.7,1028.4,-3.3,1.8,37,22079,0.0,-,190,1.0,163,0.8,1.9,4.6,-,-,19800
53659/临县,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,888.0,1027.6,-3.8,1.8,38,30000,0.0,-,132,2.1,128,1.9,-4.3,-0.5,-,-,25800
53659/临县,小时数据,2025-01-01 08,2025-01-01 08:41:13,CCA,887.2,1027.5,-7.1,1.7,46,26693,0.0,-,99,2.3,93,2.4,-11.6,-10.1,0,-,27900
53659/临县,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,886.6,1025.4,-6.2,1.7,43,29133,0.0,-,45,1.7,67,1.2,-12.3,-13.7,-,-,29200
