区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53868/临汾,小时数据,2025-01-01 17,2025-01-01 17:00:42,000,967.5,1023.0,8.7,2.8,25,11203,0.0,-,199,0.6,172,1.1,3.6,2.8,-,-,11000
53868/临汾,小时数据,2025-01-01 16,2025-01-01 16:00:41,000,966.9,1022.1,9.5,2.6,22,12043,0.0,-,232,2.3,223,2.2,13.0,13.5,-,-,11600
53868/临汾,小时数据,2025-01-01 15,2025-01-01 15:00:37,000,966.7,1021.8,9.3,2.7,23,10027,0.0,-,232,3.3,220,2.4,17.2,19.4,-,-,10200
53868/临汾,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,966.9,1022.0,8.3,2.7,25,12390,0.0,-,240,1.6,220,2.1,19.1,22.7,-,-,9400
53868/临汾,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,967.7,1023.1,6.4,2.7,28,9655,0.0,-,218,2.2,244,2.4,17.8,21.4,-,-,9400
53868/临汾,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,969.0,1024.5,4.9,2.6,30,11787,0.0,-,271,2.6,232,1.5,17.3,20.4,-,-,11700
53868/临汾,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,970.2,1026.0,2.6,2.9,39,11030,0.0,-,38,0.6,256,0.9,14.7,16.5,-,-,10000
53868/临汾,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,970.0,1026.1,0.5,2.8,44,13502,0.0,-,107,0.9,146,0.9,9.2,9.7,-,-,11700
53868/临汾,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,969.2,1025.4,-2.7,3.0,59,9634,0.0,-,144,0.8,196,0.3,-2.1,-2.3,-,-,10000
53868/临汾,小时数据,2025-01-01 08,2025-01-01 08:02:49,CCA,968.1,1024.7,-6.0,2.3,60,13567,0.0,-,PPC,0.0,154,0.5,-10.5,-14.3,0,-,13500
53868/临汾,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,967.3,1023.6,-5.3,2.4,59,12989,0.0,-,147,1.4,149,1.3,-10.8,-14.4,-,-,12700
