区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53958/临猗,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,969.4,1022.8,11.5,1.9,14,30000,0.0,-,341,3.9,332,3.7,15.9,14.9,-,-,26100
53958/临猗,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,969.2,1022.5,11.1,2.2,17,28487,0.0,-,312,2.7,246,3.0,19.8,17.6,-,-,14700
53958/临猗,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,969.4,1022.8,9.8,2.9,24,13722,0.0,-,217,3.9,233,3.3,20.1,16.3,-,-,11300
53958/临猗,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,970.2,1023.8,8.8,2.7,24,9516,0.0,-,223,3.7,215,3.6,19.4,16.5,-,-,12500
53958/临猗,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,971.0,1024.7,7.1,2.8,28,11411,0.0,-,219,3.1,214,3.0,17.7,14.7,-,-,11400
53958/临猗,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,972.2,1026.2,4.2,3.0,36,8035,0.0,-,214,2.5,201,2.1,13.9,12.2,-,-,7000
53958/临猗,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,972.3,1026.4,2.0,3.1,44,6179,0.0,-,107,1.5,110,1.4,7.7,7.1,-,-,5700
53958/临猗,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,971.2,1025.6,-1.6,2.7,50,9420,0.0,-,344,1.5,349,1.8,0.0,3.3,-,-,5400
53958/临猗,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,970.1,1024.7,-3.6,2.6,55,8714,0.0,-,356,2.4,357,2.8,-6.2,-5.0,-,-,8500
53958/临猗,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,969.2,1023.7,-4.5,2.5,58,9171,0.0,-,347,2.5,351,3.0,-7.6,-7.6,-,-,8200
53958/临猗,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,968.5,1022.7,-5.1,2.6,61,7197,0.0,-,13,1.7,8,1.6,-7.8,-8.7,-,-,7100
53958/临猗,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,968.4,1022.1,-4.4,2.5,57,7239,0.0,-,358,2.3,354,2.1,-7.3,-8.1,-,-,7400
