区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53953/乡宁,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,874.0,1023.2,4.6,1.7,20,30000,0.0,-,320,6.7,331,5.9,8.2,5.9,-,-,30000
53953/乡宁,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,873.6,1022.6,5.2,1.6,18,30000,0.0,-,327,5.3,326,5.4,11.2,9.3,-,-,30000
53953/乡宁,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,873.5,1022.4,5.4,1.4,16,30000,0.0,-,305,7.8,306,7.1,13.2,10.6,-,-,30000
53953/乡宁,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,873.8,1022.7,5.3,2.0,22,30000,0.0,-,257,3.8,264,3.8,16.3,11.9,-,-,24200
53953/乡宁,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,874.4,1023.7,4.1,2.0,25,19884,0.0,-,229,1.4,236,1.5,16.9,12.7,-,-,22200
53953/乡宁,小时数据,2025-01-01 11,2025-01-01 11:00:39,000,875.1,1025.0,2.1,2.1,29,19900,0.0,-,305,0.6,305,1.0,14.5,11.2,-,-,23700
53953/乡宁,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,874.9,1025.1,1.5,1.9,28,30000,0.0,-,17,1.4,324,1.1,10.1,12.2,-,-,26900
53953/乡宁,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,874.1,1024.0,0.5,1.8,29,23373,0.0,-,341,3.2,343,2.9,0.7,5.3,-,-,28100
53953/乡宁,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,873.3,1023.5,-0.3,1.7,29,30000,0.0,-,287,1.1,304,0.9,-9.0,-6.2,-,-,30000
53953/乡宁,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,872.5,1022.2,0.8,1.7,27,30000,0.0,-,217,1.2,211,1.3,-8.5,-3.9,-,-,30000
53953/乡宁,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,872.1,1021.6,1.0,1.7,26,30000,0.0,-,281,2.6,283,2.3,-6.2,-1.6,-,-,30000
53953/乡宁,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,871.6,1020.0,2.8,1.7,23,30000,0.0,-,196,1.9,190,1.9,-6.8,-1.1,-,-,30000
53953/乡宁,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,871.8,1019.6,2.6,1.8,24,30000,0.0,-,257,1.7,268,1.6,-7.5,-1.7,-,-,30000
53953/乡宁,小时数据,2025-01-01 03,2025-01-01 03:00:38,000,872.0,1019.7,2.6,1.8,24,30000,0.0,-,288,1.3,292,1.2,-8.9,-5.6,-,-,30000
53953/乡宁,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,871.8,1019.7,2.6,1.6,22,30000,0.0,-,57,1.2,53,1.2,-7.8,-2.9,-,-,30000
53953/乡宁,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,871.7,1019.7,3.0,1.6,21,30000,0.0,-,33,0.6,15,0.5,-8.9,-7.8,-,-,30000
53953/乡宁,小时数据,2025-01-01 00,2025-01-01 00:00:48,000,871.7,1020.0,3.2,1.6,21,30000,0.0,-,43,0.9,57,0.9,-8.1,-7.5,-,-,30000
53953/乡宁,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,871.7,1020.1,3.6,1.6,20,30000,0.0,-,94,1.5,86,1.5,-5.9,-0.8,-,-,30000
53953/乡宁,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,871.7,1020.9,3.0,1.7,22,30000,0.0,-,59,1.2,60,1.4,-5.9,-1.6,-,-,30000
53953/乡宁,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,871.9,1021.3,4.4,1.5,18,30000,0.0,-,238,1.6,236,1.5,-6.5,-2.3,-,-,30000
53953/乡宁,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,871.8,1021.8,3.6,1.8,23,22497,0.0,-,110,1.8,110,1.8,-4.8,-0.6,-,-,26000
53953/乡宁,小时数据,2024-12-31 19,2024-12-31 19:00:41,000,871.8,1021.9,3.8,1.7,21,21558,0.0,-,132,1.2,144,1.3,-7.0,-5.1,-,-,26700
53953/乡宁,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,871.4,1021.5,4.1,1.8,22,24247,0.0,-,36,0.9,38,0.9,-6.2,-5.3,-,-,22600
53953/乡宁,小时数据,2024-12-31 17,2024-12-31 17:00:41,000,871.3,1020.7,5.7,1.7,19,29640,0.0,-,248,1.7,253,1.9,2.7,5.8,-,-,18800
53953/乡宁,小时数据,2024-12-31 16,2024-12-31 16:00:45,000,871.5,1020.3,8.2,1.8,17,25865,0.0,-,274,3.0,279,2.6,12.5,10.2,-,-,27700
53953/乡宁,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,871.8,1020.7,8.6,1.8,16,30000,0.0,-,270,2.1,262,2.4,17.4,15.2,-,-,28900
53953/乡宁,小时数据,2024-12-31 14,2024-12-31 14:00:38,000,872.5,1022.0,7.9,1.8,17,28940,0.0,-,206,1.4,223,1.8,19.4,16.0,-,-,30000
53953/乡宁,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,873.5,1023.2,7.2,2.0,20,22792,0.0,-,273,1.3,244,2.1,19.3,15.9,-,-,22900
