区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53488/云州,小时数据,2025-01-12 18,2025-01-12 18:00:43,000,894.8,1029.9,-10.1,1.2,42,20348,0.0,-,357,1.3,3,0.9,-8.8,-14.5,-,-,12000
53488/云州,小时数据,2025-01-12 17,2025-01-12 17:00:45,000,894.9,1029.3,-5.4,1.4,34,30000,0.0,-,232,2.8,234,3.3,-5.6,-6.9,-,-,30000
53488/云州,小时数据,2025-01-12 16,2025-01-12 16:00:50,000,895.5,1029.6,-3.9,1.6,35,30000,0.0,-,259,4.0,238,5.2,-2.5,0.0,-,-,30000
53488/云州,小时数据,2025-01-12 15,2025-01-12 15:00:46,000,895.9,1030.3,-5.0,1.5,36,30000,0.0,-,236,5.9,241,5.2,-2.0,-2.3,-,-,30000
53488/云州,小时数据,2025-01-12 14,2025-01-12 14:00:45,000,896.7,1030.9,-4.8,1.5,36,30000,0.0,-,260,4.7,244,5.4,0.2,1.4,-,-,30000
53488/云州,小时数据,2025-01-12 13,2025-01-12 13:00:42,000,897.8,1032.5,-6.0,1.6,40,30000,0.0,-,229,5.7,252,5.0,-0.5,2.4,-,-,29900
53488/云州,小时数据,2025-01-12 12,2025-01-12 12:00:47,000,899.3,1034.2,-7.8,1.7,49,27766,0.0,-,243,4.3,239,4.5,-2.4,0.7,-,-,27700
53488/云州,小时数据,2025-01-12 11,2025-01-12 11:00:47,000,900.6,1035.5,-9.5,1.8,61,18790,0.0,-,232,3.0,238,3.2,-5.8,-0.4,-,-,13400
53488/云州,小时数据,2025-01-12 10,2025-01-12 10:00:47,000,901.1,1036.5,-12.1,1.7,71,13922,0.0,-,239,3.1,235,2.5,-9.7,-3.6,-,-,10900
53488/云州,小时数据,2025-01-12 09,2025-01-12 09:00:43,000,901.1,1037.3,-16.3,1.5,85,20499,0.0,-,141,1.3,117,0.5,-14.8,-11.0,-,-,20200
53488/云州,小时数据,2025-01-12 08,2025-01-12 08:26:18,CCA,900.8,1037.8,-20.8,0.9,79,23345,0.0,-,87,1.4,32,1.5,-16.5,-22.6,0,-,18800
53488/云州,小时数据,2025-01-12 07,2025-01-12 07:00:45,000,900.8,1037.4,-19.9,1.0,78,27401,0.0,-,250,0.3,PPC,0.2,-16.7,-24.7,-,-,27200
53488/云州,小时数据,2025-01-12 06,2025-01-12 06:00:44,000,900.6,1036.0,-19.7,1.0,78,26133,0.0,-,110,0.5,80,1.2,-16.4,-23.6,-,-,25000
53488/云州,小时数据,2025-01-12 05,2025-01-12 05:00:44,000,901.0,1036.8,-21.8,0.9,83,21687,0.0,-,PPC,0.2,295,1.1,-16.5,-25.6,-,-,21800
53488/云州,小时数据,2025-01-12 04,2025-01-12 04:00:47,000,901.1,1036.1,-21.8,0.8,77,30000,0.0,-,PPC,0.0,90,0.3,-16.1,-25.0,-,-,30000
53488/云州,小时数据,2025-01-12 03,2025-01-12 03:00:44,000,901.3,1036.2,-21.5,0.8,77,30000,0.0,-,166,0.4,145,0.4,-15.7,-24.2,-,-,30000
53488/云州,小时数据,2025-01-12 02,2025-01-12 02:00:46,000,901.4,1036.1,-20.6,1.0,82,30000,0.0,-,332,1.3,332,1.4,-15.3,-24.7,-,-,29000
53488/云州,小时数据,2025-01-12 01,2025-01-12 01:00:39,000,901.6,1036.2,-20.8,0.9,77,25217,0.0,-,353,0.3,341,0.5,-14.7,-23.7,-,-,25100
53488/云州,小时数据,2025-01-12 00,2025-01-12 00:01:00,000,901.7,1035.9,-18.8,1.1,79,24119,0.0,-,348,0.6,21,0.8,-14.2,-22.0,-,-,23700
53488/云州,小时数据,2025-01-11 23,2025-01-11 23:00:44,000,901.5,1035.6,-16.3,1.4,79,20156,0.0,-,51,1.3,36,1.0,-13.7,-20.9,-,-,19300
53488/云州,小时数据,2025-01-11 22,2025-01-11 22:00:45,000,901.1,1035.4,-15.3,1.4,77,15596,0.0,-,259,1.4,241,1.8,-13.0,-22.2,-,-,15400
53488/云州,小时数据,2025-01-11 21,2025-01-11 21:00:41,000,900.7,1036.4,-14.1,1.6,78,22045,0.0,-,352,2.2,351,2.3,-12.1,-19.7,-,-,17700
53488/云州,小时数据,2025-01-11 20,2025-01-11 21:36:50,CCA,900.4,1035.4,-12.7,1.9,84,13505,0.0,-,8,2.4,3,2.3,-11.1,-17.8,0,-,12700
53488/云州,小时数据,2025-01-11 19,2025-01-11 19:00:52,000,899.8,1033.9,-12.1,1.9,77,13740,0.0,-,327,1.3,327,1.0,-9.9,-18.1,-,-,13900
53488/云州,小时数据,2025-01-11 18,2025-01-11 18:00:42,000,899.4,1032.6,-8.2,2.5,76,17174,0.0,-,326,3.8,328,2.8,-8.0,-12.3,-,-,15900
53488/云州,小时数据,2025-01-11 17,2025-01-11 17:00:46,000,899.0,1032.7,-7.0,2.6,71,17929,0.1,-,324,2.8,305,1.7,-6.0,-10.4,-,-,19200
53488/云州,小时数据,2025-01-11 16,2025-01-11 16:00:46,000,898.6,1031.8,-4.3,2.3,51,19388,0.0,-,309,5.2,307,5.1,-3.1,-0.3,-,-,20400
53488/云州,小时数据,2025-01-11 15,2025-01-11 15:00:46,000,898.3,1031.1,-4.1,2.7,60,18258,0.0,-,309,3.2,306,3.7,-1.5,1.5,-,-,16100
53488/云州,小时数据,2025-01-11 14,2025-01-11 14:00:45,000,898.5,1030.9,-4.0,2.5,56,18172,0.0,-,213,5.2,215,4.8,0.5,-1.6,-,-,15900
53488/云州,小时数据,2025-01-11 13,2025-01-11 13:00:47,000,899.2,1031.7,-3.6,2.0,43,22630,0.0,-,277,5.7,278,5.8,-0.9,0.0,-,-,16900
53488/云州,小时数据,2025-01-11 12,2025-01-11 12:00:45,000,900.2,1033.2,-4.0,2.2,49,15272,0.0,-,242,4.4,257,3.6,-0.7,3.6,-,-,13000
53488/云州,小时数据,2025-01-11 11,2025-01-11 11:00:46,000,901.6,1034.9,-6.2,2.4,62,10583,0.0,-,292,2.4,274,2.4,-4.3,3.6,-,-,8100
53488/云州,小时数据,2025-01-11 10,2025-01-11 10:00:42,000,902.1,1036.0,-8.3,2.3,69,10339,0.0,-,254,0.8,247,1.2,-7.9,0.5,-,-,9500
53488/云州,小时数据,2025-01-11 09,2025-01-11 09:00:47,000,902.5,1039.8,-14.5,1.7,86,7459,0.0,-,PPC,0.2,9,0.4,-11.9,-12.7,-,-,7400
53488/云州,小时数据,2025-01-11 08,2025-01-11 08:03:09,CCA,902.6,1039.4,-13.8,1.8,83,6475,0.0,-,289,0.7,299,0.7,-12.2,-18.0,0,-,6600
53488/云州,小时数据,2025-01-11 07,2025-01-11 07:00:47,000,902.8,1038.6,-11.5,2.2,86,9747,0.0,-,355,1.6,353,1.1,-10.8,-13.7,-,-,4300
53488/云州,小时数据,2025-01-11 06,2025-01-11 06:00:46,000,902.6,1037.3,-12.2,1.9,81,2630,0.0,-,308,0.9,292,1.2,-10.9,-12.2,-,-,3600
53488/云州,小时数据,2025-01-11 05,2025-01-11 05:00:46,000,903.0,1037.0,-15.4,1.4,76,17225,0.0,-,293,1.1,314,1.2,-12.3,-16.1,-,-,18100
53488/云州,小时数据,2025-01-11 04,2025-01-11 04:00:46,000,903.7,1037.5,-16.4,1.3,76,24133,0.0,-,17,1.4,20,1.3,-12.9,-17.5,-,-,22100
53488/云州,小时数据,2025-01-11 03,2025-01-11 03:00:44,000,904.6,1038.2,-15.4,1.2,66,24901,0.0,-,99,0.9,94,1.0,-12.6,-18.2,-,-,24200
53488/云州,小时数据,2025-01-11 02,2025-01-11 02:00:48,000,905.1,1038.5,-13.7,1.4,64,25406,0.0,-,88,1.5,84,1.4,-11.7,-15.8,-,-,22300
53488/云州,小时数据,2025-01-11 01,2025-01-11 01:00:41,000,905.7,1039.5,-14.1,1.3,62,20081,0.0,-,28,1.2,40,1.1,-12.1,-15.5,-,-,16300
53488/云州,小时数据,2025-01-11 00,2025-01-11 00:01:00,000,906.7,1041.3,-15.0,1.2,63,14485,0.0,-,355,1.1,5,1.2,-12.4,-16.6,-,-,12500
53488/云州,小时数据,2025-01-10 23,2025-01-10 23:00:46,000,907.3,1042.1,-13.4,1.2,57,30000,0.0,-,PPC,0.0,146,0.3,-12.7,-17.2,-,-,30000
53488/云州,小时数据,2025-01-10 22,2025-01-10 22:00:48,000,908.0,1043.9,-13.2,1.4,61,30000,0.0,-,335,3.5,335,3.2,-13.3,-16.0,-,-,30000
53488/云州,小时数据,2025-01-10 21,2025-01-10 21:00:45,000,907.9,1047.2,-19.1,0.9,64,29715,0.0,-,319,1.8,317,1.7,-13.5,-20.9,-,-,26800
53488/云州,小时数据,2025-01-10 20,2025-01-10 20:00:48,000,907.7,1048.0,-17.9,0.9,57,18183,0.0,-,356,1.3,1,1.4,-12.9,-21.2,-,-,16700
53488/云州,小时数据,2025-01-10 19,2025-01-10 19:00:47,000,907.4,1046.7,-16.4,0.9,52,17329,0.0,-,PPC,0.0,PPC,0.0,-11.8,-20.3,-,-,16100
53488/云州,小时数据,2025-01-10 18,2025-01-10 18:00:45,000,906.9,1044.5,-11.9,1.1,44,17414,0.0,-,274,1.2,315,1.1,-10.1,-18.3,-,-,18500
53488/云州,小时数据,2025-01-10 17,2025-01-10 17:00:46,000,906.6,1042.6,-5.9,1.3,32,20086,0.0,-,233,2.2,228,2.3,-6.4,-8.2,-,-,17900
53488/云州,小时数据,2025-01-10 16,2025-01-10 16:00:44,000,906.7,1041.7,-3.6,1.3,28,30000,0.0,-,268,2.4,258,2.5,-2.9,0.7,-,-,30000
53488/云州,小时数据,2025-01-10 15,2025-01-10 15:00:44,000,906.7,1042.2,-3.7,1.3,28,30000,0.0,-,268,4.8,286,4.6,-0.9,3.3,-,-,30000
53488/云州,小时数据,2025-01-10 14,2025-01-10 14:00:47,000,907.1,1043.1,-4.1,1.4,30,30000,0.0,-,277,6.3,284,6.3,-0.2,3.4,-,-,30000
53488/云州,小时数据,2025-01-10 13,2025-01-10 13:00:45,000,907.6,1043.5,-4.9,1.1,27,30000,0.0,-,267,5.6,253,5.5,-0.6,3.1,-,-,30000
53488/云州,小时数据,2025-01-10 12,2025-01-10 12:00:44,000,908.5,1045.1,-6.4,1.1,28,28529,0.0,-,221,4.0,233,4.1,-1.8,2.8,-,-,21600
53488/云州,小时数据,2025-01-10 11,2025-01-10 11:00:43,000,909.1,1045.2,-8.5,1.1,34,15551,0.0,-,233,3.7,238,3.4,-4.9,0.1,-,-,14700
53488/云州,小时数据,2025-01-10 10,2025-01-10 10:00:44,000,909.4,1046.8,-12.5,1.0,44,11080,0.0,-,201,1.3,211,1.5,-9.6,-2.9,-,-,9100
53488/云州,小时数据,2025-01-10 09,2025-01-10 09:00:46,000,909.2,1048.5,-18.6,1.0,70,30000,0.0,-,209,0.3,167,0.5,-15.2,-9.6,-,-,30000
53488/云州,小时数据,2025-01-10 08,2025-01-10 08:51:26,CCA,908.5,1049.4,-23.3,0.7,74,30000,0.0,-,37,1.2,27,1.3,-17.3,-25.1,0,-,30000
53488/云州,小时数据,2025-01-10 07,2025-01-10 07:00:45,000,908.4,1048.3,-21.5,0.8,71,30000,0.0,-,101,1.5,91,2.0,-16.9,-25.0,-,-,30000
53488/云州,小时数据,2025-01-10 06,2025-01-10 06:00:42,000,908.2,1046.5,-20.3,0.8,68,28126,0.0,-,62,1.2,76,1.4,-16.3,-24.4,-,-,27100
53488/云州,小时数据,2025-01-10 05,2025-01-10 05:00:43,000,908.1,1044.8,-20.7,0.8,69,21973,0.0,-,52,0.7,96,0.6,-15.8,-22.7,-,-,22800
53488/云州,小时数据,2025-01-10 04,2025-01-10 04:00:43,000,908.3,1044.3,-19.2,0.9,65,22345,0.0,-,125,0.5,90,1.3,-15.7,-22.0,-,-,22600
