区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53589/五台山中台,小时数据,2025-01-01 17,2025-01-01 17:01:22,0,711.2,1029.9,-14.3,1.3,62,-,0.0,-,357,9.0,355,9.0,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 16,2025-01-01 16:01:25,0,710.9,1027.7,-12.2,1.3,54,-,0.0,-,0,10.4,355,9.7,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 15,2025-01-01 15:01:21,0,710.7,1027.7,-12.4,1.3,54,-,0.0,-,346,8.3,346,8.5,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 14,2025-01-01 14:01:24,0,710.7,1027.5,-12.0,1.3,55,-,0.0,-,335,8.2,337,8.2,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 13,2025-01-01 13:01:21,0,710.8,1026.2,-11.6,1.3,50,-,0.0,-,321,8.3,326,8.7,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 12,2025-01-01 12:01:24,0,711.2,1026.7,-11.6,1.3,51,-,0.0,-,322,7.9,321,8.0,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 11,2025-01-01 11:01:23,0,711.7,1026.3,-11.5,1.2,46,-,0.0,-,314,8.8,314,8.8,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 10,2025-01-01 10:01:23,0,711.7,1026.8,-11.6,1.1,44,-,0.0,-,310,10.8,312,10.3,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 09,2025-01-01 09:01:25,0,711.4,1026.8,-11.9,1.1,45,-,0.0,-,310,10.2,311,10.2,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 08,2025-01-01 08:01:22,0,710.9,1027.3,-12.4,1.1,47,-,0.0,-,318,9.4,314,9.7,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 07,2025-01-01 07:01:24,0,710.8,1027.8,-12.7,1.1,48,-,0.0,-,313,10.7,315,10.7,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 06,2025-01-01 06:01:24,0,710.7,1028.1,-13.1,1.0,47,-,0.0,-,320,9.3,323,9.4,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 05,2025-01-01 05:01:24,0,710.4,1027.0,-12.7,0.9,41,-,0.0,-,314,10.1,311,9.9,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 04,2025-01-01 04:01:24,0,710.8,1026.7,-12.4,0.9,39,-,0.0,-,326,10.0,323,9.1,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 03,2025-01-01 03:01:23,0,711.0,1026.7,-12.6,0.9,40,-,0.0,-,317,9.9,318,9.3,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 02,2025-01-01 02:01:23,0,710.9,1026.8,-12.7,1.0,43,-,0.0,-,320,8.3,320,8.5,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 01,2025-01-01 01:01:22,0,710.8,1025.8,-11.1,0.8,31,-,0.0,-,321,9.0,320,9.3,-,-,-,-,-
53589/五台山中台,小时数据,2025-01-01 00,2025-01-01 00:01:24,0,711.0,1026.5,-10.9,0.8,31,-,0.0,-,322,8.9,322,9.0,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 23,2024-12-31 23:01:24,0,711.0,1026.1,-9.4,0.7,24,-,0.0,-,332,10.5,331,10.7,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 22,2024-12-31 22:01:21,0,711.1,1027.7,-10.1,0.8,27,-,0.0,-,331,10.9,330,11.1,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 21,2024-12-31 21:01:23,0,710.9,1028.2,-10.3,0.8,29,-,0.0,-,326,11.2,327,11.1,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 20,2024-12-31 20:01:23,0,710.7,1028.9,-11.6,0.9,37,-,0.0,-,331,10.4,331,11.1,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 19,2024-12-31 19:01:20,0,710.6,1029.2,-12.2,1.1,44,-,0.0,-,323,11.6,322,12.1,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 18,2024-12-31 18:01:16,0,710.0,1028.6,-12.4,1.1,47,-,0.0,-,322,13.7,325,13.5,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 17,2024-12-31 17:01:16,0,709.6,1027.8,-11.9,1.2,49,-,0.0,-,326,13.5,326,13.4,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 16,2024-12-31 16:01:16,0,709.5,1027.9,-10.9,1.2,44,-,0.0,-,322,14.3,321,13.8,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 15,2024-12-31 15:01:19,0,709.4,1027.3,-10.3,1.1,41,-,0.0,-,319,13.8,316,13.7,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 14,2024-12-31 14:01:18,0,709.4,1027.0,-10.6,1.1,42,-,0.0,-,323,15.0,324,15.7,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 13,2024-12-31 13:01:18,0,709.8,1027.3,-11.0,1.2,44,-,0.0,-,330,14.5,333,13.6,-,-,-,-,-
53589/五台山中台,小时数据,2024-12-31 12,2024-12-31 12:01:18,0,710.4,1029.3,-11.7,1.2,49,-,0.0,-,318,12.4,318,12.2,-,-,-,-,-
