区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53588/五台山,小时数据,2025-01-01 17,2025-01-01 17:00:47,000,777.1,1025.7,-7.0,1.3,37,30000,0.0,-,244,5.7,252,6.7,-7.0,-7.7,-,-,30000
53588/五台山,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,776.4,1024.1,-5.8,1.3,33,30000,0.0,-,254,8.6,252,8.0,-4.8,-4.8,-,-,30000
53588/五台山,小时数据,2025-01-01 15,2025-01-01 15:00:42,000,776.2,1022.9,-4.4,1.3,30,30000,0.0,-,262,7.3,261,7.1,-3.5,1.8,-,-,30000
53588/五台山,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,776.1,1023.1,-4.3,1.3,30,30000,0.0,-,260,7.5,257,8.5,-2.5,1.6,-,-,30000
53588/五台山,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,776.1,1023.4,-4.9,1.2,29,30000,0.0,-,252,7.8,258,8.1,-2.4,0.6,-,-,30000
53588/五台山,小时数据,2025-01-01 12,2025-01-01 12:00:45,000,776.5,1023.8,-5.1,1.2,29,30000,0.0,-,260,8.4,260,9.1,-3.5,-1.7,-,-,30000
53588/五台山,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,777.0,1024.5,-5.0,1.2,29,30000,0.0,-,255,6.4,252,7.1,-3.9,-1.3,-,-,30000
53588/五台山,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,777.0,1024.9,-5.5,1.3,31,30000,0.0,-,254,7.7,257,7.6,-5.2,-3.1,-,-,30000
53588/五台山,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,776.8,1024.7,-6.1,1.3,33,30000,0.0,-,242,6.3,253,6.7,-7.2,-6.1,-,-,30000
53588/五台山,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,776.1,1023.9,-6.1,1.2,31,30000,0.0,-,254,7.1,253,7.3,-8.7,-7.8,-,-,30000
53588/五台山,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,776.0,1023.5,-6.0,1.1,29,30000,0.0,-,250,5.9,261,6.4,-9.1,-8.4,-,-,30000
53588/五台山,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,775.8,1023.3,-6.2,1.1,28,30000,0.0,-,275,7.5,275,7.1,-9.0,-7.9,-,-,30000
53588/五台山,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,775.5,1022.7,-6.1,1.0,27,30000,0.0,-,283,7.6,272,7.7,-9.0,-8.0,-,-,30000
53588/五台山,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,775.7,1022.3,-6.0,1.0,26,30000,0.0,-,267,8.6,268,8.7,-8.4,-7.5,-,-,30000
53588/五台山,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,775.8,1022.1,-5.7,1.0,26,30000,0.0,-,273,7.6,278,8.4,-8.5,-7.3,-,-,30000
53588/五台山,小时数据,2025-01-01 02,2025-01-01 02:00:45,000,775.8,1022.7,-6.4,1.1,30,30000,0.0,-,266,6.0,270,6.5,-9.0,-8.2,-,-,30000
