区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53681/五台,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,892.5,1025.2,3.3,1.7,22,17710,0.0,-,185,1.6,170,1.3,5.7,13.7,-,-,16200
53681/五台,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,893.1,1026.5,-0.3,1.6,26,25715,0.0,-,216,1.0,178,0.9,4.8,9.7,-,-,22200
53681/五台,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,894.0,1028.5,-3.8,1.6,35,17724,0.0,-,199,0.7,196,0.6,1.7,5.1,-,-,18300
53681/五台,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,894.7,1029.8,-6.7,1.6,43,14033,0.0,-,125,0.7,146,0.9,-0.1,1.3,-,-,9600
53681/五台,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,894.9,1030.7,-10.0,1.5,54,5248,0.0,-,138,0.8,151,0.5,-5.1,-3.6,-,-,7000
53681/五台,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,894.8,1031.3,-13.2,1.4,63,6070,0.0,-,123,0.6,122,0.7,-9.9,-11.1,-,-,6200
53681/五台,小时数据,2025-01-01 08,2025-01-01 08:01:52,CCA,894.3,1030.9,-15.2,1.3,68,4729,0.0,-,271,1.4,260,1.3,-14.4,-15.4,-,-,6900
53681/五台,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,893.9,1030.1,-16.0,1.2,68,10370,0.0,-,260,0.7,275,1.0,-15.4,-17.7,-,-,7300
53681/五台,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,893.5,1028.4,-15.4,1.3,68,20602,0.0,-,230,0.7,235,1.1,-15.1,-17.3,-,-,18000
53681/五台,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,893.2,1026.9,-15.7,1.2,66,22041,0.0,-,291,1.0,278,1.5,-15.1,-17.4,-,-,17400
53681/五台,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,893.2,1025.9,-14.9,1.3,65,18321,0.0,-,198,0.6,193,0.6,-14.9,-18.4,-,-,12900
53681/五台,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,893.1,1025.7,-14.5,1.2,62,28583,0.0,-,246,0.3,252,0.6,-14.4,-18.0,-,-,16700
53681/五台,小时数据,2025-01-01 02,2025-01-01 02:00:45,000,893.0,1025.8,-13.8,1.3,62,29671,0.0,-,183,0.3,271,0.7,-13.9,-17.2,-,-,19200
53681/五台,小时数据,2025-01-01 01,2025-01-01 01:00:49,000,892.8,1025.7,-12.7,1.3,57,15387,0.0,-,252,1.2,268,1.1,-13.3,-16.4,-,-,12000
53681/五台,小时数据,2025-01-01 00,2025-01-01 00:01:03,000,892.9,1026.5,-12.6,1.3,55,11597,0.0,-,PPC,0.0,PPC,0.0,-12.9,-17.0,-,-,11400
53681/五台,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,892.5,1027.1,-11.7,1.3,51,6450,0.0,-,241,0.6,262,0.6,-12.1,-15.0,-,-,4500
53681/五台,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,892.7,1028.3,-10.9,1.3,49,10220,0.0,-,304,0.7,255,1.2,-11.5,-14.0,-,-,7500
53681/五台,小时数据,2024-12-31 21,2024-12-31 21:00:47,000,892.4,1029.0,-10.1,1.3,45,14311,0.0,-,252,0.4,262,0.8,-10.9,-14.0,-,-,7500
53681/五台,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,892.3,1029.3,-8.7,1.3,42,8845,0.0,-,302,1.2,279,1.1,-9.9,-12.8,-,-,6100
53681/五台,小时数据,2024-12-31 19,2024-12-31 19:00:41,000,892.2,1028.6,-6.9,1.3,35,11917,0.0,-,278,2.7,283,1.9,-8.5,-10.0,-,-,5700
53681/五台,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,891.6,1026.9,-2.9,1.4,29,6807,0.0,-,292,2.4,298,2.2,-6.8,-6.3,-,-,7700
53681/五台,小时数据,2024-12-31 17,2024-12-31 17:00:47,000,891.1,1024.9,1.9,1.5,22,3413,0.0,-,234,0.9,198,0.6,-4.9,-6.6,-,-,4800
53681/五台,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,891.0,1023.9,4.8,1.5,17,30000,0.0,-,120,0.7,122,1.0,-0.4,4.5,-,-,30000
53681/五台,小时数据,2024-12-31 15,2024-12-31 15:00:40,000,891.1,1023.9,4.8,1.5,17,30000,0.0,-,179,0.9,126,1.4,4.2,10.5,-,-,29400
53681/五台,小时数据,2024-12-31 14,2024-12-31 14:00:45,000,891.7,1024.9,3.1,1.4,18,30000,0.0,-,93,2.1,85,1.8,6.7,10.5,-,-,30000
53681/五台,小时数据,2024-12-31 13,2024-12-31 13:00:45,000,892.5,1025.9,1.4,1.1,17,30000,0.0,-,107,1.9,107,1.8,6.6,11.3,-,-,30000
53681/五台,小时数据,2024-12-31 12,2024-12-31 12:00:45,000,893.9,1028.1,-1.2,1.0,18,30000,0.0,-,175,0.9,168,1.0,3.9,13.3,-,-,22000
53681/五台,小时数据,2024-12-31 11,2024-12-31 11:00:45,000,895.4,1030.7,-5.9,1.1,29,24889,0.0,-,183,0.4,134,0.8,-1.1,5.8,-,-,16200
53681/五台,小时数据,2024-12-31 10,2024-12-31 10:00:47,000,896.5,1032.9,-10.2,1.1,39,9138,0.0,-,170,0.5,148,0.7,-7.7,0.7,-,-,5000
53681/五台,小时数据,2024-12-31 09,2024-12-31 09:00:48,000,896.7,1033.8,-14.9,1.1,55,6146,0.0,-,231,0.5,211,0.5,-14.3,-11.0,-,-,6400
