区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53663/五寨,小时数据,2025-01-01 17,2025-01-01 17:00:29,000,863.1,1029.8,-1.8,1.6,30,30000,0.0,-,297,2.2,294,2.2,-2.4,-3.2,-,-,28500
53663/五寨,小时数据,2025-01-01 16,2025-01-01 16:00:29,000,862.2,1028.1,0.0,1.5,25,30000,0.0,-,317,3.1,323,2.9,-0.4,4.1,-,-,30000
53663/五寨,小时数据,2025-01-01 15,2025-01-01 15:00:30,000,861.7,1026.9,0.3,1.5,24,30000,0.0,-,352,2.1,334,2.2,-0.1,5.1,-,-,28700
53663/五寨,小时数据,2025-01-01 14,2025-01-01 14:00:31,000,861.4,1026.8,0.7,1.5,23,30000,0.0,-,323,3.2,330,2.5,-0.1,8.2,-,-,30000
53663/五寨,小时数据,2025-01-01 13,2025-01-01 13:00:31,000,861.8,1027.6,-0.2,1.7,28,30000,0.0,-,50,2.0,34,1.8,-0.4,6.3,-,-,30000
53663/五寨,小时数据,2025-01-01 12,2025-01-01 12:00:31,000,862.3,1028.4,-1.3,1.7,31,30000,0.0,-,305,2.2,345,1.6,-1.7,6.3,-,-,30000
53663/五寨,小时数据,2025-01-01 11,2025-01-01 11:00:30,000,862.7,1029.0,-2.2,1.8,34,30000,0.0,-,21,2.0,26,2.0,-3.5,3.9,-,-,24900
53663/五寨,小时数据,2025-01-01 10,2025-01-01 10:00:31,000,862.0,1029.1,-4.2,1.9,42,30000,0.0,-,224,2.0,219,2.0,-7.2,-0.5,-,-,30000
53663/五寨,小时数据,2025-01-01 09,2025-01-01 09:00:31,000,861.5,1029.7,-8.4,1.8,55,13413,0.0,-,200,1.2,205,1.2,-9.8,-6.1,-,-,7800
53663/五寨,小时数据,2025-01-01 08,2025-01-01 08:00:31,000,860.9,1029.1,-9.7,1.5,50,30000,0.0,-,207,2.0,201,2.0,-12.2,-11.7,-,-,30000
53663/五寨,小时数据,2025-01-01 07,2025-01-01 07:00:32,000,860.4,1027.7,-9.6,1.4,48,30000,0.0,-,185,2.1,189,2.1,-12.4,-11.8,-,-,30000
53663/五寨,小时数据,2025-01-01 06,2025-01-01 06:00:32,000,860.1,1026.7,-9.0,1.4,46,30000,0.0,-,197,2.9,197,2.6,-12.2,-11.4,-,-,30000
53663/五寨,小时数据,2025-01-01 05,2025-01-01 05:00:31,000,859.8,1024.5,-8.8,1.4,44,30000,0.0,-,194,2.8,196,2.4,-12.0,-11.3,-,-,30000
53663/五寨,小时数据,2025-01-01 04,2025-01-01 04:00:31,000,859.7,1023.4,-8.7,1.4,43,30000,0.0,-,201,2.2,198,2.3,-11.7,-11.5,-,-,30000
53663/五寨,小时数据,2025-01-01 03,2025-01-01 03:00:58,000,859.8,1023.1,-7.2,1.4,38,30000,0.0,-,191,2.5,192,2.3,-11.3,-9.9,-,-,30000
53663/五寨,小时数据,2025-01-01 02,2025-01-01 02:00:32,000,859.4,1023.2,-8.2,1.4,42,30000,0.0,-,193,2.9,201,2.7,-11.3,-10.8,-,-,30000
53663/五寨,小时数据,2025-01-01 01,2025-01-01 01:00:32,000,859.4,1023.3,-8.3,1.4,43,30000,0.0,-,206,3.3,203,2.9,-11.1,-10.1,-,-,30000
53663/五寨,小时数据,2025-01-01 00,2025-01-01 00:00:31,000,859.7,1024.2,-7.9,1.4,42,30000,0.0,-,178,1.8,166,1.9,-10.7,-10.1,-,-,30000
53663/五寨,小时数据,2024-12-31 23,2024-12-31 23:00:31,000,859.5,1024.3,-7.3,1.4,40,30000,0.0,-,200,3.4,201,3.4,-10.2,-9.4,-,-,30000
53663/五寨,小时数据,2024-12-31 22,2024-12-31 22:00:27,000,859.2,1024.9,-8.0,1.4,42,26962,0.0,-,202,2.3,205,2.4,-9.8,-11.0,-,-,30000
53663/五寨,小时数据,2024-12-31 21,2024-12-31 21:00:30,000,859.2,1027.0,-7.3,1.5,42,30000,0.0,-,213,2.6,210,2.6,-9.2,-10.7,-,-,29500
53663/五寨,小时数据,2024-12-31 20,2024-12-31 20:00:31,000,859.4,1028.0,-6.4,1.6,41,30000,0.0,-,200,2.6,203,2.6,-8.5,-9.1,-,-,27400
53663/五寨,小时数据,2024-12-31 19,2024-12-31 19:00:31,000,859.3,1027.1,-4.1,1.6,35,20419,0.0,-,225,1.6,192,0.9,-7.4,-9.3,-,-,12900
53663/五寨,小时数据,2024-12-31 18,2024-12-31 18:00:30,000,858.9,1026.1,-2.9,1.4,29,22877,0.0,-,227,1.3,218,1.8,-5.4,-9.4,-,-,25000
53663/五寨,小时数据,2024-12-31 17,2024-12-31 17:00:30,000,858.7,1024.3,2.5,1.2,17,30000,0.0,-,240,3.4,239,3.4,-1.8,0.9,-,-,30000
53663/五寨,小时数据,2024-12-31 16,2024-12-31 16:00:31,000,858.4,1023.3,5.3,1.2,14,30000,0.0,-,242,2.4,244,3.2,-0.3,9.2,-,-,30000
53663/五寨,小时数据,2024-12-31 15,2024-12-31 15:00:31,000,858.5,1023.4,5.1,1.3,15,30000,0.0,-,228,4.3,231,3.4,-0.2,10.7,-,-,30000
53663/五寨,小时数据,2024-12-31 14,2024-12-31 14:00:31,000,858.8,1024.1,4.5,1.4,17,30000,0.0,-,221,4.5,221,4.7,-0.5,10.2,-,-,30000
53663/五寨,小时数据,2024-12-31 13,2024-12-31 13:00:28,000,859.1,1024.7,4.2,1.5,18,30000,0.0,-,209,5.0,204,4.7,-1.2,10.0,-,-,30000
53663/五寨,小时数据,2024-12-31 12,2024-12-31 12:00:30,000,860.3,1026.7,2.2,1.6,22,30000,0.0,-,228,7.5,231,7.0,-2.4,7.1,-,-,30000
53663/五寨,小时数据,2024-12-31 11,2024-12-31 11:00:31,000,861.2,1028.2,0.6,1.7,26,30000,0.0,-,229,7.1,222,7.0,-4.9,5.1,-,-,30000
53663/五寨,小时数据,2024-12-31 10,2024-12-31 10:00:28,000,861.6,1029.4,-1.7,1.8,34,30000,0.0,-,221,5.6,219,5.1,-8.7,2.8,-,-,30000
53663/五寨,小时数据,2024-12-31 09,2024-12-31 09:00:30,000,861.5,1031.8,-8.8,1.6,50,30000,0.0,-,217,4.6,216,5.1,-12.7,-7.5,-,-,30000
53663/五寨,小时数据,2024-12-31 08,2024-12-31 08:00:28,000,861.7,1032.8,-11.8,1.4,55,30000,0.0,-,210,3.4,207,3.5,-13.8,-13.4,-,-,30000
53663/五寨,小时数据,2024-12-31 07,2024-12-31 07:00:28,000,861.6,1032.6,-11.8,1.3,53,30000,0.0,-,205,3.9,201,3.9,-13.8,-13.5,-,-,30000
53663/五寨,小时数据,2024-12-31 06,2024-12-31 06:00:30,000,861.5,1031.2,-11.6,1.3,52,30000,0.0,-,211,1.9,206,1.8,-13.9,-15.1,-,-,30000
53663/五寨,小时数据,2024-12-31 05,2024-12-31 05:00:27,000,861.8,1030.4,-12.3,1.2,52,30000,0.0,-,199,1.1,212,1.6,-13.9,-16.2,-,-,30000
53663/五寨,小时数据,2024-12-31 04,2024-12-31 04:00:30,000,862.7,1031.3,-13.2,1.2,52,30000,0.0,-,216,3.1,216,2.9,-13.7,-16.1,-,-,30000
