区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53860/交口,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,859.8,1023.3,3.2,1.7,22,15989,0.0,-,339,5.0,336,5.1,3.8,16.0,-,-,17800
53860/交口,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,860.0,1023.0,4.8,1.6,19,24460,0.0,-,6,2.2,354,2.2,4.2,19.7,-,-,23500
53860/交口,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,860.5,1023.5,5.1,1.6,18,30000,0.0,-,338,3.1,352,2.2,3.2,21.0,-,-,23600
53860/交口,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,861.1,1024.4,4.0,1.4,17,22668,0.0,-,7,1.6,4,2.1,0.7,21.9,-,-,24600
53860/交口,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,861.1,1024.8,2.6,1.5,21,20197,0.0,-,326,1.3,319,1.7,-2.1,16.1,-,-,16400
53860/交口,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,860.6,1025.3,-0.7,1.9,33,15056,0.0,-,13,2.9,14,2.1,-5.7,4.6,-,-,15500
53860/交口,小时数据,2025-01-01 08,2025-01-01 10:53:47,CCA,859.9,1024.7,-1.9,1.9,35,21187,0.0,-,5,2.3,359,2.3,-7.0,-8.8,0,-,19200
53860/交口,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,859.4,1024.3,-3.7,1.9,40,19920,0.0,-,347,1.9,347,1.7,-7.4,-12.7,-,-,21700
53860/交口,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,858.8,1023.3,-5.2,2.0,47,30000,0.0,-,258,1.0,329,0.7,-7.4,-13.6,-,-,22200
53860/交口,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,858.5,1020.9,-4.1,2.0,44,28920,0.0,-,309,0.6,276,0.6,-7.2,-14.5,-,-,25500
53860/交口,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,858.6,1020.2,-3.8,1.9,42,24020,0.0,-,PPC,0.2,303,0.8,-7.0,-13.7,-,-,23400
53860/交口,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,858.9,1020.8,-4.0,1.9,42,28453,0.0,-,273,1.1,256,1.3,-6.7,-12.8,-,-,23000
53860/交口,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,859.0,1021.1,-3.7,2.0,42,27281,0.0,-,20,1.1,25,0.8,-6.7,-14.1,-,-,22200
53860/交口,小时数据,2025-01-01 01,2025-01-01 01:00:44,000,858.8,1021.1,-3.5,1.9,41,29433,0.0,-,124,0.4,97,0.5,-6.4,-14.4,-,-,22600
53860/交口,小时数据,2025-01-01 00,2025-01-01 00:00:45,000,858.9,1021.7,-3.5,1.8,39,21792,0.0,-,163,0.6,PPC,0.2,-6.2,-13.5,-,-,21500
53860/交口,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,858.7,1021.7,-3.2,1.8,38,20138,0.0,-,16,1.2,30,0.9,-5.8,-12.4,-,-,22600
53860/交口,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,858.8,1023.5,-3.0,1.8,37,17744,0.0,-,282,0.7,324,1.0,-5.4,-12.1,-,-,21600
53860/交口,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,858.8,1025.2,-3.1,1.7,35,26819,0.0,-,191,0.3,PPC,0.0,-5.1,-13.5,-,-,1900
53860/交口,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,858.7,1025.6,-2.6,1.6,31,30000,0.0,-,9,1.1,350,0.9,-4.6,-11.7,-,-,20400
53860/交口,小时数据,2024-12-31 19,2024-12-31 19:00:41,000,858.4,1024.8,-1.3,1.6,28,20700,0.0,-,308,0.9,339,0.9,-4.0,-10.6,-,-,20200
53860/交口,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,858.3,1023.8,1.1,1.5,22,26932,0.0,-,335,1.6,335,1.7,-2.7,-7.3,-,-,17200
53860/交口,小时数据,2024-12-31 17,2024-12-31 17:00:42,000,857.9,1021.2,6.4,1.4,15,25902,0.0,-,245,2.5,230,2.3,-0.7,2.8,-,-,10900
53860/交口,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,857.8,1020.5,8.6,1.1,10,30000,0.0,-,242,3.7,239,2.9,1.9,13.7,-,-,24000
53860/交口,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,858.2,1021.1,8.1,1.2,11,14940,0.0,-,242,4.4,242,4.5,3.5,16.8,-,-,20900
53860/交口,小时数据,2024-12-31 14,2024-12-31 14:00:40,000,858.4,1021.9,7.2,1.2,12,14786,0.0,-,249,4.8,244,5.1,4.1,16.8,-,-,20800
53860/交口,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,859.4,1023.5,6.2,1.4,15,30000,0.0,-,251,3.4,272,3.4,4.2,21.3,-,-,18900
53860/交口,小时数据,2024-12-31 12,2024-12-31 12:00:41,000,860.5,1025.6,4.6,1.7,20,30000,0.0,-,322,1.5,301,1.9,2.8,23.0,-,-,19400
53860/交口,小时数据,2024-12-31 11,2024-12-31 11:00:37,000,861.5,1026.8,3.7,1.8,22,23619,0.0,-,251,3.5,270,3.2,0.1,18.9,-,-,18600
53860/交口,小时数据,2024-12-31 10,2024-12-31 10:00:42,000,861.9,1028.8,-1.6,2.1,39,30000,0.0,-,345,0.7,359,0.4,-3.8,16.0,-,-,13300
53860/交口,小时数据,2024-12-31 09,2024-12-31 09:00:43,000,862.1,1030.3,-6.7,2.0,53,9583,0.0,-,266,0.5,244,0.4,-7.3,2.4,-,-,11000
53860/交口,小时数据,2024-12-31 08,2024-12-31 09:05:13,CCA,862.0,1030.2,-8.9,1.7,56,18919,0.0,-,23,0.9,62,0.9,-8.6,-14.4,0,-,15800
53860/交口,小时数据,2024-12-31 07,2024-12-31 07:00:40,000,861.9,1030.1,-8.8,1.7,55,18874,0.0,-,265,0.6,PPC,0.2,-8.6,-17.1,-,-,17900
53860/交口,小时数据,2024-12-31 06,2024-12-31 06:00:37,000,861.9,1029.9,-8.7,1.7,54,27697,0.0,-,314,0.3,257,0.7,-8.4,-16.4,-,-,19200
53860/交口,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,862.2,1029.2,-7.3,1.7,47,30000,0.0,-,332,0.5,321,0.9,-8.1,-14.2,-,-,19800
53860/交口,小时数据,2024-12-31 04,2024-12-31 04:00:43,000,862.7,1029.6,-7.6,1.7,48,25365,0.0,-,4,1.3,15,1.0,-8.0,-15.1,-,-,19100
53860/交口,小时数据,2024-12-31 03,2024-12-31 03:00:42,000,863.3,1030.1,-7.7,1.6,48,24068,0.0,-,270,0.3,348,0.7,-7.8,-15.2,-,-,22000
53860/交口,小时数据,2024-12-31 02,2024-12-31 02:00:41,000,863.6,1030.7,-8.5,1.6,50,25964,0.0,-,247,0.8,323,0.9,-7.7,-14.6,-,-,22800
53860/交口,小时数据,2024-12-31 01,2024-12-31 01:00:40,000,864.3,1031.8,-8.6,1.6,50,24657,0.0,-,35,0.4,342,0.7,-7.5,-15.0,-,-,21900
53860/交口,小时数据,2024-12-31 00,2024-12-31 00:00:53,000,864.7,1032.6,-9.5,1.6,54,13897,0.0,-,62,0.3,65,0.8,-7.2,-14.9,-,-,14600
53860/交口,小时数据,2024-12-30 23,2024-12-30 23:00:41,000,865.1,1033.3,-8.8,1.6,52,14196,0.0,-,33,1.0,28,0.8,-7.0,-14.6,-,-,12500
53860/交口,小时数据,2024-12-30 22,2024-12-30 22:00:44,000,865.0,1033.4,-8.1,1.7,50,11168,0.0,-,34,1.0,9,0.7,-6.3,-14.1,-,-,11700
53860/交口,小时数据,2024-12-30 21,2024-12-30 21:00:42,000,865.3,1033.7,-6.6,1.7,45,14492,0.0,-,85,1.0,23,1.0,-5.8,-12.2,-,-,13900
53860/交口,小时数据,2024-12-30 20,2024-12-30 20:00:38,000,865.2,1033.0,-4.5,1.6,37,26578,0.0,-,317,2.3,323,2.5,-5.0,-9.7,-,-,17300
53860/交口,小时数据,2024-12-30 19,2024-12-30 19:00:39,000,864.8,1032.3,-4.6,1.7,38,17053,0.0,-,331,2.8,323,2.5,-4.5,-9.2,-,-,18200
53860/交口,小时数据,2024-12-30 18,2024-12-30 18:00:37,000,864.7,1032.1,-4.2,1.6,35,20758,0.0,-,320,3.1,298,2.5,-3.8,-7.4,-,-,16800
