区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53777/交城,小时数据,2025-01-01 14,2025-01-01 14:00:43,000,930.8,1022.4,6.2,2.1,22,13427,0.0,-,104,0.9,63,1.1,15.8,15.9,-,-,12600
53777/交城,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,931.7,1023.9,4.8,2.1,24,11816,0.0,-,53,1.3,34,1.2,15.1,12.9,-,-,12400
53777/交城,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,932.7,1025.0,3.2,2.2,29,10490,0.0,-,169,1.2,191,1.1,14.9,13.1,-,-,10900
53777/交城,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,933.8,1026.6,1.0,2.0,31,9218,0.0,-,189,2.5,165,2.0,10.3,7.9,-,-,7800
53777/交城,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,933.8,1026.8,-0.8,2.0,34,17812,0.0,-,231,2.7,231,2.5,6.7,7.2,-,-,16400
53777/交城,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,933.2,1027.2,-7.7,2.1,62,5707,0.0,-,207,1.1,194,1.1,-3.4,-1.5,-,-,5900
53777/交城,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,932.5,1026.4,-9.7,1.9,66,6374,0.0,-,2,1.0,357,0.8,-13.1,-15.1,-,-,6000
53777/交城,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,932.0,1025.9,-11.2,1.6,63,4934,0.0,-,215,0.8,137,0.6,-13.5,-15.4,-,-,4900
53777/交城,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,931.4,1024.4,-9.7,1.8,63,5576,0.0,-,11,0.5,PPC,0.2,-13.1,-15.3,-,-,5500
53777/交城,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,930.8,1023.2,-9.7,1.8,62,5411,0.0,-,203,0.8,211,0.9,-12.7,-14.8,-,-,4500
53777/交城,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,931.0,1023.0,-9.1,1.9,63,4762,0.0,-,327,1.5,20,1.1,-12.1,-13.8,-,-,4000
53777/交城,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,931.1,1023.1,-8.9,1.9,60,4204,0.0,-,196,0.8,182,0.8,-11.9,-14.8,-,-,3700
53777/交城,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,931.3,1023.2,-6.6,2.1,56,3339,0.0,-,PPC,0.2,328,0.4,-11.2,-13.0,-,-,3400
53777/交城,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,930.8,1023.2,-8.1,2.0,59,2853,0.0,-,150,0.9,159,1.0,-11.0,-13.6,-,-,3700
53777/交城,小时数据,2025-01-01 00,2025-01-01 00:01:01,000,931.0,1023.4,-6.2,2.2,56,5484,0.0,-,285,0.5,312,0.6,-10.5,-12.9,-,-,5500
53777/交城,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,930.8,1023.6,-6.7,1.9,52,6470,0.0,-,183,0.8,195,0.7,-9.9,-12.7,-,-,6500
53777/交城,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,930.4,1023.4,-5.5,2.1,51,5790,0.0,-,228,1.3,225,1.1,-9.2,-11.4,-,-,5600
53777/交城,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,930.5,1024.4,-4.7,2.0,47,7386,0.0,-,210,0.8,197,0.9,-8.5,-11.3,-,-,7400
53777/交城,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,930.4,1024.5,-2.8,2.0,40,6967,0.0,-,282,1.2,267,1.2,-7.7,-10.4,-,-,7500
53777/交城,小时数据,2024-12-31 19,2024-12-31 19:00:43,000,930.0,1023.7,-1.4,2.0,36,9207,0.0,-,254,0.9,259,1.0,-7.1,-9.2,-,-,9100
53777/交城,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,929.6,1022.7,1.6,2.1,30,10262,0.0,-,327,0.6,305,0.7,-6.3,-8.6,-,-,8400
53777/交城,小时数据,2024-12-31 17,2024-12-31 17:00:43,000,929.4,1021.8,5.1,2.0,23,11260,0.0,-,354,1.7,355,1.5,-1.3,0.3,-,-,11800
53777/交城,小时数据,2024-12-31 16,2024-12-31 16:00:45,000,929.5,1021.6,6.5,2.0,21,12759,0.0,-,348,2.3,350,1.9,6.5,11.6,-,-,13900
53777/交城,小时数据,2024-12-31 15,2024-12-31 15:00:44,000,929.8,1021.7,6.3,2.0,21,16792,0.0,-,356,2.3,311,1.6,12.3,14.5,-,-,16900
53777/交城,小时数据,2024-12-31 14,2024-12-31 14:00:42,000,930.7,1023.0,5.1,1.9,22,17741,0.0,-,59,2.0,40,1.4,15.8,15.2,-,-,16600
53777/交城,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,931.9,1024.5,3.0,1.9,25,14963,0.0,-,127,1.3,94,1.6,15.7,12.5,-,-,13200
53777/交城,小时数据,2024-12-31 12,2024-12-31 12:00:43,000,933.5,1026.2,1.3,1.9,28,13493,0.0,-,167,1.9,166,1.8,15.6,10.8,-,-,13600
53777/交城,小时数据,2024-12-31 11,2024-12-31 11:00:45,000,935.0,1028.1,-0.6,1.9,32,14731,0.0,-,79,1.6,33,1.5,10.9,8.2,-,-,9400
53777/交城,小时数据,2024-12-31 10,2024-12-31 10:00:46,000,935.9,1029.0,-3.0,1.8,36,11050,0.0,-,58,1.4,48,1.4,4.7,4.5,-,-,10700
53777/交城,小时数据,2024-12-31 09,2024-12-31 09:00:46,000,935.8,1029.7,-8.7,1.8,58,13578,0.0,-,159,0.5,179,0.5,-3.4,-0.4,-,-,14500
53777/交城,小时数据,2024-12-31 08,2024-12-31 08:00:43,000,935.8,1029.8,-11.6,1.5,60,15479,0.0,-,271,0.8,245,0.7,-13.8,-15.9,-,-,16500
53777/交城,小时数据,2024-12-31 07,2024-12-31 07:00:45,000,935.6,1029.9,-10.9,1.6,59,19199,0.0,-,302,1.0,336,0.6,-14.4,-17.1,-,-,21100
53777/交城,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,935.4,1028.9,-10.9,1.5,55,16205,0.0,-,224,0.4,228,0.4,-14.1,-16.9,-,-,18500
53777/交城,小时数据,2024-12-31 05,2024-12-31 05:00:42,000,935.4,1028.3,-10.6,1.7,62,18008,0.0,-,90,1.1,85,1.4,-13.7,-16.2,-,-,16100
53777/交城,小时数据,2024-12-31 04,2024-12-31 04:00:38,000,936.3,1029.0,-10.2,1.5,52,13600,0.0,-,219,0.8,223,1.1,-13.2,-15.8,-,-,13000
53777/交城,小时数据,2024-12-31 03,2024-12-31 03:00:46,000,936.9,1029.5,-9.0,1.5,50,13804,0.0,-,262,0.3,174,0.4,-12.8,-15.1,-,-,13000
53777/交城,小时数据,2024-12-31 02,2024-12-31 02:00:47,000,937.1,1029.8,-9.2,1.8,58,11423,0.0,-,163,2.0,147,1.5,-12.9,-15.8,-,-,8500
53777/交城,小时数据,2024-12-31 01,2024-12-31 01:00:44,000,937.5,1030.2,-8.1,1.5,45,8291,0.0,-,203,0.9,200,1.2,-12.1,-15.2,-,-,8000
53777/交城,小时数据,2024-12-31 00,2024-12-31 00:00:47,000,937.9,1030.2,-6.1,1.7,43,11083,0.0,-,PPC,0.0,41,0.5,-11.4,-13.2,-,-,8700
53777/交城,小时数据,2024-12-30 23,2024-12-30 23:00:41,000,938.1,1030.6,-5.7,1.7,42,7935,0.0,-,165,1.1,159,1.3,-10.7,-13.8,-,-,8400
