区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53863/介休,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,931.4,1021.1,10.2,2.0,16,10439,0.0,-,292,2.4,288,2.1,21.8,20.4,-,-,9900
53863/介休,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,932.4,1022.7,7.5,2.4,23,9842,0.0,-,28,1.5,324,0.9,23.7,18.9,-,-,9800
53863/介休,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,933.6,1024.4,4.4,2.3,28,9671,0.0,-,355,1.6,335,1.5,18.3,15.1,-,-,9600
53863/介休,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,934.8,1026.0,1.7,2.3,34,9583,0.0,-,317,1.4,351,1.2,11.6,9.9,-,-,9400
53863/介休,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,935.1,1026.9,-1.8,2.4,44,9749,0.0,-,271,1.1,246,1.0,4.6,5.0,-,-,9700
53863/介休,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,934.7,1026.9,-6.2,2.3,60,9106,0.0,-,PPC,0.0,PPC,0.0,-5.2,-4.1,-,-,8800
53863/介休,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,933.9,1026.2,-7.8,2.1,63,8809,0.0,-,215,0.6,252,0.8,-11.8,-14.7,-,-,8800
53863/介休,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,933.0,1024.8,-8.2,2.2,67,8999,0.0,-,257,0.5,245,0.8,-11.5,-12.9,-,-,8900
53863/介休,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,932.6,1023.7,-7.3,2.3,65,8943,0.0,-,121,0.8,132,0.6,-11.8,-14.9,-,-,8800
53863/介休,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,932.1,1022.6,-6.4,2.2,58,9068,0.0,-,179,1.6,185,1.3,-11.3,-14.3,-,-,9100
53863/介休,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,932.1,1022.1,-6.6,2.2,59,8717,0.0,-,317,1.3,323,1.2,-10.9,-14.4,-,-,8700
