区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53579/代县,小时数据,2025-01-01 17,2025-01-01 17:00:46,000,920.9,1026.7,3.0,1.7,23,25588,0.0,-,16,0.9,11,1.5,-5.3,-5.6,-,-,23800
53579/代县,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,920.2,1025.5,5.4,1.7,19,30000,0.0,-,11,3.3,14,3.2,3.5,4.3,-,-,28500
53579/代县,小时数据,2025-01-01 15,2025-01-01 15:00:43,000,919.8,1024.7,6.0,1.8,19,30000,0.0,-,8,3.8,29,4.2,13.6,11.0,-,-,21900
53579/代县,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,919.8,1024.6,5.5,1.8,20,21064,0.0,-,9,4.0,15,2.4,17.2,15.8,-,-,15300
53579/代县,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,920.6,1026.2,2.4,1.9,26,14773,0.0,-,202,0.9,187,1.1,15.9,14.6,-,-,14800
53579/代县,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,921.2,1027.1,-0.3,1.9,31,14711,0.0,-,180,1.5,190,1.4,10.9,10.1,-,-,12100
53579/代县,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,921.9,1028.6,-3.9,2.0,43,9562,0.0,-,96,0.4,132,0.8,3.2,4.5,-,-,7500
53579/代县,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,921.8,1029.0,-7.5,1.8,52,9645,0.0,-,342,1.4,292,1.2,-2.6,-1.2,-,-,8200
53579/代县,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,921.3,1028.8,-10.0,1.7,61,10317,0.0,-,241,0.7,1,0.6,-7.8,-8.1,-,-,10100
53579/代县,小时数据,2025-01-01 08,2025-01-01 08:09:58,CCA,920.9,1028.6,-12.0,1.5,62,7155,0.0,-,294,0.9,276,0.9,-12.1,-13.6,0,-,5900
53579/代县,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,920.3,1027.9,-12.9,1.5,64,8674,0.0,-,51,0.6,66,1.1,-14.4,-16.5,-,-,10400
53579/代县,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,920.0,1027.0,-12.6,1.4,60,14334,0.0,-,25,0.8,331,0.9,-14.9,-17.7,-,-,13400
53579/代县,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,919.7,1025.6,-12.3,1.4,59,19004,0.0,-,352,0.4,341,0.9,-15.1,-19.1,-,-,17400
53579/代县,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,919.7,1025.3,-12.6,1.3,56,10698,0.0,-,110,1.0,87,1.1,-15.0,-18.1,-,-,9800
53579/代县,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,919.8,1025.3,-11.5,1.4,55,19768,0.0,-,1,0.9,344,0.9,-14.5,-18.3,-,-,10000
53579/代县,小时数据,2025-01-01 02,2025-01-01 02:00:56,000,919.5,1024.9,-10.8,1.4,52,12848,0.0,-,2,1.1,355,0.9,-14.2,-18.4,-,-,9400
53579/代县,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,919.4,1025.1,-10.9,1.4,54,7638,0.0,-,285,0.4,213,0.7,-14.0,-18.4,-,-,7600
