区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53963/侯马,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,969.2,1022.7,9.9,2.7,22,7591,0.0,-,261,2.0,256,2.1,11.5,12.9,-,-,7800
53963/侯马,小时数据,2025-01-01 15,2025-01-01 15:00:43,000,968.8,1022.1,9.7,3.0,25,8984,0.0,-,205,2.1,227,2.7,15.9,15.6,-,-,7100
53963/侯马,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,969.2,1022.6,8.5,3.0,27,5912,0.0,-,262,2.6,277,2.1,18.6,16.8,-,-,6200
53963/侯马,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,970.0,1023.5,7.1,2.9,29,6664,0.0,-,278,1.8,277,2.1,19.1,16.6,-,-,6600
53963/侯马,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,971.0,1024.7,5.6,2.8,31,6658,0.0,-,264,0.4,215,0.4,17.6,15.1,-,-,6700
53963/侯马,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,972.3,1026.4,2.1,3.0,42,5776,0.0,-,343,0.5,342,1.1,12.2,11.1,-,-,5700
53963/侯马,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,972.3,1026.6,-0.4,2.9,49,6036,0.0,-,PPC,0.2,88,0.6,5.7,6.1,-,-,5500
53963/侯马,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,971.2,1025.7,-3.9,2.7,59,5508,0.0,-,29,0.9,33,0.8,-2.6,0.3,-,-,5100
53963/侯马,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,970.0,1024.5,-6.0,2.6,66,3688,0.0,-,71,1.8,74,1.6,-9.8,-10.3,-,-,4100
53963/侯马,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,969.5,1023.8,-5.9,2.6,66,4839,0.0,-,79,1.5,72,1.8,-10.2,-10.6,-,-,4800
53963/侯马,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,968.8,1022.7,-5.6,2.7,67,3865,0.0,-,334,1.0,1,1.3,-9.8,-10.1,-,-,3900
53963/侯马,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,968.5,1022.1,-5.1,2.6,63,5218,0.0,-,276,1.3,279,1.2,-9.7,-10.9,-,-,5800
53963/侯马,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,968.3,1021.8,-5.2,2.9,69,6091,0.0,-,205,0.5,PPC,0.2,-9.2,-10.4,-,-,5200
53963/侯马,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,968.2,1021.5,-3.4,2.6,54,7034,0.0,-,332,0.3,251,0.6,-8.7,-8.9,-,-,6100
53963/侯马,小时数据,2025-01-01 02,2025-01-01 02:00:38,000,967.9,1021.3,-2.6,2.5,49,7821,0.0,-,51,0.9,36,1.3,-8.2,-8.0,-,-,7400
53963/侯马,小时数据,2025-01-01 01,2025-01-01 01:00:48,000,967.6,1021.0,-1.4,2.4,44,6570,0.0,-,351,1.2,20,1.5,-7.5,-6.4,-,-,6000
