区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53660/保德,小时数据,2025-01-01 17,2025-01-01 17:00:46,000,919.7,1029.8,0.7,1.9,30,18140,0.0,-,54,1.5,53,1.6,-3.1,-4.2,-,-,14900
53660/保德,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,919.2,1028.9,1.6,1.9,27,22409,0.0,-,37,2.5,27,2.6,3.6,6.4,-,-,19800
53660/保德,小时数据,2025-01-01 15,2025-01-01 15:00:42,000,918.6,1028.1,1.7,1.9,27,16728,0.0,-,25,3.0,28,3.2,7.3,10.6,-,-,20500
53660/保德,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,918.8,1028.3,1.8,1.9,28,19045,0.0,-,55,1.4,43,1.3,10.3,13.1,-,-,14300
53660/保德,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,919.1,1029.0,-0.8,2.0,35,8327,0.0,-,211,1.3,210,1.5,9.7,8.3,-,-,8300
53660/保德,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,920.0,1030.4,-3.5,2.1,44,7990,0.0,-,207,0.9,210,0.9,6.5,5.5,-,-,8300
53660/保德,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,920.7,1031.4,-5.6,2.1,53,8059,0.0,-,217,0.9,239,0.8,2.3,3.0,-,-,8200
53660/保德,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,920.4,1031.2,-7.4,2.0,58,9739,0.0,-,153,0.9,150,0.7,-4.2,-2.8,-,-,8800
53660/保德,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,919.5,1030.4,-9.3,2.0,65,11639,0.0,-,90,0.8,86,1.0,-8.2,-8.7,-,-,12800
53660/保德,小时数据,2025-01-01 08,2025-01-01 08:04:25,CCA,918.8,1029.6,-10.4,1.9,68,13452,0.0,-,71,1.1,62,1.1,-12.2,-13.0,-,-,13200
53660/保德,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,918.1,1028.5,-10.7,1.9,69,15232,0.0,-,37,1.0,43,1.2,-14.5,-17.6,-,-,14100
53660/保德,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,917.6,1027.3,-10.2,1.9,68,14587,0.0,-,44,1.2,44,1.3,-14.3,-16.8,-,-,14500
53660/保德,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,917.1,1025.9,-9.8,1.9,67,12894,0.0,-,49,1.4,50,1.2,-14.7,-18.0,-,-,13100
53660/保德,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,916.8,1025.3,-9.2,2.0,64,15848,0.0,-,40,1.3,35,1.0,-14.7,-18.6,-,-,14700
53660/保德,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,916.8,1025.3,-8.7,2.0,62,15839,0.0,-,63,0.5,47,0.4,-13.8,-17.8,-,-,15000
53660/保德,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,916.3,1024.9,-8.6,1.9,61,14095,0.0,-,57,1.3,43,1.4,-12.6,-14.7,-,-,12900
53660/保德,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,915.9,1024.7,-7.8,2.0,58,11167,0.0,-,49,1.3,40,1.3,-13.6,-17.6,-,-,9200
53660/保德,小时数据,2025-01-01 00,2025-01-01 00:00:59,000,915.7,1025.7,-7.2,2.0,57,11465,0.0,-,45,1.1,43,1.1,-13.3,-17.8,-,-,11600
53660/保德,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,915.8,1026.3,-6.0,2.0,52,12580,0.0,-,56,0.7,45,0.8,-13.0,-17.7,-,-,10100
53660/保德,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,915.5,1026.1,-4.8,2.2,51,5350,0.0,-,230,0.4,PPC,0.0,-12.4,-17.1,-,-,4500
53660/保德,小时数据,2024-12-31 21,2024-12-31 21:00:40,000,915.1,1026.0,-4.0,2.0,45,12195,0.0,-,PPC,0.0,PPC,0.2,-11.6,-16.4,-,-,11200
53660/保德,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,914.8,1025.5,-2.6,2.2,43,3766,0.0,-,187,0.5,223,0.7,-10.7,-15.4,-,-,4400
53660/保德,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,914.5,1024.8,-0.9,2.0,35,20181,0.0,-,14,1.2,15,1.5,-9.4,-12.8,-,-,12300
53660/保德,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,914.2,1023.8,1.7,2.0,29,23593,0.0,-,27,1.2,332,1.0,-8.2,-13.1,-,-,5700
53660/保德,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,914.1,1023.0,5.1,1.8,21,14639,0.0,-,172,1.2,168,1.4,-2.6,-0.6,-,-,15900
53660/保德,小时数据,2024-12-31 16,2024-12-31 16:00:46,000,914.2,1022.8,5.9,1.9,20,22046,0.0,-,182,2.0,173,2.3,8.0,11.3,-,-,19800
53660/保德,小时数据,2024-12-31 15,2024-12-31 15:00:46,000,914.6,1023.2,5.5,1.9,21,21333,0.0,-,176,3.8,173,3.1,11.3,12.9,-,-,22700
53660/保德,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,915.3,1024.2,4.5,1.9,23,13679,0.0,-,184,4.3,182,4.0,11.9,11.8,-,-,18100
53660/保德,小时数据,2024-12-31 13,2024-12-31 13:00:46,000,915.9,1025.2,2.5,1.8,25,10987,0.0,-,193,5.2,190,5.2,9.5,9.4,-,-,14500
53660/保德,小时数据,2024-12-31 12,2024-12-31 12:00:45,000,917.5,1028.1,-3.8,1.8,40,15603,0.0,-,270,0.9,249,0.9,7.1,7.0,-,-,14300
53660/保德,小时数据,2024-12-31 11,2024-12-31 11:00:46,000,918.6,1030.1,-7.2,1.7,47,12205,0.0,-,249,1.1,248,1.1,2.0,3.0,-,-,10400
53660/保德,小时数据,2024-12-31 10,2024-12-31 10:00:47,000,919.3,1031.1,-9.1,1.6,52,6602,0.0,-,243,0.5,222,0.5,-3.6,-1.8,-,-,8800
