区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53565/偏关,小时数据,2025-01-12 19,2025-01-12 19:00:40,000,896.6,1029.7,-6.6,2.1,56,1832,0.0,-,40,0.8,49,0.8,-11.3,-10.9,-,-,4200
53565/偏关,小时数据,2025-01-12 18,2025-01-12 18:00:43,000,896.6,1029.1,-5.2,2.0,49,6821,0.0,-,PPC,0.2,165,0.6,-10.1,-8.5,-,-,4300
53565/偏关,小时数据,2025-01-12 17,2025-01-12 17:00:39,000,896.4,1028.3,-3.2,2.0,41,30000,0.0,-,51,2.2,67,2.0,-6.1,-2.6,-,-,17800
53565/偏关,小时数据,2025-01-12 16,2025-01-12 16:00:38,000,896.8,1028.4,-2.3,2.0,38,23288,0.0,-,65,4.1,61,2.7,1.4,2.0,-,-,22100
53565/偏关,小时数据,2025-01-12 15,2025-01-12 15:00:40,000,897.4,1029.1,-3.2,1.9,40,30000,0.0,-,41,3.9,48,3.3,7.1,4.1,-,-,20400
53565/偏关,小时数据,2025-01-12 14,2025-01-12 14:00:40,000,898.3,1030.1,-4.1,1.9,43,27038,0.0,-,61,3.1,76,3.1,9.2,2.9,-,-,19100
53565/偏关,小时数据,2025-01-12 13,2025-01-12 13:00:38,000,899.8,1031.8,-5.4,2.0,49,23889,0.0,-,78,2.8,75,2.1,7.8,1.6,-,-,18700
53565/偏关,小时数据,2025-01-12 12,2025-01-12 12:00:40,000,901.2,1033.7,-7.5,1.8,53,15364,0.0,-,109,0.9,195,1.0,4.7,-0.6,-,-,10400
53565/偏关,小时数据,2025-01-12 11,2025-01-12 11:00:41,000,902.4,1035.6,-10.5,1.7,60,10092,0.0,-,54,1.1,44,1.4,-3.1,-4.7,-,-,7300
53565/偏关,小时数据,2025-01-12 10,2025-01-12 10:00:48,000,902.9,1037.0,-14.5,1.3,64,9482,0.0,-,23,2.3,9,2.0,-9.2,-8.7,-,-,8700
53565/偏关,小时数据,2025-01-12 09,2025-01-12 09:00:42,000,902.8,1037.6,-18.3,1.0,69,8029,0.0,-,360,3.0,3,2.8,-15.7,-15.9,-,-,6700
53565/偏关,小时数据,2025-01-12 08,2025-01-12 08:27:35,CCA,902.7,1037.2,-19.5,0.9,71,12642,0.0,-,11,2.8,8,2.8,-18.1,-21.0,0,-,13800
