区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53664/兴县,小时数据,2025-01-01 17,2025-01-01 17:00:47,000,906.2,1029.0,1.5,1.8,27,4008,0.0,-,280,2.3,275,2.3,-0.4,0.7,-,-,3500
53664/兴县,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,905.6,1027.9,2.2,2.0,28,4457,0.0,-,219,2.0,244,2.6,7.9,6.2,-,-,3600
53664/兴县,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,905.1,1027.2,2.4,2.0,28,3349,0.0,-,239,2.6,244,2.3,14.6,10.2,-,-,3900
53664/兴县,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,905.0,1027.3,1.3,2.1,31,3775,0.0,-,258,3.0,262,2.9,13.9,8.1,-,-,3400
53664/兴县,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,905.2,1027.7,0.1,2.0,33,3939,0.0,-,277,2.8,274,2.6,14.2,9.8,-,-,3500
53664/兴县,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,905.9,1028.8,-1.4,2.0,36,3506,0.0,-,271,1.9,267,1.9,10.2,7.0,-,-,3100
53664/兴县,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,906.6,1029.9,-3.1,1.9,40,3120,0.0,-,277,2.5,276,2.1,7.2,4.5,-,-,2200
53664/兴县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,906.2,1029.9,-5.7,2.0,49,1882,0.0,-,205,0.8,102,0.6,-2.8,-2.3,-,-,1800
53664/兴县,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,905.6,1029.7,-8.4,1.8,57,921,0.0,-,24,0.7,65,0.7,-7.9,-5.0,-,-,1200
53664/兴县,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,904.8,1028.9,-9.8,1.7,60,3296,0.0,-,45,1.8,55,1.4,-13.2,-12.4,-,-,1200
53664/兴县,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,904.3,1028.0,-9.1,1.7,56,3018,0.0,-,53,1.6,57,1.9,-13.8,-12.8,-,-,2700
53664/兴县,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,903.5,1026.4,-8.3,1.8,54,3550,0.0,-,60,2.1,64,2.1,-12.4,-11.0,-,-,2200
53664/兴县,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,903.2,1025.2,-7.3,1.8,50,5382,0.0,-,62,2.2,91,1.7,-12.1,-10.6,-,-,5200
53664/兴县,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,902.9,1023.9,-6.4,1.7,46,5927,0.0,-,68,4.4,66,4.0,-10.3,-8.2,-,-,4600
53664/兴县,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,902.8,1023.8,-6.1,1.8,46,6489,0.0,-,65,3.3,69,3.6,-10.3,-8.1,-,-,5700
53664/兴县,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,902.4,1023.4,-5.9,1.8,46,5192,0.0,-,70,4.5,71,4.2,-10.0,-7.9,-,-,5000
53664/兴县,小时数据,2025-01-01 01,2025-01-01 01:00:48,000,902.2,1023.1,-5.4,1.8,44,4968,0.0,-,72,3.6,72,3.9,-9.7,-7.5,-,-,4800
53664/兴县,小时数据,2025-01-01 00,2025-01-01 00:01:04,000,902.4,1023.4,-5.0,1.9,44,4781,0.0,-,69,3.5,70,3.6,-9.7,-7.3,-,-,4700
53664/兴县,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,902.4,1024.4,-4.7,1.9,43,4213,0.0,-,76,3.6,75,3.5,-9.2,-6.7,-,-,3900
53664/兴县,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,902.2,1025.1,-4.1,1.9,42,2834,0.0,-,78,3.5,81,3.1,-8.9,-6.2,-,-,2900
53664/兴县,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,902.0,1025.6,-3.4,1.9,41,3050,0.0,-,76,2.9,75,3.0,-8.2,-5.6,-,-,2900
53664/兴县,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,902.1,1025.8,-2.5,2.0,39,2221,0.0,-,80,2.5,70,3.0,-7.6,-4.9,-,-,2000
