区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53673/原平,小时数据,2025-01-01 17,2025-01-01 17:00:46,000,924.4,1026.0,2.8,1.9,25,7075,0.0,-,253,1.5,165,1.4,1.4,0.5,-,-,7900
53673/原平,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,923.8,1025.0,3.9,1.8,22,12467,0.0,-,57,1.1,54,1.3,7.5,4.7,-,-,12900
53673/原平,小时数据,2025-01-01 15,2025-01-01 15:00:45,000,923.6,1024.7,3.9,1.8,22,11607,0.0,-,PPC,0.0,PPC,0.0,11.2,10.4,-,-,10900
53673/原平,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,923.7,1024.9,3.1,1.8,23,9968,0.0,-,209,0.9,230,0.7,13.3,12.3,-,-,9700
53673/原平,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,924.3,1026.1,0.1,1.8,29,6626,0.0,-,PPC,0.0,PPC,0.0,10.3,11.4,-,-,5300
53673/原平,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,925.1,1027.3,-2.4,1.7,34,6980,0.0,-,PPC,0.0,281,0.4,6.7,8.6,-,-,5800
53673/原平,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,925.7,1028.2,-4.5,1.7,39,5242,0.0,-,63,0.8,PPC,0.2,-0.6,0.8,-,-,5200
53673/原平,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,925.7,1028.7,-7.3,1.6,46,5772,0.0,-,PPC,0.0,PPC,0.2,-4.3,-3.3,-,-,4600
53673/原平,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,925.0,1028.0,-8.4,1.6,48,8113,0.0,-,348,1.3,5,1.0,-7.7,-6.5,-,-,7100
53673/原平,小时数据,2025-01-01 08,2025-01-01 08:04:31,CCA,924.5,1027.4,-9.1,1.5,49,8460,0.0,-,59,1.7,52,1.5,-12.7,-12.9,0,-,7600
53673/原平,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,924.2,1027.0,-9.9,1.5,52,9626,0.0,-,302,1.1,296,1.4,-15.6,-16.8,-,-,8200
53673/原平,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,923.6,1025.6,-9.4,1.5,50,8213,0.0,-,38,0.9,34,0.6,-15.3,-16.5,-,-,8100
53673/原平,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,923.3,1024.8,-9.4,1.5,49,12390,0.0,-,310,1.8,340,0.4,-14.3,-16.6,-,-,9500
53673/原平,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,923.4,1024.6,-9.1,1.5,49,9881,0.0,-,PPC,0.0,PPC,0.0,-15.8,-16.5,-,-,10000
53673/原平,小时数据,2025-01-01 03,2025-01-01 03:00:44,000,923.3,1024.3,-8.5,1.5,47,7699,0.0,-,PPC,0.0,PPC,0.0,-15.3,-16.5,-,-,8100
53673/原平,小时数据,2025-01-01 02,2025-01-01 02:00:45,000,923.1,1024.3,-8.4,1.5,45,9814,0.0,-,326,1.3,319,1.2,-13.2,-15.7,-,-,8900
53673/原平,小时数据,2025-01-01 01,2025-01-01 08:05:08,CCA,923.1,1024.5,-7.8,1.5,43,7414,0.0,-,PPC,0.0,PPC,0.0,-14.1,-15.5,0,-,6500
53673/原平,小时数据,2025-01-01 00,2025-01-01 08:05:30,CCA,922.9,1024.5,-7.0,1.4,40,7069,0.0,-,PPC,0.0,PPC,0.0,-13.4,-14.9,0,-,5900
53673/原平,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,922.8,1024.7,-5.9,1.6,40,4847,0.0,-,PPC,0.0,PPC,0.0,-13.4,-14.9,-,-,3300
53673/原平,小时数据,2024-12-31 22,2024-12-31 22:00:37,000,922.7,1025.1,-5.9,1.5,37,10983,0.0,-,303,2.3,297,2.3,-10.4,-13.7,-,-,6600
53673/原平,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,922.7,1025.5,-4.8,1.5,36,6614,0.0,-,PPC,0.0,PPC,0.0,-12.1,-13.6,-,-,6200
53673/原平,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,922.7,1025.7,-3.9,1.4,31,8602,0.0,-,312,1.6,321,0.4,-9.9,-12.9,-,-,8400
53673/原平,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,922.4,1025.2,-3.0,1.4,29,7315,0.0,-,316,1.1,313,1.4,-9.3,-11.8,-,-,6900
53673/原平,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,922.0,1024.0,0.0,1.6,26,9240,0.0,-,PPC,0.0,PPC,0.0,-8.6,-11.0,-,-,8800
53673/原平,小时数据,2024-12-31 17,2024-12-31 17:00:47,000,921.7,1023.0,2.5,1.5,20,17334,0.0,-,126,0.8,116,0.8,-2.8,-5.5,-,-,20300
53673/原平,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,921.7,1022.7,4.1,1.4,17,21691,0.0,-,270,1.0,269,0.9,8.7,5.0,-,-,25700
53673/原平,小时数据,2024-12-31 15,2024-12-31 15:00:44,000,922.1,1022.9,4.1,1.4,17,30000,0.0,-,182,1.2,209,0.6,13.7,11.7,-,-,21700
53673/原平,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,922.6,1023.8,2.8,1.3,17,30000,0.0,-,175,0.6,180,1.3,15.2,12.8,-,-,24600
53673/原平,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,923.5,1024.8,1.2,1.1,16,29639,0.0,-,186,1.6,169,1.7,13.3,15.2,-,-,22900
53673/原平,小时数据,2024-12-31 12,2024-12-31 12:00:41,000,925.0,1026.7,-0.6,1.1,19,19152,0.0,-,127,1.2,123,1.2,11.3,12.8,-,-,11400
53673/原平,小时数据,2024-12-31 11,2024-12-31 11:00:45,000,926.5,1028.7,-3.4,1.1,24,16521,0.0,-,PPC,0.0,PPC,0.0,6.8,9.8,-,-,10700
53673/原平,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,927.3,1029.6,-5.8,1.3,32,8571,0.0,-,133,0.6,125,0.9,1.5,7.3,-,-,7300
53673/原平,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,927.3,1030.2,-8.8,1.3,40,7616,0.0,-,PPC,0.0,PPC,0.0,-8.0,-6.1,-,-,9200
53673/原平,小时数据,2024-12-31 08,2024-12-31 08:10:28,CCA,927.2,1030.1,-10.9,1.2,44,10474,0.0,-,PPC,0.2,PPC,0.0,-16.3,-17.4,0,-,8500
53673/原平,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,926.9,1029.7,-10.7,1.1,41,13244,0.0,-,337,1.4,337,0.3,-15.8,-18.0,-,-,14500
53673/原平,小时数据,2024-12-31 06,2024-12-31 08:11:19,CCA,926.6,1029.0,-10.0,1.1,40,17226,0.0,-,PPC,0.0,PPC,0.0,-17.3,-18.3,0,-,18400
53673/原平,小时数据,2024-12-31 05,2024-12-31 05:00:40,000,927.0,1029.1,-9.4,1.1,36,22704,0.0,-,PPC,0.0,PPC,0.0,-16.9,-17.8,-,-,21800
53673/原平,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,927.7,1029.6,-9.2,1.1,36,23858,0.0,-,289,0.4,298,1.1,-15.3,-17.1,-,-,20800
53673/原平,小时数据,2024-12-31 03,2024-12-31 03:00:45,000,928.3,1030.0,-8.2,1.1,33,24500,0.0,-,303,1.9,308,1.8,-13.7,-16.6,-,-,20400
53673/原平,小时数据,2024-12-31 02,2024-12-31 02:00:43,000,928.6,1030.4,-8.5,1.1,33,20172,0.0,-,302,1.5,307,1.8,-13.6,-16.6,-,-,19000
53673/原平,小时数据,2024-12-31 01,2024-12-31 01:00:40,000,929.0,1030.5,-7.0,1.0,29,20189,0.0,-,PPC,0.0,360,0.7,-14.7,-15.9,-,-,18200
53673/原平,小时数据,2024-12-31 00,2024-12-31 00:00:48,000,929.5,1031.2,-6.3,1.0,27,17463,0.0,-,15,1.5,44,0.5,-13.1,-15.0,-,-,15600
53673/原平,小时数据,2024-12-30 23,2024-12-30 23:00:40,000,929.3,1030.8,-5.0,1.0,24,12665,0.0,-,291,1.8,303,1.6,-11.1,-14.1,-,-,12500
53673/原平,小时数据,2024-12-30 22,2024-12-30 22:00:37,000,929.4,1030.6,-2.7,1.1,22,29056,0.0,-,356,1.9,1,2.3,-7.5,-11.2,-,-,23400
53673/原平,小时数据,2024-12-30 21,2024-12-30 21:00:44,000,929.5,1031.3,-2.6,1.1,21,29990,0.0,-,15,2.1,348,1.4,-7.8,-10.7,-,-,15100
53673/原平,小时数据,2024-12-30 20,2024-12-30 20:00:40,000,929.4,1031.9,-0.8,0.9,15,29364,0.0,-,10,3.7,28,3.2,-5.4,-6.0,-,-,25200
53673/原平,小时数据,2024-12-30 19,2024-12-30 19:00:38,000,928.9,1031.3,-0.5,1.0,17,21285,0.0,-,331,3.4,333,3.4,-4.9,-8.5,-,-,22300
53673/原平,小时数据,2024-12-30 18,2024-12-30 18:00:45,000,928.5,1030.6,0.3,1.1,17,26707,0.0,-,319,2.0,318,2.8,-3.1,-5.8,-,-,28000
53673/原平,小时数据,2024-12-30 17,2024-12-30 17:00:45,000,927.8,1029.4,1.6,1.2,17,30000,0.0,-,305,3.3,312,3.2,-0.8,-2.9,-,-,27000
53673/原平,小时数据,2024-12-30 16,2024-12-30 16:00:42,000,927.1,1028.4,2.9,1.2,16,30000,0.0,-,333,6.0,331,5.3,5.5,3.0,-,-,30000
53673/原平,小时数据,2024-12-30 15,2024-12-30 15:00:38,000,926.6,1027.8,3.4,1.5,19,27471,0.0,-,330,5.5,340,6.0,9.7,8.5,-,-,29900
53673/原平,小时数据,2024-12-30 14,2024-12-30 14:00:37,000,926.4,1027.6,3.2,1.4,18,18363,0.0,-,326,7.6,339,7.4,10.2,9.9,-,-,20400
53673/原平,小时数据,2024-12-30 13,2024-12-30 13:00:39,000,926.5,1027.7,3.3,1.5,19,23513,0.0,-,350,7.5,356,6.4,10.6,11.9,-,-,17400
53673/原平,小时数据,2024-12-30 12,2024-12-30 12:00:43,000,926.6,1027.7,2.1,1.6,22,24540,0.0,-,46,6.3,34,4.6,9.5,9.9,-,-,18000
53673/原平,小时数据,2024-12-30 11,2024-12-30 11:00:38,000,927.2,1028.6,1.4,1.7,25,20621,0.0,-,10,4.4,34,5.0,8.2,9.8,-,-,14200
53673/原平,小时数据,2024-12-30 10,2024-12-30 10:00:38,000,927.2,1028.5,1.1,1.7,25,16195,0.0,-,10,4.8,354,5.0,5.2,7.7,-,-,18200
53673/原平,小时数据,2024-12-30 09,2024-12-30 09:00:46,000,926.8,1028.6,-2.3,1.8,35,15819,0.0,-,5,2.9,354,2.8,-3.3,-3.2,-,-,8300
53673/原平,小时数据,2024-12-30 08,2024-12-30 08:04:48,CCA,926.6,1029.3,-7.7,1.7,51,9191,0.0,-,PPC,0.0,53,0.4,-14.9,-15.2,0,-,9000
53673/原平,小时数据,2024-12-30 07,2024-12-30 07:00:43,000,925.9,1028.4,-7.7,1.6,47,11751,0.0,-,317,0.7,341,0.4,-15.0,-15.3,-,-,11400
53673/原平,小时数据,2024-12-30 06,2024-12-30 06:00:40,000,925.2,1027.0,-7.1,1.6,45,13262,0.0,-,289,1.5,308,1.3,-13.3,-14.8,-,-,13200
53673/原平,小时数据,2024-12-30 05,2024-12-30 05:00:42,000,924.5,1025.6,-6.4,1.6,41,15455,0.0,-,313,2.1,325,2.0,-11.7,-13.6,-,-,16500
53673/原平,小时数据,2024-12-30 04,2024-12-30 04:00:38,000,924.6,1025.4,-6.6,1.6,43,18106,0.0,-,PPC,0.0,PPC,0.0,-13.7,-14.3,-,-,15400
53673/原平,小时数据,2024-12-30 03,2024-12-30 03:00:40,000,924.6,1025.7,-6.6,1.6,44,7031,0.0,-,253,1.4,263,0.6,-13.0,-13.6,-,-,8900
53673/原平,小时数据,2024-12-30 02,2024-12-30 02:00:39,000,924.1,1025.4,-6.7,1.5,41,14272,0.0,-,293,2.3,301,1.5,-12.7,-14.2,-,-,11700
53673/原平,小时数据,2024-12-30 01,2024-12-30 01:00:46,000,923.9,1025.4,-6.6,1.6,42,5597,0.0,-,PPC,0.0,PPC,0.0,-13.2,-14.5,-,-,3500
53673/原平,小时数据,2024-12-30 00,2024-12-30 00:00:52,000,923.8,1025.4,-5.1,1.6,38,3184,0.0,-,PPC,0.0,PPC,0.0,-12.7,-13.0,-,-,2500
53673/原平,小时数据,2024-12-29 23,2024-12-29 23:00:43,000,923.8,1026.0,-5.7,1.5,37,11239,0.0,-,313,1.9,310,1.2,-11.4,-13.7,-,-,8300
53673/原平,小时数据,2024-12-29 22,2024-12-29 22:00:44,000,923.6,1026.2,-4.5,1.4,33,8729,0.0,-,314,2.2,304,2.6,-9.8,-12.8,-,-,9400
53673/原平,小时数据,2024-12-29 21,2024-12-29 21:00:38,000,923.3,1026.4,-4.3,1.4,32,11049,0.0,-,PPC,0.0,PPC,0.0,-12.2,-13.2,-,-,8100
