区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53763/古交,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,902.7,1022.3,5.6,1.7,19,30000,0.0,-,260,0.9,249,1.5,18.5,11.6,-,-,24900
53763/古交,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,903.5,1024.2,0.4,1.6,25,23548,0.0,-,348,1.1,314,1.3,9.9,6.0,-,-,24400
53763/古交,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,904.4,1025.5,-1.3,1.6,28,24431,0.0,-,342,1.0,351,1.0,7.5,2.9,-,-,24300
53763/古交,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,905.5,1027.1,-4.2,1.5,34,24592,0.0,-,117,0.6,350,0.7,5.7,0.5,-,-,22000
53763/古交,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,905.7,1027.8,-7.5,1.5,43,26458,0.0,-,PPC,0.0,PPC,0.0,-0.5,-3.6,-,-,23100
53763/古交,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,905.8,1028.4,-10.6,1.5,56,21375,0.0,-,259,1.0,242,1.2,-8.1,-7.0,-,-,19200
53763/古交,小时数据,2025-01-01 08,2025-01-01 08:53:30,CCA,905.2,1027.7,-12.2,1.4,60,24334,0.0,-,253,1.4,244,1.4,-14.0,-12.3,0,-,23800
53763/古交,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,904.6,1026.5,-11.9,1.5,60,22853,0.0,-,253,1.3,253,1.3,-14.4,-12.6,-,-,24300
53763/古交,小时数据,2025-01-01 06,2025-01-01 06:00:45,000,904.1,1025.4,-11.7,1.5,59,19271,0.0,-,232,1.1,252,1.4,-14.3,-12.2,-,-,20500
53763/古交,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,903.8,1024.0,-11.2,1.5,58,30000,0.0,-,245,1.5,251,1.6,-13.9,-11.7,-,-,24700
53763/古交,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,903.7,1023.0,-10.4,1.5,55,25276,0.0,-,253,1.6,256,1.3,-13.2,-10.9,-,-,24800
53763/古交,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,903.7,1023.2,-9.6,1.6,53,27076,0.0,-,250,1.4,229,0.9,-12.9,-10.4,-,-,24700
53763/古交,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,903.6,1023.6,-9.2,1.6,52,23335,0.0,-,245,1.5,246,1.5,-12.2,-9.8,-,-,23600
53763/古交,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,903.4,1023.8,-8.2,1.6,49,22132,0.0,-,256,1.3,252,1.2,-11.4,-8.9,-,-,21100
53763/古交,小时数据,2025-01-01 00,2025-01-01 00:00:57,000,903.3,1024.3,-7.4,1.6,47,25845,0.0,-,258,1.3,251,1.4,-11.0,-8.2,-,-,22900
53763/古交,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,903.1,1024.6,-6.1,1.7,44,18386,0.0,-,227,1.3,234,1.1,-10.9,-7.1,-,-,14700
53763/古交,小时数据,2024-12-31 22,2024-12-31 22:00:41,000,902.8,1024.8,-5.0,1.7,41,15512,0.0,-,250,1.0,229,0.6,-10.4,-6.9,-,-,15200
53763/古交,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,902.5,1024.8,-3.6,1.7,37,18677,0.0,-,229,1.4,227,1.4,-8.5,-4.7,-,-,18200
53763/古交,小时数据,2024-12-31 20,2024-12-31 20:00:46,000,902.4,1024.9,-2.2,1.9,36,12654,0.0,-,128,0.8,94,1.0,-9.1,-4.3,-,-,13900
53763/古交,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,901.8,1023.6,-0.3,1.8,30,20165,0.0,-,243,1.5,234,1.2,-7.3,-2.1,-,-,20000
53763/古交,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,901.1,1022.1,2.0,1.8,25,21830,0.0,-,146,1.2,145,1.3,-5.9,-0.5,-,-,22100
53763/古交,小时数据,2024-12-31 17,2024-12-31 17:00:42,000,900.6,1020.6,5.6,1.8,20,23519,0.0,-,239,1.6,237,1.7,0.5,4.2,-,-,19100
53763/古交,小时数据,2024-12-31 16,2024-12-31 16:00:47,000,900.6,1019.7,8.7,1.7,15,30000,0.0,-,235,1.2,241,1.3,13.2,13.0,-,-,29200
53763/古交,小时数据,2024-12-31 15,2024-12-31 15:48:52,CCA,900.9,1020.2,7.2,1.6,16,27093,0.0,-,245,0.9,213,0.7,17.7,12.0,0,-,26100
53763/古交,小时数据,2024-12-31 14,2024-12-31 14:00:40,000,901.6,1021.5,4.4,1.7,20,30000,0.0,-,232,0.9,181,0.3,20.4,11.8,-,-,24400
53763/古交,小时数据,2024-12-31 13,2024-12-31 13:00:39,000,902.8,1023.3,1.6,1.6,23,27491,0.0,-,286,0.8,323,0.8,18.1,7.9,-,-,23100
53763/古交,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,904.6,1025.9,-1.6,1.5,27,30000,0.0,-,323,0.4,345,0.6,13.9,4.7,-,-,24600
53763/古交,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,906.1,1028.2,-5.1,1.4,33,19777,0.0,-,48,1.0,100,1.1,8.5,1.3,-,-,21600
53763/古交,小时数据,2024-12-31 10,2024-12-31 10:00:40,000,907.3,1030.1,-8.7,1.3,42,20620,0.0,-,319,0.6,PPC,0.2,0.4,-2.3,-,-,22600
53763/古交,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,907.7,1030.6,-11.3,1.3,51,17569,0.0,-,221,1.1,235,1.1,-9.4,-8.0,-,-,23000
53763/古交,小时数据,2024-12-31 08,2024-12-31 08:13:07,CCA,907.6,1030.6,-13.5,1.3,59,25295,0.0,-,247,1.3,249,1.7,-15.2,-13.6,0,-,24600
53763/古交,小时数据,2024-12-31 07,2024-12-31 07:00:44,000,907.4,1030.1,-13.1,1.3,56,30000,0.0,-,247,1.5,251,1.6,-15.1,-13.4,-,-,30000
53763/古交,小时数据,2024-12-31 06,2024-12-31 06:00:42,000,907.1,1029.3,-12.4,1.3,54,22803,0.0,-,267,1.3,258,1.4,-14.8,-12.9,-,-,21100
53763/古交,小时数据,2024-12-31 05,2024-12-31 05:00:45,000,907.4,1029.1,-11.9,1.3,51,27812,0.0,-,263,1.4,260,1.2,-14.6,-12.4,-,-,29000
53763/古交,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,908.1,1029.4,-11.4,1.3,50,30000,0.0,-,250,1.3,253,1.3,-13.8,-11.9,-,-,30000
53763/古交,小时数据,2024-12-31 03,2024-12-31 03:00:42,000,908.6,1029.7,-10.6,1.3,46,26307,0.0,-,253,1.2,243,1.0,-13.4,-11.1,-,-,29400
53763/古交,小时数据,2024-12-31 02,2024-12-31 02:00:40,000,908.8,1029.8,-9.8,1.3,44,30000,0.0,-,248,2.1,257,1.7,-12.4,-10.3,-,-,30000
53763/古交,小时数据,2024-12-31 01,2024-12-31 01:00:43,000,909.1,1030.2,-8.9,1.2,40,30000,0.0,-,255,1.7,254,1.8,-11.7,-9.6,-,-,30000
53763/古交,小时数据,2024-12-31 00,2024-12-31 00:00:50,000,909.4,1030.8,-8.2,1.3,38,30000,0.0,-,279,2.6,270,2.4,-10.5,-8.8,-,-,28400
53763/古交,小时数据,2024-12-30 23,2024-12-30 23:00:40,000,909.8,1031.5,-6.9,1.2,34,26879,0.0,-,250,2.2,262,2.1,-10.0,-7.6,-,-,28300
53763/古交,小时数据,2024-12-30 22,2024-12-30 22:00:44,000,909.8,1032.2,-5.7,1.2,30,30000,0.0,-,259,2.8,252,2.4,-9.0,-6.4,-,-,26200
53763/古交,小时数据,2024-12-30 21,2024-12-30 21:00:44,000,909.6,1031.6,-3.4,1.2,26,18909,0.0,-,248,1.6,261,1.2,-9.1,-5.3,-,-,18600
53763/古交,小时数据,2024-12-30 20,2024-12-30 20:00:46,000,909.5,1031.1,-1.5,1.1,21,30000,0.0,-,296,2.7,290,3.2,-5.4,-2.2,-,-,30000
53763/古交,小时数据,2024-12-30 19,2024-12-30 19:00:44,000,908.9,1030.1,-0.6,1.1,19,30000,0.0,-,276,2.4,270,2.7,-4.9,-1.3,-,-,30000
53763/古交,小时数据,2024-12-30 18,2024-12-30 18:00:39,000,908.1,1029.0,0.6,1.1,17,29083,0.0,-,284,1.9,288,2.0,-4.6,-0.6,-,-,30000
53763/古交,小时数据,2024-12-30 17,2024-12-30 17:00:40,000,907.2,1027.6,2.3,1.1,15,30000,0.0,-,293,4.1,301,4.6,-0.5,1.8,-,-,30000
53763/古交,小时数据,2024-12-30 16,2024-12-30 16:00:44,000,906.3,1026.2,3.8,1.1,14,30000,0.0,-,295,6.2,297,5.4,6.4,6.4,-,-,30000
53763/古交,小时数据,2024-12-30 15,2024-12-30 15:00:38,000,905.7,1025.4,4.2,1.3,16,28351,0.0,-,310,4.7,305,6.0,10.3,7.9,-,-,29300
53763/古交,小时数据,2024-12-30 14,2024-12-30 14:00:42,000,905.3,1024.9,4.0,1.5,18,27758,0.0,-,307,6.6,308,6.6,11.0,7.6,-,-,25700
53763/古交,小时数据,2024-12-30 13,2024-12-30 13:00:39,000,906.1,1026.1,2.8,1.6,22,17461,0.0,-,310,6.1,302,4.9,11.8,7.4,-,-,24800
53763/古交,小时数据,2024-12-30 12,2024-12-30 12:00:46,000,907.1,1027.6,0.7,1.7,26,27966,0.0,-,309,2.6,313,4.3,9.9,5.2,-,-,19500
53763/古交,小时数据,2024-12-30 11,2024-12-30 11:00:38,000,908.3,1029.3,-1.4,1.8,32,12778,0.0,-,252,2.3,264,2.3,7.2,3.5,-,-,15300
53763/古交,小时数据,2024-12-30 10,2024-12-30 10:00:42,000,908.4,1030.2,-5.4,1.7,42,13860,0.0,-,300,2.2,287,2.0,-5.0,-3.7,-,-,13800
53763/古交,小时数据,2024-12-30 09,2024-12-30 09:00:38,000,907.7,1029.1,-6.4,1.8,47,13280,0.0,-,278,0.8,266,0.8,-10.2,-6.6,-,-,10800
53763/古交,小时数据,2024-12-30 08,2024-12-30 08:05:40,CCA,907.2,1028.4,-6.6,1.8,48,11012,0.0,-,239,1.6,246,1.4,-11.1,-7.2,0,-,10800
53763/古交,小时数据,2024-12-30 07,2024-12-30 07:00:43,000,906.4,1026.9,-6.0,1.8,45,17035,0.0,-,126,1.4,68,0.9,-12.4,-7.7,-,-,14400
53763/古交,小时数据,2024-12-30 06,2024-12-30 06:00:40,000,905.8,1026.2,-6.5,1.7,44,16933,0.0,-,250,1.8,251,2.0,-10.3,-7.2,-,-,16900
53763/古交,小时数据,2024-12-30 05,2024-12-30 05:00:44,000,905.1,1025.1,-6.5,1.6,43,19805,0.0,-,238,1.9,246,1.7,-10.3,-7.3,-,-,20200
53763/古交,小时数据,2024-12-30 04,2024-12-30 04:00:39,000,905.0,1024.4,-6.3,1.7,44,19638,0.0,-,247,2.7,251,2.0,-10.7,-7.0,-,-,19300
53763/古交,小时数据,2024-12-30 03,2024-12-30 03:00:40,000,905.3,1024.5,-6.5,1.7,44,16884,0.0,-,250,1.2,226,0.8,-11.3,-7.9,-,-,20300
53763/古交,小时数据,2024-12-30 02,2024-12-30 02:00:41,000,905.0,1024.1,-6.1,1.6,41,21495,0.0,-,242,2.0,242,2.1,-9.1,-6.6,-,-,21400
53763/古交,小时数据,2024-12-30 01,2024-12-30 01:00:45,000,904.8,1024.4,-6.2,1.6,41,22370,0.0,-,245,1.9,255,1.4,-10.0,-7.2,-,-,20800
53763/古交,小时数据,2024-12-30 00,2024-12-30 00:00:46,000,904.7,1025.5,-5.7,1.5,38,20650,0.0,-,249,2.2,248,2.1,-8.5,-6.1,-,-,19900
53763/古交,小时数据,2024-12-29 23,2024-12-29 23:00:41,000,904.8,1026.6,-4.8,1.5,35,20813,0.0,-,246,1.8,240,2.2,-8.3,-5.4,-,-,20500
53763/古交,小时数据,2024-12-29 22,2024-12-29 22:00:40,000,904.8,1027.1,-4.0,1.5,33,18871,0.0,-,253,2.4,244,2.6,-7.0,-4.5,-,-,17800
53763/古交,小时数据,2024-12-29 21,2024-12-29 21:00:44,000,904.4,1027.0,-2.0,1.5,29,18349,0.0,-,271,2.1,275,2.0,-6.5,-2.6,-,-,17200
53763/古交,小时数据,2024-12-29 20,2024-12-29 20:00:40,000,904.2,1026.9,-1.0,1.5,27,18268,0.0,-,273,2.3,270,2.3,-5.5,-2.1,-,-,16600
53763/古交,小时数据,2024-12-29 19,2024-12-29 19:00:42,000,903.6,1025.6,0.9,1.4,22,23202,0.0,-,270,2.2,283,3.0,-2.7,0.3,-,-,23300
53763/古交,小时数据,2024-12-29 18,2024-12-29 18:00:40,000,902.7,1024.5,1.3,1.5,22,27103,0.0,-,285,3.2,275,2.8,-2.2,0.9,-,-,25100
53763/古交,小时数据,2024-12-29 17,2024-12-29 17:00:40,000,902.0,1023.5,2.7,1.4,19,25473,0.0,-,304,5.0,300,5.5,0.3,2.3,-,-,27800
53763/古交,小时数据,2024-12-29 16,2024-12-29 16:00:38,000,901.6,1022.5,4.9,1.4,16,30000,0.0,-,360,2.0,346,2.6,7.5,7.6,-,-,29900
53763/古交,小时数据,2024-12-29 15,2024-12-29 15:00:37,000,901.1,1021.5,6.2,1.4,15,29185,0.0,-,298,5.1,293,4.6,11.6,9.2,-,-,26700
53763/古交,小时数据,2024-12-29 14,2024-12-29 14:00:37,000,900.9,1021.2,5.9,1.3,14,30000,0.0,-,271,5.9,280,4.4,14.4,10.1,-,-,30000
53763/古交,小时数据,2024-12-29 13,2024-12-29 13:00:37,000,902.0,1022.6,3.9,1.3,16,22395,0.0,-,311,5.3,308,5.6,9.4,7.1,-,-,27200
53763/古交,小时数据,2024-12-29 12,2024-12-29 12:00:39,000,903.7,1025.7,-1.9,1.3,24,30000,0.0,-,88,0.9,56,0.8,10.3,2.7,-,-,27100
53763/古交,小时数据,2024-12-29 11,2024-12-29 11:00:41,000,905.2,1028.3,-6.6,1.2,32,29566,0.0,-,315,1.4,323,1.0,4.3,-0.3,-,-,27100
53763/古交,小时数据,2024-12-29 10,2024-12-29 10:00:46,000,906.1,1029.8,-9.8,1.2,40,17694,0.0,-,216,0.8,268,0.7,-1.5,-4.0,-,-,23600
53763/古交,小时数据,2024-12-29 09,2024-12-29 09:00:41,000,906.7,1030.9,-13.1,1.1,51,30000,0.0,-,275,1.7,289,1.0,-10.7,-10.3,-,-,26500
53763/古交,小时数据,2024-12-29 08,2024-12-29 08:04:20,CCA,906.4,1030.5,-14.6,1.1,54,30000,0.0,-,225,1.0,236,1.2,-16.7,-15.0,0,-,30000
53763/古交,小时数据,2024-12-29 07,2024-12-29 07:00:42,000,906.7,1030.2,-14.0,1.1,52,30000,0.0,-,249,1.7,258,1.5,-16.1,-14.4,-,-,30000
53763/古交,小时数据,2024-12-29 06,2024-12-29 06:00:44,000,906.4,1029.2,-14.1,1.1,52,27178,0.0,-,300,1.0,273,1.2,-15.1,-14.2,-,-,26100
53763/古交,小时数据,2024-12-29 05,2024-12-29 05:00:42,000,906.8,1029.4,-14.6,1.0,53,30000,0.0,-,259,1.7,263,1.7,-16.3,-14.8,-,-,30000
53763/古交,小时数据,2024-12-29 04,2024-12-29 04:00:42,000,907.0,1029.4,-14.6,1.0,52,30000,0.0,-,253,2.7,248,2.5,-16.2,-14.9,-,-,24100
53763/古交,小时数据,2024-12-29 03,2024-12-29 03:00:42,000,907.7,1029.9,-13.8,1.0,49,30000,0.0,-,253,1.1,257,1.1,-16.3,-14.3,-,-,30000
53763/古交,小时数据,2024-12-29 02,2024-12-29 02:00:37,000,907.5,1029.7,-13.3,1.0,47,30000,0.0,-,265,1.7,254,1.7,-15.8,-13.9,-,-,30000
53763/古交,小时数据,2024-12-29 01,2024-12-29 01:00:43,000,908.3,1030.6,-12.1,1.0,43,30000,0.0,-,261,2.0,258,1.9,-14.7,-12.6,-,-,30000
53763/古交,小时数据,2024-12-29 00,2024-12-29 00:00:41,000,908.6,1031.1,-11.0,1.1,40,30000,0.0,-,251,1.9,254,2.1,-13.4,-11.5,-,-,30000
53763/古交,小时数据,2024-12-28 23,2024-12-28 23:00:43,000,909.1,1032.2,-10.0,1.0,36,30000,0.0,-,252,2.2,253,2.1,-13.0,-10.6,-,-,30000
53763/古交,小时数据,2024-12-28 22,2024-12-28 22:00:40,000,909.2,1032.9,-8.7,1.0,33,30000,0.0,-,270,2.5,266,2.4,-11.7,-9.5,-,-,30000
53763/古交,小时数据,2024-12-28 21,2024-12-28 21:00:41,000,908.8,1033.2,-7.4,1.1,30,30000,0.0,-,251,3.6,256,3.6,-10.1,-7.9,-,-,30000
53763/古交,小时数据,2024-12-28 20,2024-12-28 20:00:42,000,908.5,1032.8,-5.7,1.1,27,30000,0.0,-,253,2.6,248,2.9,-9.5,-6.7,-,-,30000
53763/古交,小时数据,2024-12-28 19,2024-12-28 19:00:42,000,908.3,1031.9,-3.7,1.2,26,25501,0.0,-,251,1.7,258,1.6,-8.8,-4.9,-,-,22500
53763/古交,小时数据,2024-12-28 18,2024-12-28 18:00:40,000,908.3,1031.1,-0.6,1.1,18,30000,0.0,-,294,1.8,301,2.0,-5.9,-1.9,-,-,30000
53763/古交,小时数据,2024-12-28 17,2024-12-28 17:00:40,000,908.2,1030.7,0.8,1.0,16,30000,0.0,-,307,4.1,304,3.5,-2.0,0.3,-,-,30000
53763/古交,小时数据,2024-12-28 16,2024-12-28 16:00:39,000,908.3,1030.4,1.9,1.1,15,30000,0.0,-,304,4.4,306,4.8,5.9,5.3,-,-,30000
53763/古交,小时数据,2024-12-28 15,2024-12-28 15:00:38,000,908.4,1030.4,2.1,1.1,15,30000,0.0,-,293,4.2,312,4.6,9.2,6.2,-,-,30000
53763/古交,小时数据,2024-12-28 14,2024-12-28 14:00:47,000,909.2,1031.2,1.6,1.1,16,30000,0.0,-,306,4.2,300,4.5,10.5,6.2,-,-,30000
53763/古交,小时数据,2024-12-28 13,2024-12-28 13:00:42,000,910.1,1032.5,0.3,1.1,18,25899,0.0,-,303,5.4,303,5.5,9.4,4.5,-,-,30000
53763/古交,小时数据,2024-12-28 12,2024-12-28 12:00:42,000,911.6,1034.5,-1.5,1.1,21,30000,0.0,-,306,2.7,294,3.2,9.4,4.3,-,-,30000
53763/古交,小时数据,2024-12-28 11,2024-12-28 11:00:42,000,913.2,1037.0,-4.6,1.1,26,22251,0.0,-,217,3.2,219,3.0,5.4,0.2,-,-,27500
53763/古交,小时数据,2024-12-28 10,2024-12-28 10:00:40,000,913.9,1038.5,-8.4,1.2,36,30000,0.0,-,89,0.8,113,1.0,0.3,-2.1,-,-,30000
53763/古交,小时数据,2024-12-28 09,2024-12-28 09:00:40,000,914.3,1039.6,-12.7,1.1,47,30000,0.0,-,288,2.0,261,2.8,-10.5,-11.1,-,-,30000
53763/古交,小时数据,2024-12-28 08,2024-12-28 08:01:41,CCA,914.3,1039.6,-13.9,1.0,50,30000,0.0,-,268,3.7,267,3.7,-15.3,-14.0,0,-,30000
53763/古交,小时数据,2024-12-28 07,2024-12-28 07:00:43,000,914.1,1039.2,-13.5,1.1,49,30000,0.0,-,274,2.8,270,3.1,-15.6,-13.9,-,-,30000
53763/古交,小时数据,2024-12-28 06,2024-12-28 06:00:43,000,914.1,1039.0,-13.3,1.1,49,30000,0.0,-,263,2.0,251,1.7,-16.1,-14.1,-,-,30000
53763/古交,小时数据,2024-12-28 05,2024-12-28 05:00:38,000,914.2,1039.1,-13.5,1.1,51,30000,0.0,-,271,3.7,261,3.5,-15.3,-13.7,-,-,30000
53763/古交,小时数据,2024-12-28 04,2024-12-28 04:00:40,000,914.4,1038.8,-12.9,1.1,49,30000,0.0,-,264,1.7,263,2.1,-15.5,-13.5,-,-,30000
53763/古交,小时数据,2024-12-28 03,2024-12-28 03:00:37,000,914.8,1039.2,-12.4,1.1,48,30000,0.0,-,243,2.4,247,2.8,-14.5,-12.7,-,-,30000
53763/古交,小时数据,2024-12-28 02,2024-12-28 02:00:41,000,915.0,1039.3,-11.7,1.1,45,30000,0.0,-,271,1.7,259,1.9,-14.2,-12.3,-,-,30000
53763/古交,小时数据,2024-12-28 01,2024-12-28 01:00:42,000,915.5,1039.9,-11.4,1.1,44,30000,0.0,-,253,2.8,255,2.0,-13.7,-11.9,-,-,30000
53763/古交,小时数据,2024-12-28 00,2024-12-28 00:01:00,000,916.2,1040.9,-10.8,1.1,42,30000,0.0,-,244,2.1,233,2.5,-13.2,-11.2,-,-,30000
53763/古交,小时数据,2024-12-27 23,2024-12-27 23:00:37,000,916.8,1041.7,-10.4,1.1,41,28965,0.0,-,240,2.5,251,2.4,-12.8,-10.7,-,-,30000
53763/古交,小时数据,2024-12-27 22,2024-12-27 22:00:42,000,917.3,1042.2,-9.4,1.1,38,30000,0.0,-,251,2.0,243,2.3,-11.9,-10.0,-,-,30000
