区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53874/古县,小时数据,2025-01-01 17,2025-01-01 17:00:42,000,944.5,1024.2,6.4,2.5,26,10644,0.0,-,236,1.5,238,1.6,1.2,3.4,-,-,10700
53874/古县,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,943.9,1023.4,7.2,2.4,24,11102,0.0,-,217,2.9,223,2.0,7.1,11.1,-,-,12200
53874/古县,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,943.5,1023.0,6.8,2.4,24,13135,0.0,-,251,2.7,242,2.3,10.1,12.5,-,-,13300
53874/古县,小时数据,2025-01-01 14,2025-01-01 14:00:43,000,943.5,1022.8,6.5,2.2,23,19400,0.0,-,253,2.4,234,2.6,14.0,17.2,-,-,18400
53874/古县,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,944.1,1023.6,6.1,2.3,24,18768,0.0,-,227,1.9,217,2.3,15.7,18.2,-,-,18700
53874/古县,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,945.2,1024.9,4.8,2.1,24,17905,0.0,-,246,2.0,219,2.6,13.4,16.8,-,-,18000
53874/古县,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,946.2,1025.9,4.3,2.2,26,28481,0.0,-,183,1.3,166,1.1,8.8,15.1,-,-,21200
53874/古县,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,946.4,1026.8,0.1,2.3,38,19054,0.0,-,83,0.7,84,0.8,1.9,9.8,-,-,7200
53874/古县,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,945.7,1026.7,-5.6,2.7,66,28890,0.0,-,96,0.5,47,0.6,-6.4,-2.4,-,-,22800
53874/古县,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,944.7,1025.9,-8.6,2.2,69,23533,0.0,-,61,0.6,67,0.6,-9.4,-13.7,-,-,25200
53874/古县,小时数据,2025-01-01 07,2025-01-01 07:00:37,000,944.0,1024.9,-8.1,2.3,68,30000,0.0,-,91,0.5,98,0.3,-9.4,-13.9,-,-,26100
53874/古县,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,943.3,1023.7,-7.9,2.2,65,18866,0.0,-,328,0.6,37,0.3,-9.1,-13.9,-,-,21500
53874/古县,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,943.1,1022.5,-7.5,2.3,67,29644,0.0,-,30,0.5,66,0.6,-8.7,-13.6,-,-,23900
53874/古县,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,943.2,1022.2,-7.3,2.4,67,20333,0.0,-,102,0.6,96,0.4,-8.6,-13.5,-,-,17900
53874/古县,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,943.3,1022.3,-6.9,2.4,65,18966,0.0,-,78,0.5,77,0.5,-8.2,-13.0,-,-,15800
53874/古县,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,943.2,1022.0,-5.6,2.0,50,19349,0.0,-,300,0.6,351,0.5,-7.8,-12.1,-,-,19100
53874/古县,小时数据,2025-01-01 01,2025-01-01 01:00:44,000,943.2,1022.2,-5.9,2.0,52,27977,0.0,-,100,0.7,113,0.6,-7.6,-12.0,-,-,30000
