区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
53478/右玉,小时数据,2025-01-11 21,2025-01-11 21:00:40,000,870.1,1037.1,-11.4,1.8,72,27410,0.1,-,324,3.1,324,3.2,-11.5,-15.4
53478/右玉,小时数据,2025-01-11 20,2025-01-11 20:00:45,000,869.6,1036.5,-10.3,2.2,80,8296,0.1,-,326,3.3,332,3.8,-9.9,-11.0
53478/右玉,小时数据,2025-01-11 19,2025-01-11 19:00:51,000,869.3,1035.6,-10.5,2.3,82,5145,0.0,-,275,1.6,276,1.5,-13.2,-16.1
53478/右玉,小时数据,2025-01-11 18,2025-01-11 18:00:40,000,869.0,1034.4,-9.4,2.3,78,9921,0.0,-,283,2.4,282,2.5,-11.8,-13.7
53478/右玉,小时数据,2025-01-11 17,2025-01-11 17:00:45,000,868.5,1033.2,-8.1,2.2,67,12673,0.0,-,280,3.5,281,3.4,-9.2,-10.2
53478/右玉,小时数据,2025-01-11 16,2025-01-11 16:00:45,000,868.3,1032.2,-6.5,2.4,63,20622,0.0,-,296,3.5,298,4.6,0.5,-0.8
53478/右玉,小时数据,2025-01-11 15,2025-01-11 15:00:46,000,868.0,1031.8,-6.4,2.5,67,20192,0.1,-,279,2.7,286,4.0,2.5,1.9
53478/右玉,小时数据,2025-01-11 14,2025-01-11 14:00:38,000,868.0,1031.9,-6.5,2.0,54,29952,0.0,-,301,5.6,292,4.5,3.4,3.1
53478/右玉,小时数据,2025-01-11 13,2025-01-11 13:00:42,000,868.5,1032.8,-7.1,2.4,67,4678,0.0,-,305,3.0,302,3.9,-2.0,-2.4
53478/右玉,小时数据,2025-01-11 12,2025-01-11 12:00:45,000,869.3,1033.5,-6.4,2.3,61,18180,0.0,-,256,4.7,270,4.1,3.1,3.2
53478/右玉,小时数据,2025-01-11 11,2025-01-11 11:00:46,000,870.2,1035.3,-8.0,2.3,69,12579,0.0,-,198,1.7,205,1.4,-2.3,1.0
53478/右玉,小时数据,2025-01-11 10,2025-01-11 10:00:42,000,870.7,1037.4,-10.7,2.1,76,5272,0.0,-,197,0.8,188,0.6,-9.2,-4.3
53478/右玉,小时数据,2025-01-11 09,2025-01-11 09:00:43,000,871.0,1039.7,-17.0,1.4,86,6613,0.0,-,79,1.2,86,0.8,-17.2,-18.3
53478/右玉,小时数据,2025-01-11 08,2025-01-11 08:25:04,CCB,871.2,1039.8,-18.3,1.2,80,7722,0.0,-,316,0.6,325,0.5,-19.0,-24.9
53478/右玉,小时数据,2025-01-11 07,2025-01-11 07:00:43,000,871.5,1038.2,-16.6,1.4,83,8840,0.0,-,102,1.3,97,1.3,-18.1,-23.9
53478/右玉,小时数据,2025-01-11 06,2025-01-11 06:00:40,000,871.3,1037.2,-15.1,1.6,83,13160,0.0,-,70,0.9,76,0.9,-16.1,-20.2
53478/右玉,小时数据,2025-01-11 05,2025-01-11 05:00:39,000,871.7,1036.9,-14.6,1.7,85,6021,0.0,-,40,0.8,73,0.5,-14.7,-17.2
53478/右玉,小时数据,2025-01-11 04,2025-01-11 04:00:46,000,872.5,1037.3,-14.1,1.7,85,10696,0.0,-,91,0.8,76,0.8,-14.3,-16.4
53478/右玉,小时数据,2025-01-11 03,2025-01-11 03:00:38,000,873.2,1038.0,-14.0,1.7,84,10423,0.0,-,87,0.7,79,0.8,-14.0,-15.9
53478/右玉,小时数据,2025-01-11 02,2025-01-11 02:00:40,000,873.6,1038.6,-14.2,1.7,84,10720,0.0,-,89,0.8,93,0.5,-14.5,-17.1
53478/右玉,小时数据,2025-01-11 01,2025-01-11 01:00:45,000,874.2,1039.4,-14.4,1.7,84,4797,0.0,-,85,1.0,88,1.0,-13.9,-15.8
53478/右玉,小时数据,2025-01-11 00,2025-01-11 00:00:55,000,875.2,1040.9,-14.3,1.7,82,5774,0.0,-,PPC,0.0,PPC,0.0,-13.6,-15.3
53478/右玉,小时数据,2025-01-10 23,2025-01-10 23:00:46,000,876.1,1043.0,-14.9,1.5,80,6379,0.0,-,94,1.1,92,1.0,-14.0,-15.2
53478/右玉,小时数据,2025-01-10 22,2025-01-10 22:00:47,000,876.5,1045.7,-16.6,1.3,79,6938,0.0,-,345,0.9,330,0.8,-15.4,-18.2
53478/右玉,小时数据,2025-01-10 21,2025-01-10 21:00:46,000,876.7,1046.9,-16.0,1.4,77,7604,0.0,-,84,1.0,89,1.0,-16.7,-21.8
53478/右玉,小时数据,2025-01-10 20,2025-01-10 20:00:47,000,876.7,1047.5,-14.3,1.4,70,15898,0.0,-,49,0.7,PPC,0.2,-16.1,-21.6
53478/右玉,小时数据,2025-01-10 19,2025-01-10 19:00:45,000,876.5,1045.7,-10.2,1.7,60,17309,0.0,-,295,1.5,302,1.5,-14.7,-18.7
53478/右玉,小时数据,2025-01-10 18,2025-01-10 18:00:44,000,876.2,1044.5,-9.5,1.7,56,15436,0.0,-,302,1.7,301,1.7,-13.1,-15.6
53478/右玉,小时数据,2025-01-10 17,2025-01-10 17:00:46,000,876.1,1043.4,-7.7,1.7,49,19286,0.0,-,291,3.8,290,3.5,-9.7,-10.1
53478/右玉,小时数据,2025-01-10 16,2025-01-10 16:00:44,000,876.1,1043.0,-6.7,1.5,41,29674,0.0,-,295,4.9,296,3.7,-3.0,-3.9
53478/右玉,小时数据,2025-01-10 15,2025-01-10 15:00:44,000,876.1,1043.1,-6.5,1.3,35,30000,0.0,-,319,2.9,316,3.7,2.6,2.2
53478/右玉,小时数据,2025-01-10 14,2025-01-10 14:00:41,000,876.1,1043.5,-6.5,1.2,32,30000,0.0,-,304,5.0,302,3.7,5.7,4.9
53478/右玉,小时数据,2025-01-10 13,2025-01-10 13:00:45,000,876.6,1044.8,-6.6,1.3,35,30000,0.0,-,292,4.1,289,4.4,6.2,5.0
53478/右玉,小时数据,2025-01-10 12,2025-01-10 12:00:44,000,877.0,1045.8,-7.6,1.2,35,30000,0.0,-,304,3.6,304,3.9,3.7,4.6
53478/右玉,小时数据,2025-01-10 11,2025-01-10 11:00:43,000,877.6,1047.1,-10.1,1.2,42,8266,0.0,-,200,1.9,209,1.7,0.0,2.4
53478/右玉,小时数据,2025-01-10 10,2025-01-10 10:00:43,000,877.6,1048.5,-14.7,1.0,52,11560,0.0,-,246,0.9,224,0.9,-8.0,-4.1
53478/右玉,小时数据,2025-01-10 09,2025-01-10 09:00:43,000,877.2,1049.0,-18.1,1.0,66,4535,0.0,-,241,0.6,247,0.8,-17.4,-17.1
53478/右玉,小时数据,2025-01-10 08,2025-01-10 08:00:43,000,876.9,1049.2,-21.4,0.8,74,5080,0.0,-,40,0.5,39,0.4,-20.3,-23.6
53478/右玉,小时数据,2025-01-10 07,2025-01-10 07:00:39,000,876.6,1048.0,-21.2,0.8,73,12219,0.0,-,81,1.3,78,1.6,-21.5,-26.0
53478/右玉,小时数据,2025-01-10 06,2025-01-10 06:00:42,000,876.4,1045.9,-19.5,0.9,70,9965,0.0,-,74,1.0,51,0.8,-20.4,-25.4
53478/右玉,小时数据,2025-01-10 05,2025-01-10 05:00:43,000,876.3,1043.7,-18.5,0.9,64,18311,0.0,-,69,1.1,64,0.6,-18.2,-20.3
53478/右玉,小时数据,2025-01-10 04,2025-01-10 04:00:42,000,876.6,1043.7,-18.3,0.9,63,9378,0.0,-,280,1.0,274,0.9,-18.7,-21.9
53478/右玉,小时数据,2025-01-10 03,2025-01-10 03:00:38,000,877.1,1044.6,-18.6,0.9,63,9681,0.0,-,85,0.6,79,0.9,-18.1,-20.4
53478/右玉,小时数据,2025-01-10 02,2025-01-10 02:00:45,000,877.4,1045.4,-19.8,0.9,67,10789,0.0,-,PPC,0.0,PPC,0.2,-17.4,-19.1
53478/右玉,小时数据,2025-01-10 01,2025-01-10 01:00:45,000,877.6,1046.6,-21.7,0.7,69,17580,0.0,-,234,0.3,171,0.3,-21.3,-27.0
53478/右玉,小时数据,2025-01-10 00,2025-01-10 00:00:53,000,877.6,1047.4,-22.2,0.7,70,19129,0.0,-,87,0.8,102,0.7,-21.1,-26.1
53478/右玉,小时数据,2025-01-09 23,2025-01-09 23:00:44,000,877.6,1048.4,-21.5,0.7,65,21918,0.0,-,112,0.9,104,0.9,-21.4,-28.1
53478/右玉,小时数据,2025-01-09 22,2025-01-09 22:00:43,000,877.4,1049.1,-20.7,0.7,63,23258,0.0,-,PPC,0.2,PPC,0.2,-20.8,-27.5
53478/右玉,小时数据,2025-01-09 21,2025-01-09 21:00:45,000,877.2,1050.2,-20.0,0.8,60,10162,0.0,-,265,0.7,263,0.8,-20.1,-27.4
53478/右玉,小时数据,2025-01-09 20,2025-01-09 20:00:46,000,876.9,1050.7,-18.4,0.8,54,17597,0.0,-,89,1.5,84,2.1,-18.9,-26.2
53478/右玉,小时数据,2025-01-09 19,2025-01-09 19:00:44,000,877.0,1049.8,-16.1,0.8,45,13791,0.0,-,96,1.8,97,1.6,-17.8,-25.9
