区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53859/吉县,小时数据,2025-01-01 14,2025-01-01 14:00:37,000,921.7,1024.3,7.4,2.2,21,30000,0.0,-,225,2.7,221,3.7,11.5,14.5,-,-,24000
53859/吉县,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,922.1,1024.7,6.5,2.2,23,22005,0.0,-,259,2.5,240,2.3,11.3,17.2,-,-,20700
53859/吉县,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,923.2,1026.5,3.0,2.3,31,18052,0.0,-,234,2.3,224,2.6,7.8,11.5,-,-,18600
53859/吉县,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,924.2,1028.3,-1.0,2.3,40,15973,0.0,-,240,3.3,240,3.3,2.4,6.5,-,-,18700
53859/吉县,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,924.3,1028.9,-4.3,2.2,49,19930,0.0,-,244,2.9,241,2.6,-2.5,1.8,-,-,7400
53859/吉县,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,923.6,1028.6,-7.5,2.1,60,8829,0.0,-,216,0.7,218,0.9,-7.8,-5.7,-,-,4600
53859/吉县,小时数据,2025-01-01 08,2025-01-01 08:40:43,CCA,922.7,1027.6,-8.8,2.0,63,4292,0.0,-,PPC,0.0,PPC,0.2,-10.8,-14.3,0,-,4900
53859/吉县,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,921.7,1026.1,-8.2,1.9,59,9208,0.0,-,44,0.6,59,0.5,-10.4,-13.1,-,-,5700
53859/吉县,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,920.9,1024.6,-7.8,2.0,58,15413,0.0,-,31,1.5,35,1.4,-10.0,-11.5,-,-,15600
53859/吉县,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,920.2,1022.8,-7.3,2.0,56,23574,0.0,-,42,1.3,50,1.3,-9.4,-10.9,-,-,23100
53859/吉县,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,920.3,1022.5,-7.0,2.0,54,22321,0.0,-,44,1.6,43,1.6,-9.0,-9.6,-,-,19300
53859/吉县,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,920.6,1022.8,-6.6,2.0,53,16147,0.0,-,45,0.9,48,0.9,-9.1,-11.6,-,-,13700
53859/吉县,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,920.3,1022.5,-6.0,2.0,52,8895,0.0,-,100,0.9,101,0.8,-8.5,-11.9,-,-,12000
53859/吉县,小时数据,2025-01-01 01,2025-01-01 01:00:48,000,920.0,1022.2,-4.6,2.0,47,9213,0.0,-,80,1.7,75,2.2,-7.0,-7.7,-,-,10200
53859/吉县,小时数据,2025-01-01 00,2025-01-01 00:00:45,000,919.9,1022.6,-4.1,2.1,46,8865,0.0,-,71,3.1,73,2.9,-6.4,-6.3,-,-,7200
53859/吉县,小时数据,2024-12-31 23,2024-12-31 23:00:39,000,919.7,1022.9,-3.5,2.1,44,3965,0.0,-,74,2.1,69,2.2,-6.2,-6.5,-,-,3500
53859/吉县,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,919.6,1023.6,-2.7,2.1,42,4652,0.0,-,65,2.1,69,2.1,-5.5,-5.9,-,-,4600
53859/吉县,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,919.8,1024.3,-1.7,2.1,39,6049,0.0,-,64,2.5,65,2.7,-5.0,-4.3,-,-,5600
53859/吉县,小时数据,2024-12-31 20,2024-12-31 20:00:41,000,919.5,1024.1,-0.5,2.2,37,5947,0.0,-,71,2.5,68,2.6,-4.4,-3.6,-,-,6300
53859/吉县,小时数据,2024-12-31 19,2024-12-31 19:00:38,000,919.4,1023.7,0.6,2.2,34,3972,0.0,-,60,1.9,62,1.9,-4.7,-3.6,-,-,3300
