区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53788/和顺,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,873.0,1021.4,8.2,1.1,10,30000,0.0,-,2,3.3,1,3.6,16.3,18.1,-,-,30000
53788/和顺,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,873.5,1022.1,7.8,1.3,12,30000,0.0,-,339,3.1,357,3.1,15.3,17.1,-,-,30000
53788/和顺,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,874.3,1022.9,7.3,1.5,15,30000,0.0,-,230,0.9,246,1.0,18.7,20.5,-,-,30000
53788/和顺,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,875.3,1025.8,0.4,1.9,31,30000,0.0,-,PPC,0.0,PPC,0.2,11.9,13.2,-,-,25500
53788/和顺,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,875.8,1027.5,-4.8,2.0,46,19128,0.0,-,106,0.6,47,0.6,6.4,7.3,-,-,23700
53788/和顺,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,875.5,1028.3,-9.2,1.8,58,21084,0.0,-,75,0.7,79,0.8,-2.2,-1.3,-,-,23400
53788/和顺,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,875.1,1027.9,-11.4,1.6,63,30000,0.0,-,10,2.4,11,1.8,-12.7,-13.9,-,-,30000
53788/和顺,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,874.8,1026.8,-10.9,1.7,62,30000,0.0,-,24,1.4,28,1.2,-13.4,-15.6,-,-,30000
53788/和顺,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,874.3,1025.0,-10.6,1.7,61,30000,0.0,-,24,0.8,27,1.1,-13.1,-14.8,-,-,30000
53788/和顺,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,873.9,1023.7,-10.2,1.7,59,30000,0.0,-,39,1.5,41,1.4,-12.4,-13.4,-,-,30000
53788/和顺,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,874.2,1023.4,-10.0,1.6,57,30000,0.0,-,37,1.1,25,0.7,-12.8,-14.8,-,-,30000
53788/和顺,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,874.5,1023.8,-9.9,1.6,55,30000,0.0,-,6,1.2,11,2.2,-11.8,-13.0,-,-,30000
53788/和顺,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,874.6,1024.0,-9.3,1.6,53,30000,0.0,-,PPC,0.0,23,0.8,-12.3,-14.8,-,-,30000
53788/和顺,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,874.3,1023.9,-9.0,1.6,51,30000,0.0,-,117,0.7,119,0.7,-11.4,-12.6,-,-,30000
53788/和顺,小时数据,2025-01-01 00,2025-01-01 00:01:02,000,874.4,1024.3,-8.1,1.6,48,30000,0.0,-,48,1.0,84,0.9,-11.5,-13.0,-,-,30000
53788/和顺,小时数据,2024-12-31 23,2024-12-31 23:00:38,000,874.4,1024.6,-7.3,1.6,45,30000,0.0,-,11,1.2,13,1.3,-10.1,-12.1,-,-,30000
53788/和顺,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,874.3,1024.8,-5.6,1.7,41,30000,0.0,-,18,1.4,14,1.4,-9.4,-11.4,-,-,30000
53788/和顺,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,874.2,1026.9,-4.9,1.6,38,30000,0.0,-,2,1.3,10,1.6,-8.2,-10.3,-,-,30000
53788/和顺,小时数据,2024-12-31 20,2024-12-31 20:00:46,000,874.1,1027.2,-2.9,1.7,34,23070,0.0,-,PPC,0.0,108,0.5,-9.2,-9.7,-,-,23000
53788/和顺,小时数据,2024-12-31 19,2024-12-31 19:00:43,000,873.8,1026.3,-1.2,1.7,30,27228,0.0,-,236,0.4,254,0.8,-6.6,-7.3,-,-,19700
53788/和顺,小时数据,2024-12-31 18,2024-12-31 18:00:37,000,873.4,1024.7,2.6,1.7,23,30000,0.0,-,274,1.7,269,1.9,-2.6,-2.9,-,-,27400
53788/和顺,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,873.1,1023.7,5.1,1.5,17,30000,0.0,-,274,2.5,279,2.5,1.6,1.0,-,-,30000
53788/和顺,小时数据,2024-12-31 16,2024-12-31 16:00:46,000,873.1,1023.2,6.9,1.5,15,30000,0.0,-,281,3.0,284,3.2,10.8,12.1,-,-,30000
53788/和顺,小时数据,2024-12-31 15,2024-12-31 15:00:40,000,873.0,1023.0,6.7,1.7,17,30000,0.0,-,273,4.2,271,3.5,13.1,14.8,-,-,30000
53788/和顺,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,873.5,1023.8,5.9,1.7,18,30000,0.0,-,270,4.3,270,4.0,13.1,14.1,-,-,30000
53788/和顺,小时数据,2024-12-31 13,2024-12-31 13:00:44,000,874.3,1024.7,4.8,1.6,19,30000,0.0,-,269,3.5,269,3.5,13.2,14.7,-,-,30000
53788/和顺,小时数据,2024-12-31 12,2024-12-31 12:00:41,000,875.3,1026.0,3.0,1.7,22,30000,0.0,-,275,4.0,262,3.7,10.5,11.6,-,-,30000
53788/和顺,小时数据,2024-12-31 11,2024-12-31 11:00:45,000,876.4,1027.5,1.0,1.6,24,30000,0.0,-,254,3.1,263,3.5,8.0,9.0,-,-,30000
53788/和顺,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,877.4,1029.1,-1.8,1.4,27,30000,0.0,-,253,4.5,256,3.9,3.5,4.2,-,-,28100
53788/和顺,小时数据,2024-12-31 09,2024-12-31 09:00:46,000,877.8,1031.7,-9.9,1.5,53,24141,0.0,-,83,1.1,67,0.7,-2.5,-1.3,-,-,26700
53788/和顺,小时数据,2024-12-31 08,2024-12-31 08:00:41,000,877.8,1032.2,-13.1,1.3,59,26895,0.0,-,33,0.8,30,1.2,-14.7,-16.4,-,-,30000
53788/和顺,小时数据,2024-12-31 07,2024-12-31 07:00:45,000,877.5,1031.2,-13.0,1.3,59,30000,0.0,-,PPC,0.0,PPC,0.0,-16.1,-18.4,-,-,30000
53788/和顺,小时数据,2024-12-31 06,2024-12-31 06:00:41,000,877.2,1030.1,-13.1,1.3,59,30000,0.0,-,111,1.1,119,0.8,-15.3,-16.2,-,-,30000
53788/和顺,小时数据,2024-12-31 05,2024-12-31 05:00:45,000,877.6,1030.3,-13.6,1.3,60,30000,0.0,-,26,1.1,38,1.0,-15.7,-17.9,-,-,30000
53788/和顺,小时数据,2024-12-31 04,2024-12-31 04:00:44,000,878.2,1030.7,-13.5,1.3,58,30000,0.0,-,22,1.4,18,1.2,-15.5,-18.0,-,-,30000
53788/和顺,小时数据,2024-12-31 03,2024-12-31 03:00:40,000,879.0,1031.4,-13.2,1.3,57,30000,0.0,-,32,1.2,29,1.1,-15.3,-17.9,-,-,30000
