区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53968/垣曲,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,959.0,1020.8,10.3,2.3,18,13229,0.0,-,299,5.9,298,6.0,12.0,11.0,-,-,14400
53968/垣曲,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,958.6,1020.2,11.2,2.3,17,17289,0.0,-,301,6.5,303,7.1,15.7,14.1,-,-,16000
53968/垣曲,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,958.6,1020.2,11.3,2.3,17,19289,0.0,-,302,6.0,303,6.4,17.4,15.0,-,-,14300
53968/垣曲,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,959.0,1020.7,10.6,2.3,18,17856,0.0,-,305,6.0,301,5.8,17.4,14.7,-,-,13600
53968/垣曲,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,960.1,1021.9,9.9,2.3,19,17360,0.0,-,304,8.4,302,7.5,15.0,12.7,-,-,15200
53968/垣曲,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,961.3,1023.2,8.9,2.3,20,13823,0.0,-,306,6.5,303,5.7,13.1,11.4,-,-,16100
53968/垣曲,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,961.1,1023.1,8.0,2.5,23,14584,0.0,-,287,4.3,284,4.9,9.3,9.7,-,-,13400
53968/垣曲,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,960.3,1022.3,5.6,2.5,27,13637,0.0,-,296,5.6,300,6.7,3.2,4.9,-,-,13500
53968/垣曲,小时数据,2025-01-01 08,2025-01-01 08:01:40,CCA,959.2,1021.7,0.3,3.1,50,15196,0.0,-,304,3.3,313,2.3,-5.6,-4.9,0,-,13500
53968/垣曲,小时数据,2025-01-01 07,2025-01-01 07:00:37,000,959.0,1021.9,-4.8,2.7,64,13361,0.0,-,234,1.5,170,1.2,-7.4,-7.1,-,-,14200
53968/垣曲,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,958.8,1021.2,-5.2,2.9,69,14143,0.0,-,163,0.8,49,0.6,-8.1,-9.0,-,-,13300
53968/垣曲,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,958.7,1020.6,-5.3,2.9,71,12606,0.0,-,24,0.6,8,0.6,-8.2,-9.4,-,-,12300
53968/垣曲,小时数据,2025-01-01 04,2025-01-01 04:00:44,000,959.1,1020.9,-5.2,2.9,70,13089,0.0,-,182,0.3,201,0.5,-8.1,-9.7,-,-,13000
53968/垣曲,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,959.2,1020.9,-4.8,2.9,67,14665,0.0,-,112,0.7,PPC,0.2,-7.9,-9.3,-,-,12700
53968/垣曲,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,959.4,1021.2,-4.8,2.6,61,9709,0.0,-,165,0.5,PPC,0.0,-7.8,-9.6,-,-,10800
53968/垣曲,小时数据,2025-01-01 01,2025-01-01 01:00:42,000,959.6,1021.5,-4.2,2.8,62,13419,0.0,-,102,0.6,135,0.6,-7.6,-9.3,-,-,10600
53968/垣曲,小时数据,2025-01-01 00,2025-01-01 00:00:46,000,959.6,1021.6,-4.0,2.5,56,11532,0.0,-,167,0.6,147,0.6,-7.3,-8.9,-,-,11300
53968/垣曲,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,960.0,1022.1,-3.2,2.6,54,15237,0.0,-,161,0.4,213,0.3,-7.2,-8.7,-,-,15100
53968/垣曲,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,960.3,1022.7,-2.9,2.6,52,11851,0.0,-,141,0.7,153,0.8,-6.9,-8.3,-,-,11000
53968/垣曲,小时数据,2024-12-31 21,2024-12-31 21:00:37,000,960.4,1023.3,-1.7,2.5,46,13408,0.0,-,PPC,0.0,PPC,0.0,-6.2,-7.4,-,-,13600
