区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53885/壶关,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,889.3,1020.1,8.9,1.6,14,30000,0.0,-,340,1.8,2,1.8,12.2,16.5,-,-,30000
53885/壶关,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,888.9,1019.7,9.1,1.5,13,30000,0.0,-,334,2.8,313,2.6,18.6,19.0,-,-,30000
53885/壶关,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,888.9,1019.8,8.6,1.7,15,30000,0.0,-,304,3.0,314,3.0,21.8,19.5,-,-,30000
53885/壶关,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,889.5,1020.3,7.5,2.0,19,30000,0.0,-,340,1.8,333,1.8,22.6,20.1,-,-,30000
53885/壶关,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,890.5,1022.0,6.0,2.0,21,30000,0.0,-,273,1.1,286,1.5,20.2,18.5,-,-,30000
53885/壶关,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,891.6,1023.5,4.3,2.3,28,22031,0.0,-,89,1.4,112,1.4,14.8,15.0,-,-,29600
53885/壶关,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,891.3,1024.0,0.4,2.1,34,23825,0.0,-,271,0.7,228,1.1,7.0,10.3,-,-,30000
53885/壶关,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,890.5,1023.4,-1.4,2.0,37,30000,0.0,-,180,0.7,190,0.8,-4.1,4.6,-,-,30000
53885/壶关,小时数据,2025-01-01 08,2025-01-01 08:16:33,CCA,889.7,1022.9,-3.7,2.0,42,30000,0.0,-,198,1.4,198,1.5,-7.9,-5.7,0,-,30000
53885/壶关,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,889.7,1022.4,-2.3,1.9,37,30000,0.0,-,279,2.0,284,1.9,-8.3,-6.0,-,-,30000
53885/壶关,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,889.0,1021.2,-1.9,1.9,35,30000,0.0,-,222,1.1,223,1.0,-8.1,-6.8,-,-,30000
53885/壶关,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,888.9,1020.3,-1.1,1.8,32,30000,0.0,-,232,1.3,224,1.3,-7.5,-5.2,-,-,30000
53885/壶关,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,889.1,1020.2,-1.3,1.8,32,30000,0.0,-,189,2.0,196,2.0,-6.7,-4.5,-,-,30000
53885/壶关,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,889.6,1020.7,-1.7,1.7,32,30000,0.0,-,176,3.9,173,4.2,-6.0,-3.8,-,-,30000
53885/壶关,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,889.6,1020.6,-1.5,1.7,31,30000,0.0,-,193,3.2,197,3.0,-6.0,-4.0,-,-,30000
53885/壶关,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,889.5,1020.4,0.2,1.7,28,30000,0.0,-,238,1.7,249,1.7,-6.8,-3.8,-,-,30000
53885/壶关,小时数据,2025-01-01 00,2025-01-01 00:00:41,000,889.6,1021.0,-0.3,1.9,31,30000,0.0,-,191,2.7,200,2.6,-5.7,-2.6,-,-,30000
53885/壶关,小时数据,2024-12-31 23,2024-12-31 23:00:41,000,889.9,1021.7,0.4,1.8,29,30000,0.0,-,189,2.5,193,2.6,-4.9,-2.1,-,-,30000
53885/壶关,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,890.0,1022.5,0.9,1.8,28,30000,0.0,-,201,3.4,201,3.1,-4.1,-1.3,-,-,30000
53885/壶关,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,890.1,1023.6,1.6,1.9,27,30000,0.0,-,193,3.4,196,3.2,-3.5,-0.6,-,-,30000
53885/壶关,小时数据,2024-12-31 20,2024-12-31 20:00:46,000,890.0,1024.0,2.1,1.9,27,30000,0.0,-,192,3.7,192,3.4,-3.4,-0.1,-,-,30000
53885/壶关,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,889.6,1023.5,2.6,1.9,26,30000,0.0,-,173,3.6,176,3.8,-3.0,0.1,-,-,30000
53885/壶关,小时数据,2024-12-31 18,2024-12-31 18:00:46,000,889.3,1022.9,3.8,1.8,23,30000,0.0,-,174,3.9,174,4.0,-1.6,1.4,-,-,30000
53885/壶关,小时数据,2024-12-31 17,2024-12-31 17:00:38,000,889.2,1022.2,6.0,1.8,19,30000,0.0,-,208,5.6,199,4.9,2.4,5.7,-,-,30000
53885/壶关,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,889.3,1022.0,7.6,1.8,17,30000,0.0,-,202,4.7,207,5.1,9.9,12.2,-,-,30000
53885/壶关,小时数据,2024-12-31 15,2024-12-31 15:00:37,000,889.5,1021.8,8.4,1.8,16,30000,0.0,-,225,5.5,204,4.9,15.6,15.0,-,-,30000
53885/壶关,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,890.1,1022.5,8.5,1.7,15,30000,0.0,-,242,6.7,228,6.1,18.5,15.3,-,-,30000
53885/壶关,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,891.1,1023.7,7.1,1.8,18,30000,0.0,-,188,3.7,179,4.2,19.9,16.3,-,-,30000
53885/壶关,小时数据,2024-12-31 12,2024-12-31 12:00:37,000,892.4,1025.1,5.9,1.9,20,30000,0.0,-,194,4.9,201,4.8,17.1,14.0,-,-,30000
53885/壶关,小时数据,2024-12-31 11,2024-12-31 11:00:37,000,893.5,1026.7,3.8,1.8,22,29998,0.0,-,185,3.6,176,3.0,13.4,12.5,-,-,30000
53885/壶关,小时数据,2024-12-31 10,2024-12-31 10:00:42,000,894.1,1028.0,0.5,1.8,29,26828,0.0,-,187,2.4,179,2.7,6.2,9.1,-,-,28200
53885/壶关,小时数据,2024-12-31 09,2024-12-31 09:00:38,000,894.2,1029.1,-4.2,1.8,40,30000,0.0,-,233,2.5,229,2.6,-5.6,1.2,-,-,26200
53885/壶关,小时数据,2024-12-31 08,2024-12-31 08:52:32,CCA,894.1,1029.3,-6.7,1.7,46,30000,0.0,-,187,3.3,187,3.3,-9.1,-7.8,0,-,30000
53885/壶关,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,894.0,1028.8,-6.8,1.7,46,30000,0.0,-,207,3.0,208,3.0,-9.6,-8.1,-,-,30000
53885/壶关,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,893.8,1028.5,-7.2,1.7,47,30000,0.0,-,233,2.8,227,2.5,-9.8,-8.9,-,-,30000
53885/壶关,小时数据,2024-12-31 05,2024-12-31 05:00:42,000,894.1,1028.5,-7.2,1.7,47,30000,0.0,-,240,1.9,240,2.0,-10.3,-9.2,-,-,30000
53885/壶关,小时数据,2024-12-31 04,2024-12-31 04:00:43,000,894.7,1029.0,-7.3,1.7,48,30000,0.0,-,237,1.9,228,2.1,-9.7,-9.1,-,-,30000
53885/壶关,小时数据,2024-12-31 03,2024-12-31 03:00:39,000,895.4,1029.6,-6.6,1.6,44,30000,0.0,-,219,2.6,225,2.5,-9.2,-8.1,-,-,25300
