区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
57060/夏县,小时数据,2025-01-01 20,2025-01-01 20:00:45,000,977.1,1028.2,2.5,2.6,36,14665,0.0,-,159,2.7,159,2.4,-1.4,-6.8
57060/夏县,小时数据,2025-01-01 19,2025-01-01 19:00:41,000,975.8,1026.7,3.4,2.6,34,11843,0.0,-,159,2.1,155,2.1,-1.1,-7.8
57060/夏县,小时数据,2025-01-01 18,2025-01-01 18:00:39,000,974.7,1025.6,2.8,2.8,37,10560,0.0,-,160,2.1,166,2.0,-0.7,-7.6
57060/夏县,小时数据,2025-01-01 17,2025-01-01 17:00:43,000,973.9,1024.3,8.0,2.8,26,10704,0.0,-,179,1.1,175,1.1,-0.1,-0.3
57060/夏县,小时数据,2025-01-01 16,2025-01-01 16:00:41,000,973.7,1024.0,8.8,2.9,26,11422,0.0,-,192,2.3,207,2.7,4.7,11.2
57060/夏县,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,973.3,1023.5,9.2,2.8,24,10545,0.0,-,219,2.4,214,2.2,7.3,15.8
57060/夏县,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,973.6,1023.8,8.7,2.6,23,11053,0.0,-,227,2.9,224,2.8,8.3,17.7
57060/夏县,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,974.5,1024.8,7.4,3.0,29,9452,0.0,-,229,2.7,230,3.4,7.0,16.8
57060/夏县,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,975.2,1025.6,6.4,3.0,31,10630,0.0,-,229,2.7,235,2.6,4.4,15.4
57060/夏县,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,976.3,1026.9,4.6,3.2,38,10158,0.0,-,224,2.8,217,3.2,1.2,12.5
57060/夏县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,976.3,1027.1,1.6,3.6,52,4845,0.0,-,275,1.3,269,1.5,-0.6,7.7
57060/夏县,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,975.3,1026.6,-5.1,3.6,85,6491,0.0,-,173,0.9,164,0.9,-3.2,-2.6
57060/夏县,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,974.2,1025.7,-9.0,2.4,78,7092,0.0,-,76,0.7,78,1.3,-5.0,-11.7
57060/夏县,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,973.1,1024.3,-8.7,2.5,80,10998,0.0,-,205,1.5,185,1.6,-4.8,-12.1
57060/夏县,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,972.6,1023.4,-8.5,2.6,80,9372,0.0,-,171,1.1,179,0.7,-4.7,-12.1
57060/夏县,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,972.7,1022.9,-8.7,2.5,79,3060,0.0,-,PPC,0.0,PPC,0.0,-4.5,-12.2
57060/夏县,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,972.5,1022.5,-8.5,2.5,78,6024,0.0,-,98,1.0,79,0.8,-4.3,-11.8
57060/夏县,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,972.1,1022.1,-8.0,2.7,80,5571,0.0,-,147,1.1,157,1.3,-3.8,-11.8
