区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53487/大同,小时数据,2025-01-12 18,2025-01-12 18:00:42,000,897.3,1030.3,-8.2,1.3,40,26907,0.0,-,20,1.9,24,1.8,-9.7,-13.7,-,-,21500
53487/大同,小时数据,2025-01-12 17,2025-01-12 17:00:40,000,897.2,1029.0,-4.6,1.4,33,29334,0.0,-,192,1.0,201,1.4,-6.7,-7.5,-,-,30000
53487/大同,小时数据,2025-01-12 16,2025-01-12 16:00:49,000,897.7,1029.0,-3.7,1.5,32,30000,0.0,-,233,3.6,216,3.1,0.9,1.0,-,-,30000
53487/大同,小时数据,2025-01-12 15,2025-01-12 15:00:47,000,898.2,1029.1,-4.5,1.5,34,30000,0.0,-,231,3.5,249,3.3,2.9,1.1,-,-,29200
53487/大同,小时数据,2025-01-12 14,2025-01-12 14:00:45,000,899.0,1029.5,-5.3,1.5,37,28265,0.0,-,248,3.3,228,2.5,3.5,0.2,-,-,28900
53487/大同,小时数据,2025-01-12 13,2025-01-12 13:00:43,000,900.3,1030.9,-6.0,1.6,41,27555,0.0,-,224,2.8,249,2.9,7.3,3.8,-,-,24300
53487/大同,小时数据,2025-01-12 12,2025-01-12 12:00:47,000,901.7,1032.7,-7.4,1.6,45,23344,0.0,-,261,2.9,244,2.1,5.2,2.2,-,-,16200
53487/大同,小时数据,2025-01-12 11,2025-01-12 11:00:47,000,902.9,1034.1,-8.9,1.5,47,20034,0.0,-,259,2.2,203,2.3,0.6,0.6,-,-,18300
53487/大同,小时数据,2025-01-12 10,2025-01-12 10:00:47,000,903.4,1035.1,-11.3,1.5,58,30000,0.0,-,270,2.3,283,2.2,-6.3,-2.4,-,-,22800
53487/大同,小时数据,2025-01-12 09,2025-01-12 09:00:43,000,903.4,1036.2,-16.5,1.3,78,8612,0.0,-,296,0.5,304,0.7,-14.4,-8.3,-,-,6600
53487/大同,小时数据,2025-01-12 08,2025-01-12 08:00:48,000,903.3,1037.1,-20.8,0.9,80,8321,0.0,-,345,1.3,349,1.0,-20.1,-25.4,-,-,8400
53487/大同,小时数据,2025-01-12 07,2025-01-12 07:00:45,000,903.1,1036.3,-21.6,0.9,81,15358,0.0,-,32,1.1,352,0.6,-20.2,-25.8,-,-,14200
53487/大同,小时数据,2025-01-12 06,2025-01-12 06:00:47,000,903.3,1036.7,-22.4,0.8,79,19261,0.0,-,353,0.8,359,0.8,-19.9,-26.1,-,-,12300
53487/大同,小时数据,2025-01-12 05,2025-01-12 05:00:44,000,903.5,1036.3,-21.6,0.8,77,16692,0.0,-,25,1.3,21,0.8,-19.5,-25.7,-,-,17500
53487/大同,小时数据,2025-01-12 04,2025-01-12 04:00:47,000,903.5,1035.7,-20.3,0.9,77,18038,0.0,-,348,0.4,323,0.4,-19.0,-25.2,-,-,17600
53487/大同,小时数据,2025-01-12 03,2025-01-12 03:00:42,000,903.8,1035.1,-17.8,1.1,75,16365,0.0,-,282,1.6,288,1.5,-18.3,-24.5,-,-,15500
53487/大同,小时数据,2025-01-12 02,2025-01-12 02:00:47,000,903.9,1034.4,-14.8,1.3,68,24943,0.0,-,297,1.4,300,1.7,-17.3,-22.7,-,-,22200
53487/大同,小时数据,2025-01-12 01,2025-01-12 01:00:45,000,904.1,1034.4,-13.7,1.4,66,24793,0.0,-,323,2.2,304,2.2,-15.9,-16.7,-,-,19700
53487/大同,小时数据,2025-01-12 00,2025-01-12 00:00:45,000,904.2,1034.6,-13.0,1.4,64,22223,0.0,-,289,1.2,294,1.6,-15.4,-17.6,-,-,20600
53487/大同,小时数据,2025-01-11 23,2025-01-11 23:00:43,000,904.2,1034.8,-11.8,1.5,61,14297,0.0,-,306,2.4,302,2.3,-14.2,-14.8,-,-,16800
53487/大同,小时数据,2025-01-11 22,2025-01-11 22:00:44,000,903.7,1034.7,-10.8,1.6,58,27025,0.0,-,334,2.3,334,2.3,-13.4,-14.7,-,-,23400
53487/大同,小时数据,2025-01-11 21,2025-01-11 21:00:43,000,903.3,1035.7,-10.0,1.7,60,24307,0.0,-,334,2.9,331,2.8,-12.6,-12.9,-,-,19700
53487/大同,小时数据,2025-01-11 20,2025-01-11 20:41:21,CCA,902.9,1035.8,-9.2,2.1,69,13141,0.0,-,329,1.7,332,1.9,-11.7,-15.3,-,-,13900
53487/大同,小时数据,2025-01-11 19,2025-01-11 19:00:48,000,902.3,1033.6,-6.5,2.1,56,14731,0.0,-,3,2.3,343,2.8,-9.0,-9.2,-,-,19100
53487/大同,小时数据,2025-01-11 18,2025-01-11 18:00:43,000,901.7,1032.9,-6.3,2.4,64,16868,0.0,-,333,1.9,338,2.6,-8.3,-9.8,-,-,15700
53487/大同,小时数据,2025-01-11 17,2025-01-11 17:00:46,000,901.3,1032.6,-4.9,2.6,61,17112,0.0,-,5,3.4,9,4.1,-4.4,-5.2,-,-,17600
53487/大同,小时数据,2025-01-11 16,2025-01-11 16:00:46,000,900.9,1031.8,-3.7,2.5,54,20539,0.0,-,8,4.4,9,4.3,-0.6,-2.2,-,-,21200
53487/大同,小时数据,2025-01-11 15,2025-01-11 15:00:45,000,900.7,1031.2,-2.8,2.3,47,19013,0.0,-,353,1.8,353,2.2,4.7,7.3,-,-,18300
53487/大同,小时数据,2025-01-11 14,2025-01-11 14:00:47,000,900.9,1030.9,-2.8,2.8,56,19013,0.0,-,356,4.3,355,4.3,7.3,7.6,-,-,18300
53487/大同,小时数据,2025-01-11 13,2025-01-11 13:00:47,000,901.6,1031.8,-3.0,2.2,44,16764,0.0,-,274,3.2,284,3.3,5.9,5.7,-,-,17300
53487/大同,小时数据,2025-01-11 12,2025-01-11 12:00:46,000,902.6,1033.1,-3.8,2.1,45,16762,0.0,-,300,3.2,300,3.7,5.5,4.7,-,-,12100
53487/大同,小时数据,2025-01-11 11,2025-01-11 11:00:41,000,903.9,1034.9,-5.8,2.2,55,12310,0.0,-,283,2.0,254,1.7,1.6,3.2,-,-,12000
53487/大同,小时数据,2025-01-11 10,2025-01-11 10:00:40,000,904.5,1037.0,-8.8,2.0,65,11694,0.0,-,340,0.6,338,0.7,-4.1,2.3,-,-,6700
53487/大同,小时数据,2025-01-11 09,2025-01-11 09:00:47,000,904.8,1039.3,-14.9,1.6,82,3915,0.0,-,22,0.3,19,0.4,-11.2,-9.8,-,-,4000
53487/大同,小时数据,2025-01-11 08,2025-01-11 08:00:40,000,905.0,1039.4,-17.7,1.2,79,8580,0.0,-,357,0.7,359,0.9,-16.2,-20.4,-,-,8100
53487/大同,小时数据,2025-01-11 07,2025-01-11 07:00:42,000,905.2,1037.3,-14.8,1.4,71,11535,0.0,-,353,0.5,353,0.6,-15.2,-19.3,-,-,11800
53487/大同,小时数据,2025-01-11 06,2025-01-11 06:00:45,000,904.9,1036.6,-14.9,1.4,71,15154,0.0,-,PPC,0.0,PPC,0.0,-12.9,-14.6,-,-,13100
53487/大同,小时数据,2025-01-11 05,2025-01-11 05:00:40,000,905.5,1037.5,-17.2,1.2,74,13568,0.0,-,PPC,0.0,PPC,0.0,-15.6,-19.3,-,-,13100
53487/大同,小时数据,2025-01-11 04,2025-01-11 04:00:46,000,906.2,1037.9,-17.1,1.2,74,14468,0.0,-,13,1.7,9,1.2,-14.9,-18.3,-,-,13400
53487/大同,小时数据,2025-01-11 03,2025-01-11 03:00:45,000,907.0,1038.5,-16.5,1.2,71,14247,0.0,-,PPC,0.0,300,0.3,-16.0,-20.7,-,-,14300
53487/大同,小时数据,2025-01-11 02,2025-01-11 02:00:41,000,907.4,1038.6,-14.3,1.3,63,13881,0.0,-,293,0.9,302,0.9,-14.7,-18.6,-,-,13100
53487/大同,小时数据,2025-01-11 01,2025-01-11 01:00:41,000,908.2,1039.9,-14.5,1.3,63,16772,0.0,-,344,0.5,5,0.5,-13.2,-15.7,-,-,16200
53487/大同,小时数据,2025-01-11 00,2025-01-11 00:00:42,000,909.1,1041.3,-14.5,1.2,62,24521,0.0,-,316,0.6,295,0.8,-13.8,-16.9,-,-,22600
53487/大同,小时数据,2025-01-10 23,2025-01-10 23:00:46,000,909.8,1042.4,-13.4,1.2,57,24275,0.0,-,241,0.9,243,0.8,-14.2,-17.6,-,-,22500
53487/大同,小时数据,2025-01-10 22,2025-01-10 22:00:48,000,910.4,1044.3,-16.0,1.1,61,15274,0.0,-,354,0.5,19,1.0,-14.2,-17.2,-,-,12800
53487/大同,小时数据,2025-01-10 21,2025-01-10 21:00:46,000,910.4,1046.1,-16.9,1.0,62,14325,0.0,-,14,1.8,14,1.7,-15.9,-21.3,-,-,10200
53487/大同,小时数据,2025-01-10 20,2025-01-10 20:00:48,000,910.2,1046.8,-13.8,1.0,48,19573,0.0,-,21,0.6,15,0.8,-15.4,-21.0,-,-,18200
53487/大同,小时数据,2025-01-10 19,2025-01-10 19:00:47,000,909.8,1044.5,-7.9,1.3,40,29885,0.0,-,291,1.8,293,1.7,-13.3,-13.9,-,-,25200
53487/大同,小时数据,2025-01-10 18,2025-01-10 18:00:44,000,909.5,1043.3,-6.7,1.2,33,30000,0.0,-,312,2.1,313,2.4,-11.7,-12.1,-,-,28700
53487/大同,小时数据,2025-01-10 17,2025-01-10 17:00:46,000,909.1,1042.0,-4.9,1.3,30,15501,0.0,-,242,2.5,241,2.5,-7.7,-7.2,-,-,15500
53487/大同,小时数据,2025-01-10 16,2025-01-10 16:00:44,000,909.0,1041.9,-3.8,1.3,28,13681,0.0,-,241,3.2,230,2.7,-1.8,0.1,-,-,14300
53487/大同,小时数据,2025-01-10 15,2025-01-10 15:00:45,000,909.0,1041.8,-3.1,1.3,27,30000,0.0,-,312,2.4,280,2.8,3.9,4.6,-,-,28200
53487/大同,小时数据,2025-01-10 14,2025-01-10 14:00:45,000,909.5,1042.8,-3.9,1.2,27,29416,0.0,-,282,2.4,294,2.9,6.8,6.0,-,-,28000
53487/大同,小时数据,2025-01-10 13,2025-01-10 13:00:45,000,910.1,1043.8,-5.0,1.2,28,21685,0.0,-,260,2.5,269,2.4,7.3,5.7,-,-,26900
53487/大同,小时数据,2025-01-10 12,2025-01-10 12:00:43,000,911.1,1045.5,-6.6,1.0,28,26957,0.0,-,266,3.0,268,3.0,4.7,3.0,-,-,20200
53487/大同,小时数据,2025-01-10 11,2025-01-10 11:00:43,000,911.6,1046.5,-8.6,1.1,34,21841,0.0,-,276,2.6,265,2.4,0.2,0.9,-,-,17200
53487/大同,小时数据,2025-01-10 10,2025-01-10 10:00:43,000,911.7,1047.2,-10.7,1.1,39,19364,0.0,-,309,2.4,308,2.6,-7.2,-2.6,-,-,20000
53487/大同,小时数据,2025-01-10 09,2025-01-10 09:00:46,000,911.6,1047.9,-16.4,1.1,66,15639,0.0,-,291,2.0,294,1.6,-15.1,-9.5,-,-,7900
53487/大同,小时数据,2025-01-10 08,2025-01-10 08:00:44,000,910.9,1048.5,-22.8,0.7,76,12012,0.0,-,330,1.0,323,1.0,-20.5,-25.8,-,-,11800
53487/大同,小时数据,2025-01-10 07,2025-01-10 07:00:40,000,910.9,1048.2,-22.0,0.8,73,17251,0.0,-,5,1.4,8,1.6,-20.2,-26.1,-,-,25200
53487/大同,小时数据,2025-01-10 06,2025-01-10 06:00:42,000,910.7,1046.0,-20.2,0.9,71,30000,0.0,-,347,0.5,308,0.6,-19.3,-24.5,-,-,27700
53487/大同,小时数据,2025-01-10 05,2025-01-10 05:00:39,000,910.5,1044.1,-18.9,0.9,68,24389,0.0,-,259,0.8,234,0.8,-17.7,-22.0,-,-,22000
53487/大同,小时数据,2025-01-10 04,2025-01-10 04:00:42,000,910.7,1044.3,-20.0,0.9,73,18521,0.0,-,322,0.3,306,0.5,-16.7,-19.9,-,-,17500
53487/大同,小时数据,2025-01-10 03,2025-01-10 03:00:39,000,911.5,1045.5,-20.3,0.9,71,18182,0.0,-,314,1.0,340,1.3,-18.9,-23.8,-,-,19400
53487/大同,小时数据,2025-01-10 02,2025-01-10 02:00:39,000,911.5,1045.8,-20.9,0.8,72,14087,0.0,-,306,0.9,311,1.2,-19.5,-25.3,-,-,9900
53487/大同,小时数据,2025-01-10 01,2025-01-10 01:00:45,000,911.5,1046.2,-21.2,0.8,71,19437,0.0,-,330,0.8,322,0.8,-19.4,-25.4,-,-,15400
53487/大同,小时数据,2025-01-10 00,2025-01-10 00:00:56,000,911.7,1046.9,-21.5,0.8,69,8269,0.0,-,25,1.0,41,1.3,-19.7,-26.1,-,-,6500
53487/大同,小时数据,2025-01-09 23,2025-01-09 23:00:43,000,911.8,1047.4,-21.0,0.8,71,7695,0.0,-,320,1.1,337,1.3,-19.3,-25.9,-,-,5400
53487/大同,小时数据,2025-01-09 22,2025-01-09 22:00:44,000,911.3,1047.2,-20.9,0.8,69,13204,0.0,-,343,0.7,335,0.8,-18.9,-25.2,-,-,14300
53487/大同,小时数据,2025-01-09 21,2025-01-09 21:00:44,000,911.6,1047.4,-18.3,0.8,58,12891,0.0,-,75,1.0,74,1.1,-18.2,-24.5,-,-,10900
53487/大同,小时数据,2025-01-09 20,2025-01-09 20:00:49,000,911.5,1047.0,-16.6,0.9,51,23489,0.0,-,315,0.9,314,0.7,-17.2,-24.0,-,-,23200
53487/大同,小时数据,2025-01-09 19,2025-01-09 19:00:45,000,911.3,1046.9,-16.4,0.8,49,24621,0.0,-,334,1.3,327,1.1,-15.9,-23.2,-,-,22400
53487/大同,小时数据,2025-01-09 18,2025-01-09 18:00:46,000,911.1,1045.3,-11.2,0.9,36,22705,0.0,-,PPC,0.2,18,0.4,-13.7,-20.5,-,-,24200
53487/大同,小时数据,2025-01-09 17,2025-01-09 17:00:39,000,910.5,1043.3,-6.7,1.0,28,26201,0.0,-,225,1.7,224,1.4,-8.7,-10.5,-,-,27000
53487/大同,小时数据,2025-01-09 16,2025-01-09 16:00:47,000,910.5,1043.0,-5.4,1.0,25,30000,0.0,-,225,1.0,235,1.1,-1.4,2.2,-,-,30000
53487/大同,小时数据,2025-01-09 15,2025-01-09 15:00:45,000,910.6,1043.2,-6.1,1.0,26,30000,0.0,-,256,2.5,246,2.3,3.4,2.4,-,-,30000
53487/大同,小时数据,2025-01-09 14,2025-01-09 14:00:43,000,910.5,1043.0,-6.6,1.0,28,30000,0.0,-,220,2.5,234,2.5,6.4,3.8,-,-,30000
53487/大同,小时数据,2025-01-09 13,2025-01-09 13:00:41,000,911.2,1044.4,-7.8,1.0,30,30000,0.0,-,292,2.2,256,2.4,6.8,3.0,-,-,30000
53487/大同,小时数据,2025-01-09 12,2025-01-09 12:00:44,000,911.8,1045.5,-9.1,1.1,37,30000,0.0,-,267,2.5,251,1.7,4.9,1.7,-,-,30000
53487/大同,小时数据,2025-01-09 11,2025-01-09 11:00:45,000,912.2,1046.1,-10.9,1.2,44,30000,0.0,-,284,2.3,299,2.1,-0.2,0.0,-,-,30000
53487/大同,小时数据,2025-01-09 10,2025-01-09 10:00:46,000,912.1,1046.3,-12.6,1.2,51,27629,0.0,-,132,0.8,86,1.0,-6.7,-3.0,-,-,26600
53487/大同,小时数据,2025-01-09 09,2025-01-09 09:00:42,000,911.5,1045.7,-14.4,1.1,56,21929,0.0,-,135,0.5,129,0.3,-13.6,-8.5,-,-,20400
53487/大同,小时数据,2025-01-09 08,2025-01-09 08:00:45,000,910.5,1044.5,-15.1,1.1,59,30000,0.0,-,358,3.6,336,3.6,-17.1,-17.1,-,-,30000
53487/大同,小时数据,2025-01-09 07,2025-01-09 07:00:44,000,909.8,1044.0,-16.0,1.1,61,30000,0.0,-,296,3.4,305,3.6,-17.7,-18.0,-,-,30000
53487/大同,小时数据,2025-01-09 06,2025-01-09 06:00:45,000,909.4,1043.2,-16.0,1.1,63,30000,0.0,-,300,5.3,301,4.6,-17.7,-17.7,-,-,25200
53487/大同,小时数据,2025-01-09 05,2025-01-09 05:00:41,000,909.0,1042.1,-15.7,1.1,63,30000,0.0,-,262,3.3,259,2.9,-18.2,-18.2,-,-,30000
53487/大同,小时数据,2025-01-09 04,2025-01-09 04:00:44,000,909.0,1042.0,-16.1,1.0,59,30000,0.0,-,170,2.4,203,2.1,-18.0,-19.5,-,-,30000
53487/大同,小时数据,2025-01-09 03,2025-01-09 03:00:46,000,908.8,1041.6,-15.6,1.1,58,30000,0.0,-,227,1.7,241,1.5,-17.4,-19.3,-,-,30000
53487/大同,小时数据,2025-01-09 02,2025-01-09 02:00:44,000,908.3,1041.0,-14.8,1.1,56,30000,0.0,-,332,3.4,334,3.3,-17.1,-17.4,-,-,29600
53487/大同,小时数据,2025-01-09 01,2025-01-09 01:00:45,000,908.3,1041.5,-15.9,1.1,62,30000,0.0,-,293,2.7,289,2.9,-17.3,-17.8,-,-,30000
53487/大同,小时数据,2025-01-09 00,2025-01-09 00:00:52,000,908.3,1041.7,-15.9,1.0,59,30000,0.0,-,308,1.3,318,1.3,-17.3,-21.1,-,-,12700
53487/大同,小时数据,2025-01-08 23,2025-01-08 23:00:42,000,908.5,1042.0,-14.6,1.1,55,23231,0.0,-,304,2.8,305,2.9,-16.1,-16.9,-,-,21400
53487/大同,小时数据,2025-01-08 22,2025-01-08 22:00:39,000,908.4,1042.1,-14.3,1.1,54,30000,0.0,-,336,2.7,330,2.2,-15.7,-18.7,-,-,29400
53487/大同,小时数据,2025-01-08 21,2025-01-08 21:00:46,000,908.1,1041.8,-12.8,1.1,48,30000,0.0,-,7,3.9,6,4.2,-14.1,-15.3,-,-,30000
53487/大同,小时数据,2025-01-08 20,2025-01-08 20:00:47,000,907.8,1041.6,-12.0,1.1,46,30000,0.0,-,16,4.9,10,4.7,-13.5,-14.2,-,-,30000
53487/大同,小时数据,2025-01-08 19,2025-01-08 19:00:38,000,907.1,1040.7,-11.9,1.2,47,28805,0.0,-,332,2.5,329,2.3,-13.7,-15.3,-,-,30000
53487/大同,小时数据,2025-01-08 18,2025-01-08 18:00:42,000,906.3,1039.6,-10.8,1.2,46,30000,0.0,-,336,2.5,350,2.9,-12.2,-14.7,-,-,30000
53487/大同,小时数据,2025-01-08 17,2025-01-08 17:00:38,000,905.6,1038.1,-8.6,1.2,39,30000,0.0,-,359,4.8,350,3.8,-9.1,-9.8,-,-,30000
53487/大同,小时数据,2025-01-08 16,2025-01-08 16:00:46,000,905.6,1037.6,-7.8,1.3,38,30000,0.0,-,18,2.3,7,2.8,-4.3,-1.5,-,-,30000
53487/大同,小时数据,2025-01-08 15,2025-01-08 15:00:40,000,905.7,1037.5,-7.9,1.2,35,30000,0.0,-,298,4.1,303,4.2,1.1,-1.6,-,-,30000
53487/大同,小时数据,2025-01-08 14,2025-01-08 14:00:44,000,906.0,1037.7,-8.6,1.2,39,30000,0.0,-,313,3.4,308,3.2,1.9,0.8,-,-,30000
53487/大同,小时数据,2025-01-08 13,2025-01-08 13:00:45,000,906.6,1038.3,-9.2,1.2,40,30000,0.0,-,344,2.9,332,3.8,4.2,3.7,-,-,30000
53487/大同,小时数据,2025-01-08 12,2025-01-08 12:00:41,000,907.7,1039.9,-10.2,1.2,42,30000,0.0,-,356,5.0,355,5.2,0.8,0.0,-,-,30000
53487/大同,小时数据,2025-01-08 11,2025-01-08 11:00:39,000,908.2,1040.3,-11.5,1.2,48,30000,0.0,-,342,7.1,347,6.6,-3.0,-2.6,-,-,30000
53487/大同,小时数据,2025-01-08 10,2025-01-08 10:00:45,000,908.5,1040.5,-12.6,1.2,50,30000,0.0,-,343,6.5,347,5.9,-7.8,-4.2,-,-,30000
53487/大同,小时数据,2025-01-08 09,2025-01-08 09:00:40,000,907.7,1039.6,-14.3,1.1,56,30000,0.0,-,324,1.6,332,1.7,-12.7,-5.8,-,-,30000
53487/大同,小时数据,2025-01-08 08,2025-01-08 08:02:21,CCA,906.6,1037.7,-15.7,1.1,61,30000,0.0,-,353,2.4,342,3.0,-16.6,-17.9,-,-,30000
53487/大同,小时数据,2025-01-08 07,2025-01-08 07:00:41,000,905.8,1036.6,-15.3,1.1,61,30000,0.0,-,326,4.7,329,4.7,-16.4,-17.2,-,-,30000
53487/大同,小时数据,2025-01-08 06,2025-01-08 06:00:37,000,905.5,1036.1,-15.7,1.2,66,30000,0.0,-,324,3.4,327,3.1,-16.7,-18.1,-,-,30000
53487/大同,小时数据,2025-01-08 05,2025-01-08 05:00:39,000,905.1,1035.4,-15.4,1.2,65,30000,0.0,-,334,3.8,330,3.2,-16.2,-17.6,-,-,30000
53487/大同,小时数据,2025-01-08 04,2025-01-08 04:00:37,000,904.9,1034.7,-14.3,1.3,63,30000,0.0,-,330,3.1,325,2.6,-15.7,-17.3,-,-,30000
53487/大同,小时数据,2025-01-08 03,2025-01-08 03:00:42,000,904.2,1033.7,-13.4,1.3,61,30000,0.0,-,338,5.8,339,5.8,-14.3,-15.2,-,-,30000
53487/大同,小时数据,2025-01-08 02,2025-01-08 02:00:43,000,903.7,1033.1,-12.4,1.4,60,30000,0.0,-,345,5.3,345,5.6,-13.7,-14.5,-,-,30000
53487/大同,小时数据,2025-01-08 01,2025-01-08 01:00:45,000,903.0,1032.2,-11.5,1.7,66,30000,0.0,-,340,3.9,355,4.2,-13.1,-14.3,-,-,30000
53487/大同,小时数据,2025-01-08 00,2025-01-08 00:00:46,000,902.4,1031.8,-11.6,1.7,69,30000,0.0,-,349,1.1,360,1.4,-13.8,-19.5,-,-,30000
53487/大同,小时数据,2025-01-07 23,2025-01-07 23:00:42,000,901.9,1031.0,-9.5,1.9,63,30000,0.0,-,3,3.4,7,4.0,-11.1,-12.1,-,-,30000
53487/大同,小时数据,2025-01-07 22,2025-01-07 22:00:37,000,901.0,1030.0,-8.2,1.8,56,30000,0.0,-,353,6.5,355,5.8,-9.6,-10.1,-,-,30000
53487/大同,小时数据,2025-01-07 21,2025-01-07 21:00:44,000,899.6,1029.2,-6.4,2.5,65,30000,0.0,-,349,5.6,346,5.6,-6.4,-6.9,-,-,4800
53487/大同,小时数据,2025-01-07 20,2025-01-07 20:00:44,000,897.9,1028.7,-2.5,2.4,48,29158,0.0,-,314,5.5,311,5.2,-5.8,-4.1,-,-,25400
53487/大同,小时数据,2025-01-07 19,2025-01-07 19:00:41,000,897.4,1027.5,-2.2,2.3,45,24055,0.0,-,308,6.5,309,6.3,-5.0,-3.6,-,-,23500
53487/大同,小时数据,2025-01-07 18,2025-01-07 18:00:44,000,897.2,1027.4,-1.4,1.9,35,30000,0.0,-,306,5.7,299,6.6,-3.5,-2.2,-,-,30000
53487/大同,小时数据,2025-01-07 17,2025-01-07 17:00:46,000,896.7,1027.0,-0.7,1.9,32,30000,0.0,-,300,4.8,304,4.6,-2.3,-0.9,-,-,30000
53487/大同,小时数据,2025-01-07 16,2025-01-07 16:00:45,000,896.6,1026.7,0.0,1.8,30,30000,0.0,-,298,7.1,303,7.1,1.1,4.1,-,-,30000
53487/大同,小时数据,2025-01-07 15,2025-01-07 15:00:41,000,896.9,1026.9,-0.1,1.8,30,25111,0.0,-,314,9.7,314,8.0,4.3,6.0,-,-,29300
53487/大同,小时数据,2025-01-07 14,2025-01-07 14:00:40,000,897.5,1027.5,-0.8,1.8,32,30000,0.0,-,302,5.9,307,7.1,3.5,2.5,-,-,30000
53487/大同,小时数据,2025-01-07 13,2025-01-07 13:00:46,000,898.6,1028.8,-1.5,1.8,33,30000,0.0,-,316,4.9,313,5.3,3.8,2.7,-,-,30000
53487/大同,小时数据,2025-01-07 12,2025-01-07 12:00:43,000,899.9,1030.4,-2.4,1.7,33,30000,0.0,-,265,6.0,270,5.2,3.7,3.9,-,-,30000
53487/大同,小时数据,2025-01-07 11,2025-01-07 11:00:45,000,901.0,1031.4,-3.6,1.6,35,30000,0.0,-,283,4.9,286,4.9,0.4,1.4,-,-,30000
53487/大同,小时数据,2025-01-07 10,2025-01-07 10:00:44,000,901.5,1031.5,-4.9,1.7,41,30000,0.0,-,282,4.6,284,4.6,-3.8,0.9,-,-,26200
53487/大同,小时数据,2025-01-07 09,2025-01-07 09:00:50,000,901.5,1032.4,-10.1,1.9,68,26953,0.0,-,309,2.4,306,2.3,-11.5,-4.1,-,-,24200
53487/大同,小时数据,2025-01-07 08,2025-01-07 08:00:46,000,901.5,1033.9,-19.4,1.1,80,17199,0.0,-,286,1.7,282,1.5,-18.3,-22.4,-,-,12000
53487/大同,小时数据,2025-01-07 07,2025-01-07 07:00:42,000,901.2,1032.6,-17.4,1.2,79,11536,0.0,-,128,0.4,136,0.7,-18.4,-23.1,-,-,11700
53487/大同,小时数据,2025-01-07 06,2025-01-07 06:00:43,000,901.1,1032.5,-18.8,1.1,82,9547,0.0,-,301,0.9,307,1.1,-18.4,-23.6,-,-,11200
53487/大同,小时数据,2025-01-07 05,2025-01-07 05:00:40,000,901.7,1033.3,-20.0,1.0,80,19983,0.0,-,3,1.9,47,0.8,-18.2,-23.1,-,-,19800
53487/大同,小时数据,2025-01-07 04,2025-01-07 04:00:44,000,902.1,1033.4,-19.8,1.0,80,21586,0.0,-,127,0.3,121,0.4,-17.9,-23.5,-,-,18600
53487/大同,小时数据,2025-01-07 03,2025-01-07 03:00:43,000,902.7,1033.7,-19.4,1.0,79,21152,0.0,-,170,0.9,192,0.6,-17.6,-23.2,-,-,21400
