区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53856/大宁,小时数据,2025-01-01 14,2025-01-01 14:00:45,000,932.5,1024.2,4.6,2.0,24,24203,0.0,-,262,3.9,254,3.7,16.4,10.4,-,-,18700
53856/大宁,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,933.2,1025.1,3.1,2.1,28,20991,0.0,-,244,3.2,246,3.3,16.9,9.5,-,-,17800
53856/大宁,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,934.2,1026.5,0.2,2.2,36,17118,0.0,-,273,2.6,273,2.0,15.8,9.1,-,-,15400
53856/大宁,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,935.1,1027.9,-2.6,2.2,44,22614,0.0,-,261,1.6,256,1.2,10.4,6.3,-,-,19000
53856/大宁,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,935.3,1028.7,-6.7,2.0,55,30000,0.0,-,35,0.6,17,0.9,2.1,1.2,-,-,17100
53856/大宁,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,934.6,1028.3,-10.2,1.9,69,17034,0.0,-,360,0.5,328,0.7,-8.3,-5.1,-,-,15600
53856/大宁,小时数据,2025-01-01 08,2025-01-01 08:21:47,CCA,933.8,1027.4,-11.1,1.9,71,20569,0.0,-,137,1.4,135,1.4,-12.1,-11.6,0,-,19200
53856/大宁,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,932.8,1025.8,-10.8,1.9,69,20208,0.0,-,115,0.9,136,1.2,-12.1,-11.8,-,-,18100
53856/大宁,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,931.7,1023.9,-10.1,1.9,67,23610,0.0,-,140,1.5,144,1.4,-11.6,-11.2,-,-,20700
53856/大宁,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,931.0,1022.5,-9.8,1.9,65,23446,0.0,-,133,1.7,137,1.4,-11.2,-10.8,-,-,21200
53856/大宁,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,930.9,1021.7,-9.2,2.0,64,21547,0.0,-,179,0.7,238,0.5,-10.9,-10.8,-,-,21100
53856/大宁,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,931.2,1022.1,-8.4,1.9,60,22971,0.0,-,347,0.4,90,0.7,-10.3,-9.9,-,-,21600
53856/大宁,小时数据,2025-01-01 02,2025-01-01 02:00:45,000,931.0,1022.1,-8.0,2.0,59,21062,0.0,-,3,0.4,31,0.3,-9.9,-9.5,-,-,20400
53856/大宁,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,930.7,1022.1,-7.2,2.0,56,22311,0.0,-,140,2.1,137,1.5,-9.2,-8.5,-,-,22300
53856/大宁,小时数据,2025-01-01 00,2025-01-01 00:01:07,000,930.3,1022.1,-6.3,2.0,52,22520,0.0,-,127,1.8,120,2.0,-8.4,-7.2,-,-,15600
53856/大宁,小时数据,2024-12-31 23,2024-12-31 23:00:45,000,929.9,1022.3,-5.7,2.0,50,20888,0.0,-,100,0.8,151,0.8,-8.4,-7.6,-,-,15700
53856/大宁,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,929.7,1022.6,-4.6,2.1,48,14567,0.0,-,PPC,0.0,12,0.5,-7.8,-6.9,-,-,18500
53856/大宁,小时数据,2024-12-31 21,2024-12-31 21:00:47,000,929.5,1022.9,-3.4,2.0,43,24407,0.0,-,120,0.9,121,1.2,-6.9,-5.4,-,-,16500
53856/大宁,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,929.2,1022.5,-2.1,2.1,40,17518,0.0,-,199,0.6,202,0.5,-6.6,-5.2,-,-,19400
53856/大宁,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,928.7,1021.5,0.2,2.0,33,22386,0.0,-,18,0.5,110,0.6,-6.0,-4.5,-,-,16700
53856/大宁,小时数据,2024-12-31 18,2024-12-31 18:00:45,000,928.3,1020.5,3.2,2.2,28,12851,0.0,-,216,0.9,272,0.8,-4.7,-0.3,-,-,14200
53856/大宁,小时数据,2024-12-31 17,2024-12-31 17:00:47,000,928.0,1019.5,6.7,2.1,21,21592,0.0,-,277,1.3,273,1.4,0.1,4.2,-,-,18900
53856/大宁,小时数据,2024-12-31 16,2024-12-31 16:00:46,000,928.2,1019.0,10.0,2.0,16,27520,0.0,-,278,2.5,277,1.7,12.2,12.0,-,-,24600
53856/大宁,小时数据,2024-12-31 15,2024-12-31 15:00:46,000,928.8,1019.9,8.6,2.0,18,30000,0.0,-,273,2.2,274,2.2,18.4,13.2,-,-,23900
53856/大宁,小时数据,2024-12-31 14,2024-12-31 14:00:45,000,929.8,1021.1,7.1,2.1,21,18813,0.0,-,261,1.0,258,1.0,21.4,16.6,-,-,19300
53856/大宁,小时数据,2024-12-31 13,2024-12-31 13:00:46,000,931.2,1023.0,4.6,2.0,24,14265,0.0,-,263,1.4,256,1.5,20.3,13.0,-,-,20700
53856/大宁,小时数据,2024-12-31 12,2024-12-31 12:00:52,000,932.8,1025.3,0.9,2.0,31,27899,0.0,-,344,0.6,285,0.6,17.2,10.7,-,-,18500
53856/大宁,小时数据,2024-12-31 11,2024-12-31 11:00:46,000,934.3,1027.5,-3.3,1.9,40,30000,0.0,-,275,0.8,304,0.6,10.8,6.7,-,-,19500
53856/大宁,小时数据,2024-12-31 10,2024-12-31 10:00:47,000,935.2,1028.9,-6.9,2.0,54,17679,0.0,-,211,0.9,199,0.8,1.8,1.0,-,-,18900
53856/大宁,小时数据,2024-12-31 09,2024-12-31 09:00:48,000,935.4,1029.7,-11.0,1.7,65,16600,0.0,-,114,1.0,126,1.0,-9.3,-6.0,-,-,14000
53856/大宁,小时数据,2024-12-31 08,2024-12-31 08:03:38,CCA,935.2,1029.5,-12.3,1.6,69,16492,0.0,-,99,1.0,103,1.2,-13.4,-13.2,0,-,18400
53856/大宁,小时数据,2024-12-31 07,2024-12-31 07:00:46,000,935.3,1029.1,-11.9,1.6,67,21704,0.0,-,117,1.9,118,1.5,-13.3,-12.7,-,-,21500
53856/大宁,小时数据,2024-12-31 06,2024-12-31 06:00:48,000,935.4,1028.7,-11.5,1.7,65,21654,0.0,-,103,1.4,97,1.5,-13.1,-12.3,-,-,22600
53856/大宁,小时数据,2024-12-31 05,2024-12-31 05:00:46,000,935.8,1028.6,-11.3,1.7,64,22807,0.0,-,108,1.6,109,1.3,-12.9,-12.3,-,-,20300
53856/大宁,小时数据,2024-12-31 04,2024-12-31 04:00:44,000,936.5,1029.0,-10.7,1.7,61,21492,0.0,-,111,1.7,95,2.0,-12.5,-11.8,-,-,20200
53856/大宁,小时数据,2024-12-31 03,2024-12-31 03:00:47,000,937.5,1030.1,-10.6,1.7,61,22898,0.0,-,43,0.7,84,0.7,-12.6,-12.5,-,-,21900
53856/大宁,小时数据,2024-12-31 02,2024-12-31 02:00:47,000,937.7,1030.4,-10.0,1.7,59,23045,0.0,-,107,0.6,125,0.8,-12.2,-11.8,-,-,20900
53856/大宁,小时数据,2024-12-31 01,2024-12-31 01:00:45,000,938.2,1031.0,-9.2,1.7,56,22000,0.0,-,98,0.9,77,1.3,-11.5,-10.8,-,-,20800
53856/大宁,小时数据,2024-12-31 00,2024-12-31 00:01:07,000,938.5,1031.6,-8.7,1.7,55,21538,0.0,-,103,1.2,107,0.9,-11.1,-9.8,-,-,20600
53856/大宁,小时数据,2024-12-30 23,2024-12-30 23:00:44,000,938.6,1032.4,-7.7,1.7,50,17832,0.0,-,111,1.1,110,1.1,-10.3,-9.0,-,-,20400
53856/大宁,小时数据,2024-12-30 22,2024-12-30 22:00:46,000,938.6,1032.9,-6.4,1.8,47,19885,0.0,-,180,1.0,94,1.2,-9.2,-7.7,-,-,21600
53856/大宁,小时数据,2024-12-30 21,2024-12-30 21:00:48,000,938.7,1033.3,-5.2,1.8,44,18314,0.0,-,PPC,0.2,330,0.4,-8.7,-7.5,-,-,19500
53856/大宁,小时数据,2024-12-30 20,2024-12-30 20:00:47,000,938.3,1032.7,-3.8,1.8,39,15503,0.0,-,178,0.5,82,0.7,-7.9,-7.0,-,-,19200
53856/大宁,小时数据,2024-12-30 19,2024-12-30 19:00:46,000,937.8,1031.7,-1.8,1.8,33,16143,0.0,-,116,0.9,125,1.1,-7.1,-4.5,-,-,15300
53856/大宁,小时数据,2024-12-30 18,2024-12-30 18:00:45,000,937.2,1030.5,1.0,1.8,28,16472,0.0,-,199,0.6,230,0.5,-6.1,-3.5,-,-,14600
53856/大宁,小时数据,2024-12-30 17,2024-12-30 17:00:47,000,936.4,1029.2,3.6,1.7,22,21796,0.0,-,29,1.6,25,2.0,-1.4,1.5,-,-,23500
53856/大宁,小时数据,2024-12-30 16,2024-12-30 16:00:48,000,936.3,1028.8,5.0,1.7,20,26094,0.0,-,26,2.7,20,2.6,9.1,6.7,-,-,24700
53856/大宁,小时数据,2024-12-30 15,2024-12-30 15:00:47,000,936.2,1028.6,4.9,1.7,20,19958,0.0,-,272,2.5,275,2.8,14.6,8.5,-,-,21200
53856/大宁,小时数据,2024-12-30 14,2024-12-30 14:00:44,000,936.5,1029.0,3.9,1.8,22,20717,0.0,-,270,4.1,258,3.8,16.1,10.4,-,-,17600
53856/大宁,小时数据,2024-12-30 13,2024-12-30 13:00:45,000,937.0,1029.6,2.8,1.8,24,19960,0.0,-,200,3.9,231,3.9,16.0,8.9,-,-,18500
53856/大宁,小时数据,2024-12-30 12,2024-12-30 12:00:46,000,937.9,1030.8,1.0,1.9,29,15166,0.0,-,223,2.8,232,4.1,12.5,6.6,-,-,16200
53856/大宁,小时数据,2024-12-30 11,2024-12-30 11:00:45,000,938.9,1032.7,-4.1,1.9,43,14433,0.0,-,12,0.8,256,0.8,9.1,4.5,-,-,9500
53856/大宁,小时数据,2024-12-30 10,2024-12-30 10:00:45,000,939.0,1033.4,-8.2,1.9,59,14796,0.0,-,8,0.7,337,0.7,0.4,-1.3,-,-,13400
53856/大宁,小时数据,2024-12-30 09,2024-12-30 09:00:44,000,938.6,1033.2,-10.9,1.8,67,10174,0.0,-,283,1.0,33,0.8,-10.4,-10.3,-,-,12000
53856/大宁,小时数据,2024-12-30 08,2024-12-30 08:02:17,CCA,937.7,1032.2,-11.4,1.7,68,15905,0.0,-,38,1.7,25,1.4,-11.8,-11.9,0,-,15200
53856/大宁,小时数据,2024-12-30 07,2024-12-30 07:00:44,000,937.0,1031.1,-11.2,1.7,64,20121,0.0,-,130,1.2,115,1.0,-12.1,-12.0,-,-,17400
53856/大宁,小时数据,2024-12-30 06,2024-12-30 06:00:46,000,936.5,1030.1,-10.8,1.7,64,20049,0.0,-,123,0.5,60,0.4,-11.0,-11.6,-,-,17500
53856/大宁,小时数据,2024-12-30 05,2024-12-30 05:00:46,000,936.3,1029.6,-11.0,1.6,62,22635,0.0,-,PPC,0.0,105,0.5,-11.6,-11.7,-,-,22300
53856/大宁,小时数据,2024-12-30 04,2024-12-30 04:00:45,000,936.3,1029.4,-10.6,1.7,61,22099,0.0,-,139,1.3,136,1.6,-12.2,-11.4,-,-,20500
53856/大宁,小时数据,2024-12-30 03,2024-12-30 03:00:40,000,936.1,1029.2,-10.1,1.6,58,22228,0.0,-,60,0.7,81,0.7,-12.1,-11.6,-,-,21600
53856/大宁,小时数据,2024-12-30 02,2024-12-30 02:00:46,000,935.7,1028.7,-9.5,1.7,57,24110,0.0,-,166,0.7,125,0.6,-11.3,-10.8,-,-,20400
53856/大宁,小时数据,2024-12-30 01,2024-12-30 01:00:47,000,935.7,1029.0,-8.9,1.7,55,18892,0.0,-,165,0.9,40,0.6,-10.5,-10.2,-,-,20100
53856/大宁,小时数据,2024-12-30 00,2024-12-30 00:01:05,000,935.5,1029.0,-8.2,1.7,51,22984,0.0,-,145,1.1,137,1.2,-10.4,-9.4,-,-,15800
53856/大宁,小时数据,2024-12-29 23,2024-12-29 23:00:42,000,935.6,1029.5,-7.6,1.7,49,19592,0.0,-,184,0.5,180,0.4,-10.0,-9.1,-,-,18100
53856/大宁,小时数据,2024-12-29 22,2024-12-29 22:00:45,000,935.8,1030.1,-6.5,1.7,44,22422,0.0,-,77,0.6,107,0.6,-9.4,-8.4,-,-,20000
53856/大宁,小时数据,2024-12-29 21,2024-12-29 21:00:45,000,935.6,1030.3,-5.4,1.7,41,20185,0.0,-,139,0.8,145,0.7,-8.6,-7.4,-,-,19300
53856/大宁,小时数据,2024-12-29 20,2024-12-29 20:00:46,000,934.9,1029.6,-4.4,1.7,38,20496,0.0,-,26,0.5,88,0.6,-7.6,-5.9,-,-,17600
53856/大宁,小时数据,2024-12-29 19,2024-12-29 19:00:43,000,934.1,1028.4,-3.0,1.7,35,19036,0.0,-,PPC,0.2,334,0.4,-6.6,-5.6,-,-,14200
53856/大宁,小时数据,2024-12-29 18,2024-12-29 18:00:44,000,933.2,1027.1,-0.9,1.7,29,13881,0.0,-,3,0.9,322,1.2,-4.9,-2.6,-,-,16800
53856/大宁,小时数据,2024-12-29 17,2024-12-29 17:00:43,000,932.6,1026.2,0.5,1.6,25,25329,0.0,-,252,2.2,248,3.3,-1.4,0.0,-,-,24400
53856/大宁,小时数据,2024-12-29 16,2024-12-29 16:00:45,000,932.8,1026.2,1.5,1.6,23,18326,0.0,-,215,0.9,240,1.3,4.4,3.5,-,-,22400
53856/大宁,小时数据,2024-12-29 15,2024-12-29 15:00:44,000,933.1,1026.5,1.0,1.5,23,29505,0.0,-,274,1.2,276,1.5,6.1,4.0,-,-,27200
53856/大宁,小时数据,2024-12-29 14,2024-12-29 14:00:44,000,933.9,1027.5,0.3,1.4,23,24258,0.0,-,262,2.1,269,2.5,10.6,5.3,-,-,30000
53856/大宁,小时数据,2024-12-29 13,2024-12-29 13:00:42,000,935.0,1028.8,-1.5,1.4,26,30000,0.0,-,241,1.4,343,1.1,10.1,4.9,-,-,30000
53856/大宁,小时数据,2024-12-29 12,2024-12-29 12:00:45,000,936.1,1030.3,-3.8,1.4,30,30000,0.0,-,220,1.2,280,0.9,6.2,1.1,-,-,29500
53856/大宁,小时数据,2024-12-29 11,2024-12-29 11:00:41,000,937.1,1031.7,-6.4,1.5,40,27384,0.0,-,19,1.1,23,1.2,7.5,1.2,-,-,27000
53856/大宁,小时数据,2024-12-29 10,2024-12-29 10:00:51,000,937.5,1032.5,-9.3,1.4,47,22982,0.0,-,14,1.9,18,1.7,-0.3,-4.3,-,-,25500
53856/大宁,小时数据,2024-12-29 09,2024-12-29 09:00:46,000,937.6,1033.1,-12.9,1.3,59,29998,0.0,-,184,1.1,166,1.1,-9.3,-11.2,-,-,21400
53856/大宁,小时数据,2024-12-29 08,2024-12-29 08:34:41,CCA,937.0,1032.5,-14.2,1.2,61,27654,0.0,-,111,1.1,126,1.1,-13.7,-14.5,0,-,27900
53856/大宁,小时数据,2024-12-29 07,2024-12-29 07:00:43,000,936.3,1031.3,-14.1,1.2,60,30000,0.0,-,132,1.4,144,1.2,-13.7,-14.5,-,-,30000
53856/大宁,小时数据,2024-12-29 06,2024-12-29 06:00:45,000,936.2,1030.8,-14.4,1.2,60,30000,0.0,-,127,2.4,135,1.4,-14.5,-15.0,-,-,30000
53856/大宁,小时数据,2024-12-29 05,2024-12-29 05:00:45,000,936.2,1030.1,-14.3,1.2,61,30000,0.0,-,123,2.4,119,1.9,-15.0,-15.0,-,-,30000
53856/大宁,小时数据,2024-12-29 04,2024-12-29 04:00:45,000,936.6,1030.2,-14.0,1.2,58,30000,0.0,-,115,2.1,110,1.9,-14.9,-14.6,-,-,30000
53856/大宁,小时数据,2024-12-29 03,2024-12-29 03:00:44,000,937.4,1031.1,-13.5,1.3,58,30000,0.0,-,58,1.2,80,1.1,-14.7,-14.3,-,-,30000
53856/大宁,小时数据,2024-12-29 02,2024-12-29 02:00:45,000,936.5,1030.2,-13.3,1.2,55,30000,0.0,-,119,2.0,120,2.0,-14.4,-14.1,-,-,26900
53856/大宁,小时数据,2024-12-29 01,2024-12-29 01:00:47,000,937.3,1031.2,-12.4,1.3,53,30000,0.0,-,127,1.7,118,1.3,-14.0,-13.4,-,-,21100
53856/大宁,小时数据,2024-12-29 00,2024-12-29 00:01:01,000,937.1,1031.5,-11.6,1.3,50,30000,0.0,-,90,1.7,92,2.0,-13.2,-12.2,-,-,30000
53856/大宁,小时数据,2024-12-28 23,2024-12-28 23:00:41,000,938.0,1032.9,-10.7,1.3,48,30000,0.0,-,61,1.1,74,1.0,-12.9,-11.9,-,-,28600
53856/大宁,小时数据,2024-12-28 22,2024-12-28 22:00:46,000,938.5,1034.1,-9.7,1.3,44,30000,0.0,-,261,0.4,176,1.0,-12.0,-11.4,-,-,30000
53856/大宁,小时数据,2024-12-28 21,2024-12-28 21:00:46,000,938.4,1034.5,-8.7,1.2,39,30000,0.0,-,162,0.7,115,1.0,-11.6,-10.8,-,-,30000
53856/大宁,小时数据,2024-12-28 20,2024-12-28 20:00:47,000,937.5,1033.3,-7.4,1.3,37,29707,0.0,-,36,0.7,41,0.4,-10.6,-9.5,-,-,30000
