区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53490/天镇,小时数据,2025-01-12 19,2025-01-12 19:00:40,000,901.7,1028.2,-5.2,1.7,42,17978,0.0,-,245,2.7,243,3.0,-5.9,-5.6,-,-,13300
53490/天镇,小时数据,2025-01-12 18,2025-01-12 18:00:43,000,901.5,1027.6,-5.4,1.6,38,19346,0.0,-,223,3.2,227,3.2,-6.1,-6.0,-,-,19300
53490/天镇,小时数据,2025-01-12 17,2025-01-12 17:00:39,000,901.5,1027.5,-4.9,1.6,37,29332,0.0,-,216,4.3,219,4.3,-4.5,-5.0,-,-,20200
53490/天镇,小时数据,2025-01-12 16,2025-01-12 16:00:40,000,902.0,1027.7,-4.7,1.6,36,28040,0.0,-,218,5.5,217,4.8,-2.4,-4.1,-,-,28000
53490/天镇,小时数据,2025-01-12 15,2025-01-12 15:00:47,000,902.3,1027.8,-4.5,1.4,33,30000,0.0,-,212,3.6,217,4.0,1.4,-1.4,-,-,30000
53490/天镇,小时数据,2025-01-12 14,2025-01-12 14:00:46,000,902.9,1028.2,-4.4,1.5,35,27768,0.0,-,190,6.2,200,6.0,6.7,1.7,-,-,26500
53490/天镇,小时数据,2025-01-12 13,2025-01-12 13:00:42,000,904.1,1029.6,-5.3,1.6,38,30000,0.0,-,230,3.9,227,3.9,8.3,3.9,-,-,30000
53490/天镇,小时数据,2025-01-12 12,2025-01-12 12:00:47,000,905.5,1031.3,-6.9,1.5,42,27566,0.0,-,223,4.6,223,4.6,6.1,1.2,-,-,27700
53490/天镇,小时数据,2025-01-12 11,2025-01-12 11:00:41,000,907.0,1033.5,-9.1,1.6,52,21759,0.0,-,244,2.6,234,3.0,2.1,0.3,-,-,19000
53490/天镇,小时数据,2025-01-12 10,2025-01-12 10:00:47,000,907.5,1034.4,-11.2,1.5,56,23829,0.0,-,217,2.7,208,2.4,-4.3,-3.0,-,-,24600
53490/天镇,小时数据,2025-01-12 09,2025-01-12 09:00:42,000,907.5,1034.8,-14.1,1.3,64,16065,0.0,-,192,0.6,PPC,0.2,-14.2,-8.4,-,-,4200
53490/天镇,小时数据,2025-01-12 08,2025-01-12 08:00:48,000,907.5,1035.1,-16.6,1.2,69,3253,0.0,-,286,1.1,265,1.1,-19.2,-23.4,-,-,3300
53490/天镇,小时数据,2025-01-12 07,2025-01-12 07:00:45,000,907.5,1035.3,-17.0,1.1,65,4978,0.0,-,271,0.8,269,0.8,-19.2,-23.5,-,-,5000
53490/天镇,小时数据,2025-01-12 06,2025-01-12 06:00:46,000,907.3,1034.4,-15.5,1.2,66,9177,0.0,-,309,0.9,292,1.3,-18.8,-21.8,-,-,8900
53490/天镇,小时数据,2025-01-12 05,2025-01-12 05:00:44,000,907.5,1034.1,-15.4,1.2,66,29608,0.0,-,322,0.5,272,0.7,-18.5,-23.4,-,-,23300
53490/天镇,小时数据,2025-01-12 04,2025-01-12 04:00:46,000,907.5,1033.3,-14.3,1.3,64,25835,0.0,-,254,1.7,257,1.4,-18.0,-21.5,-,-,13500
53490/天镇,小时数据,2025-01-12 03,2025-01-12 03:00:44,000,908.1,1033.9,-13.6,1.3,61,10582,0.0,-,236,1.2,250,1.1,-17.1,-19.7,-,-,24700
53490/天镇,小时数据,2025-01-12 02,2025-01-12 02:00:47,000,908.1,1033.7,-12.4,1.3,57,30000,0.0,-,236,2.3,246,2.1,-16.6,-16.8,-,-,13000
53490/天镇,小时数据,2025-01-12 01,2025-01-12 01:00:44,000,908.2,1033.6,-11.8,1.3,54,30000,0.0,-,22,1.0,269,1.0,-16.0,-19.2,-,-,29300
53490/天镇,小时数据,2025-01-12 00,2025-01-12 00:01:04,000,908.4,1034.0,-10.5,1.4,52,30000,0.0,-,37,0.8,347,1.0,-15.4,-18.3,-,-,30000
53490/天镇,小时数据,2025-01-11 23,2025-01-11 23:00:44,000,908.4,1034.5,-10.3,1.5,55,19432,0.0,-,77,1.6,104,1.1,-14.7,-16.8,-,-,15400
53490/天镇,小时数据,2025-01-11 22,2025-01-11 22:00:40,000,908.0,1034.7,-9.7,1.6,53,30000,0.0,-,18,3.0,38,2.7,-13.2,-12.0,-,-,30000
53490/天镇,小时数据,2025-01-11 21,2025-01-11 21:00:41,000,907.7,1034.8,-8.2,1.7,51,30000,0.0,-,27,2.1,337,1.9,-12.4,-11.5,-,-,25100
53490/天镇,小时数据,2025-01-11 20,2025-01-11 20:00:40,000,907.2,1034.2,-7.0,1.9,52,30000,0.0,-,12,2.0,358,2.5,-10.8,-9.1,-,-,21600
53490/天镇,小时数据,2025-01-11 19,2025-01-11 19:00:52,000,906.6,1033.2,-7.1,2.6,72,23357,0.0,-,33,2.2,28,1.9,-9.4,-9.1,-,-,22700
53490/天镇,小时数据,2025-01-11 18,2025-01-11 18:00:40,000,905.9,1032.4,-6.2,2.7,69,21786,0.0,-,18,2.0,24,2.7,-8.1,-7.9,-,-,19100
53490/天镇,小时数据,2025-01-11 17,2025-01-11 17:00:45,000,905.5,1031.4,-4.2,2.1,47,21174,0.0,-,311,2.2,321,3.6,-4.5,-5.2,-,-,22900
53490/天镇,小时数据,2025-01-11 16,2025-01-11 16:00:46,000,905.0,1030.4,-2.1,1.6,30,19382,0.0,-,299,1.9,294,2.6,2.9,3.2,-,-,21000
53490/天镇,小时数据,2025-01-11 15,2025-01-11 15:00:46,000,905.0,1030.4,-2.4,1.8,35,25962,0.0,-,252,3.2,256,4.1,4.6,2.1,-,-,21500
53490/天镇,小时数据,2025-01-11 14,2025-01-11 14:00:42,000,905.1,1030.4,-2.8,1.8,36,23571,0.0,-,257,5.7,255,5.2,3.1,0.7,-,-,26000
53490/天镇,小时数据,2025-01-11 13,2025-01-11 13:00:47,000,905.6,1031.1,-2.7,1.9,38,28496,0.0,-,235,3.5,253,3.7,7.0,4.2,-,-,23300
53490/天镇,小时数据,2025-01-11 12,2025-01-11 12:00:40,000,906.8,1033.0,-4.4,2.2,51,18920,0.0,-,227,3.7,229,3.9,6.5,3.4,-,-,13500
53490/天镇,小时数据,2025-01-11 11,2025-01-11 11:00:46,000,908.0,1034.7,-6.7,2.2,60,12431,0.0,-,195,1.6,215,2.2,0.9,0.8,-,-,11400
53490/天镇,小时数据,2025-01-11 10,2025-01-11 10:00:44,000,908.8,1036.4,-9.9,1.8,62,9793,0.0,-,208,2.1,208,2.0,-7.0,-5.4,-,-,9800
53490/天镇,小时数据,2025-01-11 09,2025-01-11 09:00:46,000,909.1,1037.2,-13.1,1.4,61,8765,0.0,-,225,1.8,223,1.6,-13.1,-12.2,-,-,3400
53490/天镇,小时数据,2025-01-11 08,2025-01-11 08:00:44,000,909.5,1037.9,-14.4,1.2,61,10910,0.0,-,88,1.3,342,0.9,-14.8,-16.5,-,-,6700
53490/天镇,小时数据,2025-01-11 07,2025-01-11 07:00:43,000,909.4,1037.0,-12.9,1.3,58,4219,0.0,-,251,1.6,256,1.7,-14.1,-14.7,-,-,5500
53490/天镇,小时数据,2025-01-11 06,2025-01-11 06:00:46,000,909.2,1036.6,-13.8,1.3,61,15166,0.0,-,237,1.8,238,1.8,-14.8,-16.4,-,-,14400
53490/天镇,小时数据,2025-01-11 05,2025-01-11 05:00:46,000,909.7,1036.4,-13.6,1.2,58,21975,0.0,-,255,1.7,258,1.4,-15.1,-16.2,-,-,22000
53490/天镇,小时数据,2025-01-11 04,2025-01-11 04:00:46,000,910.5,1037.1,-14.1,1.2,59,13070,0.0,-,295,0.9,282,0.8,-15.1,-18.5,-,-,11200
53490/天镇,小时数据,2025-01-11 03,2025-01-11 03:00:45,000,911.5,1038.1,-13.6,1.2,54,19042,0.0,-,259,1.4,256,1.1,-14.5,-17.4,-,-,18700
53490/天镇,小时数据,2025-01-11 02,2025-01-11 02:00:46,000,912.2,1038.8,-12.8,1.2,52,15043,0.0,-,257,1.8,261,1.6,-14.3,-15.5,-,-,15700
53490/天镇,小时数据,2025-01-11 01,2025-01-11 01:00:47,000,912.7,1039.9,-13.4,1.2,53,17194,0.0,-,282,2.2,267,1.9,-15.3,-16.6,-,-,11000
53490/天镇,小时数据,2025-01-11 00,2025-01-11 00:00:58,000,913.4,1041.3,-14.1,1.1,53,10944,0.0,-,316,1.0,283,0.7,-15.7,-19.0,-,-,8400
53490/天镇,小时数据,2025-01-10 23,2025-01-10 23:00:46,000,914.5,1042.9,-13.1,1.0,47,7642,0.0,-,269,2.1,264,1.5,-15.8,-17.7,-,-,7500
53490/天镇,小时数据,2025-01-10 22,2025-01-10 22:00:49,000,914.8,1044.3,-12.7,1.1,48,5708,0.0,-,253,1.9,266,1.9,-16.3,-17.5,-,-,4300
53490/天镇,小时数据,2025-01-10 21,2025-01-10 21:00:46,000,914.7,1045.0,-11.3,1.2,45,4638,0.0,-,336,1.3,307,1.2,-16.0,-18.8,-,-,4600
53490/天镇,小时数据,2025-01-10 20,2025-01-10 20:00:49,000,914.6,1045.4,-11.2,1.0,39,7644,0.0,-,195,0.8,220,1.0,-15.4,-17.4,-,-,4700
53490/天镇,小时数据,2025-01-10 19,2025-01-10 19:00:46,000,914.1,1044.2,-9.7,1.1,37,17925,0.0,-,59,1.4,53,1.5,-14.5,-18.8,-,-,13500
53490/天镇,小时数据,2025-01-10 18,2025-01-10 18:00:45,000,913.8,1043.4,-7.8,1.1,32,20141,0.0,-,52,2.1,36,1.3,-12.7,-16.1,-,-,21900
53490/天镇,小时数据,2025-01-10 17,2025-01-10 17:00:47,000,913.6,1042.2,-5.2,1.0,25,30000,0.0,-,75,1.2,74,1.2,-8.4,-9.3,-,-,30000
53490/天镇,小时数据,2025-01-10 16,2025-01-10 16:00:44,000,913.6,1041.7,-3.7,1.0,22,30000,0.0,-,59,1.0,88,1.0,-1.1,2.2,-,-,30000
53490/天镇,小时数据,2025-01-10 15,2025-01-10 15:00:40,000,913.6,1041.7,-3.6,1.0,22,30000,0.0,-,256,1.6,162,1.8,5.7,3.7,-,-,30000
53490/天镇,小时数据,2025-01-10 14,2025-01-10 14:00:46,000,913.9,1041.8,-4.2,1.0,22,25520,0.0,-,226,1.5,247,1.3,9.2,5.7,-,-,30000
53490/天镇,小时数据,2025-01-10 13,2025-01-10 13:00:45,000,914.6,1043.1,-5.8,1.0,26,30000,0.0,-,224,2.9,203,2.4,8.9,4.2,-,-,30000
53490/天镇,小时数据,2025-01-10 12,2025-01-10 12:00:46,000,915.2,1043.8,-7.3,1.0,29,30000,0.0,-,246,1.7,217,1.6,6.9,3.5,-,-,26700
53490/天镇,小时数据,2025-01-10 11,2025-01-10 11:00:43,000,916.1,1045.3,-9.6,1.1,37,23577,0.0,-,191,1.2,218,1.1,2.0,1.2,-,-,25100
53490/天镇,小时数据,2025-01-10 10,2025-01-10 10:00:44,000,916.5,1046.9,-14.0,1.1,53,11269,0.0,-,219,0.9,220,1.0,-5.7,-4.1,-,-,8200
53490/天镇,小时数据,2025-01-10 09,2025-01-10 09:00:47,000,916.2,1047.2,-18.5,1.0,68,7586,0.0,-,239,1.0,242,1.0,-16.5,-13.3,-,-,6700
53490/天镇,小时数据,2025-01-10 08,2025-01-10 08:00:44,000,915.8,1047.1,-20.6,0.8,69,6025,0.0,-,255,0.7,249,0.4,-20.9,-25.8,-,-,5400
53490/天镇,小时数据,2025-01-10 07,2025-01-10 07:00:45,000,915.6,1046.4,-19.9,0.9,71,7254,0.0,-,270,1.5,269,1.2,-20.9,-25.1,-,-,7700
53490/天镇,小时数据,2025-01-10 06,2025-01-10 06:00:42,000,915.4,1045.6,-19.9,0.8,67,11633,0.0,-,223,2.7,222,2.6,-20.3,-21.9,-,-,11600
53490/天镇,小时数据,2025-01-10 05,2025-01-10 05:00:42,000,915.3,1044.6,-18.9,0.9,65,16558,0.0,-,49,1.1,42,0.8,-20.4,-25.2,-,-,17600
53490/天镇,小时数据,2025-01-10 04,2025-01-10 04:00:44,000,915.9,1044.9,-18.5,1.0,67,17452,0.0,-,247,1.2,253,1.0,-19.8,-25.4,-,-,17000
53490/天镇,小时数据,2025-01-10 03,2025-01-10 03:00:42,000,916.4,1045.6,-18.4,0.9,62,14492,0.0,-,136,0.6,PPC,0.2,-19.9,-25.1,-,-,15100
53490/天镇,小时数据,2025-01-10 02,2025-01-10 02:00:45,000,916.3,1045.3,-17.0,1.0,61,13979,0.0,-,327,0.9,327,1.0,-19.4,-24.3,-,-,12200
53490/天镇,小时数据,2025-01-10 01,2025-01-10 01:00:38,000,916.3,1045.6,-17.2,1.0,62,13273,0.0,-,227,0.8,227,0.9,-18.8,-23.5,-,-,12600
53490/天镇,小时数据,2025-01-10 00,2025-01-10 00:01:00,000,916.5,1045.6,-15.8,1.0,55,15450,0.0,-,238,1.4,238,1.5,-18.5,-21.8,-,-,13300
53490/天镇,小时数据,2025-01-09 23,2025-01-09 23:00:44,000,916.4,1045.8,-15.2,1.0,54,12152,0.0,-,240,1.7,257,1.3,-18.1,-20.0,-,-,7600
53490/天镇,小时数据,2025-01-09 22,2025-01-09 22:00:46,000,916.4,1046.1,-15.2,1.0,55,5680,0.0,-,232,0.7,220,0.6,-17.6,-23.3,-,-,3600
53490/天镇,小时数据,2025-01-09 21,2025-01-09 21:00:48,000,916.5,1046.2,-13.0,1.1,50,4653,0.0,-,297,0.8,297,0.9,-16.9,-22.1,-,-,4000
53490/天镇,小时数据,2025-01-09 20,2025-01-09 20:00:49,000,916.2,1046.2,-12.5,1.1,47,4373,0.0,-,329,1.2,57,0.7,-16.1,-22.2,-,-,7900
53490/天镇,小时数据,2025-01-09 19,2025-01-09 19:00:45,000,915.9,1045.5,-11.5,1.1,44,4890,0.0,-,242,0.5,199,0.8,-15.1,-21.0,-,-,3600
53490/天镇,小时数据,2025-01-09 18,2025-01-09 18:00:47,000,915.8,1044.5,-9.2,1.1,35,15067,0.0,-,352,1.0,9,0.9,-13.3,-17.5,-,-,14900
53490/天镇,小时数据,2025-01-09 17,2025-01-09 17:00:45,000,915.3,1043.1,-7.0,1.0,29,30000,0.0,-,100,0.9,97,0.7,-9.3,-11.7,-,-,30000
53490/天镇,小时数据,2025-01-09 16,2025-01-09 16:00:41,000,915.3,1042.3,-5.9,1.1,28,30000,0.0,-,188,1.7,162,1.4,-2.1,-0.6,-,-,30000
53490/天镇,小时数据,2025-01-09 15,2025-01-09 15:00:46,000,915.2,1042.3,-6.3,1.1,28,30000,0.0,-,162,0.9,177,1.5,4.9,1.4,-,-,30000
53490/天镇,小时数据,2025-01-09 14,2025-01-09 14:00:45,000,915.2,1042.6,-7.2,1.0,29,30000,0.0,-,132,2.1,166,1.7,7.8,0.9,-,-,30000
53490/天镇,小时数据,2025-01-09 13,2025-01-09 13:00:44,000,915.6,1043.2,-8.0,1.1,32,30000,0.0,-,211,1.4,225,2.0,7.8,2.6,-,-,30000
53490/天镇,小时数据,2025-01-09 12,2025-01-09 12:00:46,000,916.1,1043.9,-8.6,1.1,34,30000,0.0,-,219,2.1,217,2.3,5.4,1.2,-,-,30000
53490/天镇,小时数据,2025-01-09 11,2025-01-09 11:00:45,000,916.6,1044.9,-10.3,1.0,37,30000,0.0,-,286,1.1,252,1.6,1.4,1.8,-,-,29200
53490/天镇,小时数据,2025-01-09 10,2025-01-09 10:00:47,000,916.5,1045.4,-11.5,1.1,45,21140,0.0,-,265,1.6,251,1.7,-5.1,-1.9,-,-,21800
53490/天镇,小时数据,2025-01-09 09,2025-01-09 09:00:44,000,915.8,1045.2,-13.5,1.1,53,10708,0.0,-,247,1.1,261,1.2,-14.6,-8.5,-,-,4400
53490/天镇,小时数据,2025-01-09 08,2025-01-09 08:00:44,000,914.8,1044.5,-15.3,1.1,59,7107,0.0,-,136,1.9,223,1.6,-18.3,-19.0,-,-,6500
53490/天镇,小时数据,2025-01-09 07,2025-01-09 07:00:44,000,914.2,1043.6,-15.1,1.1,57,10471,0.0,-,297,0.8,280,1.1,-18.4,-23.1,-,-,19900
53490/天镇,小时数据,2025-01-09 06,2025-01-09 06:00:46,000,913.2,1041.8,-14.0,1.1,55,30000,0.0,-,246,1.9,250,2.0,-17.0,-17.2,-,-,26500
53490/天镇,小时数据,2025-01-09 05,2025-01-09 05:00:39,000,912.8,1040.9,-12.9,1.1,50,30000,0.0,-,198,3.0,216,2.1,-16.0,-15.9,-,-,30000
53490/天镇,小时数据,2025-01-09 04,2025-01-09 04:00:44,000,912.7,1040.1,-11.0,1.1,43,30000,0.0,-,343,5.8,347,5.8,-14.2,-12.4,-,-,30000
53490/天镇,小时数据,2025-01-09 03,2025-01-09 03:00:47,000,912.8,1040.2,-11.1,1.2,46,30000,0.0,-,345,6.7,347,6.6,-14.1,-12.5,-,-,30000
53490/天镇,小时数据,2025-01-09 02,2025-01-09 02:00:45,000,912.6,1040.3,-11.4,1.2,47,30000,0.0,-,358,2.5,348,3.1,-14.7,-13.4,-,-,30000
53490/天镇,小时数据,2025-01-09 01,2025-01-09 01:00:49,000,912.4,1040.0,-11.0,1.3,48,30000,0.0,-,323,3.5,321,3.1,-14.4,-12.9,-,-,30000
53490/天镇,小时数据,2025-01-09 00,2025-01-09 00:01:02,000,912.2,1039.9,-10.9,1.3,49,30000,0.0,-,321,4.1,323,4.3,-14.2,-12.8,-,-,30000
53490/天镇,小时数据,2025-01-08 23,2025-01-08 23:00:47,000,912.1,1039.8,-10.8,1.3,48,30000,0.0,-,347,5.1,326,4.1,-14.1,-12.6,-,-,30000
53490/天镇,小时数据,2025-01-08 22,2025-01-08 22:00:43,000,912.4,1040.8,-12.2,1.2,50,30000,0.0,-,53,3.6,41,2.3,-15.3,-14.7,-,-,30000
53490/天镇,小时数据,2025-01-08 21,2025-01-08 21:00:46,000,912.2,1040.8,-12.3,1.2,49,30000,0.0,-,15,1.2,25,1.2,-15.7,-17.9,-,-,19700
53490/天镇,小时数据,2025-01-08 20,2025-01-08 20:00:48,000,912.0,1040.6,-12.2,1.1,47,30000,0.0,-,53,0.4,24,1.0,-14.5,-16.8,-,-,30000
