区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53772/太原,小时数据,2025-01-01 14,2025-01-01 14:01:51,000,928.7,1023.4,5.4,2.2,24,13126,0.0,-,298,1.0,247,1.0,16.1,15.3,-,-,11700
53772/太原,小时数据,2025-01-01 13,2025-01-01 13:01:50,000,929.4,1024.3,3.8,2.3,29,8458,0.0,-,298,0.8,316,0.5,16.3,14.0,-,-,7300
53772/太原,小时数据,2025-01-01 12,2025-01-01 12:01:51,000,930.5,1025.9,1.7,2.4,35,9014,0.0,-,18,0.3,328,0.6,13.1,11.3,-,-,8000
53772/太原,小时数据,2025-01-01 11,2025-01-01 11:01:50,000,931.4,1027.0,0.1,2.1,34,13125,0.0,-,254,1.0,236,0.8,8.2,7.4,-,-,13800
53772/太原,小时数据,2025-01-01 10,2025-01-01 10:01:50,000,931.3,1027.1,-2.8,2.0,41,16076,0.0,-,PPC,0.2,166,0.4,1.7,3.2,-,-,12000
53772/太原,小时数据,2025-01-01 09,2025-01-01 09:01:50,000,930.9,1027.5,-7.3,1.9,55,16463,0.0,-,302,0.4,324,0.5,-6.4,-0.5,-,-,14900
53772/太原,小时数据,2025-01-01 08,2025-01-01 08:02:57,CCA,930.0,1026.8,-9.9,1.8,63,17897,0.0,-,PPC,0.0,PPC,0.2,-13.7,-15.3,-,-,16600
53772/太原,小时数据,2025-01-01 07,2025-01-01 07:01:50,000,929.5,1025.9,-10.0,1.8,62,16800,0.0,-,100,0.6,116,0.6,-14.2,-16.5,-,-,15600
53772/太原,小时数据,2025-01-01 06,2025-01-01 06:01:50,000,929.0,1024.7,-9.7,1.8,61,17121,0.0,-,93,0.6,82,0.5,-13.8,-16.4,-,-,16000
53772/太原,小时数据,2025-01-01 05,2025-01-01 05:01:51,000,928.6,1023.5,-9.3,1.8,59,17112,0.0,-,42,1.2,40,1.4,-13.5,-16.1,-,-,17000
53772/太原,小时数据,2025-01-01 04,2025-01-01 04:01:50,000,928.6,1023.2,-8.9,1.8,59,18016,0.0,-,5,1.0,12,1.1,-13.0,-15.3,-,-,15100
53772/太原,小时数据,2025-01-01 03,2025-01-01 03:01:50,000,928.8,1023.5,-8.5,1.8,56,12973,0.0,-,89,0.6,93,0.6,-12.6,-15.5,-,-,11400
