区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53775/太谷,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,925.4,1020.7,6.3,2.0,21,13672,0.0,-,PPC,0.0,238,1.1,16.2,13.2,-,-,19200
53775/太谷,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,926.0,1021.6,4.7,2.0,23,28409,0.0,-,335,1.8,355,1.4,16.9,13.8,-,-,19800
53775/太谷,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,926.9,1022.8,2.8,2.0,27,12585,0.0,-,216,1.7,238,1.8,14.6,10.4,-,-,17500
53775/太谷,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,928.2,1024.6,0.2,2.0,32,18177,0.0,-,318,0.8,331,1.4,7.2,6.0,-,-,18100
53775/太谷,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,927.9,1024.4,-0.8,2.2,39,9936,0.0,-,245,0.9,243,1.1,6.3,6.7,-,-,8900
53775/太谷,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,927.4,1024.8,-6.9,2.2,59,9395,0.0,-,250,0.8,257,1.0,-5.4,-2.9,-,-,9900
53775/太谷,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,926.7,1024.4,-10.3,1.8,63,8995,0.0,-,138,0.6,120,0.6,-11.7,-13.2,-,-,7400
53775/太谷,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,926.1,1023.5,-10.0,1.8,63,15414,0.0,-,283,0.6,PPC,0.2,-12.0,-14.0,-,-,14700
53775/太谷,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,925.6,1022.2,-9.7,1.8,60,17794,0.0,-,PPC,0.0,199,0.8,-11.7,-13.8,-,-,17300
53775/太谷,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,925.2,1021.0,-9.1,1.8,59,13865,0.0,-,103,0.3,84,0.5,-11.3,-13.6,-,-,11100
53775/太谷,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,925.1,1020.6,-8.9,1.7,56,12817,0.0,-,PPC,0.0,133,0.4,-10.8,-12.8,-,-,10500
