区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53669/娄烦,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,888.9,1028.0,3.9,1.5,19,30000,0.0,-,318,3.4,312,3.7,0.3,1.6,-,-,30000
53669/娄烦,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,887.7,1025.9,5.9,1.6,17,30000,0.0,-,317,3.6,332,2.9,9.3,9.3,-,-,30000
53669/娄烦,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,887.2,1025.0,6.6,1.6,16,30000,0.0,-,299,3.0,314,3.4,17.4,15.1,-,-,29500
53669/娄烦,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,887.1,1024.8,6.2,1.7,18,30000,0.0,-,249,1.1,198,1.1,21.9,19.5,-,-,24800
53669/娄烦,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,887.6,1026.1,2.7,1.6,22,22780,0.0,-,63,2.2,56,1.3,17.3,14.4,-,-,18700
53669/娄烦,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,888.5,1027.9,-0.9,1.7,30,22385,0.0,-,179,0.7,133,0.6,10.3,7.9,-,-,18500
53669/娄烦,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,889.3,1029.3,-3.8,1.5,33,27920,0.0,-,PPC,0.2,233,0.5,9.0,4.9,-,-,22100
53669/娄烦,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,889.5,1030.7,-8.7,1.4,44,16631,0.0,-,67,1.2,75,1.0,-2.7,-3.7,-,-,11700
53669/娄烦,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,889.4,1030.8,-12.1,1.3,53,30000,0.0,-,125,0.9,135,1.2,-10.0,-10.4,-,-,30000
53669/娄烦,小时数据,2025-01-01 08,2025-01-01 09:23:41,CCA,888.9,1030.6,-14.9,1.2,60,30000,0.0,-,146,0.6,125,0.6,-17.6,-18.1,-,-,30000
53669/娄烦,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,888.4,1029.5,-14.8,1.1,59,30000,0.0,-,138,0.7,120,0.9,-17.7,-17.4,-,-,29600
53669/娄烦,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,887.9,1028.6,-14.5,1.1,57,30000,0.0,-,119,0.7,113,0.4,-17.9,-18.2,-,-,30000
