区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53768/孝义,小时数据,2025-01-01 14,2025-01-01 14:02:36,000,928.4,1021.5,9.6,2.3,19,9424,0.0,-,294,1.6,295,1.1,19.8,19.8,-,-,7600
53768/孝义,小时数据,2025-01-01 13,2025-01-01 13:02:37,000,929.0,1022.5,8.0,2.4,22,9450,0.0,-,171,1.0,77,1.2,21.8,18.3,-,-,9000
53768/孝义,小时数据,2025-01-01 12,2025-01-01 12:02:39,000,930.2,1024.2,4.4,2.2,26,8738,0.0,-,58,1.7,49,0.9,17.0,14.9,-,-,8600
53768/孝义,小时数据,2025-01-01 11,2025-01-01 11:02:40,000,931.5,1025.9,2.3,2.1,29,10311,0.0,-,52,0.9,51,1.0,11.9,12.9,-,-,9600
53768/孝义,小时数据,2025-01-01 10,2025-01-01 10:02:38,000,931.8,1026.3,0.1,2.2,36,9025,0.0,-,171,1.1,174,1.1,6.2,8.9,-,-,8000
53768/孝义,小时数据,2025-01-01 09,2025-01-01 09:02:39,000,931.3,1026.7,-5.3,2.3,56,7369,0.0,-,179,0.8,191,0.5,-4.3,-0.1,-,-,7900
53768/孝义,小时数据,2025-01-01 08,2025-01-01 08:02:38,000,930.6,1026.7,-9.1,1.9,61,15829,0.0,-,181,0.9,182,1.0,-12.1,-14.2,-,-,13900
53768/孝义,小时数据,2025-01-01 07,2025-01-01 07:02:39,000,929.9,1025.2,-8.1,1.9,57,17387,0.0,-,PPC,0.0,PPC,0.0,-12.4,-15.2,-,-,18700
53768/孝义,小时数据,2025-01-01 06,2025-01-01 06:02:40,000,929.2,1023.4,-6.6,1.9,51,25098,0.0,-,196,0.6,166,1.0,-11.5,-11.2,-,-,21700
53768/孝义,小时数据,2025-01-01 05,2025-01-01 05:02:40,000,928.7,1022.5,-7.8,1.9,55,21740,0.0,-,PPC,0.2,257,0.6,-11.6,-14.5,-,-,22500
53768/孝义,小时数据,2025-01-01 04,2025-01-01 04:02:37,000,928.9,1022.3,-7.6,1.9,55,21623,0.0,-,176,0.9,188,0.9,-11.2,-14.1,-,-,17100
53768/孝义,小时数据,2025-01-01 03,2025-01-01 03:02:36,000,929.1,1022.3,-6.6,1.9,52,17538,0.0,-,182,0.7,176,0.5,-10.8,-13.3,-,-,17600
53768/孝义,小时数据,2025-01-01 02,2025-01-01 02:02:39,000,929.0,1022.4,-5.8,1.9,48,18736,0.0,-,175,0.3,PPC,0.0,-10.4,-13.7,-,-,16800
53768/孝义,小时数据,2025-01-01 01,2025-01-01 01:02:39,000,928.8,1022.8,-5.8,1.9,48,16755,0.0,-,199,1.3,206,1.1,-10.1,-13.5,-,-,17100
