区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53577/宁武,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,858.1,1028.0,-1.2,1.6,29,30000,0.0,-,271,1.2,260,2.1,-4.5,-4.0,-,-,20500
53577/宁武,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,857.3,1026.3,0.2,1.6,26,11970,0.0,-,277,3.8,292,3.3,1.7,3.5,-,-,20300
53577/宁武,小时数据,2025-01-01 15,2025-01-01 15:00:41,000,856.9,1025.7,0.7,1.5,24,28755,0.0,-,263,1.9,287,3.1,7.9,8.9,-,-,24700
53577/宁武,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,856.6,1025.5,0.2,1.6,26,27639,0.0,-,326,5.5,326,5.3,9.8,9.0,-,-,13500
53577/宁武,小时数据,2025-01-01 13,2025-01-01 13:00:37,000,857.0,1025.6,0.4,1.6,26,30000,0.0,-,339,3.2,321,2.7,11.8,12.5,-,-,22300
53577/宁武,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,856.9,1025.7,0.1,1.7,27,30000,0.0,-,336,4.4,331,3.2,7.8,9.3,-,-,11200
53577/宁武,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,857.6,1027.1,-1.8,1.7,32,10185,0.0,-,143,0.9,137,1.1,1.9,6.2,-,-,8400
53577/宁武,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,857.4,1027.6,-4.7,1.6,38,6802,0.0,-,258,1.3,252,1.3,-5.0,-1.2,-,-,3100
53577/宁武,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,856.9,1027.8,-7.5,1.5,44,2959,0.0,-,202,1.6,208,1.9,-10.2,-8.2,-,-,2800
53577/宁武,小时数据,2025-01-01 08,2025-01-01 08:01:03,CCA,856.3,1027.0,-8.5,1.4,45,946,0.0,-,202,1.2,164,0.8,-13.4,-14.8,-,-,3100
53577/宁武,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,855.7,1025.4,-8.0,1.4,41,9433,0.0,-,266,2.1,262,1.8,-13.4,-13.2,-,-,10500
53577/宁武,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,855.4,1024.4,-8.2,1.4,41,9613,0.0,-,263,1.3,241,1.3,-13.8,-14.9,-,-,15900
53577/宁武,小时数据,2025-01-01 05,2025-01-01 05:00:36,000,854.9,1023.1,-7.8,1.3,39,15967,0.0,-,211,2.4,227,2.1,-13.2,-12.3,-,-,21300
53577/宁武,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,855.1,1022.5,-7.2,1.3,36,30000,0.0,-,206,1.6,239,2.3,-13.0,-12.6,-,-,19900
53577/宁武,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,855.2,1022.4,-7.2,1.3,36,2533,0.0,-,67,0.9,266,1.9,-12.4,-12.2,-,-,28300
53577/宁武,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,854.9,1021.6,-7.2,1.4,38,23503,0.0,-,171,2.0,209,2.2,-12.7,-13.1,-,-,25800
