区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53877/安泽,小时数据,2025-01-01 17,2025-01-01 17:00:52,000,902.7,1024.0,5.8,2.0,22,21362,0.0,-,302,2.8,300,2.6,1.9,5.0,-,-,21400
53877/安泽,小时数据,2025-01-01 16,2025-01-01 16:00:53,000,902.3,1023.0,7.2,2.0,20,21752,0.0,-,299,4.1,291,3.9,10.4,12.0,-,-,22100
53877/安泽,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,901.8,1021.9,9.1,2.0,17,28273,0.0,-,276,3.0,272,3.0,16.2,17.9,-,-,29800
53877/安泽,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,901.8,1021.9,8.3,2.0,18,30000,0.0,-,309,3.4,292,3.3,17.1,18.2,-,-,25300
53877/安泽,小时数据,2025-01-01 13,2025-01-01 13:00:52,000,902.4,1022.6,7.6,2.1,20,23920,0.0,-,282,3.0,284,2.8,17.2,18.7,-,-,25700
53877/安泽,小时数据,2025-01-01 12,2025-01-01 12:00:53,000,903.6,1024.3,5.2,2.2,25,26019,0.0,-,301,1.2,306,1.5,15.3,16.6,-,-,22800
53877/安泽,小时数据,2025-01-01 11,2025-01-01 11:00:52,000,904.4,1026.0,1.3,2.2,33,26802,0.0,-,109,0.9,108,0.7,9.9,11.0,-,-,23700
53877/安泽,小时数据,2025-01-01 10,2025-01-01 10:00:52,000,904.6,1027.5,-5.3,1.9,46,26074,0.0,-,316,2.5,314,3.1,1.4,1.8,-,-,24600
53877/安泽,小时数据,2025-01-01 09,2025-01-01 09:00:52,000,903.8,1027.0,-8.0,1.8,55,25530,0.0,-,307,3.8,309,4.2,-5.0,-4.7,-,-,23700
53877/安泽,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,903.1,1025.8,-9.2,1.8,59,23475,0.0,-,302,5.7,302,6.2,-9.6,-9.6,-,-,23900
53877/安泽,小时数据,2025-01-01 07,2025-01-01 07:00:52,000,902.6,1024.7,-9.1,1.8,58,23658,0.0,-,302,5.9,303,5.6,-9.7,-9.7,-,-,24100
53877/安泽,小时数据,2025-01-01 06,2025-01-01 06:00:52,000,902.2,1023.9,-8.8,1.8,56,22984,0.0,-,302,4.9,305,4.8,-9.5,-9.6,-,-,23100
53877/安泽,小时数据,2025-01-01 05,2025-01-01 05:00:37,000,902.0,1023.1,-8.2,1.8,54,23090,0.0,-,304,4.9,303,5.1,-9.1,-9.0,-,-,21100
53877/安泽,小时数据,2025-01-01 04,2025-01-01 04:00:52,000,902.2,1022.7,-7.4,1.8,51,20936,0.0,-,301,5.3,301,5.6,-8.6,-8.2,-,-,20400
53877/安泽,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,902.5,1023.0,-7.0,1.8,50,19154,0.0,-,306,3.7,304,4.3,-8.3,-8.1,-,-,19900
53877/安泽,小时数据,2025-01-01 02,2025-01-01 02:00:52,000,902.5,1023.1,-6.0,1.8,47,16324,0.0,-,307,3.6,307,3.8,-7.6,-7.1,-,-,15600
53877/安泽,小时数据,2025-01-01 01,2025-01-01 01:00:52,000,902.4,1023.6,-5.6,1.8,45,21483,0.0,-,308,4.2,311,4.6,-7.4,-6.7,-,-,22000
53877/安泽,小时数据,2025-01-01 00,2025-01-01 00:01:06,000,902.6,1024.4,-4.5,1.8,41,23001,0.0,-,321,4.1,322,3.8,-6.9,-5.9,-,-,22400
53877/安泽,小时数据,2024-12-31 23,2024-12-31 23:00:52,000,902.5,1025.3,-3.8,1.8,40,24363,0.0,-,347,4.5,342,3.9,-6.9,-5.5,-,-,25700
