区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53676/定襄,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,931.7,1025.8,1.8,1.9,27,11117,0.0,-,284,1.3,282,1.4,12.0,9.3,-,-,10200
53676/定襄,小时数据,2025-01-01 13,2025-01-01 13:00:37,000,932.4,1026.9,-0.3,1.9,31,10504,0.0,-,158,0.7,173,0.8,8.1,5.2,-,-,9900
53676/定襄,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,933.2,1028.0,-1.8,2.0,37,10116,0.0,-,209,1.0,233,0.5,5.4,2.6,-,-,8700
53676/定襄,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,934.0,1029.1,-4.3,2.1,48,9441,0.0,-,135,0.9,67,1.0,3.0,0.6,-,-,8000
53676/定襄,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,933.6,1028.9,-6.2,1.8,47,8475,0.0,-,253,1.3,263,1.1,0.7,0.6,-,-,7000
53676/定襄,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,933.6,1029.4,-9.8,1.9,66,7140,0.0,-,47,0.5,58,0.6,-8.1,-6.7,-,-,5800
53676/定襄,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,932.8,1028.8,-12.8,1.6,71,5724,0.0,-,334,1.2,315,0.5,-16.6,-16.6,-,-,6200
53676/定襄,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,932.2,1028.1,-14.3,1.4,68,8754,0.0,-,136,0.9,164,0.5,-17.3,-19.5,-,-,8500
53676/定襄,小时数据,2025-01-01 06,2025-01-01 06:00:37,000,931.8,1026.9,-13.1,1.5,67,7375,0.0,-,140,0.9,63,1.0,-17.0,-17.3,-,-,7000
53676/定襄,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,931.6,1026.3,-14.4,1.3,63,8424,0.0,-,151,1.5,136,1.4,-16.7,-16.8,-,-,6700
53676/定襄,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,931.6,1025.7,-12.6,1.5,64,5957,0.0,-,PPC,0.0,49,0.4,-16.5,-18.7,-,-,5600
53676/定襄,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,931.4,1025.5,-12.2,1.5,61,6618,0.0,-,185,0.6,PPC,0.2,-16.2,-18.8,-,-,6700
53676/定襄,小时数据,2025-01-01 02,2025-01-01 02:00:38,000,931.3,1025.5,-11.7,1.5,59,6053,0.0,-,112,0.5,104,0.7,-15.7,-18.4,-,-,4900
53676/定襄,小时数据,2025-01-01 01,2025-01-01 01:00:42,000,931.0,1025.3,-11.1,1.5,56,4252,0.0,-,164,0.3,163,0.7,-15.2,-18.0,-,-,3800
