区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53780/寿阳,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,895.4,1023.5,6.3,1.9,20,8359,0.0,-,21,0.5,108,1.0,10.5,12.5,-,-,8100
53780/寿阳,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,896.0,1024.4,4.4,2.1,25,7302,0.0,-,79,1.2,85,1.0,11.2,13.0,-,-,6900
53780/寿阳,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,897.0,1026.2,0.9,2.2,33,5727,0.0,-,42,0.5,61,0.9,7.9,8.9,-,-,5700
53780/寿阳,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,897.9,1027.9,-2.4,2.0,39,6289,0.0,-,104,0.8,114,1.0,3.0,5.1,-,-,5700
53780/寿阳,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,897.8,1028.8,-7.0,2.0,54,5614,0.0,-,PPC,0.0,PPC,0.0,-3.0,0.2,-,-,5100
53780/寿阳,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,897.4,1029.0,-11.6,1.7,68,5317,0.0,-,PPC,0.0,215,0.4,-9.6,-6.7,-,-,4500
53780/寿阳,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,896.9,1028.8,-14.7,1.6,80,4230,0.0,-,PPC,0.0,PPC,0.0,-14.6,-18.2,-,-,4000
53780/寿阳,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,896.5,1028.0,-14.7,1.5,77,5250,0.0,-,301,1.2,306,0.7,-15.2,-19.5,-,-,5200
53780/寿阳,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,896.1,1026.7,-14.2,1.6,76,5364,0.0,-,PPC,0.0,297,0.3,-15.0,-19.7,-,-,5400
53780/寿阳,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,895.9,1025.2,-13.9,1.6,75,4873,0.0,-,PPC,0.0,PPC,0.0,-14.7,-19.6,-,-,4900
53780/寿阳,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,895.7,1024.5,-13.6,1.6,73,4907,0.0,-,PPC,0.0,PPC,0.0,-14.3,-19.1,-,-,4600
53780/寿阳,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,895.9,1024.5,-12.8,1.6,68,4337,0.0,-,PPC,0.0,PPC,0.0,-14.0,-19.0,-,-,4300
53780/寿阳,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,896.0,1024.7,-12.3,1.6,66,4271,0.0,-,PPC,0.0,PPC,0.0,-13.5,-18.4,-,-,4200
53780/寿阳,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,895.8,1024.4,-11.2,1.6,63,3401,0.0,-,PPC,0.0,PPC,0.0,-13.2,-18.0,-,-,2700
53780/寿阳,小时数据,2025-01-01 00,2025-01-01 00:00:56,000,895.9,1024.6,-10.3,1.6,59,3421,0.0,-,265,1.0,256,0.9,-12.4,-15.2,-,-,3400
53780/寿阳,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,895.7,1025.1,-9.5,1.6,55,3470,0.0,-,265,1.2,263,1.1,-12.1,-15.7,-,-,3000
53780/寿阳,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,895.6,1026.3,-8.8,1.6,51,2885,0.0,-,279,1.1,257,0.8,-11.6,-15.6,-,-,2800
53780/寿阳,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,895.4,1027.1,-7.0,1.7,46,4317,0.0,-,286,1.3,293,0.4,-11.1,-15.7,-,-,3500
53780/寿阳,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,895.3,1027.2,-5.3,1.7,41,6050,0.0,-,305,1.5,303,1.3,-9.9,-11.2,-,-,6000
53780/寿阳,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,895.0,1026.5,-3.9,1.6,36,5574,0.0,-,313,1.6,327,1.4,-8.7,-11.2,-,-,4800
53780/寿阳,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,894.8,1025.4,-1.1,1.7,31,5670,0.0,-,PPC,0.0,PPC,0.2,-7.9,-11.1,-,-,6000
53780/寿阳,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,894.6,1024.0,3.5,1.7,22,8685,0.0,-,192,2.8,188,3.1,-2.4,1.2,-,-,8600
53780/寿阳,小时数据,2024-12-31 16,2024-12-31 16:00:42,000,894.8,1023.8,4.9,1.7,20,8829,0.0,-,177,3.5,181,3.8,2.0,5.8,-,-,8800
53780/寿阳,小时数据,2024-12-31 15,2024-12-31 15:00:42,000,894.8,1023.6,5.0,1.7,20,8636,0.0,-,203,4.5,197,4.1,7.4,12.1,-,-,8800
53780/寿阳,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,895.3,1024.3,4.2,1.7,21,8083,0.0,-,183,6.7,194,6.0,9.4,10.4,-,-,8600
53780/寿阳,小时数据,2024-12-31 13,2024-12-31 13:00:45,000,896.1,1025.2,3.5,1.7,22,9071,0.0,-,178,4.2,168,5.0,10.6,10.9,-,-,9000
53780/寿阳,小时数据,2024-12-31 12,2024-12-31 12:00:43,000,897.4,1026.7,2.3,1.7,24,9059,0.0,-,192,5.8,188,5.5,8.4,8.9,-,-,9000
53780/寿阳,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,898.5,1028.5,-1.4,1.7,30,7838,0.0,-,188,1.2,187,1.1,4.7,9.7,-,-,7400
53780/寿阳,小时数据,2024-12-31 10,2024-12-31 10:00:44,000,899.6,1030.8,-7.2,1.6,44,6212,0.0,-,185,0.9,195,0.8,-2.7,2.7,-,-,5900
53780/寿阳,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,900.0,1032.3,-13.0,1.4,60,6385,0.0,-,PPC,0.0,PPC,0.0,-10.7,-6.4,-,-,6100
53780/寿阳,小时数据,2024-12-31 08,2024-12-31 08:00:43,000,899.9,1032.6,-15.5,1.3,69,5957,0.0,-,238,1.2,240,1.3,-15.1,-17.7,-,-,5000
53780/寿阳,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,899.5,1031.3,-15.3,1.2,66,5259,0.0,-,279,1.0,274,1.0,-15.7,-20.5,-,-,6000
53780/寿阳,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,899.1,1030.4,-15.0,1.2,65,7097,0.0,-,255,1.2,231,1.2,-15.1,-18.3,-,-,7000
53780/寿阳,小时数据,2024-12-31 05,2024-12-31 05:00:45,000,899.6,1030.5,-15.1,1.2,63,6909,0.0,-,251,1.3,240,1.0,-15.0,-18.1,-,-,6800
53780/寿阳,小时数据,2024-12-31 04,2024-12-31 04:00:43,000,900.2,1030.5,-14.7,1.2,61,6805,0.0,-,253,1.0,258,1.1,-15.1,-19.1,-,-,6700
53780/寿阳,小时数据,2024-12-31 03,2024-12-31 03:00:41,000,900.9,1030.9,-14.0,1.2,59,6132,0.0,-,268,1.2,264,1.4,-15.0,-18.6,-,-,5500
53780/寿阳,小时数据,2024-12-31 02,2024-12-31 02:00:46,000,901.4,1031.4,-13.7,1.2,55,5708,0.0,-,302,1.2,301,0.4,-14.9,-20.0,-,-,4500
53780/寿阳,小时数据,2024-12-31 01,2024-12-31 01:00:40,000,901.6,1031.6,-13.2,1.1,51,5262,0.0,-,251,0.7,273,1.0,-14.7,-19.5,-,-,5100
53780/寿阳,小时数据,2024-12-31 00,2024-12-31 00:00:52,000,901.8,1031.9,-11.9,1.2,47,3346,0.0,-,PPC,0.0,PPC,0.0,-14.5,-19.8,-,-,3400
53780/寿阳,小时数据,2024-12-30 23,2024-12-30 23:00:42,000,902.2,1032.4,-10.3,1.2,42,4134,0.0,-,306,1.3,316,1.0,-13.7,-17.6,-,-,3400
