区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53679/小店,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,928.8,1023.8,5.7,2.2,24,11621,0.0,-,175,1.7,169,1.4,16.5,10.7,-,-,10000
53679/小店,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,929.6,1025.0,3.6,2.1,27,11768,0.0,-,250,1.6,268,1.5,13.0,9.2,-,-,10300
53679/小店,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,930.6,1026.3,2.3,2.2,31,11508,0.0,-,173,1.6,209,1.3,14.8,9.0,-,-,12400
53679/小店,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,931.5,1027.6,-0.2,2.2,37,13880,0.0,-,228,2.0,218,2.0,8.8,5.7,-,-,13100
53679/小店,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,931.4,1027.8,-2.7,2.3,46,11144,0.0,-,206,1.1,225,1.0,2.0,2.7,-,-,11200
53679/小店,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,930.9,1028.0,-7.5,2.4,69,8383,0.0,-,242,1.4,239,1.3,-4.9,-0.6,-,-,6500
53679/小店,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,930.2,1027.8,-12.0,1.9,77,13505,0.0,-,226,1.6,294,1.0,-12.0,-13.8,-,-,14200
53679/小店,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,929.6,1026.8,-11.9,1.9,76,18779,0.0,-,56,0.4,356,0.7,-12.7,-15.0,-,-,9700
53679/小店,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,929.2,1025.8,-11.3,2.0,77,9454,0.0,-,282,0.3,264,0.3,-12.4,-15.0,-,-,10200
53679/小店,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,928.8,1024.3,-11.9,1.9,79,6044,0.0,-,350,1.5,343,1.2,-12.1,-14.7,-,-,4300
53679/小店,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,928.8,1024.0,-11.6,1.9,76,3645,0.0,-,359,0.9,4,0.9,-11.7,-14.5,-,-,3700
53679/小店,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,929.0,1024.2,-10.9,2.0,74,4149,0.0,-,273,0.6,230,0.8,-11.2,-14.0,-,-,4200
53679/小店,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,929.0,1024.3,-10.5,2.0,72,6445,0.0,-,289,0.5,PPC,0.2,-10.7,-13.8,-,-,6100
53679/小店,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,928.7,1024.2,-9.9,2.1,72,5956,0.0,-,352,0.7,351,0.7,-10.4,-12.8,-,-,6100
53679/小店,小时数据,2025-01-01 00,2025-01-01 00:00:42,000,928.8,1024.5,-9.5,2.0,66,6372,0.0,-,360,1.1,9,1.0,-9.9,-12.9,-,-,6300
53679/小店,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,928.6,1024.5,-8.9,2.1,66,7093,0.0,-,336,0.7,329,0.7,-9.4,-12.7,-,-,7200
53679/小店,小时数据,2024-12-31 22,2024-12-31 22:00:37,000,928.3,1024.5,-8.1,2.1,64,9263,0.0,-,340,0.7,302,0.5,-8.8,-12.0,-,-,9300
53679/小店,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,928.3,1025.5,-7.1,2.0,57,10337,0.0,-,4,0.8,359,0.7,-8.3,-12.0,-,-,9800
53679/小店,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,928.1,1026.0,-5.8,2.0,50,6839,0.0,-,59,0.6,43,0.4,-7.7,-10.7,-,-,9100
53679/小店,小时数据,2024-12-31 19,2024-12-31 19:00:43,000,927.8,1025.3,-4.1,2.0,45,12777,0.0,-,348,0.5,PPC,0.2,-7.1,-10.4,-,-,9900
53679/小店,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,927.5,1024.4,-1.7,1.8,33,11475,0.0,-,PPC,0.0,PPC,0.0,-6.3,-9.1,-,-,11800
53679/小店,小时数据,2024-12-31 17,2024-12-31 17:00:38,000,927.4,1023.1,4.6,2.0,24,15451,0.0,-,17,0.4,89,0.3,-2.1,-3.3,-,-,14600
53679/小店,小时数据,2024-12-31 16,2024-12-31 16:00:41,000,927.6,1023.0,5.9,1.9,21,17869,0.0,-,171,1.9,179,1.8,7.7,8.1,-,-,17000
53679/小店,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,928.1,1023.5,5.5,2.0,22,14137,0.0,-,198,2.3,204,2.2,13.5,10.4,-,-,17300
53679/小店,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,928.6,1024.1,4.2,1.9,23,18270,0.0,-,168,2.1,202,2.0,17.0,10.4,-,-,16400
53679/小店,小时数据,2024-12-31 13,2024-12-31 13:00:46,000,929.8,1025.6,2.3,1.8,25,13073,0.0,-,205,2.1,229,1.9,17.7,9.2,-,-,15100
53679/小店,小时数据,2024-12-31 12,2024-12-31 12:00:43,000,931.4,1027.4,0.9,1.8,28,14472,0.0,-,220,1.9,223,1.7,15.6,7.7,-,-,14600
53679/小店,小时数据,2024-12-31 11,2024-12-31 11:00:39,000,932.5,1028.8,-0.8,1.7,30,18025,0.0,-,88,0.7,111,1.0,11.8,5.8,-,-,16000
