区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53677/尖草坪,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,924.1,1024.1,3.7,1.8,23,23210,0.0,-,341,1.2,345,1.4,14.4,17.7,-,-,20800
53677/尖草坪,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,924.7,1025.0,2.4,1.8,25,20009,0.0,-,354,1.3,4,1.4,9.2,10.2,-,-,21400
53677/尖草坪,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,925.6,1025.8,2.0,1.8,25,27323,0.0,-,9,1.4,16,1.1,12.0,12.5,-,-,26100
53677/尖草坪,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,926.4,1027.1,-0.3,1.8,30,23070,0.0,-,53,0.9,345,1.0,9.3,10.9,-,-,21800
53677/尖草坪,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,926.3,1027.5,-4.0,1.9,41,28956,0.0,-,360,1.0,21,1.0,1.7,4.3,-,-,19300
53677/尖草坪,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,926.1,1027.7,-7.1,1.7,47,22287,0.0,-,312,1.2,328,0.8,-6.7,-4.2,-,-,18100
53677/尖草坪,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,925.4,1027.0,-8.7,1.6,52,21573,0.0,-,20,2.1,11,2.1,-11.2,-11.1,-,-,20500
53677/尖草坪,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,925.0,1026.8,-9.9,1.7,58,21017,0.0,-,296,1.2,352,1.2,-13.1,-15.4,-,-,22200
53677/尖草坪,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,924.5,1025.8,-9.6,1.7,58,24593,0.0,-,236,1.1,272,1.0,-12.9,-15.9,-,-,20500
53677/尖草坪,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,924.3,1025.0,-9.1,1.7,56,18375,0.0,-,5,1.3,350,1.7,-12.8,-16.8,-,-,19300
