区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53879/屯留,小时数据,2025-01-01 17,2025-01-01 17:00:42,000,910.6,1022.0,9.7,2.0,17,30000,0.0,-,202,1.0,206,1.0,1.6,-0.8,-,-,20000
53879/屯留,小时数据,2025-01-01 16,2025-01-01 16:00:41,000,910.1,1021.2,10.2,2.0,16,30000,0.0,-,119,1.7,108,1.3,9.1,12.5,-,-,30000
53879/屯留,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,909.9,1021.0,10.0,2.1,17,30000,0.0,-,48,1.1,60,1.0,15.0,24.0,-,-,30000
53879/屯留,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,910.1,1021.1,10.4,2.3,18,30000,0.0,-,174,1.7,185,1.1,17.8,25.2,-,-,30000
53879/屯留,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,910.8,1022.3,7.4,2.4,23,30000,0.0,-,169,0.9,137,1.2,18.0,29.3,-,-,30000
53879/屯留,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,912.1,1024.3,4.8,2.4,28,30000,0.0,-,198,1.2,204,1.1,15.1,20.4,-,-,27000
53879/屯留,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,913.1,1025.9,1.5,2.4,35,30000,0.0,-,205,0.8,202,1.2,9.8,16.4,-,-,29300
53879/屯留,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,913.2,1025.9,-2.1,2.1,41,30000,0.0,-,220,1.3,208,1.3,2.8,5.7,-,-,29300
53879/屯留,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,912.6,1025.8,-7.0,2.0,56,26496,0.0,-,259,0.9,269,0.8,-5.1,-4.4,-,-,28800
53879/屯留,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,911.9,1025.5,-10.0,1.7,59,30000,0.0,-,332,1.8,336,1.6,-10.5,-14.1,-,-,30000
53879/屯留,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,911.5,1024.6,-9.4,1.7,58,30000,0.0,-,310,1.4,286,1.4,-10.7,-15.1,-,-,30000
53879/屯留,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,911.0,1023.5,-9.2,1.7,56,30000,0.0,-,343,1.4,347,1.6,-10.3,-14.8,-,-,30000
53879/屯留,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,910.9,1022.8,-8.8,1.7,54,30000,0.0,-,319,2.3,313,2.2,-9.8,-13.8,-,-,30000
53879/屯留,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,911.0,1022.4,-8.1,1.8,54,26338,0.0,-,293,2.4,295,2.5,-9.6,-13.5,-,-,29500
53879/屯留,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,911.4,1022.7,-8.1,1.8,53,30000,0.0,-,296,1.8,293,2.1,-9.6,-14.3,-,-,27400
53879/屯留,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,911.3,1022.9,-8.0,1.7,50,28821,0.0,-,294,1.7,301,1.8,-9.2,-14.4,-,-,27000
53879/屯留,小时数据,2025-01-01 01,2025-01-01 01:00:49,000,911.3,1023.3,-7.1,1.7,48,28724,0.0,-,300,2.1,300,2.2,-8.6,-13.5,-,-,26100
53879/屯留,小时数据,2025-01-01 00,2025-01-01 00:00:54,000,911.4,1023.9,-6.9,1.7,46,17990,0.0,-,297,2.1,302,2.4,-8.4,-13.5,-,-,16000
53879/屯留,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,911.4,1024.2,-5.6,1.9,46,15964,0.0,-,269,1.5,279,1.3,-8.1,-13.8,-,-,17700
53879/屯留,小时数据,2024-12-31 22,2024-12-31 22:00:41,000,911.3,1024.3,-1.8,2.0,37,19218,0.0,-,203,1.2,182,1.5,-7.2,-10.9,-,-,15700
53879/屯留,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,911.2,1024.7,0.5,2.0,32,28641,0.0,-,151,1.8,155,1.9,-6.2,-8.6,-,-,28500
53879/屯留,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,911.0,1024.9,1.3,2.0,30,26529,0.0,-,152,2.1,156,1.9,-6.0,-9.2,-,-,22700
53879/屯留,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,910.5,1024.0,2.8,2.0,27,7327,0.0,-,175,2.2,170,2.5,-4.1,-2.1,-,-,21500
53879/屯留,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,910.2,1023.0,5.0,2.0,23,30000,0.0,-,168,3.0,168,3.0,-2.5,0.0,-,-,20300
53879/屯留,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,910.0,1022.3,7.4,2.1,20,30000,0.0,-,181,2.8,173,2.8,2.1,4.3,-,-,30000
53879/屯留,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,910.0,1021.6,9.3,2.1,18,30000,0.0,-,138,3.5,137,3.4,9.2,13.2,-,-,30000
53879/屯留,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,910.4,1021.8,9.6,2.0,17,30000,0.0,-,170,3.2,175,3.2,14.0,18.9,-,-,30000
53879/屯留,小时数据,2024-12-31 14,2024-12-31 14:00:37,000,911.1,1022.7,8.5,2.1,19,30000,0.0,-,206,2.0,202,2.2,17.1,23.8,-,-,30000
53879/屯留,小时数据,2024-12-31 13,2024-12-31 13:00:44,000,912.6,1024.8,5.6,2.2,24,30000,0.0,-,165,1.7,167,1.5,17.0,25.4,-,-,30000
53879/屯留,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,914.1,1027.0,3.1,2.0,26,30000,0.0,-,213,1.4,196,1.4,14.4,18.2,-,-,30000
53879/屯留,小时数据,2024-12-31 11,2024-12-31 11:00:43,000,915.3,1028.7,0.3,1.9,31,26709,0.0,-,43,0.7,25,0.6,9.4,17.6,-,-,30000
53879/屯留,小时数据,2024-12-31 10,2024-12-31 10:00:40,000,916.1,1030.4,-4.2,1.8,41,30000,0.0,-,280,1.6,278,1.5,2.0,7.2,-,-,30000
53879/屯留,小时数据,2024-12-31 09,2024-12-31 09:00:43,000,916.3,1031.2,-8.8,1.7,54,30000,0.0,-,281,1.9,285,2.4,-6.6,-6.5,-,-,30000
53879/屯留,小时数据,2024-12-31 08,2024-12-31 08:00:42,000,916.2,1031.4,-11.9,1.4,58,30000,0.0,-,279,1.6,283,1.4,-12.1,-16.3,-,-,30000
53879/屯留,小时数据,2024-12-31 07,2024-12-31 07:00:44,000,916.1,1031.3,-11.6,1.5,58,30000,0.0,-,298,1.5,280,1.5,-12.6,-17.4,-,-,30000
53879/屯留,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,915.9,1030.3,-10.8,1.5,57,30000,0.0,-,284,1.0,295,1.2,-12.2,-17.5,-,-,30000
53879/屯留,小时数据,2024-12-31 05,2024-12-31 05:00:43,000,916.1,1029.7,-11.1,1.5,57,30000,0.0,-,297,1.9,298,1.4,-12.1,-17.8,-,-,30000
53879/屯留,小时数据,2024-12-31 04,2024-12-31 04:00:43,000,916.8,1029.8,-9.7,1.6,54,30000,0.0,-,295,1.3,308,1.2,-11.4,-16.9,-,-,28900
53879/屯留,小时数据,2024-12-31 03,2024-12-31 03:00:43,000,917.2,1029.9,-8.7,1.6,51,28329,0.0,-,278,1.8,265,2.1,-10.7,-14.7,-,-,29400
53879/屯留,小时数据,2024-12-31 02,2024-12-31 02:00:43,000,917.5,1030.3,-8.3,1.6,50,30000,0.0,-,305,1.5,305,1.4,-10.5,-15.8,-,-,26700
53879/屯留,小时数据,2024-12-31 01,2024-12-31 01:00:42,000,917.9,1030.5,-7.3,1.7,47,26420,0.0,-,256,1.7,274,1.8,-9.9,-14.9,-,-,25100
53879/屯留,小时数据,2024-12-31 00,2024-12-31 00:00:53,000,917.9,1031.1,-7.4,1.6,46,22986,0.0,-,261,1.7,279,1.2,-9.6,-15.2,-,-,17000
53879/屯留,小时数据,2024-12-30 23,2024-12-30 23:00:41,000,918.0,1031.3,-5.9,1.7,42,19988,0.0,-,258,1.6,273,1.5,-9.1,-14.9,-,-,21500
53879/屯留,小时数据,2024-12-30 22,2024-12-30 22:00:42,000,917.8,1031.7,-5.1,1.7,40,25678,0.0,-,318,1.5,312,1.5,-8.5,-14.6,-,-,19800
53879/屯留,小时数据,2024-12-30 21,2024-12-30 21:00:45,000,917.6,1031.9,-3.3,1.7,35,24377,0.0,-,284,1.8,301,1.7,-7.8,-13.7,-,-,23600
53879/屯留,小时数据,2024-12-30 20,2024-12-30 20:00:39,000,917.2,1031.2,-1.4,1.7,31,25335,0.0,-,275,2.9,302,2.4,-6.9,-12.0,-,-,26100
53879/屯留,小时数据,2024-12-30 19,2024-12-30 19:00:40,000,916.6,1030.6,-1.7,1.6,29,25352,0.0,-,280,2.5,282,2.2,-6.3,-11.8,-,-,21800
53879/屯留,小时数据,2024-12-30 18,2024-12-30 18:00:38,000,915.6,1028.9,1.1,1.5,23,24430,0.0,-,7,1.3,10,1.3,-4.3,-8.7,-,-,30000
53879/屯留,小时数据,2024-12-30 17,2024-12-30 17:00:40,000,914.5,1026.7,4.9,1.6,19,30000,0.0,-,21,4.5,23,3.8,1.1,0.8,-,-,30000
53879/屯留,小时数据,2024-12-30 16,2024-12-30 16:00:43,000,913.7,1025.4,6.6,1.7,17,30000,0.0,-,14,4.0,11,4.4,6.7,9.3,-,-,30000
53879/屯留,小时数据,2024-12-30 15,2024-12-30 15:00:44,000,913.4,1025.1,7.1,1.8,18,30000,0.0,-,348,4.4,358,4.5,10.6,15.9,-,-,30000
53879/屯留,小时数据,2024-12-30 14,2024-12-30 14:00:39,000,913.5,1025.3,6.7,1.9,19,30000,0.0,-,338,3.1,341,3.8,14.0,21.4,-,-,30000
53879/屯留,小时数据,2024-12-30 13,2024-12-30 13:00:37,000,913.9,1025.7,6.7,2.1,21,30000,0.0,-,352,3.8,347,4.8,15.7,25.0,-,-,30000
53879/屯留,小时数据,2024-12-30 12,2024-12-30 12:00:42,000,914.6,1026.4,4.1,2.0,24,24535,0.0,-,59,0.9,26,1.1,13.6,23.4,-,-,28600
53879/屯留,小时数据,2024-12-30 11,2024-12-30 11:00:41,000,915.4,1027.7,2.0,2.0,29,26189,0.0,-,286,1.9,269,1.8,8.6,17.8,-,-,23000
53879/屯留,小时数据,2024-12-30 10,2024-12-30 10:00:39,000,915.5,1028.5,-1.6,2.1,38,20339,0.0,-,265,1.9,270,2.3,1.0,4.9,-,-,21300
53879/屯留,小时数据,2024-12-30 09,2024-12-30 09:00:44,000,914.8,1028.3,-5.2,2.2,53,16870,0.0,-,329,1.0,313,0.8,-4.2,-3.2,-,-,14400
53879/屯留,小时数据,2024-12-30 08,2024-12-30 08:00:42,000,914.2,1027.5,-5.9,2.0,51,22242,0.0,-,61,0.8,76,0.8,-6.0,-7.1,-,-,22000
53879/屯留,小时数据,2024-12-30 07,2024-12-30 07:00:40,000,913.3,1026.3,-6.1,1.8,47,23090,0.0,-,250,1.4,256,1.4,-6.9,-8.2,-,-,23900
53879/屯留,小时数据,2024-12-30 06,2024-12-30 06:00:42,000,913.2,1026.1,-6.3,1.8,46,23790,0.0,-,290,1.1,281,0.9,-8.2,-10.8,-,-,24400
53879/屯留,小时数据,2024-12-30 05,2024-12-30 05:00:41,000,913.0,1025.4,-5.4,1.8,44,25020,0.0,-,199,2.0,174,1.8,-8.5,-9.4,-,-,24300
53879/屯留,小时数据,2024-12-30 04,2024-12-30 04:00:43,000,913.0,1025.1,-5.2,1.7,42,25004,0.0,-,273,4.1,272,3.9,-8.6,-9.9,-,-,24400
53879/屯留,小时数据,2024-12-30 03,2024-12-30 03:00:42,000,913.0,1025.0,-6.1,1.7,45,22695,0.0,-,265,1.2,270,1.1,-9.4,-13.1,-,-,23100
53879/屯留,小时数据,2024-12-30 02,2024-12-30 02:00:43,000,913.0,1025.1,-5.9,1.7,44,22462,0.0,-,270,2.0,267,1.9,-9.5,-14.2,-,-,21600
53879/屯留,小时数据,2024-12-30 01,2024-12-30 01:00:41,000,912.7,1025.2,-5.8,1.5,38,25141,0.0,-,59,1.3,331,1.3,-8.6,-13.2,-,-,23800
53879/屯留,小时数据,2024-12-30 00,2024-12-30 00:00:46,000,912.8,1025.5,-3.0,1.7,35,22650,0.0,-,302,4.0,296,3.6,-6.9,-8.5,-,-,23900
53879/屯留,小时数据,2024-12-29 23,2024-12-29 23:00:37,000,912.9,1025.8,-2.7,1.7,34,25046,0.0,-,293,5.6,293,6.2,-5.5,-5.6,-,-,24700
53879/屯留,小时数据,2024-12-29 22,2024-12-29 22:00:44,000,913.2,1027.0,-2.0,1.7,33,23418,0.0,-,295,5.6,290,5.6,-4.5,-4.6,-,-,25100
53879/屯留,小时数据,2024-12-29 21,2024-12-29 21:00:38,000,912.8,1027.2,-1.1,1.7,30,25944,0.0,-,281,4.6,282,5.8,-3.5,-3.3,-,-,26900
53879/屯留,小时数据,2024-12-29 20,2024-12-29 20:00:44,000,912.4,1027.3,0.1,1.6,26,30000,0.0,-,272,7.3,274,6.4,-2.4,-1.8,-,-,30000
53879/屯留,小时数据,2024-12-29 19,2024-12-29 19:00:41,000,911.5,1026.1,1.1,1.5,23,30000,0.0,-,284,6.7,279,6.1,-1.4,-0.7,-,-,30000
53879/屯留,小时数据,2024-12-29 18,2024-12-29 18:00:42,000,910.7,1024.9,1.8,1.5,21,30000,0.0,-,261,5.2,263,5.7,-1.4,-0.2,-,-,30000
53879/屯留,小时数据,2024-12-29 17,2024-12-29 17:00:39,000,910.3,1024.1,2.9,1.4,19,30000,0.0,-,277,4.8,275,5.1,0.5,1.4,-,-,30000
53879/屯留,小时数据,2024-12-29 16,2024-12-29 16:00:39,000,910.5,1023.9,4.2,1.4,17,30000,0.0,-,277,5.4,278,5.0,2.8,4.2,-,-,30000
53879/屯留,小时数据,2024-12-29 15,2024-12-29 15:00:40,000,910.4,1023.6,5.5,1.4,15,30000,0.0,-,269,6.4,267,6.3,6.4,8.8,-,-,30000
53879/屯留,小时数据,2024-12-29 14,2024-12-29 14:00:40,000,911.0,1024.2,4.9,1.6,18,30000,0.0,-,187,3.9,206,3.7,9.7,10.2,-,-,30000
53879/屯留,小时数据,2024-12-29 13,2024-12-29 13:00:39,000,912.0,1025.4,2.9,1.7,23,30000,0.0,-,184,1.7,191,2.0,13.3,19.0,-,-,30000
53879/屯留,小时数据,2024-12-29 12,2024-12-29 12:00:44,000,913.1,1027.0,-1.0,1.6,29,23718,0.0,-,178,1.9,143,1.8,5.6,7.8,-,-,30000
53879/屯留,小时数据,2024-12-29 11,2024-12-29 11:00:42,000,914.6,1028.8,-2.1,1.6,31,28990,0.0,-,19,0.9,49,1.1,8.4,16.3,-,-,30000
53879/屯留,小时数据,2024-12-29 10,2024-12-29 10:00:50,000,915.3,1030.5,-6.8,1.5,41,30000,0.0,-,180,1.1,182,1.4,-1.4,-0.6,-,-,19900
53879/屯留,小时数据,2024-12-29 09,2024-12-29 09:00:40,000,915.9,1032.0,-10.5,1.5,54,30000,0.0,-,281,1.9,282,1.9,-6.3,-5.2,-,-,25500
53879/屯留,小时数据,2024-12-29 08,2024-12-29 08:00:43,000,914.8,1031.4,-14.3,1.2,60,24961,0.0,-,PPC,0.2,98,0.3,-13.6,-17.0,-,-,26600
53879/屯留,小时数据,2024-12-29 07,2024-12-29 07:00:37,000,915.0,1031.2,-14.5,1.3,63,21528,0.0,-,208,1.2,183,1.2,-14.4,-19.5,-,-,23600
53879/屯留,小时数据,2024-12-29 06,2024-12-29 06:00:42,000,914.6,1030.0,-13.9,1.2,58,30000,0.0,-,112,1.1,79,1.4,-14.3,-19.7,-,-,30000
53879/屯留,小时数据,2024-12-29 05,2024-12-29 05:00:41,000,914.9,1029.5,-13.2,1.3,58,30000,0.0,-,301,1.8,304,2.0,-14.0,-18.7,-,-,30000
