区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53576/山阴,小时数据,2025-01-12 09,2025-01-12 09:00:43,000,904.3,1034.6,-13.1,1.6,71,20297,0.0,-,191,1.8,183,1.7,-15.7,-15.4,-,-,15100
53576/山阴,小时数据,2025-01-12 08,2025-01-12 08:05:44,CCA,904.1,1034.9,-15.6,1.4,76,17580,0.0,-,193,1.3,163,0.9,-19.6,-25.3,-,-,13700
53576/山阴,小时数据,2025-01-12 07,2025-01-12 07:00:49,000,904.3,1035.2,-15.6,1.4,77,18016,0.0,-,258,1.0,241,1.1,-19.9,-26.2,-,-,25300
53576/山阴,小时数据,2025-01-12 06,2025-01-12 06:00:44,000,904.2,1034.8,-15.7,1.3,72,30000,0.0,-,211,2.0,194,1.6,-19.1,-25.0,-,-,30000
53576/山阴,小时数据,2025-01-12 05,2025-01-12 05:00:40,000,904.4,1034.7,-15.1,1.3,70,30000,0.0,-,188,1.0,164,1.3,-19.0,-25.3,-,-,30000
53576/山阴,小时数据,2025-01-12 04,2025-01-12 04:00:47,000,904.6,1034.2,-13.5,1.5,69,30000,0.0,-,305,0.7,279,1.1,-18.8,-25.4,-,-,30000
53576/山阴,小时数据,2025-01-12 03,2025-01-12 03:00:37,000,905.1,1034.8,-12.9,1.5,64,30000,0.0,-,225,1.2,219,1.5,-17.7,-23.8,-,-,30000
53576/山阴,小时数据,2025-01-12 02,2025-01-12 02:00:47,000,904.9,1033.7,-10.5,1.6,58,30000,0.0,-,PPC,0.0,73,0.9,-16.8,-22.6,-,-,30000
53576/山阴,小时数据,2025-01-12 01,2025-01-12 01:00:38,000,905.1,1034.2,-11.6,1.7,66,30000,0.0,-,207,0.6,201,0.5,-16.2,-22.2,-,-,30000
53576/山阴,小时数据,2025-01-12 00,2025-01-12 00:01:05,000,905.2,1033.6,-9.0,1.8,57,30000,0.0,-,345,1.9,331,1.8,-14.4,-18.1,-,-,30000
53576/山阴,小时数据,2025-01-11 23,2025-01-11 23:00:41,000,905.3,1033.6,-8.4,1.9,59,30000,0.0,-,337,1.1,357,1.3,-13.9,-17.5,-,-,27900
53576/山阴,小时数据,2025-01-11 22,2025-01-11 22:00:41,000,904.7,1033.0,-7.5,1.9,56,30000,0.0,-,52,1.9,66,1.6,-13.6,-17.6,-,-,30000
53576/山阴,小时数据,2025-01-11 21,2025-01-11 21:00:41,000,904.0,1033.0,-7.0,2.0,54,30000,0.0,-,296,3.4,310,3.0,-12.0,-13.0,-,-,28200
