区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53665/岚县,小时数据,2025-01-01 17,2025-01-01 17:00:41,000,881.4,1028.7,1.3,1.7,26,30000,0.0,-,230,4.8,226,4.7,-1.2,0.1,-,-,30000
53665/岚县,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,880.5,1026.9,3.7,1.7,21,30000,0.0,-,227,5.1,230,4.9,7.1,7.5,-,-,26100
53665/岚县,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,879.7,1025.5,4.3,1.7,20,30000,0.0,-,256,5.8,255,5.1,12.1,10.6,-,-,30000
53665/岚县,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,879.7,1025.2,4.6,1.6,19,30000,0.0,-,248,4.4,227,3.8,14.7,13.2,-,-,30000
53665/岚县,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,880.1,1025.8,3.3,1.6,21,30000,0.0,-,208,2.8,231,2.4,14.8,13.8,-,-,16400
53665/岚县,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,880.8,1027.5,-1.1,1.7,31,17433,0.0,-,70,1.1,79,1.1,8.6,5.1,-,-,13900
53665/岚县,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,881.5,1029.6,-6.2,1.6,42,11707,0.0,-,330,0.9,343,0.9,1.7,-1.3,-,-,11500
53665/岚县,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,881.7,1030.1,-9.2,1.6,54,11149,0.0,-,305,1.2,287,1.2,0.6,-1.0,-,-,11400
53665/岚县,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,881.2,1029.4,-11.6,1.5,58,14980,0.0,-,38,0.7,39,0.7,-9.2,-9.8,-,-,10200
53665/岚县,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,880.7,1029.5,-14.7,1.3,65,14584,0.0,-,321,0.9,306,0.9,-15.9,-16.3,-,-,13900
53665/岚县,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,880.3,1028.4,-14.1,1.3,64,16014,0.0,-,141,1.0,154,1.1,-16.4,-16.5,-,-,16400
53665/岚县,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,879.7,1026.7,-14.2,1.3,63,15134,0.0,-,251,1.3,127,1.2,-16.0,-16.2,-,-,14000
53665/岚县,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,879.5,1025.0,-13.0,1.3,59,16256,0.0,-,109,1.3,104,1.3,-16.2,-15.8,-,-,15200
53665/岚县,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,879.4,1024.7,-12.9,1.3,58,14887,0.0,-,103,1.1,285,1.1,-15.8,-15.6,-,-,15000
53665/岚县,小时数据,2025-01-01 03,2025-01-01 03:00:38,000,879.5,1024.7,-11.8,1.3,54,15246,0.0,-,84,1.1,69,0.7,-15.8,-15.6,-,-,13800
53665/岚县,小时数据,2025-01-01 02,2025-01-01 02:00:38,000,879.1,1024.7,-11.1,1.4,53,15087,0.0,-,291,0.5,310,0.7,-15.2,-14.9,-,-,15400
53665/岚县,小时数据,2025-01-01 01,2025-01-01 01:00:41,000,879.0,1025.4,-10.2,1.4,51,11383,0.0,-,100,0.8,98,0.8,-14.4,-14.0,-,-,10100
53665/岚县,小时数据,2025-01-01 00,2025-01-01 00:00:39,000,879.0,1026.1,-8.9,1.4,46,9304,0.0,-,8,0.8,349,0.7,-14.3,-14.3,-,-,9200
53665/岚县,小时数据,2024-12-31 23,2024-12-31 23:00:39,000,878.9,1026.7,-8.0,1.4,42,12282,0.0,-,281,1.0,293,1.0,-13.7,-13.7,-,-,11200
53665/岚县,小时数据,2024-12-31 22,2024-12-31 22:00:40,000,878.6,1026.8,-6.0,1.4,37,10598,0.0,-,76,0.5,63,0.9,-13.0,-12.9,-,-,10400
53665/岚县,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,878.3,1026.9,-3.1,1.6,32,30000,0.0,-,239,1.6,248,1.7,-10.9,-9.0,-,-,19500
53665/岚县,小时数据,2024-12-31 20,2024-12-31 20:00:41,000,878.5,1027.3,-2.2,1.5,29,15423,0.0,-,267,1.6,277,1.7,-10.0,-8.5,-,-,19700
53665/岚县,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,877.9,1026.1,-0.8,1.4,25,24171,0.0,-,287,2.2,287,1.6,-7.9,-6.5,-,-,19500
53665/岚县,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,877.6,1024.5,2.8,1.6,22,30000,0.0,-,194,4.8,199,3.9,-4.2,-0.4,-,-,18900
53665/岚县,小时数据,2024-12-31 17,2024-12-31 17:00:41,000,877.3,1023.0,6.6,1.5,15,30000,0.0,-,102,1.4,128,1.1,-2.9,0.8,-,-,30000
53665/岚县,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,877.2,1022.6,6.9,1.5,15,30000,0.0,-,286,0.9,299,1.9,11.9,15.0,-,-,30000
53665/岚县,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,877.4,1022.8,6.5,1.6,17,24320,0.0,-,354,1.7,33,1.2,16.0,13.2,-,-,30000
53665/岚县,小时数据,2024-12-31 14,2024-12-31 14:00:39,000,878.0,1024.0,4.0,1.8,22,25282,0.0,-,316,0.8,312,1.0,16.6,13.5,-,-,23200
53665/岚县,小时数据,2024-12-31 13,2024-12-31 13:00:39,000,878.9,1026.0,0.2,1.7,27,22595,0.0,-,356,0.9,360,1.3,14.4,9.2,-,-,17000
53665/岚县,小时数据,2024-12-31 12,2024-12-31 12:00:42,000,880.5,1028.7,-3.5,1.5,32,18901,0.0,-,348,1.0,10,1.4,10.6,6.1,-,-,15200
53665/岚县,小时数据,2024-12-31 11,2024-12-31 11:00:43,000,881.9,1030.8,-6.6,1.5,41,20315,0.0,-,318,0.8,312,0.9,6.8,3.6,-,-,12800
53665/岚县,小时数据,2024-12-31 10,2024-12-31 10:00:41,000,882.5,1032.3,-10.1,1.4,50,11996,0.0,-,7,1.1,1,0.9,-0.7,-3.3,-,-,11900
53665/岚县,小时数据,2024-12-31 09,2024-12-31 09:00:42,000,882.7,1033.5,-14.6,1.3,64,15051,0.0,-,231,0.8,258,1.2,-11.5,-10.8,-,-,12300
53665/岚县,小时数据,2024-12-31 08,2024-12-31 08:00:41,000,882.6,1033.4,-16.1,1.2,66,20102,0.0,-,360,0.7,52,0.8,-17.4,-18.8,-,-,21100
53665/岚县,小时数据,2024-12-31 07,2024-12-31 07:00:39,000,882.3,1032.1,-15.7,1.2,65,18232,0.0,-,106,1.1,103,1.0,-17.7,-18.6,-,-,11300
53665/岚县,小时数据,2024-12-31 06,2024-12-31 06:00:36,000,882.3,1031.8,-15.3,1.2,62,17901,0.0,-,118,1.5,110,0.8,-17.6,-18.3,-,-,16700
53665/岚县,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,882.6,1031.6,-15.0,1.2,61,19368,0.0,-,121,0.8,153,0.7,-17.4,-18.2,-,-,18400
53665/岚县,小时数据,2024-12-31 04,2024-12-31 04:00:38,000,883.3,1031.7,-14.3,1.2,58,14840,0.0,-,264,0.8,197,1.0,-16.9,-17.2,-,-,15400
53665/岚县,小时数据,2024-12-31 03,2024-12-31 03:00:40,000,883.8,1031.9,-14.0,1.2,56,18926,0.0,-,PPC,0.2,14,0.3,-16.6,-17.3,-,-,17000
53665/岚县,小时数据,2024-12-31 02,2024-12-31 02:00:42,000,884.0,1031.8,-13.1,1.2,55,18777,0.0,-,339,0.8,341,1.1,-16.2,-16.5,-,-,18300
53665/岚县,小时数据,2024-12-31 01,2024-12-31 01:00:38,000,884.7,1032.5,-12.5,1.2,51,18586,0.0,-,PPC,0.2,253,0.6,-16.0,-16.2,-,-,17800
53665/岚县,小时数据,2024-12-31 00,2024-12-31 00:00:42,000,885.2,1033.0,-11.5,1.2,48,20108,0.0,-,263,1.2,249,1.1,-15.4,-15.8,-,-,16200
53665/岚县,小时数据,2024-12-30 23,2024-12-30 23:00:39,000,885.3,1033.1,-10.0,1.3,45,23597,0.0,-,295,1.6,287,1.5,-13.9,-13.5,-,-,20600
53665/岚县,小时数据,2024-12-30 22,2024-12-30 22:00:43,000,885.6,1033.6,-9.1,1.2,40,17170,0.0,-,267,2.3,274,1.6,-13.6,-13.6,-,-,17600
53665/岚县,小时数据,2024-12-30 21,2024-12-30 21:00:41,000,885.6,1034.2,-7.8,1.2,35,26247,0.0,-,270,2.9,256,2.7,-11.8,-10.5,-,-,28600
53665/岚县,小时数据,2024-12-30 20,2024-12-30 20:00:38,000,885.6,1034.0,-6.4,1.3,35,20616,0.0,-,261,1.9,260,1.6,-12.4,-11.6,-,-,21500
53665/岚县,小时数据,2024-12-30 19,2024-12-30 19:00:38,000,885.3,1032.8,-3.9,1.4,30,30000,0.0,-,189,3.1,192,3.1,-10.7,-7.3,-,-,29300
53665/岚县,小时数据,2024-12-30 18,2024-12-30 18:00:38,000,884.9,1032.0,-3.2,1.3,26,30000,0.0,-,232,2.0,241,2.5,-8.4,-6.5,-,-,20800
53665/岚县,小时数据,2024-12-30 17,2024-12-30 17:00:44,000,884.2,1030.6,-1.7,1.2,22,30000,0.0,-,233,4.0,233,4.1,-4.4,-3.1,-,-,30000
53665/岚县,小时数据,2024-12-30 16,2024-12-30 16:00:40,000,883.6,1029.1,0.2,1.1,18,30000,0.0,-,238,5.4,244,6.2,4.7,5.1,-,-,30000
53665/岚县,小时数据,2024-12-30 15,2024-12-30 15:00:39,000,883.0,1028.0,0.9,1.2,18,30000,0.0,-,251,6.7,247,6.6,8.0,5.9,-,-,30000
53665/岚县,小时数据,2024-12-30 14,2024-12-30 14:00:38,000,882.6,1027.2,1.3,1.3,20,30000,0.0,-,248,7.5,250,6.9,10.4,8.4,-,-,30000
53665/岚县,小时数据,2024-12-30 13,2024-12-30 13:00:38,000,882.8,1027.8,0.9,1.6,24,27036,0.0,-,258,6.5,256,6.9,10.5,8.2,-,-,14900
53665/岚县,小时数据,2024-12-30 12,2024-12-30 12:00:41,000,883.3,1028.5,0.4,1.6,25,24220,0.0,-,256,6.7,251,7.9,8.8,6.9,-,-,10700
53665/岚县,小时数据,2024-12-30 11,2024-12-30 11:00:38,000,884.1,1030.0,-1.2,1.7,30,13846,0.0,-,233,7.9,239,7.6,6.5,5.2,-,-,15600
53665/岚县,小时数据,2024-12-30 10,2024-12-30 10:00:38,000,884.3,1030.4,-2.6,1.8,35,21710,0.0,-,282,1.7,136,1.6,4.3,4.9,-,-,18800
53665/岚县,小时数据,2024-12-30 09,2024-12-30 09:00:42,000,883.6,1030.3,-5.8,1.7,43,21324,0.0,-,175,4.1,169,4.3,-6.4,-4.7,-,-,20900
53665/岚县,小时数据,2024-12-30 08,2024-12-30 08:00:41,000,882.9,1029.7,-6.7,1.7,45,22282,0.0,-,163,3.0,163,2.9,-12.0,-8.8,-,-,21400
53665/岚县,小时数据,2024-12-30 07,2024-12-30 07:00:40,000,882.5,1029.1,-6.3,1.6,43,21879,0.0,-,237,1.7,239,1.6,-13.7,-12.8,-,-,20500
53665/岚县,小时数据,2024-12-30 06,2024-12-30 06:00:41,000,881.9,1028.1,-5.7,1.6,41,11620,0.0,-,192,1.0,228,1.0,-13.4,-11.5,-,-,21500
53665/岚县,小时数据,2024-12-30 05,2024-12-30 05:00:41,000,881.6,1027.2,-5.2,1.7,40,24450,0.0,-,207,1.6,231,1.5,-13.0,-10.9,-,-,24600
53665/岚县,小时数据,2024-12-30 04,2024-12-30 04:00:39,000,881.5,1026.5,-4.3,1.6,37,24990,0.0,-,251,1.5,231,1.7,-12.0,-8.9,-,-,20500
53665/岚县,小时数据,2024-12-30 03,2024-12-30 03:00:41,000,881.8,1026.4,-3.5,1.7,35,26166,0.0,-,206,2.1,226,1.6,-11.7,-9.0,-,-,26300
53665/岚县,小时数据,2024-12-30 02,2024-12-30 02:00:40,000,881.2,1025.5,-2.8,1.6,33,28390,0.0,-,202,1.8,189,1.7,-9.9,-6.8,-,-,25200
53665/岚县,小时数据,2024-12-30 01,2024-12-30 01:00:39,000,881.3,1025.9,-3.7,1.5,33,28638,0.0,-,243,2.8,200,2.4,-10.0,-7.8,-,-,27200
53665/岚县,小时数据,2024-12-30 00,2024-12-30 00:00:41,000,881.2,1025.7,-3.8,1.6,34,27866,0.0,-,198,2.2,219,2.6,-10.7,-7.4,-,-,26300
53665/岚县,小时数据,2024-12-29 23,2024-12-29 23:00:40,000,881.3,1026.2,-4.2,1.5,34,24615,0.0,-,246,2.0,244,2.0,-10.4,-8.3,-,-,23800
53665/岚县,小时数据,2024-12-29 22,2024-12-29 22:00:39,000,881.2,1028.3,-3.4,1.5,32,27178,0.0,-,245,2.4,223,1.6,-10.0,-7.7,-,-,22100
53665/岚县,小时数据,2024-12-29 21,2024-12-29 21:00:38,000,880.9,1029.4,-2.6,1.6,31,27718,0.0,-,155,2.7,169,2.5,-8.3,-4.8,-,-,23200
53665/岚县,小时数据,2024-12-29 20,2024-12-29 20:00:39,000,880.6,1030.0,-2.5,1.5,30,28238,0.0,-,167,3.4,168,2.9,-8.2,-4.8,-,-,20500
53665/岚县,小时数据,2024-12-29 19,2024-12-29 19:00:40,000,880.2,1029.7,-2.4,1.5,29,17462,0.0,-,180,3.2,181,2.8,-7.9,-5.2,-,-,16000
53665/岚县,小时数据,2024-12-29 18,2024-12-29 18:00:42,000,879.6,1028.7,-1.8,1.5,28,16494,0.0,-,179,3.5,173,4.1,-6.8,-3.8,-,-,20800
53665/岚县,小时数据,2024-12-29 17,2024-12-29 17:00:40,000,879.2,1027.8,-0.5,1.5,25,28508,0.0,-,172,2.1,174,2.0,-5.0,-3.0,-,-,29000
53665/岚县,小时数据,2024-12-29 16,2024-12-29 16:00:39,000,879.1,1027.2,0.7,1.5,23,30000,0.0,-,207,3.3,211,4.3,3.8,4.6,-,-,29300
53665/岚县,小时数据,2024-12-29 15,2024-12-29 15:00:38,000,878.8,1026.7,1.5,1.5,22,30000,0.0,-,182,3.3,207,3.7,7.5,6.1,-,-,30000
53665/岚县,小时数据,2024-12-29 14,2024-12-29 14:00:37,000,879.0,1026.7,1.6,1.4,21,30000,0.0,-,167,4.1,174,4.4,12.0,9.3,-,-,15300
53665/岚县,小时数据,2024-12-29 13,2024-12-29 13:00:38,000,878.5,1025.8,1.5,1.4,21,12571,0.0,-,186,8.9,186,8.6,7.7,5.9,-,-,12000
53665/岚县,小时数据,2024-12-29 12,2024-12-29 12:00:38,000,879.9,1027.0,1.9,1.4,20,12783,0.0,-,193,8.2,194,8.6,9.5,7.4,-,-,14800
53665/岚县,小时数据,2024-12-29 11,2024-12-29 11:00:43,000,881.0,1028.4,0.8,1.2,19,15282,0.0,-,187,7.8,191,7.3,7.3,6.1,-,-,20000
53665/岚县,小时数据,2024-12-29 10,2024-12-29 10:00:42,000,881.3,1030.6,-7.8,1.3,38,21208,0.0,-,31,1.5,35,1.6,-1.4,-2.6,-,-,16000
53665/岚县,小时数据,2024-12-29 09,2024-12-29 09:00:40,000,881.3,1032.1,-13.4,1.2,57,11985,0.0,-,340,1.4,330,1.9,-8.5,-10.5,-,-,11400
53665/岚县,小时数据,2024-12-29 08,2024-12-29 08:00:38,000,881.6,1032.7,-16.7,1.0,62,23070,0.0,-,25,1.2,321,1.2,-16.7,-17.3,-,-,17700
