区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53662/岢岚,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,863.4,1031.1,-1.3,1.7,30,30000,0.0,-,340,4.5,340,4.2,-2.7,-3.1,-,-,30000
53662/岢岚,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,862.4,1029.0,0.8,1.9,29,28328,0.0,-,242,2.9,229,3.4,-0.2,5.1,-,-,29600
53662/岢岚,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,861.7,1027.7,1.9,1.8,26,30000,0.0,-,229,3.2,217,3.2,1.6,11.8,-,-,27700
53662/岢岚,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,861.6,1027.5,1.6,1.7,25,26340,0.0,-,211,1.8,217,1.7,2.7,15.8,-,-,30000
53662/岢岚,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,862.0,1028.3,0.0,1.8,29,30000,0.0,-,308,1.6,281,1.9,1.8,17.6,-,-,30000
53662/岢岚,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,862.7,1029.3,-1.5,1.8,33,27643,0.0,-,202,1.2,209,1.6,-0.7,13.5,-,-,24100
53662/岢岚,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,863.1,1030.9,-5.4,1.8,45,19232,0.0,-,290,0.3,308,0.4,-3.8,9.0,-,-,18200
53662/岢岚,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,862.7,1031.6,-9.8,1.7,57,12310,0.0,-,358,0.8,279,0.3,-8.6,-2.2,-,-,7800
53662/岢岚,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,862.3,1031.6,-12.8,1.5,64,4264,0.0,-,PPC,0.0,PPC,0.0,-13.9,-13.5,-,-,2600
53662/岢岚,小时数据,2025-01-01 08,2025-01-01 08:13:47,CCA,861.9,1031.2,-14.7,1.4,70,10406,0.0,-,155,0.9,95,0.4,-15.8,-21.1,0,-,10000
53662/岢岚,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,861.5,1029.9,-14.4,1.3,67,17289,0.0,-,PPC,0.0,PPC,0.2,-15.8,-22.0,-,-,13900
53662/岢岚,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,861.1,1028.2,-13.9,1.4,66,25713,0.0,-,20,0.9,16,0.5,-15.4,-21.4,-,-,16800
53662/岢岚,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,860.8,1026.4,-13.6,1.4,65,12154,0.0,-,PPC,0.0,PPC,0.0,-15.3,-21.7,-,-,13600
53662/岢岚,小时数据,2025-01-01 04,2025-01-01 04:00:41,000,860.7,1025.7,-13.1,1.4,63,30000,0.0,-,14,1.3,353,0.9,-14.8,-19.0,-,-,15500
53662/岢岚,小时数据,2025-01-01 03,2025-01-01 08:54:44,CCA,860.8,1025.8,-12.8,1.4,63,15576,0.0,-,PPC,0.0,PPC,0.0,-14.7,-21.3,0,-,16100
53662/岢岚,小时数据,2025-01-01 02,2025-01-01 08:54:18,CCA,860.4,1025.0,-12.1,1.4,59,25965,0.0,-,PPC,0.0,PPC,0.0,-14.3,-21.4,0,-,20400
53662/岢岚,小时数据,2025-01-01 01,2025-01-01 08:53:55,CCA,860.3,1025.2,-11.4,1.5,57,20127,0.0,-,PPC,0.0,PPC,0.0,-13.8,-20.9,0,-,22100
53662/岢岚,小时数据,2025-01-01 00,2025-01-01 08:53:28,CCA,860.5,1025.8,-10.6,1.5,55,26108,0.0,-,PPC,0.0,PPC,0.0,-13.2,-20.2,0,-,24500
53662/岢岚,小时数据,2024-12-31 23,2025-01-01 08:55:35,CCA,860.6,1027.0,-9.9,1.6,54,12749,0.0,-,PPC,0.0,PPC,0.0,-12.6,-20.1,0,-,13600
53662/岢岚,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,860.3,1028.8,-9.0,1.6,51,8206,0.0,-,PPC,0.0,PPC,0.0,-11.8,-19.2,-,-,12700
53662/岢岚,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,860.2,1029.7,-7.5,1.6,46,23000,0.0,-,269,1.0,306,1.0,-10.7,-18.2,-,-,15200
53662/岢岚,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,860.2,1029.4,-5.6,1.7,41,11105,0.0,-,164,1.2,175,1.2,-9.5,-16.1,-,-,11200
53662/岢岚,小时数据,2024-12-31 19,2024-12-31 19:00:37,000,859.9,1028.5,-3.6,1.6,34,20778,0.0,-,344,1.2,336,0.6,-8.0,-14.6,-,-,5900
53662/岢岚,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,859.3,1026.9,-0.6,1.6,27,11923,0.0,-,PPC,0.0,PPC,0.0,-5.8,-14.1,-,-,12400
53662/岢岚,小时数据,2024-12-31 17,2024-12-31 17:00:42,000,859.3,1025.4,3.6,1.5,19,30000,0.0,-,310,1.2,259,1.5,-1.7,-2.2,-,-,30000
53662/岢岚,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,859.1,1024.9,4.8,1.3,15,30000,0.0,-,269,1.1,252,2.2,-0.1,13.7,-,-,30000
