区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53573/左云,小时数据,2025-01-12 19,2025-01-12 19:00:44,000,865.0,1028.3,-6.5,2.0,52,28115,0.0,-,199,2.9,204,3.0,-7.8,-7.4,-,-,18400
53573/左云,小时数据,2025-01-12 18,2025-01-12 18:00:43,000,865.2,1028.0,-6.2,2.0,51,11741,0.0,-,240,1.6,235,2.0,-8.3,-7.5,-,-,5100
53573/左云,小时数据,2025-01-12 17,2025-01-12 17:00:44,000,865.0,1027.8,-5.7,2.0,49,24079,0.0,-,224,4.0,225,3.2,-6.0,-6.0,0,0,12800
53573/左云,小时数据,2025-01-12 16,2025-01-12 16:00:49,000,865.7,1028.7,-5.5,1.9,46,22277,0.0,-,243,3.7,238,4.8,-1.0,-3.6,-,-,22000
53573/左云,小时数据,2025-01-12 15,2025-01-12 15:00:47,000,866.0,1028.5,-5.4,1.8,43,8510,0.0,-,246,3.4,245,3.0,4.5,0.4,-,-,11500
53573/左云,小时数据,2025-01-12 14,2025-01-12 14:00:44,000,866.7,1029.2,-6.6,1.8,47,21315,0.0,-,254,3.8,254,4.0,2.8,-3.1,0,0,27700
53573/左云,小时数据,2025-01-12 13,2025-01-12 13:00:42,000,867.9,1030.7,-7.7,1.6,47,30000,0.0,-,239,4.1,239,3.5,0.0,-5.2,-,-,23000
53573/左云,小时数据,2025-01-12 12,2025-01-12 12:00:47,000,868.9,1032.3,-8.7,1.8,56,2984,0.0,-,249,3.3,236,2.7,0.8,-4.2,-,-,6700
53573/左云,小时数据,2025-01-12 11,2025-01-12 11:00:47,000,870.1,1034.4,-10.8,1.7,63,15757,0.0,-,205,2.4,216,3.1,-4.1,-9.2,0,0,18600
53573/左云,小时数据,2025-01-12 10,2025-01-12 10:00:47,000,870.6,1035.6,-13.3,1.6,72,10175,0.0,-,218,3.9,220,3.6,-10.2,-12.8,-,-,7500
53573/左云,小时数据,2025-01-12 09,2025-01-12 09:00:42,000,870.5,1036.2,-16.5,1.3,75,4225,0.0,-,187,2.0,177,2.1,-17.3,-17.2,-,-,7400
53573/左云,小时数据,2025-01-12 08,2025-01-12 08:02:08,CCA,870.7,1036.5,-18.1,1.2,79,4793,0.0,-,193,2.8,190,2.6,-19.3,-19.6,0,0,5600
53573/左云,小时数据,2025-01-12 07,2025-01-12 07:00:44,000,870.5,1035.9,-17.6,1.2,78,14605,0.0,-,181,3.1,192,3.4,-18.9,-19.1,-,-,15500
53573/左云,小时数据,2025-01-12 06,2025-01-12 06:00:47,000,870.4,1035.3,-16.5,1.2,74,23699,0.0,-,218,3.7,208,4.0,-18.4,-18.0,-,-,12600
53573/左云,小时数据,2025-01-12 05,2025-01-12 05:00:39,000,870.6,1035.2,-16.9,1.3,77,28370,0.0,-,216,3.6,220,3.7,-18.3,-18.3,-,-,23200
53573/左云,小时数据,2025-01-12 04,2025-01-12 04:00:47,000,871.0,1035.5,-17.4,1.2,79,30000,0.0,-,167,4.0,173,3.3,-18.6,-19.0,-,-,27800
53573/左云,小时数据,2025-01-12 03,2025-01-12 03:00:43,000,871.4,1035.3,-16.0,1.3,73,30000,0.0,-,194,2.6,191,3.2,-17.9,-17.8,-,-,28200
53573/左云,小时数据,2025-01-12 02,2025-01-12 02:00:46,000,871.2,1034.4,-14.3,1.4,67,30000,0.0,-,198,3.0,204,2.9,-17.3,-16.6,-,-,30000
53573/左云,小时数据,2025-01-12 01,2025-01-12 01:00:44,000,871.3,1034.3,-13.5,1.4,65,30000,0.0,-,282,4.0,278,3.8,-16.5,-15.3,-,-,30000
53573/左云,小时数据,2025-01-12 00,2025-01-12 00:01:05,000,872.0,1035.5,-13.7,1.5,69,30000,0.0,-,235,1.5,246,1.9,-16.6,-16.1,-,-,30000
53573/左云,小时数据,2025-01-11 23,2025-01-11 23:00:44,000,872.0,1035.6,-13.6,1.5,70,18621,0.0,-,243,2.8,233,2.8,-16.0,-15.3,-,-,20400
