区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53786/左权,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,885.2,1021.2,9.5,1.1,9,30000,0.0,-,278,1.6,273,1.9,11.5,18.9,-,-,30000
53786/左权,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,886.1,1022.9,6.4,1.6,17,30000,0.0,-,149,1.4,141,1.5,12.1,14.2,-,-,30000
53786/左权,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,887.4,1025.5,1.4,1.9,28,30000,0.0,-,142,1.2,174,1.2,11.0,10.1,-,-,30000
53786/左权,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,888.5,1028.0,-4.0,1.8,40,30000,0.0,-,304,0.6,244,0.7,6.6,6.7,-,-,30000
53786/左权,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,889.1,1029.8,-9.4,1.8,59,30000,0.0,-,241,1.3,241,1.3,-0.4,0.1,-,-,26300
53786/左权,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,888.6,1029.9,-12.9,1.8,78,29420,0.0,-,273,1.6,280,1.9,-8.5,-7.2,-,-,26100
53786/左权,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,888.0,1029.2,-15.2,1.6,84,14152,0.0,-,306,0.6,274,0.4,-13.3,-17.1,-,-,12900
53786/左权,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,887.9,1028.6,-14.8,1.6,83,28244,0.0,-,291,1.3,274,1.2,-13.4,-16.5,-,-,28100
53786/左权,小时数据,2025-01-01 06,2025-01-01 06:00:45,000,887.3,1026.9,-14.1,1.7,81,30000,0.0,-,303,1.4,296,1.4,-13.0,-15.9,-,-,30000
53786/左权,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,887.2,1025.5,-14.2,1.6,77,30000,0.0,-,279,1.3,254,1.1,-12.8,-16.0,-,-,30000
53786/左权,小时数据,2025-01-01 04,2025-01-01 04:00:38,000,887.4,1024.7,-13.1,1.7,74,30000,0.0,-,288,1.8,284,1.7,-12.3,-14.7,-,-,30000
53786/左权,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,887.6,1025.1,-13.1,1.5,69,30000,0.0,-,285,1.1,291,1.1,-12.1,-16.5,-,-,30000
