区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53687/平定,小时数据,2025-01-01 14,2025-01-01 14:00:43,000,931.0,1022.4,4.9,1.8,21,30000,0.0,-,50,2.5,42,2.2,10.5,12.5,-,-,30000
53687/平定,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,931.6,1023.0,4.8,1.8,21,30000,0.0,-,342,2.1,349,2.0,16.1,15.2,-,-,30000
53687/平定,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,932.5,1024.0,3.3,2.1,27,30000,0.0,-,13,2.1,10,2.1,13.5,15.2,-,-,30000
53687/平定,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,933.4,1025.3,1.3,2.2,33,30000,0.0,-,340,1.0,13,1.0,12.1,13.8,-,-,30000
53687/平定,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,933.4,1025.7,-1.4,2.2,40,30000,0.0,-,53,1.3,54,1.1,6.1,9.9,-,-,29600
53687/平定,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,932.7,1025.1,-3.9,2.2,49,30000,0.0,-,PPC,0.0,9,0.3,-1.7,-0.8,-,-,30000
53687/平定,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,932.2,1024.9,-6.8,2.1,58,30000,0.0,-,152,1.1,155,1.3,-12.2,-12.8,-,-,30000
53687/平定,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,931.6,1023.8,-6.8,2.1,57,30000,0.0,-,219,2.2,218,1.7,-12.8,-12.6,-,-,30000
53687/平定,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,931.3,1023.0,-6.3,2.1,54,30000,0.0,-,232,0.9,194,1.0,-12.8,-13.9,-,-,30000
53687/平定,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,930.8,1021.9,-5.8,2.0,51,30000,0.0,-,106,0.7,2,0.8,-12.2,-12.7,-,-,30000
53687/平定,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,930.7,1021.3,-5.2,2.0,49,30000,0.0,-,220,2.0,233,1.7,-12.3,-12.9,-,-,30000
53687/平定,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,930.7,1021.2,-4.8,2.1,48,30000,0.0,-,239,0.7,237,0.6,-12.2,-13.1,-,-,30000
53687/平定,小时数据,2025-01-01 02,2025-01-01 02:00:38,000,930.8,1021.6,-4.5,2.0,46,30000,0.0,-,205,1.9,218,2.0,-10.1,-8.6,-,-,30000
53687/平定,小时数据,2025-01-01 01,2025-01-01 01:00:42,000,930.5,1021.4,-3.9,2.0,44,30000,0.0,-,255,1.4,241,1.4,-11.5,-12.5,-,-,30000
53687/平定,小时数据,2025-01-01 00,2025-01-01 00:00:49,000,930.6,1021.8,-2.8,1.9,39,30000,0.0,-,210,2.0,221,2.2,-9.1,-6.8,-,-,30000
53687/平定,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,930.5,1022.0,-2.1,1.9,37,30000,0.0,-,206,2.0,211,1.5,-7.8,-6.0,-,-,30000
53687/平定,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,930.5,1022.4,-2.0,2.0,37,30000,0.0,-,231,2.2,224,2.4,-7.3,-5.7,-,-,30000
53687/平定,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,930.2,1022.5,-0.3,2.0,33,30000,0.0,-,270,1.0,263,1.1,-9.8,-10.7,-,-,30000
