区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53778/平遥,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,929.6,1021.7,7.3,2.2,22,11796,0.0,-,12,1.5,11,1.3,16.5,17.2,-,-,10600
53778/平遥,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,930.5,1022.9,6.0,2.4,26,10568,0.0,-,3,1.1,27,1.4,16.8,17.7,-,-,9800
53778/平遥,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,931.6,1024.5,3.2,2.4,31,9514,0.0,-,109,0.9,106,0.9,14.0,13.9,-,-,8600
53778/平遥,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,932.9,1026.2,0.6,2.4,38,7044,0.0,-,292,1.3,251,1.4,8.7,9.2,-,-,6900
53778/平遥,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,932.9,1026.7,-2.2,2.3,44,10525,0.0,-,266,1.7,259,1.9,1.0,5.5,-,-,9600
53778/平遥,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,932.5,1026.6,-4.8,2.4,56,10915,0.0,-,249,0.8,225,0.7,-6.9,-2.3,-,-,10700
53778/平遥,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,931.6,1026.0,-7.7,2.2,64,9432,0.0,-,80,1.0,55,0.6,-12.2,-13.7,-,-,7800
53778/平遥,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,930.9,1024.7,-7.5,2.2,63,13484,0.0,-,105,0.6,81,0.7,-12.3,-14.5,-,-,14200
53778/平遥,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,930.3,1023.5,-6.7,2.2,59,18709,0.0,-,144,1.2,137,1.2,-11.9,-13.5,-,-,19900
53778/平遥,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,929.9,1022.5,-7.2,2.1,60,26976,0.0,-,100,1.1,99,1.0,-11.6,-14.3,-,-,22900
53778/平遥,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,929.9,1022.2,-6.4,2.2,57,23870,0.0,-,264,0.7,PPC,0.2,-11.1,-13.7,-,-,22200
53778/平遥,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,930.1,1022.6,-6.2,2.2,57,19029,0.0,-,151,1.1,139,1.0,-10.7,-13.4,-,-,19300
53778/平遥,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,930.1,1022.4,-5.0,2.2,53,15996,0.0,-,130,0.9,138,1.0,-10.4,-12.7,-,-,15600
53778/平遥,小时数据,2025-01-01 01,2025-01-01 01:00:49,000,930.0,1022.6,-4.5,2.1,49,9563,0.0,-,123,1.1,135,1.3,-9.9,-12.4,-,-,11200
53778/平遥,小时数据,2025-01-01 00,2025-01-01 00:01:04,000,929.9,1022.7,-3.8,2.2,47,12865,0.0,-,27,0.4,2,0.4,-9.6,-11.9,-,-,13000
53778/平遥,小时数据,2024-12-31 23,2024-12-31 23:00:41,000,929.6,1022.6,-2.9,2.1,43,14870,0.0,-,151,1.7,148,1.4,-9.2,-11.7,-,-,14000
53778/平遥,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,929.5,1023.0,-3.2,2.2,45,13323,0.0,-,108,1.6,112,1.5,-8.8,-11.3,-,-,9900
53778/平遥,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,929.7,1023.5,-2.4,2.3,44,10479,0.0,-,136,1.3,127,1.5,-8.4,-11.1,-,-,10700
53778/平遥,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,929.4,1023.8,-1.6,2.3,43,5526,0.0,-,88,0.9,67,0.5,-8.0,-10.5,-,-,7500
53778/平遥,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,928.9,1022.7,1.3,2.3,35,12728,0.0,-,167,1.4,162,1.2,-7.3,-8.8,-,-,9900
53778/平遥,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,928.5,1021.8,3.5,2.4,30,12514,0.0,-,331,1.1,353,1.0,-6.3,-7.4,-,-,10100
53778/平遥,小时数据,2024-12-31 17,2024-12-31 17:00:47,000,928.2,1020.7,7.0,2.1,21,24417,0.0,-,69,1.1,79,0.9,-0.9,-1.4,-,-,22600
