区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
57061/平陆,小时数据,2025-01-01 20,2025-01-01 20:00:39,000,959.0,1027.0,3.7,2.9,37,10519,0.0,-,355,1.8,355,1.6,-2.3,-2.0
57061/平陆,小时数据,2025-01-01 19,2025-01-01 19:00:39,000,957.8,1025.6,4.7,2.7,32,13751,0.0,-,11,2.7,7,2.9,-0.4,0.5
57061/平陆,小时数据,2025-01-01 18,2025-01-01 18:00:39,000,956.5,1024.3,5.5,2.7,30,15411,0.0,-,16,2.5,11,2.6,1.2,1.4
57061/平陆,小时数据,2025-01-01 17,2025-01-01 17:00:39,000,955.8,1023.1,7.6,2.6,25,13656,0.0,-,333,2.2,333,2.4,5.8,7.2
57061/平陆,小时数据,2025-01-01 16,2025-01-01 16:00:39,000,955.2,1022.1,9.2,2.6,22,20593,0.0,-,338,3.2,337,2.7,12.3,14.4
57061/平陆,小时数据,2025-01-01 15,2025-01-01 15:00:37,000,955.3,1022.2,8.9,3.2,28,13259,0.0,-,237,4.3,239,4.5,15.9,14.5
57061/平陆,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,955.1,1022.0,8.2,3.2,29,13579,0.0,-,244,2.7,248,3.1,17.9,16.2
57061/平陆,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,956.0,1022.7,6.8,3.1,31,13318,0.0,-,248,3.5,244,3.6,18.1,14.9
57061/平陆,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,956.6,1023.4,5.4,3.2,36,11865,0.0,-,241,3.8,243,3.7,15.8,13.3
57061/平陆,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,957.9,1025.0,3.7,3.1,39,13052,0.0,-,252,3.6,248,3.7,11.8,10.3
57061/平陆,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,957.9,1025.1,2.5,3.1,43,12734,0.0,-,274,2.8,264,2.0,7.2,9.0
57061/平陆,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,956.6,1023.9,1.4,2.7,40,12896,0.0,-,270,2.2,272,2.3,0.6,3.3
57061/平陆,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,955.5,1022.8,0.5,2.9,46,13263,0.0,-,302,2.5,294,2.8,-4.3,-2.3
57061/平陆,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,954.8,1022.0,0.1,2.9,47,14775,0.0,-,281,2.4,288,2.4,-5.8,-4.6
57061/平陆,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,954.3,1021.5,-1.5,2.8,51,11185,0.0,-,329,0.3,296,0.5,-6.4,-6.8
57061/平陆,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,954.1,1021.0,0.0,2.8,46,23753,0.0,-,275,2.3,280,1.9,-5.1,-3.8
57061/平陆,小时数据,2025-01-01 04,2025-01-01 04:00:38,000,953.9,1020.4,1.4,2.6,39,21362,0.0,-,319,3.8,309,3.0,-4.6,-2.5
57061/平陆,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,953.5,1020.0,1.4,2.6,39,20877,0.0,-,5,2.1,5,2.0,-4.9,-4.0
57061/平陆,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,953.2,1019.6,2.1,2.6,36,21713,0.0,-,20,1.8,25,2.1,-4.1,-3.2
57061/平陆,小时数据,2025-01-01 01,2025-01-01 01:00:41,000,953.1,1019.3,5.4,2.6,29,21762,0.0,-,29,0.7,60,1.3,-1.7,1.2
57061/平陆,小时数据,2025-01-01 00,2025-01-01 00:00:41,000,953.1,1019.3,6.4,2.6,27,25628,0.0,-,111,4.2,109,3.7,0.4,4.4
57061/平陆,小时数据,2024-12-31 23,2024-12-31 23:00:38,000,953.2,1019.5,6.8,2.6,26,26961,0.0,-,127,3.1,112,3.8,0.3,4.6
57061/平陆,小时数据,2024-12-31 22,2024-12-31 22:00:37,000,953.4,1020.1,7.2,2.5,25,29938,0.0,-,96,2.1,105,3.5,0.8,5.2
57061/平陆,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,953.6,1020.9,6.9,2.4,24,27840,0.0,-,103,3.9,103,3.2,0.8,4.6
57061/平陆,小时数据,2024-12-31 20,2024-12-31 20:00:41,000,953.7,1021.1,7.3,2.5,24,28262,0.0,-,111,4.8,108,5.0,1.9,5.7
57061/平陆,小时数据,2024-12-31 19,2024-12-31 19:00:41,000,953.3,1020.7,7.8,2.4,23,27247,0.0,-,126,3.5,128,3.7,1.8,5.8
57061/平陆,小时数据,2024-12-31 18,2024-12-31 18:00:36,000,952.8,1020.1,8.7,2.4,21,30000,0.0,-,114,3.2,107,2.8,2.8,6.3
57061/平陆,小时数据,2024-12-31 17,2024-12-31 17:00:41,000,952.8,1019.9,10.2,2.2,18,30000,0.0,-,135,3.8,134,3.3,7.0,10.2
57061/平陆,小时数据,2024-12-31 16,2024-12-31 16:00:41,000,953.1,1020.0,11.3,2.4,18,27172,0.0,-,140,3.5,138,4.2,14.3,15.0
57061/平陆,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,953.8,1020.7,11.3,2.3,17,30000,0.0,-,149,3.6,149,3.0,18.7,18.3
57061/平陆,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,954.8,1021.7,11.0,2.4,18,30000,0.0,-,150,2.8,144,3.3,21.1,18.5
57061/平陆,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,956.0,1023.1,9.6,2.3,19,30000,0.0,-,133,5.1,140,5.0,19.9,16.0
57061/平陆,小时数据,2024-12-31 12,2024-12-31 12:00:43,000,957.3,1024.4,8.9,2.2,19,30000,0.0,-,142,5.3,140,4.9,18.7,15.2
57061/平陆,小时数据,2024-12-31 11,2024-12-31 11:00:39,000,958.5,1025.9,7.5,2.3,22,30000,0.0,-,140,3.5,142,3.2,15.4,13.8
57061/平陆,小时数据,2024-12-31 10,2024-12-31 10:00:42,000,959.1,1026.8,4.0,2.5,31,18574,0.0,-,199,1.2,188,1.2,9.3,14.5
57061/平陆,小时数据,2024-12-31 09,2024-12-31 09:00:39,000,959.2,1027.5,-0.2,2.4,40,18423,0.0,-,354,0.5,325,0.6,-0.2,6.3
57061/平陆,小时数据,2024-12-31 08,2024-12-31 08:00:42,000,959.2,1027.7,-1.9,2.2,41,11510,0.0,-,268,0.9,269,0.8,-8.2,-7.5
57061/平陆,小时数据,2024-12-31 07,2024-12-31 07:00:40,000,959.1,1027.5,-2.5,2.2,44,26946,0.0,-,PPC,0.0,PPC,0.2,-8.2,-8.2
57061/平陆,小时数据,2024-12-31 06,2024-12-31 06:00:42,000,959.3,1027.6,-2.7,2.4,47,22981,0.0,-,108,0.3,106,0.5,-8.4,-8.9
57061/平陆,小时数据,2024-12-31 05,2024-12-31 05:00:39,000,959.7,1027.6,-2.4,2.3,44,22637,0.0,-,357,0.7,355,0.9,-7.7,-7.7
57061/平陆,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,960.7,1028.5,-1.9,2.2,41,19595,0.0,-,83,0.3,90,0.3,-7.8,-8.2
57061/平陆,小时数据,2024-12-31 03,2024-12-31 03:00:42,000,961.4,1029.2,-1.4,2.2,39,7384,0.0,-,316,0.7,313,0.5,-7.4,-7.6
57061/平陆,小时数据,2024-12-31 02,2024-12-31 02:00:41,000,961.7,1029.6,-1.0,2.1,37,18382,0.0,-,45,0.8,37,0.8,-7.0,-7.0
57061/平陆,小时数据,2024-12-31 01,2024-12-31 01:00:39,000,962.1,1030.0,-0.1,2.1,35,24383,0.0,-,38,0.6,17,0.4,-6.7,-6.8
57061/平陆,小时数据,2024-12-31 00,2024-12-31 00:00:43,000,962.2,1030.1,1.1,2.1,32,13517,0.0,-,334,2.2,330,2.1,-4.5,-3.1
57061/平陆,小时数据,2024-12-30 23,2024-12-30 23:00:38,000,962.4,1030.5,0.9,2.2,33,20589,0.0,-,321,3.6,311,3.0,-4.8,-3.5
57061/平陆,小时数据,2024-12-30 22,2024-12-30 22:00:43,000,962.3,1030.2,2.6,2.1,29,22610,0.0,-,355,4.1,357,4.3,-3.1,-1.4
57061/平陆,小时数据,2024-12-30 21,2024-12-30 21:00:43,000,962.3,1030.5,1.8,2.0,29,30000,0.0,-,9,4.3,4,3.7,-3.6,-2.3
57061/平陆,小时数据,2024-12-30 20,2024-12-30 20:00:38,000,962.1,1030.5,2.3,2.0,28,26237,0.0,-,349,3.3,350,3.0,-4.2,-3.3
57061/平陆,小时数据,2024-12-30 19,2024-12-30 19:00:38,000,961.4,1029.6,3.2,2.0,26,20984,0.0,-,336,2.3,342,2.6,-2.4,-1.3
57061/平陆,小时数据,2024-12-30 18,2024-12-30 18:00:38,000,960.9,1028.9,4.5,2.0,24,29662,0.0,-,7,2.2,2,2.7,-0.7,0.5
57061/平陆,小时数据,2024-12-30 17,2024-12-30 17:00:38,000,960.3,1027.9,7.7,1.9,18,30000,0.0,-,305,2.9,300,3.1,4.3,7.8
57061/平陆,小时数据,2024-12-30 16,2024-12-30 16:00:40,000,959.8,1027.3,8.3,2.0,18,30000,0.0,-,294,3.7,293,3.4,11.4,13.8
57061/平陆,小时数据,2024-12-30 15,2024-12-30 15:00:39,000,959.7,1027.2,7.8,2.0,19,27264,0.0,-,307,5.9,322,4.1,14.2,14.9
57061/平陆,小时数据,2024-12-30 14,2024-12-30 14:00:37,000,960.0,1027.7,7.2,1.9,19,30000,0.0,-,323,4.4,328,4.6,13.0,13.3
57061/平陆,小时数据,2024-12-30 13,2024-12-30 13:00:38,000,960.5,1028.3,6.2,2.2,23,22785,0.0,-,327,2.7,336,2.4,10.3,10.7
57061/平陆,小时数据,2024-12-30 12,2024-12-30 12:00:41,000,960.9,1028.8,5.1,2.1,24,25228,0.0,-,352,4.9,346,4.8,8.2,8.8
57061/平陆,小时数据,2024-12-30 11,2024-12-30 11:00:39,000,961.5,1029.5,4.3,2.2,26,23051,0.0,-,336,4.9,340,4.8,7.3,7.5
57061/平陆,小时数据,2024-12-30 10,2024-12-30 10:00:39,000,961.6,1029.7,3.7,2.3,29,19279,0.0,-,347,4.4,345,4.1,8.0,9.1
57061/平陆,小时数据,2024-12-30 09,2024-12-30 09:00:42,000,960.5,1028.7,2.6,2.2,30,18322,0.0,-,9,6.1,8,5.4,1.7,3.2
57061/平陆,小时数据,2024-12-30 08,2024-12-30 08:00:41,000,960.2,1028.7,-0.2,2.6,44,10201,0.0,-,356,1.5,332,1.0,-3.1,-2.2
57061/平陆,小时数据,2024-12-30 07,2024-12-30 07:00:42,000,959.5,1027.8,0.5,2.4,38,15029,0.0,-,261,0.9,260,1.4,-3.2,-1.8
57061/平陆,小时数据,2024-12-30 06,2024-12-30 06:00:41,000,958.5,1026.8,0.3,2.4,39,16364,0.0,-,235,0.9,239,1.3,-3.3,-1.7
57061/平陆,小时数据,2024-12-30 05,2024-12-30 05:00:41,000,958.3,1026.5,0.0,2.4,40,14632,0.0,-,231,1.8,225,1.9,-4.3,-2.3
57061/平陆,小时数据,2024-12-30 04,2024-12-30 04:00:39,000,958.4,1026.5,0.2,2.4,39,14342,0.0,-,268,2.7,264,2.2,-5.0,-3.1
57061/平陆,小时数据,2024-12-30 03,2024-12-30 03:00:41,000,958.5,1026.3,0.3,2.4,38,15880,0.0,-,263,2.3,273,2.5,-5.8,-2.6
57061/平陆,小时数据,2024-12-30 02,2024-12-30 02:00:40,000,958.4,1026.5,-0.1,2.4,40,15765,0.0,-,201,0.5,294,0.5,-6.9,-6.0
57061/平陆,小时数据,2024-12-30 01,2024-12-30 01:00:40,000,959.0,1027.2,0.2,2.4,39,14227,0.0,-,273,1.6,262,1.7,-6.2,-4.6
57061/平陆,小时数据,2024-12-30 00,2024-12-30 00:00:43,000,958.5,1026.7,1.0,2.4,37,12484,0.0,-,329,2.2,329,2.2,-4.8,-3.3
57061/平陆,小时数据,2024-12-29 23,2024-12-29 23:00:36,000,958.7,1027.3,0.9,2.4,37,14983,0.0,-,355,3.1,352,3.2,-4.5,-3.2
57061/平陆,小时数据,2024-12-29 22,2024-12-29 22:00:39,000,959.2,1028.1,0.6,2.5,39,13590,0.0,-,355,2.8,352,2.6,-4.5,-3.7
57061/平陆,小时数据,2024-12-29 21,2024-12-29 21:00:41,000,959.1,1028.3,0.4,2.4,38,11627,0.0,-,354,3.3,357,3.1,-4.3,-3.3
57061/平陆,小时数据,2024-12-29 20,2024-12-29 20:00:37,000,958.9,1028.1,0.9,2.3,36,13793,0.0,-,351,3.2,351,3.7,-3.5,-2.3
57061/平陆,小时数据,2024-12-29 19,2024-12-29 19:00:41,000,958.4,1027.5,1.3,2.3,34,15931,0.0,-,347,3.4,354,3.6,-3.3,-2.0
57061/平陆,小时数据,2024-12-29 18,2024-12-29 18:00:41,000,957.6,1026.7,1.3,2.3,34,14120,0.0,-,347,3.3,349,3.4,-2.9,-2.2
