区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53888/平顺,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,892.7,1020.8,9.0,1.6,14,30000,0.0,-,1,2.9,356,2.5,13.5,14.9,-,-,30000
53888/平顺,小时数据,2025-01-01 15,2025-01-01 15:00:37,000,892.4,1020.4,9.6,1.7,14,30000,0.0,-,360,3.0,13,2.6,19.3,21.8,-,-,30000
53888/平顺,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,892.2,1020.2,9.4,1.7,14,30000,0.0,-,46,2.6,27,2.8,20.1,23.3,-,-,30000
53888/平顺,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,892.9,1021.1,8.4,1.9,17,30000,0.0,-,30,3.7,18,4.2,19.6,22.1,-,-,30000
53888/平顺,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,893.8,1022.0,8.0,2.1,20,30000,0.0,-,11,1.1,21,1.2,23.1,26.4,-,-,30000
53888/平顺,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,895.0,1024.3,4.1,2.0,25,30000,0.0,-,22,3.8,22,3.8,16.0,18.3,-,-,30000
53888/平顺,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,894.7,1024.6,0.6,2.1,33,30000,0.0,-,95,0.7,118,0.7,12.4,13.2,-,-,30000
53888/平顺,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,894.2,1025.0,-3.6,2.1,44,30000,0.0,-,222,1.8,215,1.7,3.2,1.0,-,-,30000
53888/平顺,小时数据,2025-01-01 08,2025-01-01 08:02:12,CCA,893.6,1024.4,-4.6,2.0,45,30000,0.0,-,220,2.8,209,2.9,-6.9,-5.8,-,-,30000
53888/平顺,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,893.5,1023.9,-4.9,1.9,45,30000,0.0,-,205,2.6,207,2.7,-7.9,-6.8,-,-,30000
53888/平顺,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,893.0,1022.9,-5.1,1.9,46,30000,0.0,-,211,2.3,217,2.6,-8.2,-7.3,-,-,30000
53888/平顺,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,892.9,1021.7,-5.5,1.9,46,30000,0.0,-,215,2.4,215,2.5,-8.4,-7.2,-,-,30000
53888/平顺,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,893.0,1021.3,-5.0,1.8,42,30000,0.0,-,209,2.5,206,2.9,-7.6,-6.7,-,-,30000
53888/平顺,小时数据,2025-01-01 03,2025-01-01 03:00:44,000,893.7,1022.2,-5.2,1.8,43,30000,0.0,-,209,2.5,206,2.5,-8.1,-7.2,-,-,30000
53888/平顺,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,893.6,1022.1,-5.0,1.8,42,30000,0.0,-,207,2.4,218,2.8,-7.6,-6.6,-,-,30000
53888/平顺,小时数据,2025-01-01 01,2025-01-01 01:00:48,000,893.6,1022.1,-4.5,1.8,41,30000,0.0,-,211,2.1,207,2.4,-7.4,-6.7,-,-,30000
53888/平顺,小时数据,2025-01-01 00,2025-01-01 00:00:49,000,893.7,1022.4,-3.8,1.8,38,30000,0.0,-,208,3.0,207,3.3,-6.7,-5.6,-,-,30000
53888/平顺,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,894.0,1022.9,-3.5,1.8,39,30000,0.0,-,217,2.9,218,2.8,-6.6,-5.3,-,-,30000
53888/平顺,小时数据,2024-12-31 22,2024-12-31 22:00:37,000,893.9,1023.9,-2.4,1.8,36,30000,0.0,-,218,2.4,220,3.0,-5.9,-4.4,-,-,30000
53888/平顺,小时数据,2024-12-31 21,2024-12-31 21:00:37,000,893.9,1025.5,-2.2,1.9,36,30000,0.0,-,218,3.0,222,3.0,-5.6,-4.2,-,-,30000
53888/平顺,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,893.9,1025.8,-1.4,1.8,33,30000,0.0,-,224,3.0,220,3.0,-4.6,-3.3,-,-,30000
53888/平顺,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,893.3,1024.8,0.2,1.9,30,30000,0.0,-,201,2.2,198,2.3,-4.3,-2.5,-,-,30000
53888/平顺,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,892.9,1023.8,2.2,1.8,25,30000,0.0,-,181,2.9,168,2.3,-1.7,-2.0,-,-,30000
53888/平顺,小时数据,2024-12-31 17,2024-12-31 17:00:37,000,892.6,1022.2,6.9,1.7,17,30000,0.0,-,170,1.5,178,1.7,3.5,3.4,-,-,30000
53888/平顺,小时数据,2024-12-31 16,2024-12-31 16:00:41,000,892.9,1022.0,8.4,1.7,15,30000,0.0,-,203,2.8,211,2.5,13.7,14.1,-,-,30000
53888/平顺,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,893.0,1022.1,8.5,1.7,15,30000,0.0,-,255,3.6,247,3.3,17.6,17.1,-,-,30000
53888/平顺,小时数据,2024-12-31 14,2024-12-31 14:00:38,000,893.6,1022.7,8.1,1.6,15,30000,0.0,-,205,3.7,214,4.5,17.3,15.9,-,-,30000
53888/平顺,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,894.4,1023.7,7.4,1.6,16,30000,0.0,-,221,3.3,210,3.5,19.3,17.1,-,-,30000
53888/平顺,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,895.7,1025.3,6.1,1.8,19,30000,0.0,-,219,3.7,216,3.0,17.8,14.7,-,-,30000
53888/平顺,小时数据,2024-12-31 11,2024-12-31 11:00:38,000,896.8,1026.8,5.0,1.7,20,30000,0.0,-,236,3.1,214,2.7,15.7,15.0,-,-,30000
53888/平顺,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,897.6,1028.8,-0.4,2.0,33,30000,0.0,-,201,0.8,192,0.7,12.7,11.6,-,-,29700
53888/平顺,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,898.0,1030.7,-6.7,1.8,49,30000,0.0,-,212,1.8,215,1.6,0.7,-2.0,-,-,27500
53888/平顺,小时数据,2024-12-31 08,2024-12-31 08:01:13,CCA,898.1,1031.0,-8.9,1.7,55,30000,0.0,-,196,2.3,204,2.5,-10.9,-10.1,-,-,30000
53888/平顺,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,897.9,1030.5,-9.3,1.7,56,30000,0.0,-,201,1.9,208,2.3,-11.6,-10.9,-,-,30000
53888/平顺,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,897.7,1029.8,-9.0,1.7,55,30000,0.0,-,214,2.1,206,2.3,-11.5,-10.6,-,-,30000
53888/平顺,小时数据,2024-12-31 05,2024-12-31 05:00:39,000,898.1,1029.3,-8.8,1.7,55,30000,0.0,-,199,3.0,215,2.8,-11.2,-10.4,-,-,30000
53888/平顺,小时数据,2024-12-31 04,2024-12-31 04:00:43,000,898.7,1029.6,-8.3,1.7,52,30000,0.0,-,219,2.1,219,2.5,-10.7,-10.0,-,-,30000
53888/平顺,小时数据,2024-12-31 03,2024-12-31 03:00:43,000,899.3,1030.2,-8.2,1.7,51,30000,0.0,-,222,3.0,223,2.9,-10.3,-9.7,-,-,30000
53888/平顺,小时数据,2024-12-31 02,2024-12-31 02:00:42,000,899.7,1030.6,-7.5,1.7,48,30000,0.0,-,223,2.2,212,2.0,-10.3,-9.5,-,-,30000
53888/平顺,小时数据,2024-12-31 01,2024-12-31 01:00:43,000,899.8,1030.8,-7.2,1.6,46,30000,0.0,-,222,3.0,224,2.7,-9.6,-8.8,-,-,30000
53888/平顺,小时数据,2024-12-31 00,2024-12-31 00:00:46,000,900.2,1031.1,-6.3,1.6,43,30000,0.0,-,211,2.0,195,2.6,-8.9,-8.0,-,-,30000
53888/平顺,小时数据,2024-12-30 23,2024-12-30 23:00:42,000,900.1,1031.3,-6.1,1.6,42,30000,0.0,-,204,1.9,213,2.2,-8.8,-8.0,-,-,30000
53888/平顺,小时数据,2024-12-30 22,2024-12-30 22:00:38,000,900.0,1030.9,-5.0,1.7,40,30000,0.0,-,203,2.4,206,2.3,-7.8,-7.0,-,-,30000
53888/平顺,小时数据,2024-12-30 21,2024-12-30 21:00:38,000,899.8,1031.7,-4.2,1.7,38,30000,0.0,-,210,2.7,200,2.7,-7.0,-6.1,-,-,30000
53888/平顺,小时数据,2024-12-30 20,2024-12-30 20:00:43,000,899.4,1031.4,-2.8,1.7,34,30000,0.0,-,186,2.2,192,2.4,-6.0,-5.4,-,-,30000
53888/平顺,小时数据,2024-12-30 19,2024-12-30 19:00:45,000,898.7,1030.4,-1.4,1.7,30,30000,0.0,-,213,2.2,200,2.1,-5.5,-4.0,-,-,30000
53888/平顺,小时数据,2024-12-30 18,2024-12-30 18:00:40,000,897.8,1029.3,0.3,1.6,26,30000,0.0,-,116,1.5,134,1.5,-4.7,-4.7,-,-,30000
53888/平顺,小时数据,2024-12-30 17,2024-12-30 17:00:38,000,896.7,1027.3,3.6,1.6,20,30000,0.0,-,343,2.5,345,2.8,0.8,-0.8,-,-,30000
53888/平顺,小时数据,2024-12-30 16,2024-12-30 16:00:40,000,896.1,1026.2,4.9,1.6,18,30000,0.0,-,354,4.1,350,3.3,10.5,12.0,-,-,30000
53888/平顺,小时数据,2024-12-30 15,2024-12-30 15:00:40,000,895.6,1025.5,5.1,1.7,19,30000,0.0,-,311,2.7,322,3.1,13.7,14.2,-,-,30000
53888/平顺,小时数据,2024-12-30 14,2024-12-30 14:00:40,000,895.6,1025.5,4.7,1.8,21,30000,0.0,-,262,3.7,270,2.5,16.5,15.4,-,-,28400
53888/平顺,小时数据,2024-12-30 13,2024-12-30 13:00:38,000,895.9,1025.8,3.9,1.7,21,29548,0.0,-,289,2.5,261,3.2,17.4,16.8,-,-,28200
53888/平顺,小时数据,2024-12-30 12,2024-12-30 12:00:40,000,896.3,1026.0,3.6,1.7,21,28957,0.0,-,326,1.5,342,1.9,19.3,21.5,-,-,30000
53888/平顺,小时数据,2024-12-30 11,2024-12-30 11:00:40,000,897.3,1027.2,2.2,1.6,23,30000,0.0,-,258,4.0,276,3.4,9.5,9.1,-,-,30000
53888/平顺,小时数据,2024-12-30 10,2024-12-30 10:00:43,000,896.9,1026.4,2.3,1.7,23,30000,0.0,-,342,2.6,321,3.1,14.1,15.1,-,-,30000
53888/平顺,小时数据,2024-12-30 09,2024-12-30 09:00:46,000,896.3,1026.7,-2.5,1.8,36,27748,0.0,-,190,2.6,197,2.5,2.2,1.1,-,-,30000
53888/平顺,小时数据,2024-12-30 08,2024-12-30 08:03:09,CCA,896.3,1027.4,-4.6,1.8,41,29525,0.0,-,205,2.4,198,2.5,-4.7,-4.4,-,-,30000
53888/平顺,小时数据,2024-12-30 07,2024-12-30 07:00:41,000,895.4,1026.2,-5.2,1.7,42,30000,0.0,-,203,2.0,202,2.3,-6.3,-5.8,-,-,30000
53888/平顺,小时数据,2024-12-30 06,2024-12-30 06:00:42,000,895.1,1025.7,-6.7,1.6,44,30000,0.0,-,228,2.3,200,2.1,-7.7,-7.3,-,-,30000
53888/平顺,小时数据,2024-12-30 05,2024-12-30 05:00:41,000,895.0,1025.1,-7.1,1.6,45,30000,0.0,-,189,2.5,199,2.6,-9.2,-8.4,-,-,30000
53888/平顺,小时数据,2024-12-30 04,2024-12-30 04:00:44,000,895.1,1025.0,-6.9,1.6,43,30000,0.0,-,183,2.5,201,2.1,-9.5,-8.6,-,-,30000
53888/平顺,小时数据,2024-12-30 03,2024-12-30 03:00:41,000,895.4,1025.0,-6.3,1.6,41,30000,0.0,-,186,2.3,193,2.4,-9.0,-8.5,-,-,30000
53888/平顺,小时数据,2024-12-30 02,2024-12-30 02:00:41,000,895.2,1024.7,-5.9,1.5,39,30000,0.0,-,210,2.2,209,2.0,-9.1,-8.2,-,-,30000
53888/平顺,小时数据,2024-12-30 01,2024-12-30 01:00:45,000,894.7,1024.2,-5.2,1.5,37,30000,0.0,-,190,3.3,187,2.7,-8.0,-7.0,-,-,30000
53888/平顺,小时数据,2024-12-30 00,2024-12-30 00:00:38,000,894.8,1024.4,-3.9,1.6,34,30000,0.0,-,179,2.0,173,1.8,-7.7,-7.2,-,-,30000
53888/平顺,小时数据,2024-12-29 23,2024-12-29 23:00:41,000,895.0,1024.4,-2.5,1.5,29,30000,0.0,-,185,1.2,132,1.6,-6.9,-7.1,-,-,30000
53888/平顺,小时数据,2024-12-29 22,2024-12-29 22:00:44,000,895.2,1026.3,-1.4,1.4,26,30000,0.0,-,96,2.4,97,1.7,-4.7,-4.7,-,-,30000
53888/平顺,小时数据,2024-12-29 21,2024-12-29 21:00:40,000,895.0,1026.9,-0.5,1.4,24,30000,0.0,-,235,1.0,210,2.2,-3.0,-2.4,-,-,30000
53888/平顺,小时数据,2024-12-29 20,2024-12-29 20:00:44,000,894.5,1027.0,-1.0,1.4,25,30000,0.0,-,157,0.9,198,1.4,-4.6,-4.6,-,-,30000
53888/平顺,小时数据,2024-12-29 19,2024-12-29 19:00:41,000,893.7,1025.9,0.1,1.4,22,30000,0.0,-,147,0.8,158,1.2,-3.9,-4.0,-,-,30000
53888/平顺,小时数据,2024-12-29 18,2024-12-29 18:00:41,000,893.0,1024.6,2.1,1.3,19,30000,0.0,-,216,1.3,228,1.4,-4.4,-4.4,-,-,30000
53888/平顺,小时数据,2024-12-29 17,2024-12-29 17:00:40,000,892.3,1023.2,4.5,1.2,14,30000,0.0,-,228,1.4,257,1.3,0.9,0.7,-,-,30000
53888/平顺,小时数据,2024-12-29 16,2024-12-29 16:00:44,000,892.4,1022.9,5.4,1.2,13,30000,0.0,-,236,2.1,242,2.5,6.7,7.1,-,-,30000
53888/平顺,小时数据,2024-12-29 15,2024-12-29 15:00:41,000,892.7,1023.2,6.0,1.1,12,30000,0.0,-,219,4.2,228,4.2,13.1,11.6,-,-,30000
53888/平顺,小时数据,2024-12-29 14,2024-12-29 14:00:41,000,892.9,1023.4,5.7,1.1,12,30000,0.0,-,287,3.8,270,3.5,13.8,13.7,-,-,30000
53888/平顺,小时数据,2024-12-29 13,2024-12-29 13:00:37,000,894.0,1024.8,5.0,1.1,13,30000,0.0,-,306,3.2,282,2.6,16.8,18.5,-,-,30000
53888/平顺,小时数据,2024-12-29 12,2024-12-29 12:00:44,000,895.0,1026.2,3.4,1.0,13,30000,0.0,-,232,2.2,278,2.3,11.5,11.9,-,-,30000
53888/平顺,小时数据,2024-12-29 11,2024-12-29 11:00:42,000,896.0,1027.2,2.9,1.0,13,30000,0.0,-,216,3.1,228,2.8,12.4,10.9,-,-,30000
53888/平顺,小时数据,2024-12-29 10,2024-12-29 10:00:46,000,896.7,1030.0,-4.8,1.2,28,30000,0.0,-,171,1.4,155,1.4,5.0,5.0,-,-,30000
53888/平顺,小时数据,2024-12-29 09,2024-12-29 09:00:40,000,896.7,1030.8,-9.2,1.2,39,30000,0.0,-,215,2.8,213,3.0,-3.7,-5.8,-,-,30000
53888/平顺,小时数据,2024-12-29 08,2024-12-29 08:02:56,CCA,896.8,1031.1,-11.1,1.1,41,30000,0.0,-,201,2.9,198,2.6,-12.7,-12.0,-,-,30000
53888/平顺,小时数据,2024-12-29 07,2024-12-29 07:00:39,000,896.8,1030.9,-11.5,1.1,42,30000,0.0,-,193,3.0,198,2.5,-13.5,-13.0,-,-,30000
53888/平顺,小时数据,2024-12-29 06,2024-12-29 06:00:37,000,896.6,1030.1,-11.7,1.2,48,30000,0.0,-,203,1.2,206,1.1,-15.0,-14.3,-,-,30000
53888/平顺,小时数据,2024-12-29 05,2024-12-29 05:00:41,000,896.5,1029.1,-11.6,1.2,48,30000,0.0,-,214,3.2,218,3.1,-13.8,-13.0,-,-,30000
53888/平顺,小时数据,2024-12-29 04,2024-12-29 04:00:43,000,897.0,1029.2,-10.8,1.2,45,30000,0.0,-,207,2.4,203,2.3,-13.6,-12.4,-,-,30000
53888/平顺,小时数据,2024-12-29 03,2024-12-29 03:00:42,000,897.3,1029.7,-11.4,1.3,49,30000,0.0,-,223,3.5,223,3.1,-13.7,-12.9,-,-,30000
53888/平顺,小时数据,2024-12-29 02,2024-12-29 02:00:37,000,898.4,1030.9,-11.0,1.2,47,30000,0.0,-,214,2.6,205,2.5,-13.7,-12.8,-,-,30000
53888/平顺,小时数据,2024-12-29 01,2024-12-29 01:00:46,000,898.8,1031.8,-10.7,1.2,46,30000,0.0,-,207,1.9,210,2.2,-13.4,-12.6,-,-,30000
53888/平顺,小时数据,2024-12-29 00,2024-12-29 00:00:48,000,899.4,1032.6,-10.2,1.2,44,30000,0.0,-,196,2.6,214,2.7,-12.7,-12.0,-,-,30000
53888/平顺,小时数据,2024-12-28 23,2024-12-28 23:00:39,000,899.6,1033.0,-9.0,1.2,40,30000,0.0,-,210,2.5,199,2.6,-11.6,-10.7,-,-,30000
