区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53574/平鲁,小时数据,2025-01-12 09,2025-01-12 09:00:50,000,862.4,1035.8,-15.1,1.4,73,15256,0.0,-,7,0.9,11,1.1,-19.0,-18.2,-,-,17000
53574/平鲁,小时数据,2025-01-12 08,2025-01-12 08:34:26,CCA,862.2,1035.8,-16.6,1.3,75,30000,0.0,-,3,2.1,354,2.0,-20.9,-22.5,0,-,30000
53574/平鲁,小时数据,2025-01-12 07,2025-01-12 07:00:51,000,862.4,1035.7,-16.1,1.3,73,30000,0.0,-,314,3.3,319,3.0,-20.0,-20.5,-,-,30000
53574/平鲁,小时数据,2025-01-12 06,2025-01-12 06:01:09,000,862.3,1035.4,-16.0,1.3,74,30000,0.0,-,344,3.5,343,3.4,-19.5,-19.8,-,-,30000
53574/平鲁,小时数据,2025-01-12 05,2025-01-12 05:00:51,000,862.5,1035.0,-15.4,1.3,73,30000,0.0,-,333,5.1,331,5.4,-18.8,-18.4,-,-,30000
53574/平鲁,小时数据,2025-01-12 04,2025-01-12 04:00:51,000,862.9,1035.3,-15.9,1.3,75,30000,0.0,-,307,3.7,304,4.1,-19.3,-19.7,-,-,29200
53574/平鲁,小时数据,2025-01-12 03,2025-01-12 03:00:50,000,863.3,1035.3,-16.6,1.3,78,24940,0.0,-,302,5.7,306,5.0,-19.1,-19.8,-,-,27700
53574/平鲁,小时数据,2025-01-12 02,2025-01-12 02:00:49,000,863.3,1034.9,-15.1,1.5,79,26519,0.0,-,331,3.9,330,4.1,-18.9,-18.6,-,-,26400
53574/平鲁,小时数据,2025-01-12 01,2025-01-12 01:00:47,000,863.6,1036.0,-16.3,1.4,80,28260,0.0,-,320,2.6,322,2.8,-19.2,-20.8,-,-,27800
53574/平鲁,小时数据,2025-01-12 00,2025-01-12 00:01:05,000,863.9,1035.7,-14.5,1.5,75,27377,0.0,-,317,2.3,315,2.5,-18.5,-20.9,-,-,30000
53574/平鲁,小时数据,2025-01-11 23,2025-01-11 23:00:52,000,863.9,1035.8,-13.7,1.5,71,29647,0.0,-,302,1.8,323,2.3,-18.1,-19.9,-,-,30000
53574/平鲁,小时数据,2025-01-11 22,2025-01-11 22:00:46,000,863.6,1035.4,-13.0,1.6,72,25690,0.0,-,348,1.5,346,1.4,-17.6,-20.4,-,-,26400
53574/平鲁,小时数据,2025-01-11 21,2025-01-11 21:00:47,000,863.4,1035.4,-12.0,1.7,70,24030,0.0,-,304,3.6,301,4.2,-15.8,-16.6,-,-,22300
53574/平鲁,小时数据,2025-01-11 20,2025-01-11 20:00:46,000,863.0,1034.8,-11.1,2.0,77,9692,0.0,-,314,3.4,317,3.4,-14.8,-14.9,-,-,10500
53574/平鲁,小时数据,2025-01-11 19,2025-01-11 19:00:52,000,862.7,1034.1,-10.7,2.1,79,14053,0.0,-,318,3.6,314,3.6,-14.2,-14.4,-,-,10600
53574/平鲁,小时数据,2025-01-11 18,2025-01-11 18:00:48,000,862.3,1033.4,-10.1,2.0,70,17121,0.0,-,318,3.2,314,3.3,-13.1,-14.0,-,-,18500
53574/平鲁,小时数据,2025-01-11 17,2025-01-11 17:00:48,000,862.0,1032.6,-9.0,2.1,68,23670,0.2,-,304,4.9,306,4.8,-10.6,-11.7,-,-,15800
