区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53590/广灵,小时数据,2025-01-12 19,2025-01-12 19:00:45,000,906.3,1030.0,-8.4,1.5,47,27013,0.0,-,60,1.2,63,1.5,-11.7,-13.2,-,-,18900
53590/广灵,小时数据,2025-01-12 18,2025-01-12 18:00:40,000,906.1,1029.3,-7.5,1.5,44,30000,0.0,-,94,1.5,92,2.2,-10.3,-10.8,-,-,24500
53590/广灵,小时数据,2025-01-12 17,2025-01-12 17:00:47,000,906.1,1028.6,-4.5,1.4,32,10618,0.0,-,209,1.9,197,1.9,-6.1,-6.0,-,-,25900
53590/广灵,小时数据,2025-01-12 16,2025-01-12 16:00:39,000,906.6,1028.5,-3.2,1.5,31,30000,0.0,-,288,5.3,296,4.2,1.7,-0.9,-,-,30000
53590/广灵,小时数据,2025-01-12 15,2025-01-12 15:00:51,000,906.8,1028.5,-3.8,1.5,32,30000,0.0,-,105,1.4,131,2.0,5.1,0.7,-,-,30000
53590/广灵,小时数据,2025-01-12 14,2025-01-12 14:00:46,000,907.4,1028.4,-4.4,1.6,36,30000,0.0,-,157,1.9,155,2.6,10.2,3.4,-,-,30000
53590/广灵,小时数据,2025-01-12 13,2025-01-12 13:00:46,000,908.9,1030.1,-5.9,1.6,41,30000,0.0,-,129,1.9,125,2.0,9.7,1.8,-,-,30000
53590/广灵,小时数据,2025-01-12 12,2025-01-12 12:00:47,000,910.0,1031.2,-6.4,1.6,43,30000,0.0,-,231,1.4,172,1.7,9.0,2.4,-,-,30000
53590/广灵,小时数据,2025-01-12 11,2025-01-12 11:00:48,000,911.5,1033.1,-8.1,1.6,49,30000,0.0,-,200,1.0,185,1.4,3.7,1.1,-,-,30000
53590/广灵,小时数据,2025-01-12 10,2025-01-12 10:00:48,000,911.9,1033.9,-10.9,1.6,59,30000,0.0,-,252,0.7,243,1.1,-3.4,-0.9,-,-,24900
53590/广灵,小时数据,2025-01-12 09,2025-01-12 09:00:43,000,912.0,1034.9,-15.3,1.4,75,30000,0.0,-,259,1.7,260,1.8,-15.2,-11.2,-,-,28400
53590/广灵,小时数据,2025-01-12 08,2025-01-12 08:02:10,CCA,911.9,1036.0,-18.5,1.1,75,30000,0.0,-,279,0.6,210,0.9,-20.2,-21.9,-,-,30000
53590/广灵,小时数据,2025-01-12 07,2025-01-12 07:00:46,000,911.9,1036.2,-19.6,1.0,76,30000,0.0,-,292,3.0,276,2.2,-20.5,-24.0,-,-,30000
53590/广灵,小时数据,2025-01-12 06,2025-01-12 06:00:47,000,911.8,1035.3,-18.5,1.1,76,30000,0.0,-,275,2.1,291,1.5,-19.8,-21.5,-,-,30000
53590/广灵,小时数据,2025-01-12 05,2025-01-12 05:00:39,000,911.8,1035.2,-18.8,1.1,77,30000,0.0,-,269,2.2,271,2.2,-19.6,-22.7,-,-,30000
53590/广灵,小时数据,2025-01-12 04,2025-01-12 04:00:47,000,911.9,1034.5,-17.3,1.2,77,30000,0.0,-,303,2.2,293,2.3,-19.0,-21.8,-,-,30000
53590/广灵,小时数据,2025-01-12 03,2025-01-12 03:00:44,000,912.4,1034.6,-16.0,1.3,74,30000,0.0,-,218,1.8,208,1.3,-18.4,-21.9,-,-,30000
53590/广灵,小时数据,2025-01-12 02,2025-01-12 02:00:47,000,912.2,1033.3,-12.2,1.5,62,30000,0.0,-,360,1.8,347,1.8,-17.2,-18.4,-,-,30000
53590/广灵,小时数据,2025-01-12 01,2025-01-12 01:00:53,000,912.2,1032.9,-10.8,1.6,60,30000,0.0,-,354,2.5,352,2.6,-15.5,-15.3,-,-,30000
53590/广灵,小时数据,2025-01-12 00,2025-01-12 00:01:06,000,912.1,1032.7,-9.6,1.7,59,30000,0.0,-,19,2.1,15,2.4,-14.0,-12.0,-,-,30000
53590/广灵,小时数据,2025-01-11 23,2025-01-11 23:00:50,000,912.1,1033.5,-8.7,2.1,65,30000,0.0,-,345,3.0,340,2.6,-13.6,-13.1,-,-,30000
53590/广灵,小时数据,2025-01-11 22,2025-01-11 22:00:46,000,911.7,1033.2,-7.2,2.4,66,30000,0.0,-,353,3.2,350,3.3,-10.7,-8.9,-,-,30000
53590/广灵,小时数据,2025-01-11 21,2025-01-11 21:00:49,000,911.1,1032.8,-6.4,3.0,78,25168,0.0,-,339,4.1,335,3.7,-8.8,-7.9,-,-,4700
53590/广灵,小时数据,2025-01-11 20,2025-01-12 07:44:46,CCA,910.7,1033.0,-8.1,2.8,83,30000,0.0,-,248,3.1,250,3.1,-11.1,-10.5,-,-,20400
