区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53584/应县,小时数据,2025-01-12 09,2025-01-12 09:00:40,000,909.6,1034.3,-11.3,1.5,60,14092,0.0,-,200,1.6,202,1.9,-11.6,-7.3,-,-,18500
53584/应县,小时数据,2025-01-12 08,2025-01-12 08:13:57,CCA,909.4,1034.4,-12.4,1.6,66,19439,0.0,-,230,2.0,235,2.2,-15.2,-14.1,0,-,17700
53584/应县,小时数据,2025-01-12 07,2025-01-12 07:00:44,000,909.4,1034.2,-12.5,1.6,67,17998,0.0,-,229,2.2,236,2.0,-15.5,-15.0,-,-,13700
53584/应县,小时数据,2025-01-12 06,2025-01-12 06:00:44,000,909.4,1033.9,-12.1,1.6,66,18986,0.0,-,241,2.6,240,2.9,-14.8,-14.0,-,-,20800
53584/应县,小时数据,2025-01-12 05,2025-01-12 05:00:43,000,909.5,1033.4,-11.6,1.7,67,23317,0.0,-,213,2.4,199,1.6,-15.6,-14.3,-,-,24600
53584/应县,小时数据,2025-01-12 04,2025-01-12 04:00:42,000,909.9,1033.8,-11.1,1.5,59,26656,0.0,-,248,1.9,238,1.6,-16.2,-15.6,-,-,27100
53584/应县,小时数据,2025-01-12 03,2025-01-12 03:00:38,000,910.2,1034.0,-11.4,1.5,59,27912,0.0,-,242,0.5,300,0.4,-16.2,-20.2,-,-,30000
53584/应县,小时数据,2025-01-12 02,2025-01-12 02:00:45,000,910.0,1033.5,-10.2,1.5,53,30000,0.0,-,15,2.7,349,2.2,-13.7,-13.2,-,-,30000
53584/应县,小时数据,2025-01-12 01,2025-01-12 01:00:44,000,910.2,1033.5,-9.4,1.7,58,25992,0.0,-,20,1.0,42,0.8,-13.4,-17.9,-,-,20500
53584/应县,小时数据,2025-01-12 00,2025-01-12 00:00:58,000,910.2,1033.3,-8.4,1.8,57,18371,0.0,-,35,1.8,36,1.8,-10.5,-10.4,-,-,19200
53584/应县,小时数据,2025-01-11 23,2025-01-11 23:00:40,000,910.0,1033.2,-7.9,2.2,66,17377,0.0,-,276,1.1,273,1.1,-8.9,-9.4,-,-,17500
53584/应县,小时数据,2025-01-11 22,2025-01-11 22:00:39,000,909.6,1032.8,-7.3,2.2,61,12169,0.0,-,270,2.1,269,2.1,-9.3,-9.2,-,-,13200
53584/应县,小时数据,2025-01-11 21,2025-01-11 21:00:42,000,909.4,1032.9,-6.8,2.1,57,16514,0.0,-,236,1.9,238,2.0,-8.4,-7.9,-,-,16100
53584/应县,小时数据,2025-01-11 20,2025-01-11 20:00:44,000,908.9,1032.4,-7.1,2.2,61,17860,0.0,-,240,1.4,244,1.1,-11.7,-13.0,-,-,12800
53584/应县,小时数据,2025-01-11 19,2025-01-11 19:00:50,000,908.6,1031.8,-6.2,2.3,61,13958,0.0,-,267,1.3,269,1.2,-10.3,-12.8,-,-,15100
53584/应县,小时数据,2025-01-11 18,2025-01-11 18:00:42,000,908.1,1031.2,-5.2,2.2,54,10446,0.0,-,298,1.3,298,1.7,-7.9,-8.4,-,-,9400
53584/应县,小时数据,2025-01-11 17,2025-01-11 17:00:45,000,907.6,1030.5,-3.6,2.2,46,27282,0.0,-,292,3.2,296,3.5,-3.6,-3.9,-,-,18400
53584/应县,小时数据,2025-01-11 16,2025-01-11 16:56:33,CCB,907.4,1030.2,-3.5,2.6,56,27353,0.1,-,276,4.4,270,4.4,-1.2,-1.6,0,-,19200
53584/应县,小时数据,2025-01-11 15,2025-01-11 15:00:40,000,907.0,1029.5,-2.7,2.4,48,21321,0.0,-,252,3.4,242,3.3,4.2,1.0,-,-,20100
