区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53580/怀仁,小时数据,2025-01-12 09,2025-01-12 09:00:41,000,904.1,1034.2,-12.3,1.4,60,7430,0.0,-,74,1.1,80,1.5,-15.0,-9.8,-,-,5000
53580/怀仁,小时数据,2025-01-12 08,2025-01-12 08:29:51,CCA,904.1,1034.2,-12.9,1.4,61,4611,0.0,-,290,0.4,268,0.7,-19.1,-17.1,0,-,3600
53580/怀仁,小时数据,2025-01-12 07,2025-01-12 07:00:44,000,904.0,1033.7,-11.8,1.4,57,12276,0.0,-,241,1.3,236,1.6,-18.3,-14.3,-,-,15200
53580/怀仁,小时数据,2025-01-12 06,2025-01-12 06:00:47,000,904.0,1033.5,-12.0,1.4,58,21529,0.0,-,251,2.5,242,2.0,-17.5,-13.9,-,-,18300
53580/怀仁,小时数据,2025-01-12 05,2025-01-12 05:00:40,000,904.2,1033.7,-12.8,1.5,65,17792,0.0,-,216,1.7,218,1.3,-18.6,-15.6,-,-,10600
53580/怀仁,小时数据,2025-01-12 04,2025-01-12 04:00:42,000,904.5,1033.6,-11.6,1.5,59,26875,0.0,-,186,1.0,172,1.0,-18.1,-15.2,-,-,23700
53580/怀仁,小时数据,2025-01-12 03,2025-01-12 03:00:44,000,904.8,1033.5,-11.3,1.5,60,18253,0.0,-,175,1.3,159,1.3,-17.3,-13.7,-,-,15900
53580/怀仁,小时数据,2025-01-12 02,2025-01-12 02:00:42,000,904.8,1033.4,-11.3,1.4,56,25933,0.0,-,283,1.2,273,1.2,-17.4,-15.0,-,-,23100
53580/怀仁,小时数据,2025-01-12 01,2025-01-12 01:00:41,000,904.8,1033.3,-10.6,1.5,55,29830,0.0,-,230,0.3,295,1.2,-15.9,-13.3,-,-,22800
53580/怀仁,小时数据,2025-01-12 00,2025-01-12 00:01:04,000,904.9,1033.3,-10.2,1.6,57,15179,0.0,-,291,2.6,292,2.1,-14.6,-11.8,-,-,11400
53580/怀仁,小时数据,2025-01-11 23,2025-01-11 23:00:43,000,905.0,1033.6,-9.1,1.8,59,18359,0.0,-,282,1.0,287,1.0,-14.1,-11.5,-,-,14600
53580/怀仁,小时数据,2025-01-11 22,2025-01-11 22:00:48,000,904.6,1033.3,-8.8,2.0,62,14468,0.0,-,PPC,0.2,230,0.7,-14.1,-11.6,-,-,11100
53580/怀仁,小时数据,2025-01-11 21,2025-01-11 21:00:38,000,904.1,1032.7,-7.5,2.2,63,9075,0.0,-,307,1.6,310,1.6,-12.5,-10.2,-,-,8900
53580/怀仁,小时数据,2025-01-11 20,2025-01-11 20:01:33,CCA,903.6,1032.1,-7.0,2.2,61,11860,0.0,-,278,2.0,276,2.4,-10.9,-8.6,0,-,10700
53580/怀仁,小时数据,2025-01-11 19,2025-01-11 19:00:46,000,903.3,1031.7,-6.5,2.2,58,12504,0.0,-,281,2.4,277,2.6,-10.1,-8.1,-,-,13700
53580/怀仁,小时数据,2025-01-11 18,2025-01-11 18:00:38,000,902.9,1031.1,-5.5,2.1,52,8052,0.0,-,254,2.8,266,3.5,-8.4,-6.8,-,-,9500
53580/怀仁,小时数据,2025-01-11 17,2025-01-11 17:00:39,000,902.5,1030.7,-4.5,2.4,54,14789,0.0,-,280,2.7,280,3.0,-4.3,-4.6,-,-,14300
53580/怀仁,小时数据,2025-01-11 16,2025-01-11 16:00:44,000,902.2,1030.2,-3.9,2.3,51,12830,0.0,-,266,3.5,268,3.9,-1.9,-2.5,-,-,15900
53580/怀仁,小时数据,2025-01-11 15,2025-01-11 15:00:42,000,901.8,1029.6,-2.6,2.0,40,18678,0.0,-,257,5.5,251,4.7,5.9,0.3,-,-,11700
53580/怀仁,小时数据,2025-01-11 14,2025-01-11 14:00:43,000,901.8,1029.6,-2.3,2.1,41,17963,0.0,-,233,4.7,237,3.9,15.3,6.3,-,-,13900
53580/怀仁,小时数据,2025-01-11 13,2025-01-11 13:00:42,000,902.5,1030.3,-2.6,2.2,43,11070,0.0,-,265,2.2,276,2.7,10.5,5.0,-,-,14400
53580/怀仁,小时数据,2025-01-11 12,2025-01-11 12:00:40,000,903.5,1031.2,-2.6,2.1,41,22695,0.0,-,203,3.4,219,3.0,13.2,4.0,-,-,15200
53580/怀仁,小时数据,2025-01-11 11,2025-01-11 11:00:41,000,904.7,1032.5,-4.2,2.1,47,24789,0.0,-,254,3.3,238,3.1,7.5,3.9,-,-,13900
53580/怀仁,小时数据,2025-01-11 10,2025-01-11 10:00:39,000,905.2,1033.4,-5.3,2.2,53,11180,0.0,-,227,2.0,214,2.1,0.1,-1.0,-,-,10300
53580/怀仁,小时数据,2025-01-11 09,2025-01-11 09:00:42,000,905.6,1034.3,-6.5,2.2,58,7518,0.0,-,237,2.5,233,1.9,-5.9,-5.1,-,-,7100
53580/怀仁,小时数据,2025-01-11 08,2025-01-11 08:55:54,CCA,905.8,1034.7,-7.0,2.2,61,9126,0.0,-,224,2.0,219,2.3,-10.6,-7.8,0,-,8500
