区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53771/文水,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,931.4,1022.7,6.0,2.1,22,10062,0.0,-,76,1.7,59,1.8,13.2,11.9,-,-,10900
53771/文水,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,932.2,1023.6,5.0,2.0,23,15198,0.0,-,98,0.9,89,1.2,13.2,12.3,-,-,14300
53771/文水,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,933.3,1025.1,3.3,1.9,25,14797,0.0,-,259,0.4,186,1.0,11.5,9.8,-,-,12400
53771/文水,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,934.4,1026.6,1.1,2.2,33,12411,0.0,-,181,1.6,171,1.7,8.2,8.0,-,-,10400
53771/文水,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,934.5,1026.8,-0.7,2.1,37,14370,0.0,-,143,1.0,122,0.6,3.5,6.2,-,-,11300
53771/文水,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,933.8,1027.0,-6.0,2.3,58,6550,0.0,-,260,0.9,252,0.9,-3.6,2.1,-,-,6500
53771/文水,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,933.1,1026.4,-8.4,2.3,70,7521,0.0,-,279,0.9,272,1.1,-10.4,-12.7,-,-,6800
53771/文水,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,932.6,1025.5,-8.7,2.2,70,6567,0.0,-,275,1.0,264,1.0,-10.7,-13.6,-,-,6300
53771/文水,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,931.9,1024.2,-8.3,2.3,70,5557,0.0,-,168,1.3,175,1.0,-10.2,-12.7,-,-,5600
53771/文水,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,931.4,1023.0,-8.0,2.1,63,3286,0.0,-,86,1.2,60,0.4,-9.8,-11.7,-,-,3600
53771/文水,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,931.5,1022.7,-7.3,2.3,64,6108,0.0,-,251,1.5,260,1.6,-9.4,-10.9,-,-,5800
53771/文水,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,931.6,1022.9,-7.5,2.2,62,6325,0.0,-,83,1.3,84,1.6,-9.1,-12.1,-,-,5800
53771/文水,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,931.7,1023.1,-7.1,2.5,70,4419,0.0,-,248,0.8,233,1.2,-8.8,-11.8,-,-,4300
53771/文水,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,931.3,1022.8,-6.1,2.4,61,6110,0.0,-,205,0.6,219,0.3,-8.5,-11.4,-,-,5800
53771/文水,小时数据,2025-01-01 00,2025-01-01 00:00:54,000,931.5,1023.4,-6.0,2.5,64,4877,0.0,-,291,1.1,283,1.0,-8.1,-11.1,-,-,4500
53771/文水,小时数据,2024-12-31 23,2024-12-31 23:00:38,000,931.3,1023.3,-5.6,2.3,58,5220,0.0,-,147,1.5,111,1.3,-7.6,-7.9,-,-,5700
53771/文水,小时数据,2024-12-31 22,2024-12-31 22:00:40,000,931.0,1023.2,-4.1,2.5,55,5525,0.0,-,297,1.0,320,0.5,-7.1,-9.2,-,-,5300
53771/文水,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,931.0,1024.0,-4.3,2.2,50,4821,0.0,-,124,1.3,110,1.4,-6.7,-8.1,-,-,4000
53771/文水,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,931.0,1024.3,-2.9,2.3,47,6445,0.0,-,201,1.4,195,0.8,-6.1,-6.9,-,-,6900
53771/文水,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,930.5,1023.5,-0.8,2.3,40,8724,0.0,-,265,0.9,283,0.9,-5.8,-6.9,-,-,8300
