区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53964/新绛,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,968.6,1021.6,9.9,2.4,20,12055,0.0,-,271,1.2,266,1.5,12.7,14.4,-,-,11300
53964/新绛,小时数据,2025-01-01 15,2025-01-01 15:00:42,000,968.3,1021.2,9.6,2.6,22,10567,0.0,-,218,1.7,227,2.4,17.8,17.3,-,-,10200
53964/新绛,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,968.8,1021.7,8.5,2.7,24,10513,0.0,-,266,1.2,266,1.8,21.1,19.3,-,-,10100
53964/新绛,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,969.5,1022.4,7.5,2.6,25,11684,0.0,-,190,2.1,208,2.1,22.2,17.5,-,-,9600
53964/新绛,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,970.5,1023.7,5.5,2.6,29,7872,0.0,-,281,0.4,87,1.0,19.7,15.5,-,-,8400
53964/新绛,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,971.6,1025.1,2.9,2.8,37,8433,0.0,-,351,1.3,58,1.2,13.9,11.9,-,-,6800
53964/新绛,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,971.5,1025.1,0.5,2.8,45,7312,0.0,-,107,1.2,94,1.1,6.4,7.8,-,-,7200
53964/新绛,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,970.5,1024.2,-2.4,3.1,60,5990,0.0,-,89,1.2,77,0.8,-3.7,-2.2,-,-,5800
53964/新绛,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,969.4,1023.2,-4.4,2.6,59,5775,0.0,-,122,0.3,115,0.7,-9.1,-11.1,-,-,5400
53964/新绛,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,968.9,1022.7,-4.8,2.3,54,7030,0.0,-,271,0.9,232,0.5,-9.6,-12.1,-,-,6600
53964/新绛,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,968.1,1021.5,-4.1,2.4,53,7696,0.0,-,270,0.7,286,0.8,-9.3,-11.8,-,-,7600
53964/新绛,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,967.9,1021.0,-4.3,2.4,53,8018,0.0,-,262,1.2,257,1.1,-9.1,-11.6,-,-,8200
53964/新绛,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,967.8,1020.6,-3.6,2.4,52,6493,0.0,-,292,1.0,293,0.9,-9.0,-11.6,-,-,6000
53964/新绛,小时数据,2025-01-01 03,2025-01-01 03:00:41,000,967.7,1020.4,-2.5,2.4,48,6216,0.0,-,PPC,0.0,PPC,0.0,-8.6,-11.2,-,-,6000
53964/新绛,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,967.4,1020.2,-1.1,2.4,42,7092,0.0,-,143,0.7,133,0.7,-8.2,-10.8,-,-,8700
53964/新绛,小时数据,2025-01-01 01,2025-01-01 01:00:46,000,967.1,1020.0,-0.4,2.3,39,12485,0.0,-,80,1.6,75,1.8,-6.8,-7.1,-,-,11200
53964/新绛,小时数据,2025-01-01 00,2025-01-01 00:00:57,000,967.0,1020.1,-0.8,2.4,42,7041,0.0,-,93,1.7,91,1.7,-6.8,-7.1,-,-,7000
53964/新绛,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,966.9,1020.2,-0.1,2.4,39,6886,0.0,-,80,1.4,86,1.3,-6.9,-8.6,-,-,6500
53964/新绛,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,966.8,1020.2,1.2,2.3,35,7872,0.0,-,93,1.1,90,1.3,-6.5,-7.5,-,-,7800
53964/新绛,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,966.8,1020.4,2.0,2.5,35,7057,0.0,-,77,1.6,80,1.6,-6.2,-7.4,-,-,6900
53964/新绛,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,966.9,1020.6,2.8,2.7,36,12714,0.0,-,58,1.0,46,1.3,-6.0,-8.2,-,-,9300
53964/新绛,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,966.9,1020.6,2.5,2.6,36,7870,0.0,-,313,0.7,332,0.8,-6.1,-8.6,-,-,7400
53964/新绛,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,966.3,1019.7,5.2,2.5,28,10272,0.0,-,118,1.0,105,1.0,-3.9,-7.0,-,-,11200
53964/新绛,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,966.4,1019.4,9.1,2.2,19,14490,0.0,-,97,1.2,95,1.2,3.6,3.2,-,-,14900
