区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53760/方山,小时数据,2025-01-01 14,2025-01-01 13:59:09,000,883.0,1025.7,2.7,1.8,24,30000,0.0,-,279,4.8,283,4.1,12.5,9.6,-,-,18200
53760/方山,小时数据,2025-01-01 13,2025-01-01 12:59:09,000,883.1,1025.7,2.6,1.8,24,25462,0.0,-,285,3.4,281,3.4,14.5,10.4,-,-,16800
53760/方山,小时数据,2025-01-01 12,2025-01-01 11:59:09,000,883.9,1026.7,1.7,1.9,28,19668,0.0,-,188,2.5,202,2.3,10.0,6.7,-,-,12400
53760/方山,小时数据,2025-01-01 11,2025-01-01 10:59:09,000,884.5,1028.1,-1.3,2.0,36,9375,0.0,-,210,1.8,217,2.1,11.5,6.5,-,-,15200
53760/方山,小时数据,2025-01-01 10,2025-01-01 09:59:09,000,884.5,1029.0,-5.5,1.9,47,7583,0.0,-,76,0.5,26,1.0,3.2,3.7,-,-,10900
53760/方山,小时数据,2025-01-01 09,2025-01-01 08:59:12,000,883.8,1028.9,-9.2,1.7,55,13018,0.0,-,32,2.1,22,2.7,-8.0,-7.0,-,-,13300
53760/方山,小时数据,2025-01-01 08,2025-01-01 07:59:09,000,883.2,1028.3,-10.3,1.6,58,17142,0.0,-,40,3.4,39,3.3,-11.7,-10.9,-,-,18400
53760/方山,小时数据,2025-01-01 07,2025-01-01 06:59:10,000,882.7,1027.4,-10.1,1.6,57,21206,0.0,-,44,2.8,37,2.5,-11.8,-11.1,-,-,16900
53760/方山,小时数据,2025-01-01 06,2025-01-01 05:59:10,000,882.2,1026.2,-9.7,1.6,54,22778,0.0,-,43,3.9,42,3.3,-11.5,-10.5,-,-,21300
53760/方山,小时数据,2025-01-01 05,2025-01-01 04:59:09,000,881.8,1024.0,-9.5,1.6,54,20638,0.0,-,39,3.0,42,3.4,-11.3,-10.3,-,-,18500
53760/方山,小时数据,2025-01-01 04,2025-01-01 03:59:09,000,881.8,1023.6,-9.2,1.6,53,22525,0.0,-,43,3.3,43,3.3,-11.2,-10.1,-,-,17500
53760/方山,小时数据,2025-01-01 03,2025-01-01 02:59:12,000,881.8,1023.7,-9.0,1.6,51,15543,0.0,-,44,2.7,44,3.3,-10.9,-9.9,-,-,15200
53760/方山,小时数据,2025-01-01 02,2025-01-01 01:59:09,000,881.6,1023.5,-8.5,1.6,50,15030,0.0,-,44,2.8,45,2.7,-10.5,-9.5,-,-,13900
53760/方山,小时数据,2025-01-01 01,2025-01-01 00:59:06,000,881.6,1023.6,-7.8,1.7,49,13694,0.0,-,48,2.5,41,2.9,-10.0,-8.8,-,-,12700
53760/方山,小时数据,2025-01-01 00,2024-12-31 23:59:10,000,881.6,1024.0,-7.3,1.7,47,12886,0.0,-,37,3.0,43,3.2,-9.4,-8.2,-,-,12400
53760/方山,小时数据,2024-12-31 23,2024-12-31 22:59:07,000,881.5,1025.3,-6.6,1.7,45,14515,0.0,-,49,3.0,49,2.8,-9.1,-7.7,-,-,11500
53760/方山,小时数据,2024-12-31 22,2024-12-31 21:59:10,000,881.2,1025.9,-5.6,1.7,43,12931,0.0,-,45,2.9,40,2.5,-8.8,-6.8,-,-,11900
53760/方山,小时数据,2024-12-31 21,2024-12-31 20:59:07,000,881.2,1026.6,-4.5,1.7,39,11025,0.0,-,39,4.1,39,4.0,-7.7,-5.5,-,-,11900
53760/方山,小时数据,2024-12-31 20,2024-12-31 19:59:12,000,881.3,1027.0,-3.6,1.8,38,13721,0.0,-,68,3.6,68,3.4,-7.4,-4.8,-,-,11700
53760/方山,小时数据,2024-12-31 19,2024-12-31 18:59:10,000,880.6,1025.9,-2.7,1.9,37,12666,0.0,-,52,2.6,57,2.4,-7.2,-4.3,-,-,11800
53760/方山,小时数据,2024-12-31 18,2024-12-31 17:59:13,000,880.2,1024.9,-1.0,1.8,31,8830,0.0,-,90,2.6,90,2.9,-5.6,-2.4,-,-,8800
53760/方山,小时数据,2024-12-31 17,2024-12-31 16:59:09,000,880.0,1022.9,4.8,1.9,22,13067,0.0,-,210,0.6,223,0.8,-3.5,3.8,-,-,14700
53760/方山,小时数据,2024-12-31 16,2024-12-31 15:59:09,000,880.1,1022.5,6.1,1.8,19,22071,0.0,-,236,1.7,219,1.9,4.7,9.5,-,-,19700
53760/方山,小时数据,2024-12-31 15,2024-12-31 14:59:10,000,880.6,1023.1,5.6,1.8,20,20755,0.0,-,187,2.4,191,2.7,10.1,11.4,-,-,15500
