区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53783/昔阳,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,909.4,1021.6,6.4,1.8,19,7971,0.0,-,342,3.9,339,4.1,18.8,15.1,-,-,8100
53783/昔阳,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,909.9,1022.0,6.0,2.0,21,8397,0.0,-,343,2.9,337,2.6,19.2,14.6,-,-,8300
53783/昔阳,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,910.8,1023.4,4.4,2.0,24,7701,0.0,-,337,2.2,341,2.4,17.2,14.2,-,-,7700
53783/昔阳,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,911.7,1024.6,2.3,2.1,29,8185,0.0,-,342,0.8,337,0.6,15.1,13.8,-,-,8200
53783/昔阳,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,911.7,1025.3,-1.9,2.0,38,8600,0.0,-,156,1.0,119,0.7,6.1,7.8,-,-,8100
53783/昔阳,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,911.1,1025.2,-5.9,1.9,49,8127,0.0,-,123,1.2,121,0.9,-3.8,-1.0,-,-,7800
53783/昔阳,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,910.6,1024.6,-7.7,1.9,54,8205,0.0,-,131,1.1,102,1.1,-11.1,-8.8,-,-,7900
53783/昔阳,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,910.0,1023.6,-7.8,1.8,54,8237,0.0,-,213,0.4,196,1.1,-11.7,-11.1,-,-,8100
53783/昔阳,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,910.0,1023.2,-8.1,1.9,56,8097,0.0,-,240,1.9,242,1.6,-11.5,-10.3,-,-,8000
53783/昔阳,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,909.2,1021.7,-7.1,1.8,51,8135,0.0,-,194,1.7,199,1.5,-11.2,-9.3,-,-,7800
53783/昔阳,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,909.1,1021.2,-7.0,1.8,51,7843,0.0,-,275,0.6,330,0.7,-11.2,-11.1,-,-,7500
