区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53976/晋城,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,930.5,1020.9,9.2,2.9,25,9898,0.0,-,163,2.9,163,2.7,13.4,12.5,-,-,9900
53976/晋城,小时数据,2025-01-01 15,2025-01-01 15:00:41,000,929.8,1019.5,12.6,2.3,16,29654,0.0,-,273,2.1,249,1.4,20.8,19.8,-,-,22700
53976/晋城,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,929.9,1019.6,12.2,2.4,17,20216,0.0,-,217,1.6,209,1.7,24.2,21.1,-,-,19300
53976/晋城,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,930.7,1020.9,9.8,2.4,20,15984,0.0,-,352,0.6,322,1.2,23.4,19.9,-,-,15400
53976/晋城,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,931.7,1022.3,7.5,2.5,24,14252,0.0,-,86,1.2,83,1.0,20.9,17.0,-,-,11200
53976/晋城,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,932.8,1024.0,4.0,2.6,32,12323,0.0,-,334,0.7,318,0.7,15.4,15.3,-,-,10000
53976/晋城,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,933.0,1024.4,1.9,2.5,36,14698,0.0,-,112,0.9,110,0.9,8.4,9.4,-,-,11200
53976/晋城,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,932.2,1024.2,-2.7,2.4,48,10063,0.0,-,346,0.7,357,0.7,-0.2,5.7,-,-,10900
53976/晋城,小时数据,2025-01-01 08,2025-01-01 08:00:37,000,931.3,1023.3,-4.8,2.2,51,13596,0.0,-,58,0.7,109,1.1,-7.6,-7.4,-,-,13000
53976/晋城,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,931.1,1022.8,-4.9,2.2,52,13458,0.0,-,11,1.6,17,1.4,-8.1,-7.5,-,-,11400
53976/晋城,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,930.6,1021.9,-4.0,2.3,50,11175,0.0,-,103,0.8,107,0.9,-8.5,-8.8,-,-,11400
53976/晋城,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,930.5,1021.4,-3.8,2.3,50,9903,0.0,-,40,0.8,21,1.1,-8.1,-8.2,-,-,5900
