区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
53578/朔州,小时数据,2025-01-11 23,2025-01-11 23:00:44,000,897.3,1034.0,-9.7,1.7,58,23930,0.0,-,324,2.6,334,2.3,-14.0,-12.6
53578/朔州,小时数据,2025-01-11 22,2025-01-11 22:00:41,000,896.5,1033.3,-8.8,1.7,55,20703,0.0,-,272,2.4,266,2.3,-13.2,-11.5
53578/朔州,小时数据,2025-01-11 21,2025-01-11 21:00:40,000,896.3,1034.9,-8.5,1.8,55,19306,0.0,-,283,2.1,281,2.4,-12.7,-11.3
53578/朔州,小时数据,2025-01-11 20,2025-01-11 20:00:45,000,896.0,1035.0,-9.4,1.9,62,12481,0.0,-,333,0.9,311,0.9,-15.5,-18.7
53578/朔州,小时数据,2025-01-11 19,2025-01-11 19:00:50,000,895.7,1033.8,-8.2,2.1,64,14350,0.0,-,286,1.8,277,1.8,-12.2,-11.9
53578/朔州,小时数据,2025-01-11 18,2025-01-11 18:00:41,000,895.2,1032.6,-6.5,2.3,61,19682,0.0,-,291,1.7,297,2.3,-9.9,-9.6
53578/朔州,小时数据,2025-01-11 17,2025-01-11 17:00:40,000,894.8,1031.6,-4.7,2.2,50,28805,0.0,-,275,2.3,286,2.1,-5.8,-5.6
53578/朔州,小时数据,2025-01-11 16,2025-01-11 16:00:38,000,894.5,1030.9,-3.6,2.2,46,20636,0.0,-,250,3.0,255,2.8,1.8,0.8
53578/朔州,小时数据,2025-01-11 15,2025-01-11 15:00:45,000,894.2,1030.6,-3.8,1.9,41,22643,0.0,-,276,2.7,289,2.3,0.6,-0.2
53578/朔州,小时数据,2025-01-11 14,2025-01-11 14:00:44,000,894.3,1030.7,-4.1,1.8,39,30000,0.0,-,273,2.2,282,2.9,-0.5,-1.6
53578/朔州,小时数据,2025-01-11 13,2025-01-11 13:00:44,000,894.7,1031.1,-3.6,2.0,42,21706,0.0,-,283,2.6,288,2.9,4.8,2.3
53578/朔州,小时数据,2025-01-11 12,2025-01-11 12:00:41,000,895.7,1032.4,-3.6,2.1,44,15970,0.0,-,272,3.8,244,4.0,5.3,2.9
53578/朔州,小时数据,2025-01-11 11,2025-01-11 11:00:43,000,896.7,1034.0,-4.2,2.0,45,15029,0.0,-,246,3.0,222,2.5,5.9,4.6
53578/朔州,小时数据,2025-01-11 10,2025-01-11 10:00:41,000,897.4,1035.1,-5.8,2.1,54,13159,0.0,-,201,1.8,287,1.1,-0.6,1.6
53578/朔州,小时数据,2025-01-11 09,2025-01-11 09:00:37,000,897.9,1037.7,-12.8,1.9,81,8342,0.0,-,318,0.5,306,0.6,-13.4,-13.7
53578/朔州,小时数据,2025-01-11 08,2025-01-11 08:29:18,CCA,898.0,1037.6,-13.6,1.7,79,7065,0.0,-,256,0.4,259,0.5,-16.6,-18.5
53578/朔州,小时数据,2025-01-11 07,2025-01-11 07:00:40,000,898.2,1036.5,-11.7,1.9,78,10075,0.0,-,283,0.5,273,0.7,-14.3,-16.9
53578/朔州,小时数据,2025-01-11 06,2025-01-11 06:00:41,000,898.2,1035.9,-11.2,2.0,76,11083,0.0,-,350,1.3,336,1.2,-12.1,-13.0
53578/朔州,小时数据,2025-01-11 05,2025-01-11 05:00:41,000,898.4,1035.5,-10.8,2.0,73,10611,0.0,-,343,0.8,337,0.7,-11.7,-12.6
53578/朔州,小时数据,2025-01-11 04,2025-01-11 04:00:45,000,899.1,1035.8,-10.6,1.9,71,11785,0.0,-,321,1.1,301,0.9,-11.5,-12.6
53578/朔州,小时数据,2025-01-11 03,2025-01-11 03:00:44,000,899.8,1036.5,-10.5,1.9,69,12471,0.0,-,274,1.0,249,0.6,-11.7,-12.7
53578/朔州,小时数据,2025-01-11 02,2025-01-11 02:00:46,000,900.2,1036.9,-10.3,1.9,67,11950,0.0,-,265,1.1,248,1.1,-11.0,-11.8
53578/朔州,小时数据,2025-01-11 01,2025-01-11 01:00:45,000,900.9,1037.9,-10.6,1.8,65,12229,0.0,-,336,0.8,351,1.0,-11.3,-12.1
53578/朔州,小时数据,2025-01-11 00,2025-01-11 00:00:57,000,901.9,1039.6,-11.3,1.7,64,11016,0.0,-,PPC,0.0,332,0.6,-11.7,-12.7
53578/朔州,小时数据,2025-01-10 23,2025-01-10 23:00:46,000,902.6,1041.1,-12.0,1.5,63,11521,0.0,-,302,0.9,312,0.8,-14.3,-16.2
53578/朔州,小时数据,2025-01-10 22,2025-01-10 22:00:44,000,903.1,1042.6,-11.7,1.5,60,11003,0.0,-,316,1.3,289,1.1,-13.7,-14.9
53578/朔州,小时数据,2025-01-10 21,2025-01-10 21:00:44,000,903.3,1044.2,-11.8,1.5,59,8825,0.0,-,311,0.8,325,0.7,-15.6,-18.3
53578/朔州,小时数据,2025-01-10 20,2025-01-10 20:00:42,000,903.2,1044.7,-10.4,1.5,55,13782,0.0,-,282,0.6,278,0.9,-14.0,-16.1
53578/朔州,小时数据,2025-01-10 19,2025-01-10 19:00:44,000,902.9,1043.3,-7.5,1.6,47,16225,0.0,-,260,1.3,274,1.2,-13.8,-16.6
53578/朔州,小时数据,2025-01-10 18,2025-01-10 18:00:42,000,902.6,1042.1,-5.9,1.7,42,15501,0.0,-,264,1.4,277,1.5,-11.2,-12.9
53578/朔州,小时数据,2025-01-10 17,2025-01-10 17:00:40,000,902.1,1040.7,-3.8,1.7,36,25520,0.0,-,285,2.0,282,2.4,-5.5,-5.3
53578/朔州,小时数据,2025-01-10 16,2025-01-10 16:00:42,000,902.0,1039.8,-2.2,1.6,31,26068,0.0,-,278,4.8,283,3.3,3.9,2.0
53578/朔州,小时数据,2025-01-10 15,2025-01-10 15:00:44,000,901.8,1039.7,-2.0,1.5,28,24700,0.0,-,300,3.1,307,3.4,8.9,6.4
53578/朔州,小时数据,2025-01-10 14,2025-01-10 14:00:45,000,901.8,1040.2,-1.8,1.6,29,17258,0.0,-,240,1.7,225,1.7,12.6,8.3
53578/朔州,小时数据,2025-01-10 13,2025-01-10 13:00:38,000,902.5,1041.5,-2.4,1.6,31,16129,0.0,-,271,1.4,297,1.6,13.1,9.0
53578/朔州,小时数据,2025-01-10 12,2025-01-10 12:00:43,000,903.3,1042.6,-3.6,1.5,33,18351,0.0,-,231,1.9,190,1.7,9.8,6.2
53578/朔州,小时数据,2025-01-10 11,2025-01-10 11:00:41,000,904.2,1044.7,-5.5,1.4,35,11969,0.0,-,169,1.6,180,1.1,5.7,4.0
53578/朔州,小时数据,2025-01-10 10,2025-01-10 10:00:42,000,904.1,1045.4,-8.9,1.3,43,8015,0.0,-,348,1.1,1,0.9,-2.5,-0.8
53578/朔州,小时数据,2025-01-10 09,2025-01-10 09:00:43,000,903.7,1046.0,-13.6,1.3,60,8757,0.0,-,PPC,0.2,PPC,0.2,-14.7,-13.5
53578/朔州,小时数据,2025-01-10 08,2025-01-10 08:19:08,CCA,903.5,1046.4,-17.2,1.1,68,9009,0.0,-,263,0.6,260,0.7,-19.5,-21.5
53578/朔州,小时数据,2025-01-10 07,2025-01-10 07:00:45,000,903.2,1045.1,-16.6,1.1,67,9859,0.0,-,287,0.8,286,1.1,-19.1,-21.3
53578/朔州,小时数据,2025-01-10 06,2025-01-10 06:00:41,000,903.0,1043.4,-15.2,1.1,60,9757,0.0,-,318,0.6,330,0.5,-17.5,-19.5
53578/朔州,小时数据,2025-01-10 05,2025-01-10 05:00:42,000,903.1,1042.7,-14.2,1.1,56,12621,0.0,-,304,1.0,314,0.8,-15.4,-16.9
53578/朔州,小时数据,2025-01-10 04,2025-01-10 04:00:40,000,903.2,1042.2,-13.2,1.1,50,12641,0.0,-,300,0.6,306,0.8,-15.0,-15.4
53578/朔州,小时数据,2025-01-10 03,2025-01-10 03:00:42,000,903.6,1042.6,-13.6,1.1,51,12173,0.0,-,341,1.4,331,0.9,-14.2,-14.7
53578/朔州,小时数据,2025-01-10 02,2025-01-10 02:00:42,000,904.0,1043.8,-15.7,1.0,58,11419,0.0,-,322,1.2,316,1.1,-16.2,-17.3
53578/朔州,小时数据,2025-01-10 01,2025-01-10 01:00:42,000,904.1,1044.6,-17.0,1.0,60,9934,0.0,-,310,0.6,291,0.8,-18.0,-19.7
53578/朔州,小时数据,2025-01-10 00,2025-01-10 00:01:00,000,904.4,1045.2,-16.2,1.0,55,10485,0.0,-,315,1.0,321,1.0,-17.2,-18.7
53578/朔州,小时数据,2025-01-09 23,2025-01-09 23:00:43,000,904.4,1046.0,-18.2,0.9,60,10361,0.0,-,264,1.5,263,1.3,-20.5,-23.0
53578/朔州,小时数据,2025-01-09 22,2025-01-09 22:00:44,000,904.2,1046.5,-17.5,0.9,58,9742,0.0,-,322,0.3,288,0.5,-20.2,-22.8
53578/朔州,小时数据,2025-01-09 21,2025-01-09 21:00:44,000,903.9,1047.3,-16.6,0.9,56,7123,0.0,-,327,1.1,295,0.7,-19.9,-22.3
53578/朔州,小时数据,2025-01-09 20,2025-01-09 20:00:49,000,903.8,1047.5,-15.2,0.9,50,11546,0.0,-,262,1.4,274,1.0,-18.7,-21.0
53578/朔州,小时数据,2025-01-09 19,2025-01-09 19:00:43,000,903.8,1046.8,-12.5,1.0,42,15362,0.0,-,280,0.8,271,0.5,-17.7,-21.1
53578/朔州,小时数据,2025-01-09 18,2025-01-09 18:00:46,000,903.5,1044.9,-8.7,1.0,32,16327,0.0,-,110,1.0,110,1.3,-15.2,-18.2
53578/朔州,小时数据,2025-01-09 17,2025-01-09 17:00:44,000,903.2,1044.5,-6.8,1.0,28,30000,0.0,-,117,1.7,119,1.5,-9.0,-9.9
53578/朔州,小时数据,2025-01-09 16,2025-01-09 16:00:43,000,902.8,1043.6,-5.6,1.0,26,29162,0.0,-,85,1.8,99,2.0,4.1,0.9
53578/朔州,小时数据,2025-01-09 15,2025-01-09 15:00:45,000,902.7,1043.3,-5.2,1.0,25,17111,0.0,-,149,1.6,123,1.5,9.5,4.3
53578/朔州,小时数据,2025-01-09 14,2025-01-09 14:00:39,000,902.9,1043.5,-5.7,1.1,27,30000,0.0,-,36,0.9,95,1.5,11.0,5.0
53578/朔州,小时数据,2025-01-09 13,2025-01-09 13:00:41,000,903.5,1044.1,-6.8,1.1,30,21173,0.0,-,74,1.7,65,1.6,9.8,3.7
