区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,小时内最高本站气压,小时内最高本站气压出现时间,小时内最低本站气压,小时内最低本站气压出现时间,3小时变压,24小时变压,气温,气温,气温,气温,气温,24小时变温,气温,气温,露点温度,水汽压,相对湿度,相对湿度,相对湿度,总云量,低云量,低云或中云的云量,低云或中云的云高,云状1,云状2,云状3,云状4,云状5,云状6,云状7,云状8,低云状,中云状,高云状,水平能见度（人工）,1分钟平均水平能见度,10分钟平均水平能见度,最小水平能见度,最小水平能见度出现时间,降水量,过去3小时降水量,过去6小时降水量,过去12小时降水量,过去24小时降水量,人工加密观测降水量,人工加密观测降水量描述时间周期,现在天气,过去天气1,过去天气2,过去天气描述时间周期,天气现象,小时蒸发量,积雪深度,雪压,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,瞬时风向,瞬时风速,小时内最大风速的风向,小时内最大风速,小时内最大风速出现时间,小时内极大风速的风向,小时内极大风速,小时内极大风速出现时间,过去6小时极大瞬时风向,过去6小时极大瞬时风速,过去12小时极大瞬时风向,过去12小时极大瞬时风速,地面温度,小时内最高地面温度,小时内最高地面温度出现时间,小时内最低地面温度,小时内最低地面温度出现时间,过去12小时最低地面温度,5cm地温,10cm地温,15cm地温,20cm地温,40cm地温,80cm地温,160cm地温,320cm地温,冻土第1冻结层上限值,冻土第1冻结层下限值,冻土第2冻结层上限值,冻土第2冻结层下限值,草面（雪面）温度,小时内草面（雪面）最高温度,小时内草面（雪面）最高温度出现时间,小时内草面（雪面）最低温度,小时内草面（雪面）最低温度出现时间,地面状态,龙卷距测站距离编码,龙卷所在方位,电线积冰直径,最大冰雹的最大直径
53578/朔州,小时数据,2020-01-01 18,2020-01-01 17:58:41,000,896.1,1035.0,896.1,1756,895.6,1701,0.9,-1.7,-4.8,-1.0,1701,-4.8,1759,4.6,1.4,-18.2,-16.6,1.7,39,28,1701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11000,13143,12056,7286,1725,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(05,03,)03,05,.",-,-,-,54,0.5,99,0.6,43,0.8,98,1.2,1743,99,1.5,1739,136,3.6,133,3.9,-10.5,-6.2,1701,-10.5,1800,-20.7,-5.8,-3.7,-3.4,-3.8,-5.1,0.0,4.9,9.9,-,-,-,-,-11.9,-7.6,1701,-11.9,1750,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 17,2020-01-01 17:02:41,000,895.6,1033.3,895.6,1649,895.4,1601,0.3,-2.1,-0.9,0.7,1601,-0.9,1659,6.9,1.4,-18.2,-17.1,1.6,28,26,1601,4,-,-,6000,-,-,-,-,-,-,-,-,-,-,-,9700,8548,9732,9732,1700,0.0,0.0,0.0,0.0,0.0,-,-,0,0,0,180,"(05,03,)03,05,.",-,-,-,85,1.0,99,0.9,99,1.2,101,1.2,1602,99,1.7,1608,133,3.9,133,3.9,-6.0,4.1,1601,-6.0,1700,-20.7,-2.6,-2.0,-2.8,-3.8,-5.2,0.0,4.9,9.9,-,-,-,-,-7.3,2.9,1601,-7.3,1700,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 16,2020-01-01 15:58:41,000,895.4,1032.5,895.5,1553,895.2,1501,-0.7,-2.1,0.7,1.1,1501,0.6,1547,7.2,1.4,-18.2,-16.6,1.7,26,23,1501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13000,12467,13379,11948,1501,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(05,03,)03,05,.",-,-,-,94,0.9,100,1.1,99,1.3,121,1.8,1523,130,2.7,1517,133,3.9,133,3.9,4.2,8.8,1502,3.0,1546,-20.7,1.5,-0.6,-2.8,-4.2,-5.3,0.0,4.9,9.9,-,-,-,-,3.0,7.2,1518,1.9,1545,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 15,2020-01-01 14:58:48,000,895.2,1032.0,895.3,1401,895.1,1427,-1.7,-2.5,1.1,1.4,1446,0.3,1402,7.6,1.4,-18.2,-17.7,1.5,23,22,1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11700,11886,11786,10676,1401,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(05,03,)03,05,.",-,-,-,73,1.4,106,1.4,94,1.6,119,1.4,1459,145,2.8,1434,133,3.9,133,3.9,8.2,11.4,1407,8.2,1459,-20.7,4.0,-0.5,-3.4,-4.9,-5.3,0.0,4.9,9.9,-,-,-,-,6.0,8.5,1431,6.0,1500,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 14,2020-01-01 14:02:47,000,895.3,1032.3,896.1,1301,895.3,1359,-2.2,-3.1,0.4,0.5,1357,-1.9,1302,7.4,0.5,-18.2,-18.9,1.4,22,21,1344,4,-,-,6000,-,-,-,-,-,-,-,-,-,-,-,10500,10754,10587,10294,1328,0.0,0.0,0.0,0.0,0.0,-,-,0,0,0,360,"(05,03,)03,05,.",-,0,-,229,1.0,294,0.7,224,1.3,149,1.6,1303,130,2.7,1301,133,3.9,133,3.9,11.3,11.7,1346,8.8,1302,-20.7,4.6,-1.4,-4.5,-5.9,-5.3,0.0,4.9,9.9,-,-,-,-,8.3,9.2,1346,4.3,1303,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 13,2020-01-01 12:58:48,000,896.1,1033.8,896.9,1201,896.1,1259,-1.4,-3.5,-1.8,-1.7,1256,-3.7,1205,6.3,-1.7,-18.2,-20.2,1.2,23,22,1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10300,10127,10788,8390,1201,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(05,03,)03,05,.",-,-,-,145,1.4,150,1.5,136,1.5,126,2.1,1203,136,3.6,1250,133,3.9,133,3.9,9.2,9.3,1253,5.7,1203,-20.7,2.9,-3.2,-6.0,-7.1,-5.3,0.0,4.9,9.9,-,-,-,-,5.0,5.5,1250,1.7,1202,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 12,2020-01-01 11:58:43,000,896.9,1035.1,897.5,1101,896.9,1157,-0.5,-4.1,-3.5,-3.5,1137,-4.5,1101,6.4,-3.5,-18.2,-19.0,1.4,29,27,1140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,9248,8210,7204,1146,0.0,0.0,0.0,0.0,0.0,-,-,5,-,-,-,"(05,03,)03,05,.",-,-,-,136,2.1,116,1.9,133,2.7,115,2.5,1145,133,3.9,1138,133,3.9,133,3.9,6.0,6.8,1154,4.1,1104,-20.7,0.0,-5.5,-7.8,-8.4,-5.3,0.0,4.9,9.9,-,-,-,-,2.3,3.5,1154,0.5,1145,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 11,2020-01-01 11:11:40,000,897.5,1036.0,897.6,1008,897.5,1001,0.7,-4.8,-4.7,-4.7,1059,-8.8,1001,7.6,-4.7,-18.2,-17.2,1.6,37,37,1057,3,-,-,6000,-,-,-,-,-,-,-,-,-,-,-,5300,8788,7745,4577,1029,0.0,0.0,0.0,0.0,0.0,-,-,5,0,0,180,"(05,03,)03,05,.",-,-,-,111,1.4,90,1.3,125,1.5,88,1.4,1055,77,2.0,1046,77,2.0,20,2.3,3.7,4.2,1056,-1.8,1001,-20.7,-4.2,-8.6,-9.8,-9.7,-5.3,0.0,4.9,9.9,-,-,-,-,1.2,1.9,1054,-1.7,1002,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 10,2020-01-01 11:11:15,000,897.5,1037.1,897.5,934,897.3,914,0.6,-5.7,-8.9,-8.9,1000,-15.1,901,6.1,-6.0,-18.2,-18.7,1.4,45,44,946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,5270,6010,4760,0907,0.0,0.0,0.0,0.0,0.0,-,-,5,-,-,-,"(05,03,)03,05,.",-,-,-,23,0.5,352,0.6,20,0.6,328,1.1,901,349,1.5,903,20,2.3,20,2.3,-1.8,-1.8,959,-15.1,901,-20.7,-10.1,-12.1,-11.5,-10.5,-5.2,0.0,4.9,9.9,-,-,-,-,-1.4,-1.4,1000,-14.6,901,-,-,-,-,-
53578/朔州,小时数据,2020-01-01 09,2020-01-01 11:11:07,000,897.4,1038.7,897.4,849,896.7,801,1.0,-6.2,-15.3,-15.3,900,-18.0,801,5.0,-6.0,-20.2,-19.7,1.3,69,69,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4600,4779,4824,3581,0816,0.0,0.0,0.0,0.0,0.0,-,-,5,-,-,-,"(05,03,)03,05,.",-,-,-,341,1.3,325,1.0,326,1.7,292,1.0,840,326,1.7,900,20,2.3,20,2.3,-15.1,-15.0,855,-20.1,801,-20.7,-15.2,-13.9,-12.1,-10.6,-5.2,0.0,4.9,9.9,-,-,-,-,-14.6,-14.6,900,-20.9,803,-,-,-,-,-
