区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53753/柳林,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,922.2,1026.9,3.1,1.8,23,17670,0.0,-,28,4.2,26,3.9,14.8,10.4,-,-,22800
53753/柳林,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,922.7,1027.6,2.0,1.8,26,23873,0.0,-,3,3.2,6,3.8,15.1,11.8,-,-,18200
53753/柳林,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,923.5,1028.5,1.1,1.9,29,13631,0.0,-,1,3.5,7,2.8,14.0,9.7,-,-,14900
53753/柳林,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,924.1,1029.6,-1.9,2.1,40,12625,0.0,-,243,3.3,244,3.0,8.0,5.9,-,-,11600
53753/柳林,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,924.0,1029.9,-4.7,2.1,48,9701,0.0,-,154,0.5,109,0.5,2.4,-1.5,-,-,10100
53753/柳林,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,923.4,1029.8,-7.7,2.2,63,10296,0.0,-,101,0.7,50,0.7,-6.9,-5.7,-,-,9100
53753/柳林,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,922.7,1029.0,-8.9,2.1,67,11068,0.0,-,PPC,0.2,128,0.6,-14.5,-15.4,-,-,11400
53753/柳林,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,921.8,1027.7,-8.8,2.1,67,12264,0.0,-,PPC,0.0,PPC,0.0,-14.7,-17.2,-,-,12400
53753/柳林,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,921.0,1026.0,-7.6,2.2,64,11194,0.0,-,215,0.4,236,0.3,-14.4,-17.0,-,-,10600
53753/柳林,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,920.4,1024.5,-7.3,2.0,58,12412,0.0,-,PPC,0.0,PPC,0.0,-13.8,-16.3,-,-,11400
53753/柳林,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,919.8,1023.5,-6.6,2.1,56,14364,0.0,-,202,0.6,122,0.5,-13.0,-15.1,-,-,12900
53753/柳林,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,919.7,1023.3,-5.9,2.1,53,11642,0.0,-,101,1.1,93,1.0,-12.2,-12.2,-,-,11700
